"","x"
"1","LAX"
"2","JFK"
"3","HNL"
"4","DFW"
"5","OGG"
"6","SFO"
"7","MIA"
"8","LAS"
"9","ONT"
"10","DCA"
"11","MCO"
"12","ATL"
"13","PHX"
"14","IAD"
"15","TPA"
"16","PHL"
"17","HDN"
"18","SAN"
"19","ORD"
"20","SEA"
"21","DTW"
"22","SJC"
"23","SLC"
"24","KOA"
"25","SJU"
"26","DEN"
"27","STL"
"28","PDX"
"29","CLT"
"30","CLE"
"31","HOU"
"32","SMF"
"33","TUS"
"34","BOS"
"35","RNO"
"36","MSY"
"37","SNA"
"38","BDL"
"39","RSW"
"40","SAT"
"41","MKE"
"42","PBI"
"43","BWI"
"44","BNA"
"45","EWR"
"46","JAX"
"47","AUS"
"48","LGA"
"49","RDU"
"50","LIH"
"51","MCI"
"52","ORF"
"53","IAH"
"54","COS"
"55","STT"
"56","FLL"
"57","MFE"
"58","IND"
"59","OKC"
"60","PIT"
"61","ELP"
"62","MSP"
"63","CMH"
"64","PSP"
"65","DAY"
"66","MEM"
"67","ABQ"
"68","GUC"
"69","TUL"
"70","SDF"
"71","BHM"
"72","EGE"
"73","DSM"
"74","RIC"
"75","OMA"
"76","STX"
"77","JAC"
"78","FAT"
"79","ICT"
"80","ANC"
"81","OME"
"82","OTZ"
"83","FAI"
"84","OAK"
"85","BLI"
"86","BUR"
"87","GEG"
"88","BET"
"89","ADQ"
"90","BRW"
"91","SCC"
"92","KTN"
"93","JNU"
"94","YAK"
"95","CDV"
"96","SIT"
"97","WRG"
"98","PSG"
"99","LGB"
"100","HPN"
"101","PWM"
"102","SYR"
"103","ROC"
"104","BTV"
"105","SAV"
"106","SRQ"
"107","BUF"
"108","SWF"
"109","PVD"
"110","PSE"
"111","BQN"
"112","CHS"
"113","ORH"
"114","LIT"
"115","CVG"
"116","ECP"
"117","GRR"
"118","MSN"
"119","LEX"
"120","DAL"
"121","TRI"
"122","CRW"
"123","MHT"
"124","DAB"
"125","EYW"
"126","MDW"
"127","BIL"
"128","JAN"
"129","ATW"
"130","GSO"
"131","TYS"
"132","SGF"
"133","DLH"
"134","MDT"
"135","GSP"
"136","HSV"
"137","VPS"
"138","FAR"
"139","PSC"
"140","MSO"
"141","CAK"
"142","BZN"
"143","MYR"
"144","FAY"
"145","MLB"
"146","FNT"
"147","BOI"
"148","PNS"
"149","CHA"
"150","EVV"
"151","BIS"
"152","TLH"
"153","GPT"
"154","ROA"
"155","FSD"
"156","AVL"
"157","CAE"
"158","XNA"
"159","LFT"
"160","GNV"
"161","SHV"
"162","ILM"
"163","CHO"
"164","ABE"
"165","BTR"
"166","AGS"
"167","ALB"
"168","MOB"
"169","LAW"
"170","BRO"
"171","MHK"
"172","SJT"
"173","CRP"
"174","MLI"
"175","GRK"
"176","RAP"
"177","BPT"
"178","CLL"
"179","LCH"
"180","SPS"
"181","GGG"
"182","MLU"
"183","GRB"
"184","ERI"
"185","AVP"
"186","AEX"
"187","LRD"
"188","TYR"
"189","MAF"
"190","LAN"
"191","ELM"
"192","MEI"
"193","PIB"
"194","TVC"
"195","AMA"
"196","LBB"
"197","MTJ"
"198","MOT"
"199","SBN"
"200","HOB"
"201","HRL"
"202","CID"
"203","GTR"
"204","FSM"
"205","AZO"
"206","DHN"
"207","PHF"
"208","VLD"
"209","CSG"
"210","LNK"
"211","PIA"
"212","MGM"
"213","BQK"
"214","OAJ"
"215","FWA"
"216","ABY"
"217","RST"
"218","BMI"
"219","EWN"
"220","MBS"
"221","SAF"
"222","DRO"
"223","SCE"
"224","CWA"
"225","DIK"
"226","ISN"
"227","TTN"
"228","ILG"
"229","UST"
"230","GJT"
"231","ITO"
"232","ASE"
"233","COU"
"234","TOL"
"235","LSE"
"236","DBQ"
"237","CMI"
"238","PPG"
"239","ROW"
"240","ACT"
"241","SUX"
"242","ABI"
"243","GRI"
"244","JLN"
"245","ALO"
"246","SPI"
"247","MQT"
"248","GCK"
"249","TXK"
"250","ACY"
"251","LBE"
"252","PBG"
"253","MRY"
"254","SBA"
"255","SBP"
"256","PUB"
"257","FCA"
"258","GCC"
"259","CMX"
"260","RDM"
"261","PAH"
"262","SUN"
"263","ACV"
"264","YUM"
"265","FLG"
"266","IAG"
"267","JMS"
"268","RDD"
"269","STC"
"270","BFL"
"271","EUG"
"272","GFK"
"273","GTF"
"274","RKS"
"275","LAR"
"276","EAU"
"277","MFR"
"278","RHI"
"279","IMT"
"280","CLD"
"281","IDA"
"282","PLN"
"283","SGU"
"284","HIB"
"285","VEL"
"286","ESC"
"287","INL"
"288","TWF"
"289","EKO"
"290","PIH"
"291","CIU"
"292","LWS"
"293","HLN"
"294","DVL"
"295","CEC"
"296","MKG"
"297","ABR"
"298","OTH"
"299","MMH"
"300","CPR"
"301","HYS"
"302","SMX"
"303","CNY"
"304","APN"
"305","BJI"
"306","BRD"
"307","BTM"
"308","CDC"
"309","COD"
"310","GUM"
"311","ISP"
"312","ADK"
"313","ITH"
"314","BGM"
"315","BGR"
"316","ACK"
"317","MVY"
"318","GST"
"319","DLG"
"320","AKN"
"321","HYA"
"322","WYS"
