
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,14,8,2,4,-1,-6,71,53,34,1022,1020,1018,16,16,16,19,8,24,0.00,0,,90<br />
2015-1-2,13,8,3,6,3,-1,80,65,50,1022,1020,1019,16,16,16,19,7,24,0.00,1,,196<br />
2015-1-3,15,11,6,8,6,2,83,70,57,1026,1024,1021,16,16,13,19,8,26,0.00,1,,82<br />
2015-1-4,16,11,6,12,7,1,93,72,51,1028,1026,1024,16,16,16,21,7,24,0.00,2,,297<br />
2015-1-5,26,18,10,6,-1,-4,50,33,16,1025,1023,1021,16,16,16,19,9,26,0.00,2,,9<br />
2015-1-6,28,21,13,7,-1,-5,42,27,11,1022,1021,1019,16,16,16,23,10,29,0.00,0,,21<br />
2015-1-7,26,19,12,9,4,-1,62,42,21,1020,1019,1017,16,16,16,23,7,27,0.00,3,,119<br />
2015-1-8,22,16,11,14,10,6,87,64,40,1018,1017,1016,16,16,14,26,5,32,0.00,5,,224<br />
2015-1-9,22,18,13,14,13,11,100,77,53,1017,1016,1014,16,13,5,24,5,27,0.00,5,Fog,224<br />
2015-1-10,16,14,12,13,12,8,100,89,77,1017,1016,1015,16,6,3,14,7,26,17.53,7,Rain,82<br />
2015-1-11,16,14,13,14,13,13,100,95,90,1020,1017,1015,16,9,2,16,8,23,9.91,7,Fog-Rain,84<br />
2015-1-12,17,14,12,13,12,12,100,89,78,1023,1020,1019,16,8,0,19,8,24,0.00,5,Fog,68<br />
2015-1-13,17,15,13,13,12,10,93,83,72,1021,1019,1017,16,10,4,21,6,27,0.00,4,Fog,293<br />
2015-1-14,21,14,8,12,7,1,86,57,27,1023,1021,1020,16,16,16,24,7,29,0.00,1,,256<br />
2015-1-15,23,17,10,11,3,-1,69,46,22,1025,1023,1022,16,16,16,23,8,26,0.00,1,,345<br />
2015-1-16,23,17,10,13,5,-1,87,55,23,1022,1021,1019,16,16,16,23,8,27,0.00,3,,318<br />
2015-1-17,23,17,9,11,7,3,80,55,29,1023,1021,1019,16,16,14,23,7,26,0.00,1,,152<br />
2015-1-18,20,16,11,13,10,6,87,65,42,1024,1022,1021,16,15,11,19,6,,0.00,3,,245<br />
2015-1-19,19,14,10,13,11,8,100,76,52,1022,1019,1017,14,8,1,19,4,23,0.00,4,Fog,265<br />
2015-1-20,15,13,12,12,12,11,100,90,80,1017,1015,1013,13,5,0,21,5,,0.00,7,Fog,196<br />
2015-1-21,17,15,13,13,11,9,93,80,67,1019,1016,1014,16,8,4,21,7,,0.00,4,Fog,264<br />
2015-1-22,23,16,9,9,3,-9,86,49,12,1024,1022,1020,16,16,14,19,7,24,0.00,5,,29<br />
2015-1-23,22,17,11,8,-2,-8,60,37,13,1025,1022,1020,16,16,16,23,8,26,0.00,1,,342<br />
2015-1-24,24,17,9,4,1,-3,52,35,17,1020,1017,1015,16,16,16,21,5,29,0.00,0,,211<br />
2015-1-25,27,18,9,4,1,-3,56,36,15,1017,1016,1014,16,16,16,23,4,35,0.00,3,,297<br />
2015-1-26,24,19,13,12,6,1,93,58,23,1020,1016,1015,16,16,10,34,9,42,3.30,7,Rain,108<br />
2015-1-27,21,17,12,14,12,11,93,74,55,1023,1021,1020,16,16,14,24,8,29,T,3,,298<br />
2015-1-28,22,18,13,13,10,8,80,64,47,1022,1020,1018,16,16,16,23,7,26,0.00,6,,318<br />
