
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,2,1,-1,2,-1,-5,96,80,64,1030,1025,1023,16,7,2,16,10,19,14.99,8,Rain,17<br />
2015-1-2,4,3,2,4,3,2,100,96,92,1023,1020,1013,16,7,1,24,15,31,9.40,8,Rain-Thunderstorm,6<br />
2015-1-3,12,8,3,4,3,1,100,75,50,1020,1014,1011,16,16,10,24,14,29,8.38,6,Rain-Thunderstorm,267<br />
2015-1-4,6,2,-2,1,-6,-10,79,62,44,1039,1032,1021,16,16,16,48,26,56,0.00,2,,342<br />
2015-1-5,8,1,-6,-3,-7,-11,74,54,33,1040,1034,1027,16,16,16,32,14,39,0.00,4,,139<br />
2015-1-6,14,7,-1,1,-1,-4,78,59,40,1030,1028,1026,16,16,16,27,12,32,0.00,3,,19<br />
2015-1-7,4,-1,-6,-2,-11,-17,75,51,26,1046,1039,1029,16,16,16,58,33,69,0.00,2,,8<br />
2015-1-8,3,-3,-9,-9,-13,-17,56,44,32,1044,1032,1025,16,16,16,37,16,47,0.00,2,,154<br />
2015-1-9,4,1,-3,-6,-11,-14,63,48,32,1035,1033,1027,16,16,16,35,18,42,0.00,7,,21<br />
2015-1-10,3,2,-1,-1,-8,-16,89,60,31,1034,1030,1026,16,15,10,24,13,29,1.27,8,Rain,131<br />
2015-1-11,6,3,1,5,2,0,100,95,89,1026,1022,1019,14,8,1,21,10,24,9.40,8,Rain,135<br />
2015-1-12,7,4,2,5,2,-3,100,85,70,1032,1027,1022,16,12,1,37,23,43,T,8,Rain,11<br />
2015-1-13,4,2,-1,-2,-2,-4,85,75,64,1033,1031,1029,16,14,6,29,16,37,T,8,Rain,2<br />
2015-1-14,5,4,2,-2,-4,-8,75,60,44,1030,1028,1025,16,16,16,21,13,23,0.00,8,,347<br />
2015-1-15,13,7,1,0,-3,-8,69,54,38,1028,1026,1025,16,16,16,26,11,29,0.00,2,,307<br />
2015-1-16,17,8,-1,3,0,-2,85,58,30,1027,1023,1019,16,16,16,26,12,32,0.00,4,,202<br />
2015-1-17,20,12,4,3,1,-2,85,55,24,1024,1017,1014,16,16,16,40,21,48,0.00,1,,254<br />
2015-1-18,21,11,1,0,-3,-4,75,47,18,1027,1023,1018,16,16,16,32,15,39,0.00,1,,210<br />
2015-1-19,21,12,3,4,1,-2,70,48,26,1018,1015,1013,16,16,16,26,10,29,0.00,1,,179<br />
2015-1-20,21,13,4,8,4,-1,85,63,40,1020,1015,1012,16,16,14,35,13,43,0.00,1,,36<br />
2015-1-21,16,11,4,8,3,0,93,64,35,1023,1021,1019,16,15,8,26,17,34,8.13,7,Rain,43<br />
2015-1-22,8,6,2,7,4,1,100,91,82,1026,1024,1021,16,11,5,48,26,58,26.67,8,Rain,33<br />
2015-1-23,11,7,3,2,0,-3,85,62,38,1025,1023,1021,16,16,16,37,18,45,0.00,5,,326<br />
2015-1-24,16,8,1,2,0,-2,89,63,37,1022,1019,1015,16,16,16,23,13,26,0.00,3,,255<br />
2015-1-25,18,12,5,2,-2,-5,79,51,22,1022,1017,1013,16,16,16,53,24,63,0.00,1,,301<br />
2015-1-26,22,12,1,3,0,-3,70,49,28,1023,1020,1018,16,16,16,23,12,27,0.00,1,,251<br />
2015-1-27,26,16,5,5,3,2,76,49,22,1022,1020,1018,16,16,16,16,6,21,0.00,2,,194<br />
2015-1-28,27,18,8,6,5,4,71,48,25,1020,1017,1014,16,16,16,39,20,48,0.00,2,,183<br />
2015-1-29,21,15,9,4,2,-1,59,46,32,1032,1024,1016,16,16,16,39,24,50,0.00,6,,356<br />
2015-1-30,14,9,4,0,-1,-2,70,53,35,1033,1029,1026,16,16,16,26,14,34,0.00,7,,67<br />
2015-1-31,12,11,8,11,5,-2,100,71,42,1025,1017,1011,16,10,2,29,17,35,13.72,8,Rain,135<br />
2015-2-1,14,8,1,13,6,-7,100,73,45,1026,1015,1010,16,14,10,50,25,58,2.54,6,Rain,301<br />
2015-2-2,6,1,-4,-4,-8,-10,68,52,36,1031,1028,1025,16,16,16,40,17,50,0.00,3,,20<br />
2015-2-3,12,6,-1,1,-3,-4,75,55,35,1026,1023,1021,16,16,16,29,16,35,0.00,7,,165<br />
2015-2-4,14,8,3,8,5,2,93,80,66,1026,1020,1016,16,12,4,42,20,52,T,7,Rain,214<br />
2015-2-5,3,1,-2,1,-3,-4,92,81,69,1032,1029,1026,16,12,6,37,15,43,T,8,,341<br />
2015-2-6,14,7,0,4,1,-3,82,65,47,1029,1026,1020,16,15,10,27,16,37,0.00,5,,176<br />
2015-2-7,21,13,6,9,7,4,89,67,44,1020,1014,1010,16,14,8,47,29,56,0.00,0,,180<br />
2015-2-8,23,17,11,12,9,8,96,70,44,1015,1011,1008,16,15,8,37,14,45,0.00,0,,211<br />
2015-2-9,24,16,8,9,5,3,80,54,27,1021,1018,1015,16,16,16,26,14,32,0.00,1,,13<br />
2015-2-10,24,16,7,7,5,3,76,54,31,1017,1014,1011,16,16,16,35,16,42,0.00,0,,143<br />
2015-2-11,19,13,7,8,6,-1,86,64,42,1027,1019,1012,16,16,14,40,20,52,0.00,2,,44<br />
2015-2-12,13,8,2,-1,-4,-7,64,46,28,1032,1029,1027,16,16,16,37,18,48,0.00,2,,10<br />
2015-2-13,19,11,2,3,-1,-4,70,50,29,1028,1025,1021,16,16,16,29,11,37,0.00,1,,197<br />
2015-2-14,26,15,4,5,3,1,76,49,21,1024,1021,1018,16,16,16,23,11,27,0.00,1,,211<br />
2015-2-15,23,17,10,14,11,6,84,67,49,1018,1014,1011,16,16,11,45,20,53,T,7,Rain,185<br />
2015-2-16,17,8,-2,10,-1,-4,93,81,69,1023,1017,1011,16,13,4,47,29,60,5.59,7,Rain,345<br />
2015-2-17,12,5,-2,4,-2,-6,83,62,41,1025,1023,1020,16,16,16,52,13,66,1.27,6,Rain-Thunderstorm,334<br />
2015-2-18,14,7,-1,2,-1,-6,89,60,27,1028,1026,1024,16,16,16,16,5,19,0.00,0,,39<br />
2015-2-19,16,8,0,4,-2,-7,66,53,40,1029,1024,1017,16,16,16,35,19,40,0.00,3,,124<br />
2015-2-20,21,14,8,15,11,3,93,75,57,1017,1010,1004,16,14,4,58,29,68,T,7,,160<br />
2015-2-21,19,14,8,15,8,3,84,71,57,1017,1011,1004,16,16,11,48,24,63,0.00,7,,335<br />
2015-2-22,10,4,-2,5,1,-3,96,83,70,1033,1024,1016,16,9,2,47,27,56,33.02,8,Rain-Snow,23<br />
2015-2-23,-1,-2,-3,-4,-5,-6,85,83,81,1035,1033,1030,16,9,1,48,25,58,4.32,8,Rain-Snow,5<br />
2015-2-24,3,-1,-4,-3,-5,-6,88,76,64,1030,1024,1016,16,16,10,23,9,27,T,8,,350<br />
2015-2-25,11,6,0,2,0,-2,92,72,52,1015,1013,1009,16,8,0,19,7,23,16.76,6,Rain-Snow,22<br />
2015-2-26,3,1,-1,1,-6,-12,92,68,43,1030,1024,1013,16,14,8,45,25,55,T,7,Snow,14<br />
2015-2-27,-1,-3,-4,-5,-7,-12,88,66,43,1034,1031,1030,16,7,0,32,19,40,6.60,8,Rain-Snow,43<br />
2015-2-28,0,-2,-3,-1,-3,-5,100,92,84,1030,1028,1026,16,8,2,19,11,21,5.08,8,Rain,40<br />
2015-3-1,3,2,0,1,0,-1,96,91,85,1029,1027,1026,16,9,2,27,15,34,1.78,8,Rain-Snow,2<br />
2015-3-2,4,3,1,4,2,0,100,93,85,1029,1026,1021,16,4,0,29,12,37,0.76,8,Fog-Rain,359<br />
2015-3-3,11,8,4,11,8,4,100,97,93,1020,1013,1010,10,4,0,19,7,26,1.27,8,Fog-Rain,183<br />
2015-3-4,11,4,-3,11,3,-4,100,96,92,1027,1017,1010,16,7,0,53,27,66,17.78,8,Fog-Rain-Snow-Thunderstorm,12<br />
2015-3-5,4,-1,-6,-4,-7,-10,92,68,44,1037,1034,1028,16,14,0,40,18,53,1.52,3,Snow,5<br />
2015-3-6,11,3,-6,-2,-5,-7,88,60,32,1036,1034,1031,16,16,14,19,9,26,0.00,0,,200<br />
2015-3-7,16,7,-2,2,-1,-4,82,57,32,1031,1028,1025,16,16,16,26,11,31,0.00,5,,186<br />
2015-3-8,10,9,8,8,6,0,100,75,50,1024,1021,1018,16,12,0,26,14,31,2.03,8,Rain,144<br />
2015-3-9,10,9,8,9,8,8,100,97,93,1018,1015,1012,16,7,0,23,12,26,16.51,8,Rain,56<br />
2015-3-10,15,12,9,10,9,9,100,86,72,1021,1016,1013,16,9,0,23,10,26,T,8,Rain,337<br />
2015-3-11,20,13,7,11,8,7,100,76,52,1026,1023,1021,16,12,1,24,9,29,0.00,6,Fog,18<br />
2015-3-12,21,15,9,13,10,7,89,71,53,1023,1020,1016,16,16,16,27,14,35,T,5,Rain,22<br />
2015-3-13,16,14,12,13,12,12,93,86,78,1017,1015,1014,16,13,3,32,19,39,8.64,8,Rain,337<br />
