
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,13,9,4,3,-1,-3,76,58,39,1022,1020,1019,16,16,16,32,14,37,0.00,0,,38<br />
2015-1-2,11,7,3,3,2,0,86,68,50,1024,1022,1020,16,16,10,11,3,37,0.00,1,,162<br />
2015-1-3,12,8,3,7,4,2,92,76,59,1027,1025,1022,16,14,11,11,2,24,0.00,1,,118<br />
2015-1-4,13,9,5,8,5,3,96,78,59,1030,1029,1027,14,12,10,23,3,39,0.00,4,,147<br />
2015-1-5,15,11,6,9,6,3,100,77,53,1029,1027,1024,16,15,11,11,4,16,0.00,3,,121<br />
2015-1-6,16,11,7,9,7,5,92,73,53,1025,1023,1022,16,15,11,13,3,19,0.00,1,,104<br />
2015-1-7,16,12,7,12,8,6,93,75,57,1024,1021,1019,16,15,10,11,3,16,0.00,1,,75<br />
2015-1-8,16,13,9,11,9,7,100,84,67,1019,1017,1016,16,13,6,11,1,13,0.00,6,,54<br />
2015-1-9,17,14,11,13,11,9,100,86,72,1017,1016,1014,16,13,10,21,6,26,0.00,6,,325<br />
2015-1-10,16,13,9,13,12,9,100,89,78,1017,1016,1014,16,13,5,24,8,27,0.00,5,,308<br />
2015-1-11,13,11,8,12,10,8,100,93,86,1022,1019,1016,16,13,0,32,6,45,0.00,5,Fog,192<br />
2015-1-12,17,13,8,13,11,9,100,89,78,1025,1023,1022,16,12,0,29,7,35,0.00,4,Fog,297<br />
2015-1-13,18,13,8,11,8,6,100,74,48,1023,1022,1020,16,12,0,13,2,14,0.00,1,Fog,10<br />
2015-1-14,14,11,6,12,8,5,93,82,71,1026,1023,1021,16,14,8,14,3,14,0.00,3,,71<br />
2015-1-15,15,11,7,12,9,7,100,86,72,1027,1025,1024,11,7,3,21,4,24,0.00,5,,117<br />
2015-1-16,14,12,9,13,11,9,100,90,80,1026,1025,1023,13,8,6,14,5,16,0.00,6,,34<br />
2015-1-17,14,13,11,13,12,10,100,93,86,1026,1025,1023,16,12,10,16,6,19,0.00,5,,84<br />
