
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,28,24,21,21,20,19,97,80,62,1023,1021,1020,16,14,8,24,8,31,0.00,7,,101<br />
2015-1-2,28,26,22,22,21,19,93,79,65,1024,1022,1021,16,16,16,29,14,37,0.25,5,Rain,115<br />
2015-1-3,28,27,24,22,21,21,87,76,65,1025,1023,1022,16,16,16,35,19,47,T,5,Rain,118<br />
2015-1-4,28,26,23,22,21,20,87,76,65,1025,1024,1023,16,16,16,34,14,43,0.00,4,,130<br />
2015-1-5,29,26,22,22,21,19,93,74,55,1027,1025,1024,16,16,11,24,10,31,0.51,4,,67<br />
2015-1-6,29,26,22,21,20,19,90,74,58,1027,1024,1022,16,16,16,21,10,31,0.25,5,,92<br />
2015-1-7,27,23,18,21,17,7,93,67,40,1023,1021,1019,16,16,13,21,9,31,0.00,5,,312<br />
2015-1-8,23,18,13,16,10,4,78,61,44,1026,1023,1022,16,16,14,29,17,39,T,5,Rain,26<br />
2015-1-9,26,22,18,17,16,14,87,69,50,1024,1023,1021,16,16,16,19,7,24,T,6,,130<br />
2015-1-10,26,21,15,18,16,13,97,79,60,1026,1025,1023,16,13,1,26,13,35,T,6,Fog,11<br />
2015-1-11,27,24,21,21,20,18,84,77,69,1026,1024,1022,16,16,16,37,19,43,0.76,6,Rain,81<br />
2015-1-12,27,26,24,22,22,21,87,81,74,1023,1021,1018,16,15,4,35,20,43,2.03,7,Rain,105<br />
2015-1-13,26,24,21,22,21,19,100,84,67,1021,1018,1017,16,14,2,23,8,27,19.56,6,Rain,81<br />
2015-1-14,25,23,20,20,19,18,100,85,69,1020,1017,1016,16,12,0,21,9,27,0.00,6,Fog,338<br />
2015-1-15,26,22,17,19,17,16,93,78,62,1020,1018,1016,16,14,8,23,9,31,0.00,7,,323<br />
2015-1-16,24,20,16,18,13,10,87,72,56,1020,1018,1016,16,16,14,26,13,37,0.00,5,,346<br />
2015-1-17,25,19,13,14,13,11,86,66,46,1022,1020,1019,16,16,16,27,13,35,0.00,3,,58<br />
2015-1-18,26,22,17,17,14,7,93,64,35,1021,1020,1018,16,16,16,21,6,31,T,2,,316<br />
2015-1-19,24,19,14,13,12,7,87,64,40,1022,1020,1019,16,16,11,24,9,31,0.00,4,,47<br />
2015-1-20,23,21,18,17,14,13,76,65,53,1020,1017,1016,16,16,16,23,8,29,0.00,7,,116<br />
2015-1-21,28,24,19,19,18,17,79,67,54,1019,1017,1015,16,16,16,24,9,31,0.00,4,,73<br />
2015-1-22,27,24,20,18,17,16,84,69,54,1022,1020,1019,16,16,16,26,14,37,0.00,3,,91<br />
2015-1-23,26,24,21,21,18,17,84,71,58,1020,1018,1015,16,16,16,32,19,47,0.00,5,,132<br />
2015-1-24,26,21,15,21,17,11,87,73,59,1016,1014,1013,16,16,16,35,16,50,0.00,7,,261<br />
2015-1-25,19,16,11,11,7,3,83,59,34,1020,1017,1016,16,16,16,21,10,29,0.00,2,,304<br />
