
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,8,3,-1,-7,-9,-13,58,40,21,1021,1019,1015,16,16,16,21,10,21,0.00,2,,184<br />
2015-1-2,9,4,-2,-11,-12,-12,50,36,21,1022,1020,1017,16,16,16,19,10,21,0.00,0,,200<br />
2015-1-3,11,6,-1,-8,-10,-11,43,32,21,1026,1022,1020,16,16,16,19,9,21,0.00,0,,199<br />
2015-1-4,12,6,1,-7,-8,-8,51,39,26,1030,1029,1026,16,16,16,19,9,19,0.00,4,,206<br />
2015-1-5,16,9,2,-5,-7,-7,48,35,21,1031,1029,1027,16,16,16,21,10,21,0.00,4,,198<br />
2015-1-6,21,13,6,-1,-3,-5,49,36,22,1029,1026,1024,16,16,16,21,12,23,0.00,1,,200<br />
2015-1-7,23,16,8,1,0,-1,58,41,23,1025,1022,1019,16,16,16,23,10,24,0.00,1,,207<br />
2015-1-8,21,14,8,1,0,-1,54,39,24,1020,1017,1015,16,16,16,19,11,21,0.00,1,,191<br />
2015-1-9,19,14,8,2,1,-1,54,41,28,1017,1015,1014,16,16,16,19,11,21,0.00,3,,189<br />
2015-1-10,18,14,11,6,3,2,57,47,36,1016,1014,1013,16,16,16,14,7,21,0.00,6,,201<br />
2015-1-11,13,12,10,9,8,5,89,74,59,1020,1018,1015,16,12,4,16,9,21,11.68,8,Fog-Rain,201<br />
2015-1-12,17,13,9,9,8,6,93,74,55,1021,1019,1016,16,16,14,19,9,21,0.00,6,Fog,186<br />
2015-1-13,15,11,7,6,-1,-4,76,51,26,1021,1019,1017,16,16,16,29,11,39,0.00,2,,34<br />
2015-1-14,16,12,7,-1,-3,-4,53,39,25,1025,1023,1021,16,16,16,24,11,31,0.00,0,,150<br />
2015-1-15,16,10,4,-1,-3,-7,64,43,21,1029,1026,1025,16,16,16,21,11,23,0.00,1,,192<br />
2015-1-16,16,10,4,-1,-3,-4,59,44,28,1025,1023,1021,16,16,16,21,9,23,0.00,3,,203<br />
2015-1-17,18,12,5,-1,-3,-6,58,39,20,1026,1024,1023,16,16,16,21,11,24,0.00,3,,200<br />
2015-1-18,18,13,7,1,-1,-3,58,41,24,1026,1024,1022,16,16,16,23,10,24,0.00,6,,196<br />
2015-1-19,19,13,8,1,-1,-2,60,43,26,1022,1020,1017,16,16,16,19,10,21,0.00,4,,195<br />
2015-1-20,16,11,7,6,0,-2,66,49,31,1019,1016,1014,16,16,16,16,9,,0.25,7,Rain,210<br />
2015-1-21,17,13,9,7,-7,-14,77,44,11,1023,1018,1015,16,16,16,32,14,48,T,2,,9<br />
2015-1-22,14,9,4,-9,-13,-19,37,23,9,1029,1026,1023,16,16,16,21,10,23,0.00,3,,192<br />
2015-1-23,17,11,4,-9,-11,-14,37,24,11,1028,1025,1023,16,16,16,19,9,23,0.00,2,,196<br />
2015-1-24,20,14,8,-5,-6,-8,36,26,16,1027,1024,1021,16,16,16,21,9,37,0.00,0,,143<br />
2015-1-25,23,15,7,1,-2,-6,45,33,20,1024,1021,1019,16,16,16,21,9,24,0.00,1,,215<br />
2015-1-26,21,16,10,9,2,-1,77,50,23,1021,1019,1017,16,16,10,27,13,37,2.29,6,Rain,198<br />
2015-1-27,17,14,11,9,9,8,89,75,60,1024,1022,1020,16,15,8,23,6,24,2.79,6,Fog-Rain,167<br />
2015-1-28,18,14,9,8,7,6,86,67,48,1023,1022,1020,16,16,16,16,9,,0.00,6,,200<br />
2015-1-29,18,16,12,7,4,1,71,51,31,1021,1018,1015,16,16,16,19,9,19,0.00,8,,202<br />
2015-1-30,14,12,10,8,7,4,77,64,51,1015,1011,1009,16,16,13,23,9,31,4.32,8,Rain,326<br />
2015-1-31,18,14,9,8,6,3,93,67,40,1016,1012,1009,16,16,14,24,11,32,0.76,5,Rain,181<br />
2015-2-1,18,13,7,4,1,-3,76,50,24,1022,1019,1016,16,16,16,21,11,21,0.00,2,,196<br />
2015-2-2,20,14,7,4,1,-2,66,45,24,1021,1018,1016,16,16,16,23,9,24,0.00,4,,197<br />
2015-2-3,21,14,8,4,3,0,71,49,26,1019,1017,1015,16,16,16,21,10,32,0.00,4,,190<br />
2015-2-4,22,15,8,4,3,2,66,47,27,1021,1019,1017,16,16,16,16,9,19,0.00,4,,203<br />
2015-2-5,22,16,10,4,3,2,61,44,27,1021,1018,1016,16,16,16,23,10,23,0.00,4,,194<br />
2015-2-6,23,17,9,4,1,-6,61,40,18,1019,1017,1014,16,16,16,32,13,37,0.00,3,,188<br />
2015-2-7,26,21,15,10,2,-7,56,37,18,1016,1015,1013,16,16,16,39,22,55,0.00,2,,189<br />
2015-2-8,25,19,13,10,6,2,72,47,22,1020,1016,1014,16,16,16,34,16,42,0.00,0,,197<br />
2015-2-9,26,21,16,7,2,-3,48,32,15,1017,1014,1011,16,16,16,40,24,52,0.00,0,,191<br />
2015-2-10,23,17,12,-1,-6,-12,36,23,9,1018,1016,1013,16,16,16,26,10,35,0.00,1,,244<br />
2015-2-11,22,17,12,-4,-6,-7,30,22,14,1024,1022,1019,16,16,16,27,11,34,0.00,2,,105<br />
2015-2-12,23,17,10,-3,-5,-7,35,24,13,1025,1023,1021,16,16,16,23,9,24,0.00,2,,202<br />
2015-2-13,26,18,10,-4,-6,-9,35,22,9,1022,1019,1017,16,16,16,26,11,29,0.00,1,,204<br />
2015-2-14,26,18,11,-3,-4,-7,35,23,11,1020,1016,1014,16,16,14,23,9,26,0.00,0,,197<br />
2015-2-15,26,19,11,-2,-3,-5,38,25,12,1015,1013,1012,16,16,16,21,9,23,0.00,0,,191<br />
