
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,8,3,-3,-5,-9,-11,63,45,26,1025,1022,1019,16,16,16,34,13,39,0.00,3,,209<br />
2015-1-2,9,6,2,-2,-4,-7,64,48,31,1031,1026,1020,16,16,16,19,5,24,0.00,7,,331<br />
2015-1-3,6,3,1,3,2,-4,86,73,59,1033,1027,1020,16,7,1,14,5,16,12.70,8,Fog-Rain,25<br />
2015-1-4,19,13,6,13,7,-1,89,68,46,1020,1012,1007,16,13,4,42,20,63,5.08,8,Rain,219<br />
2015-1-5,11,5,-2,-2,-11,-18,49,35,20,1032,1026,1016,16,16,16,45,23,63,0.00,5,,311<br />
2015-1-6,0,-2,-4,-7,-9,-16,81,55,28,1030,1026,1020,16,9,0,23,8,29,5.08,7,Snow,63<br />
2015-1-7,-1,-5,-9,-8,-15,-23,68,49,30,1032,1023,1017,16,16,16,48,25,64,T,5,Snow,297<br />
2015-1-8,-3,-7,-11,-17,-20,-22,42,36,29,1036,1032,1023,16,16,16,39,18,50,0.00,3,,258<br />
2015-1-9,6,1,-3,-12,-14,-16,42,34,25,1027,1021,1017,16,16,16,45,20,56,0.00,4,,261<br />
2015-1-10,-1,-4,-7,-14,-18,-21,43,32,21,1037,1034,1028,16,16,16,32,13,40,0.00,0,,321<br />
2015-1-11,6,0,-6,-4,-10,-14,68,48,27,1039,1036,1033,16,16,16,16,8,19,T,7,Rain,166<br />
2015-1-12,6,4,2,3,1,-4,89,74,59,1033,1025,1020,16,7,1,19,7,23,19.05,8,Rain,180<br />
2015-1-13,6,2,-2,2,-7,-12,73,54,35,1035,1032,1026,16,16,14,35,19,47,T,7,,16<br />
2015-1-14,1,-1,-3,-6,-7,-12,75,61,46,1033,1028,1024,16,14,5,21,13,24,T,8,Snow,359<br />
2015-1-15,6,3,0,-3,-5,-7,75,60,45,1024,1021,1017,16,16,14,19,9,37,0.00,5,,288<br />
2015-1-16,9,3,-3,-3,-5,-8,85,61,36,1025,1018,1015,16,15,11,40,16,53,0.00,2,,271<br />
2015-1-17,4,1,-2,-3,-9,-13,70,55,40,1031,1027,1022,16,16,16,32,14,39,0.00,3,,140<br />
2015-1-18,7,4,1,4,1,-3,89,74,58,1022,1012,1007,16,9,2,35,8,45,15.24,7,Rain,268<br />
2015-1-19,10,6,1,-1,-3,-6,76,55,34,1016,1014,1012,16,16,16,27,10,74,0.00,6,,274<br />
2015-1-20,10,5,-1,-1,-2,-4,82,62,42,1018,1015,1013,16,16,16,14,3,32,0.00,6,,29<br />
2015-1-21,4,3,1,0,-2,-3,89,77,64,1022,1020,1019,16,8,1,21,7,24,2.03,8,Fog-Rain-Snow,57<br />
2015-1-22,9,6,2,1,-2,-4,89,64,39,1029,1026,1023,16,11,3,37,13,47,T,6,Rain,266<br />
2015-1-23,6,3,-1,1,-2,-5,85,67,49,1029,1022,1011,16,12,4,21,8,26,16.51,7,Rain-Snow,156<br />
2015-1-24,7,5,3,1,0,-6,85,64,43,1011,1003,998,16,10,2,42,15,58,12.19,7,Rain,345<br />
2015-1-25,11,7,2,0,-2,-3,64,53,41,1011,1010,1006,16,16,16,24,10,35,0.00,7,,209<br />
2015-1-26,8,3,-2,2,-2,-5,79,66,53,1010,1008,1006,16,10,4,35,21,42,5.33,8,Rain-Snow,26<br />
2015-1-27,3,1,-1,-4,-6,-10,78,65,51,1015,1010,1007,16,14,6,35,24,52,0.25,6,Snow,328<br />
2015-1-28,4,0,-4,-10,-13,-15,53,40,27,1028,1023,1016,16,16,16,37,22,45,0.00,1,,325<br />
2015-1-29,4,1,-3,-3,-9,-14,70,51,32,1028,1022,1013,16,16,11,23,9,29,1.27,6,Rain-Snow,168<br />
2015-1-30,6,1,-5,-2,-8,-16,64,47,29,1025,1018,1013,16,14,4,50,25,66,T,5,Snow,317<br />
2015-1-31,2,-2,-7,-7,-14,-17,63,46,28,1028,1026,1025,16,16,16,40,15,56,0.00,1,,314<br />
2015-2-1,7,2,-3,-1,-7,-9,75,54,33,1026,1021,1010,16,16,10,14,6,16,1.02,8,Rain-Snow,168<br />
2015-2-2,10,4,-3,4,-3,-14,85,62,39,1021,1004,997,16,12,4,58,20,72,2.29,6,Rain,352<br />
2015-2-3,4,0,-4,-9,-13,-15,52,36,13,1029,1026,1021,16,16,16,35,15,47,0.00,3,,275<br />
2015-2-4,13,6,-2,-3,-5,-8,63,48,32,1026,1020,1013,16,16,16,27,14,37,0.00,7,,185<br />
2015-2-5,7,1,-6,-2,-12,-19,59,42,25,1028,1020,1012,16,16,16,50,27,66,0.00,4,,318<br />
2015-2-6,3,-2,-8,-7,-16,-19,54,39,24,1028,1025,1022,16,16,16,27,11,34,0.00,3,,232<br />
2015-2-7,10,3,-3,-4,-8,-12,63,42,20,1023,1019,1014,16,16,16,21,6,26,0.00,7,,159<br />
2015-2-8,20,11,2,-1,-3,-5,75,50,24,1014,1011,1007,16,16,16,24,7,26,0.00,7,,57<br />
2015-2-9,7,4,1,2,0,-2,85,69,53,1015,1013,1009,16,8,2,26,17,29,1.78,8,Rain,41<br />
2015-2-10,4,3,1,-2,-3,-6,82,71,59,1018,1016,1014,16,15,8,34,24,42,0.51,7,Rain-Snow,7<br />
2015-2-11,8,3,-2,-4,-7,-8,69,50,31,1020,1016,1013,16,16,16,29,12,35,0.00,3,,52<br />
2015-2-12,7,0,-7,-1,-7,-19,75,53,30,1021,1013,1010,16,16,10,56,21,72,T,6,Snow,280<br />
2015-2-13,-1,-5,-9,-14,-18,-20,46,36,25,1027,1024,1021,16,16,16,45,21,60,0.00,2,,298<br />
2015-2-14,7,0,-8,-2,-11,-21,64,46,27,1020,1007,998,16,13,0,63,22,84,T,7,Snow,245<br />
2015-2-15,-6,-8,-12,-22,-23,-24,38,33,28,1028,1021,1012,16,16,16,63,35,90,0.00,1,,313<br />
