
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,0,-4,-9,-3,-9,-13,85,64,43,1017,1014,1010,16,12,2,50,27,63,0.76,8,Snow,244<br />
2015-1-2,0,-3,-7,-6,-8,-9,77,68,58,1031,1023,1015,16,16,14,39,18,52,T,7,Snow,273<br />
2015-1-3,6,-1,-7,3,-3,-9,96,80,63,1032,1022,1010,16,10,2,32,16,45,12.95,7,Rain,131<br />
2015-1-4,14,7,-1,10,4,-5,89,80,70,1012,1005,1000,16,14,2,64,27,92,3.30,8,Rain-Snow,252<br />
2015-1-5,-1,-6,-12,-6,-15,-20,81,64,46,1031,1024,1012,16,14,2,50,30,69,0.25,5,Snow,270<br />
2015-1-6,-7,-9,-11,-11,-13,-18,88,71,53,1029,1021,1012,16,9,2,27,18,34,1.52,7,Snow,232<br />
2015-1-7,-8,-12,-16,-12,-17,-22,86,72,58,1029,1020,1010,16,5,0,50,27,66,2.29,7,Snow,290<br />
2015-1-8,-8,-12,-16,-14,-19,-22,86,61,36,1028,1023,1011,16,14,2,47,27,61,T,6,Snow,239<br />
2015-1-9,-5,-8,-11,-9,-14,-18,84,65,45,1023,1012,1006,16,10,1,48,27,61,1.52,6,Snow,245<br />
2015-1-10,-8,-11,-14,-14,-18,-22,80,64,48,1032,1028,1023,16,14,3,42,23,50,T,5,Snow,240<br />
2015-1-11,1,-5,-11,-4,-14,-19,53,46,39,1033,1030,1027,16,15,3,29,12,39,T,7,Snow,202<br />
2015-1-12,1,-3,-8,-1,-4,-12,100,84,68,1034,1026,1022,14,6,1,34,14,45,6.10,8,Snow,295<br />
2015-1-13,-8,-13,-18,-12,-16,-19,87,77,66,1044,1039,1033,16,8,2,32,12,39,1.02,6,Snow,35<br />
2015-1-14,-4,-13,-23,-14,-19,-26,88,64,40,1036,1029,1024,16,16,14,21,7,26,0.00,2,,238<br />
2015-1-15,-1,-8,-15,-7,-13,-17,86,63,39,1025,1019,1009,16,16,14,42,15,58,T,7,Snow,227<br />
2015-1-16,-1,-8,-16,-3,-9,-18,85,67,49,1027,1015,1007,16,9,0,42,23,56,4.06,7,Fog-Snow,294<br />
2015-1-17,1,-9,-20,-7,-15,-22,88,67,46,1029,1021,1010,16,16,13,37,12,52,0.00,4,,176<br />
2015-1-18,5,3,1,1,-2,-7,92,72,52,1009,1007,1006,16,16,14,32,19,43,0.51,7,Rain-Snow,225<br />
2015-1-19,2,-2,-5,-1,-5,-9,89,76,63,1015,1012,1007,16,15,5,39,20,52,0.25,8,Snow,300<br />
2015-1-20,-5,-9,-14,8,-11,-16,88,73,57,1022,1017,1013,16,14,3,19,9,23,0.25,5,Snow,308<br />
