
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,16,9,1,7,3,1,92,64,36,1029,1027,1025,16,11,1,13,3,21,T,4,,53<br />
2015-1-2,18,14,9,11,8,4,77,64,51,1027,1026,1025,16,16,16,14,6,16,T,8,Rain,51<br />
2015-1-3,23,19,14,20,14,8,93,80,67,1026,1024,1022,16,14,1,26,11,32,T,8,Rain,103<br />
2015-1-4,25,21,16,20,18,12,93,81,69,1024,1021,1019,16,14,1,32,15,42,13.21,7,Fog-Rain,214<br />
2015-1-5,16,10,4,9,4,2,83,62,40,1031,1029,1025,16,16,16,32,13,40,0.00,5,,308<br />
2015-1-6,18,11,3,4,2,-3,92,59,25,1030,1026,1022,16,16,16,32,9,37,0.00,1,,267<br />
2015-1-7,15,9,2,1,-3,-12,82,55,28,1030,1023,1019,16,16,16,39,21,52,0.00,3,,296<br />
2015-1-8,2,-2,-7,-11,-16,-19,43,32,20,1037,1034,1030,16,16,16,40,16,53,0.00,2,,22<br />
2015-1-9,12,5,-2,-2,-8,-12,59,39,19,1030,1027,1024,16,16,16,26,13,32,T,7,Rain,308<br />
2015-1-10,12,6,0,-3,-6,-10,59,43,27,1034,1032,1028,16,16,16,24,13,32,0.00,3,,30<br />
2015-1-11,16,11,5,11,5,-4,89,69,49,1034,1031,1028,16,15,8,23,13,27,T,8,Rain,35<br />
2015-1-12,16,13,10,14,12,9,100,94,87,1027,1024,1021,14,4,0,24,5,29,48.01,8,Fog-Rain,358<br />
2015-1-13,14,11,7,13,12,6,100,93,86,1025,1023,1020,16,6,0,23,10,29,0.76,8,Fog-Rain,23<br />
2015-1-14,8,7,5,6,4,2,96,86,76,1025,1024,1022,16,14,3,24,15,29,T,8,,351<br />
2015-1-15,7,6,4,4,3,2,89,83,76,1024,1023,1021,16,15,13,16,8,21,1.27,8,Rain,333<br />
2015-1-16,13,8,3,4,3,2,100,76,51,1024,1021,1019,16,14,8,23,8,29,0.25,5,Rain,306<br />
2015-1-17,17,9,1,8,4,-1,96,74,51,1027,1024,1021,16,14,1,16,6,21,0.00,4,,50<br />
2015-1-18,20,13,6,9,5,-1,100,65,29,1020,1018,1015,16,13,2,42,14,50,T,3,Fog-Rain,282<br />
2015-1-19,20,11,2,0,-2,-3,76,49,21,1023,1020,1018,16,16,16,23,7,29,0.00,1,,245<br />
2015-1-20,20,11,2,6,3,-1,76,55,34,1020,1017,1015,16,16,16,24,7,32,0.00,4,,228<br />
2015-1-21,22,14,6,9,6,4,89,60,31,1021,1018,1016,16,16,16,29,7,37,0.00,1,,276<br />
2015-1-22,20,12,4,10,5,-1,89,57,24,1026,1023,1021,16,16,16,16,5,21,0.00,5,,48<br />
2015-1-23,18,15,11,17,13,6,100,83,66,1023,1015,1007,16,11,2,45,19,61,16.00,8,Rain,123<br />
2015-1-24,19,13,6,18,10,0,100,70,40,1015,1007,1002,16,13,3,48,24,60,25.15,6,Rain,249<br />
2015-1-25,17,9,2,6,1,-2,83,55,27,1017,1014,1010,16,16,16,26,12,34,0.00,1,,235<br />
2015-1-26,14,9,4,7,3,-2,93,70,47,1012,1008,1006,16,16,16,42,24,56,0.00,4,,266<br />
2015-1-27,13,8,2,-1,-2,-3,70,53,35,1018,1013,1011,16,16,16,39,18,50,0.00,2,,294<br />
2015-1-28,12,6,-1,-1,-4,-9,78,50,22,1028,1024,1018,16,16,16,27,10,37,0.00,0,,345<br />
2015-1-29,16,7,-2,7,2,-3,92,68,43,1029,1026,1022,16,16,16,23,7,34,0.00,6,,181<br />
2015-1-30,16,10,3,7,2,-3,80,54,27,1026,1022,1018,16,16,16,37,16,52,0.00,4,,292<br />
