
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,0,-3,-7,-6,-9,-15,77,65,53,1017,1013,1009,16,12,2,64,39,85,T,8,Snow,242<br />
2015-1-2,1,-2,-6,-7,-9,-10,74,60,45,1031,1024,1016,16,16,14,47,21,61,T,6,Snow,265<br />
2015-1-3,9,2,-6,7,-3,-10,96,80,63,1030,1020,1008,16,9,2,24,14,29,14.73,8,Rain-Snow,89<br />
2015-1-4,13,6,-2,10,5,-7,100,89,78,1014,1005,1001,16,9,0,61,28,82,13.21,8,Fog-Rain-Snow,238<br />
2015-1-5,-2,-7,-13,-8,-16,-20,77,65,52,1032,1025,1016,16,14,2,50,31,71,T,4,Snow,272<br />
2015-1-6,-8,-10,-12,-12,-14,-19,83,69,54,1029,1021,1013,16,10,1,35,17,50,0.51,7,Snow,237<br />
2015-1-7,-8,-12,-17,-13,-18,-23,83,69,54,1030,1021,1012,16,7,0,48,27,64,0.76,6,Fog-Snow,304<br />
2015-1-8,-9,-12,-15,-12,-17,-21,88,67,46,1028,1021,1008,16,8,0,56,31,72,3.05,7,Snow,233<br />
2015-1-9,-7,-10,-13,-9,-13,-19,92,74,56,1023,1011,1005,16,7,0,48,31,64,10.16,5,Snow-Thunderstorm,246<br />
2015-1-10,-8,-11,-15,-12,-17,-22,80,67,53,1031,1028,1024,16,9,0,47,29,60,2.03,6,Snow,239<br />
2015-1-11,-1,-5,-10,-2,-12,-18,69,56,42,1031,1029,1025,16,14,2,34,19,47,0.76,8,Snow,210<br />
2015-1-12,-1,-5,-9,-2,-4,-14,92,77,61,1035,1025,1022,16,5,0,40,18,50,8.64,8,Fog-Snow,273<br />
2015-1-13,-9,-13,-17,-14,-17,-19,95,79,63,1043,1039,1035,16,12,3,26,13,32,T,4,Snow,40<br />
2015-1-14,-6,-13,-20,-11,-16,-23,88,69,49,1034,1027,1023,16,16,13,29,13,37,T,3,,198<br />
2015-1-15,-2,-6,-10,-6,-11,-14,80,68,55,1024,1017,1009,16,14,3,50,26,64,T,7,Snow,232<br />
2015-1-16,-1,-7,-14,-4,-11,-17,85,63,41,1027,1016,1008,16,12,2,56,22,68,T,6,Snow,282<br />
2015-1-17,5,-6,-17,-4,-12,-20,87,67,46,1027,1019,1007,16,16,16,35,16,45,0.00,4,,153<br />
2015-1-18,7,4,1,1,-1,-4,89,67,45,1009,1006,1004,16,12,3,47,28,63,1.02,8,Rain-Snow,230<br />
2015-1-19,1,-2,-6,-2,-6,-10,89,79,68,1015,1012,1008,16,14,6,32,20,39,T,8,Snow,283<br />
2015-1-20,-5,-8,-11,-10,-12,-14,80,71,62,1021,1017,1013,16,15,8,16,8,21,T,5,Snow,333<br />
