
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,3,2,1,1,-2,-6,93,76,55,1031,1027,1025,16,13,5,11,3,,4.06,8,Rain,129<br />
2015-1-2,6,4,1,5,3,1,93,88,81,1026,1022,1015,11,5,2,14,10,,13.97,8,Rain,50<br />
2015-1-3,12,9,7,10,7,3,93,85,76,1017,1012,1009,16,6,0,37,13,47,35.31,8,Fog-Rain,236<br />
2015-1-4,6,1,-4,3,-4,-12,89,64,45,1040,1029,1017,16,16,16,35,18,47,0.00,4,,289<br />
2015-1-5,1,-2,-6,-7,-11,-13,75,57,39,1043,1037,1030,16,16,16,23,10,29,0.00,1,,71<br />
2015-1-6,11,4,-3,-2,-4,-7,85,62,32,1032,1030,1029,16,16,16,14,3,,0.00,1,,109<br />
2015-1-7,3,-3,-8,-3,-12,-21,78,53,27,1047,1041,1031,16,16,16,40,18,58,0.00,3,,8<br />
2015-1-8,1,-6,-12,-13,-18,-20,58,41,24,1046,1035,1027,16,16,16,26,10,32,0.00,1,,197<br />
2015-1-9,2,-1,-4,-12,-14,-17,63,39,21,1036,1033,1029,16,16,16,23,11,29,0.00,2,,321<br />
2015-1-10,1,-3,-8,-9,-13,-16,57,44,31,1037,1034,1030,16,16,16,13,8,,0.00,4,,93<br />
2015-1-11,3,1,-1,2,-1,-8,93,82,48,1030,1027,1022,16,11,3,16,5,,12.70,8,Rain,75<br />
2015-1-12,6,4,2,3,1,-4,92,78,64,1033,1026,1022,16,10,3,27,14,39,0.51,8,,356<br />
2015-1-13,2,-2,-5,-5,-7,-9,85,64,50,1035,1033,1031,16,16,16,24,16,35,0.00,5,,38<br />
2015-1-14,4,-1,-6,-4,-7,-8,88,64,40,1032,1029,1026,16,16,16,14,5,23,0.00,5,,45<br />
2015-1-15,11,6,0,-3,-4,-6,78,55,32,1027,1025,1024,16,16,16,19,4,24,T,5,,284<br />
2015-1-16,16,7,-3,-2,-3,-5,85,55,25,1027,1024,1021,16,16,16,21,7,26,0.00,1,,218<br />
2015-1-17,18,10,2,3,0,-2,79,55,28,1021,1018,1014,16,16,16,26,10,42,0.00,2,,219<br />
2015-1-18,20,11,2,-1,-5,-11,70,41,11,1025,1021,1018,16,16,16,26,14,37,0.00,1,,236<br />
2015-1-19,20,10,0,1,-2,-6,65,45,24,1019,1016,1014,16,16,16,24,10,32,0.00,4,,237<br />
