
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,3,-2,-7,-6,-11,-16,59,47,35,1027,1024,1020,16,16,16,32,17,42,0.00,5,,226<br />
2015-1-2,3,1,-1,-1,-3,-7,75,69,63,1028,1026,1024,16,14,10,16,8,19,T,8,Rain,178<br />
2015-1-3,17,9,2,13,5,-1,89,81,72,1023,1016,1008,16,7,1,45,17,61,22.86,8,Rain,152<br />
2015-1-4,16,6,-5,12,4,-9,86,76,66,1030,1013,1006,16,13,2,50,26,66,6.86,8,Rain-Snow,253<br />
2015-1-5,-5,-8,-11,-11,-14,-17,74,60,45,1038,1034,1029,16,14,3,40,16,48,0.25,6,Snow,247<br />
2015-1-6,-2,-5,-8,-9,-11,-15,73,64,55,1027,1026,1024,16,16,14,34,14,45,T,8,Snow,289<br />
2015-1-7,-8,-12,-17,-14,-18,-23,69,59,48,1043,1033,1025,16,13,3,40,27,52,0.51,6,Snow,302<br />
2015-1-8,-4,-11,-19,-17,-21,-23,72,56,39,1042,1031,1017,16,16,14,40,18,56,T,6,Snow,219<br />
2015-1-9,-4,-8,-13,-10,-17,-20,67,52,36,1033,1025,1017,16,14,3,42,25,64,T,4,Snow,273<br />
2015-1-10,-4,-11,-17,-16,-19,-21,79,56,33,1037,1034,1032,16,16,16,27,9,32,0.00,1,,220<br />
2015-1-11,4,-2,-8,-1,-10,-17,82,56,30,1031,1029,1026,16,14,6,24,10,27,4.57,7,Rain,185<br />
2015-1-12,3,0,-3,1,-2,-8,89,79,69,1032,1025,1023,14,6,1,34,14,42,6.60,8,Rain,4<br />
2015-1-13,-2,-4,-6,-8,-11,-12,68,59,50,1036,1033,1030,16,16,11,32,18,42,T,7,Snow,43<br />
2015-1-14,-2,-4,-7,-9,-11,-12,74,64,53,1029,1027,1025,16,14,6,21,6,23,T,7,Snow,306<br />
2015-1-15,4,-1,-7,-7,-9,-12,74,52,30,1025,1022,1019,16,15,11,21,9,27,0.00,3,,225<br />
2015-1-16,5,1,-4,-2,-4,-6,92,74,55,1024,1022,1019,16,9,4,21,8,29,0.00,3,,200<br />
2015-1-17,12,4,-3,-1,-3,-5,85,62,38,1022,1016,1009,16,13,6,39,20,58,0.00,3,,190<br />
2015-1-18,10,6,2,3,0,-3,92,66,39,1017,1012,1009,16,15,10,35,16,48,2.03,7,Rain,246<br />
2015-1-19,11,3,-4,1,-3,-6,92,65,38,1017,1015,1013,16,16,13,16,3,21,0.00,3,,280<br />
2015-1-20,13,7,2,0,-2,-2,76,57,38,1014,1013,1011,16,16,14,23,5,27,0.00,6,,23<br />
2015-1-21,10,6,1,2,-1,-3,89,66,42,1023,1017,1014,16,13,6,42,15,53,0.00,6,,263<br />
2015-1-22,2,2,1,-1,-3,-4,82,73,64,1031,1028,1023,16,16,13,40,9,45,T,8,,334<br />
2015-1-23,3,2,0,-3,-4,-4,75,67,59,1029,1021,1012,16,14,11,16,8,21,0.00,8,,25<br />
2015-1-24,6,1,-4,-2,-4,-6,81,68,55,1011,1009,1006,16,13,11,32,14,48,0.00,6,,261<br />
2015-1-25,5,2,-1,3,1,-2,92,81,70,1008,1006,1004,16,10,3,37,13,40,12.45,8,Rain-Snow,131<br />
2015-1-26,-1,-3,-7,-4,-7,-9,92,78,63,1014,1011,1006,16,13,2,37,18,45,0.51,7,Snow,347<br />
2015-1-27,-1,-4,-7,-9,-10,-11,77,62,47,1025,1019,1013,16,14,8,23,12,29,T,4,Snow,32<br />
2015-1-28,2,-4,-10,-7,-9,-12,88,68,47,1029,1026,1021,16,13,6,26,10,37,0.00,3,,144<br />
2015-1-29,10,5,-1,3,-1,-7,89,73,56,1023,1016,1010,16,11,4,47,27,63,2.79,8,Rain,260<br />
2015-1-30,2,-2,-7,-3,-8,-11,82,66,49,1032,1029,1023,16,15,11,35,14,53,T,5,Snow,333<br />
2015-1-31,3,-3,-9,-2,-8,-11,88,68,48,1031,1028,1024,16,16,11,21,7,27,0.25,5,Rain,205<br />
2015-2-1,8,4,1,7,2,-5,93,72,50,1023,1009,1000,16,10,2,34,19,47,7.11,8,Rain,178<br />
2015-2-2,6,-1,-7,2,-8,-12,85,71,57,1026,1015,1001,16,14,4,42,22,50,T,7,Snow,304<br />
2015-2-3,2,-2,-7,-6,-8,-10,77,65,52,1027,1025,1022,16,16,13,26,13,34,0.00,6,,209<br />
2015-2-4,9,3,-4,-1,-4,-7,92,69,45,1023,1019,1016,16,12,1,39,18,48,1.78,6,Rain-Snow,272<br />
2015-2-5,-4,-8,-12,-8,-13,-15,81,64,46,1032,1029,1023,16,16,11,8,13,10,T,2,,344<br />
2015-2-6,1,-6,-13,-7,-11,-15,83,64,45,1029,1026,1021,16,16,14,23,11,32,0.00,5,,199<br />
2015-2-7,14,6,-3,1,-4,-11,58,49,40,1021,1014,1009,16,16,16,34,18,45,0.00,4,,199<br />
2015-2-8,15,12,8,9,4,-2,89,66,42,1009,1008,1006,16,14,4,37,18,52,0.25,7,,212<br />
2015-2-9,11,4,-3,9,-1,-8,96,86,75,1021,1014,1008,16,5,0,32,22,39,0.25,8,Snow,351<br />
2015-2-10,2,-2,-5,-6,-7,-8,88,72,56,1024,1022,1020,16,13,5,29,13,34,0.00,6,,42<br />
2015-2-11,8,2,-5,0,-4,-7,96,75,53,1021,1018,1015,16,11,0,34,14,42,T,7,,252<br />
2015-2-12,0,-3,-7,-6,-11,-14,77,62,46,1030,1023,1016,16,13,2,47,26,56,0.25,8,Snow,312<br />
2015-2-13,-1,-6,-12,-10,-12,-13,84,62,39,1030,1026,1017,16,14,2,24,10,34,T,6,Snow,260<br />
2015-2-14,2,-5,-12,-4,-12,-19,69,56,43,1028,1015,1008,16,11,0,69,32,85,T,8,Snow,292<br />
2015-2-15,-7,-11,-14,-17,-20,-24,76,51,25,1034,1031,1028,16,16,16,29,15,39,0.00,3,,347<br />
2015-2-16,-11,-13,-16,-14,-16,-19,88,70,51,1029,1020,1014,16,4,0,24,16,27,9.65,8,Snow,54<br />
2015-2-17,-4,-13,-22,-12,-17,-23,90,71,52,1019,1016,1014,16,14,2,23,8,32,0.00,4,Fog,239<br />
2015-2-18,-7,-12,-16,-10,-14,-21,88,71,53,1024,1013,1008,16,7,0,42,24,53,4.83,6,Fog-Snow,278<br />
2015-2-19,-14,-18,-21,-22,-24,-25,75,60,45,1030,1027,1022,16,16,14,32,16,42,0.00,3,,274<br />
2015-2-20,-6,-15,-24,-15,-22,-26,83,63,42,1032,1028,1019,16,16,14,27,14,34,0.00,4,,164<br />
2015-2-21,1,-2,-6,0,-3,-14,96,72,47,1020,1014,1011,16,4,0,23,11,32,21.59,8,Fog-Rain-Snow,164<br />
2015-2-22,1,-3,-7,-3,-7,-11,92,76,60,1033,1026,1021,16,9,3,24,11,34,0.00,8,,334<br />
2015-2-23,-6,-11,-16,-12,-18,-20,71,57,43,1038,1035,1030,16,16,14,37,17,42,0.00,4,,20<br />
2015-2-24,-2,-12,-22,-13,-18,-23,91,63,34,1029,1019,1011,16,16,13,29,13,40,0.00,3,,207<br />
2015-2-25,2,-4,-10,-8,-9,-12,73,58,43,1016,1013,1011,16,16,16,24,9,34,0.00,7,,328<br />
2015-2-26,-2,-7,-12,-9,-12,-16,74,66,58,1029,1019,1012,16,14,5,27,18,39,T,7,Snow,352<br />
2015-2-27,-4,-10,-16,-14,-17,-18,80,60,39,1039,1035,1029,16,15,10,21,7,24,T,4,Snow,336<br />
2015-2-28,-2,-7,-12,-9,-14,-18,61,52,42,1042,1038,1032,16,16,4,16,11,23,T,7,Snow,85<br />
2015-3-1,2,-1,-4,0,-3,-8,92,87,81,1032,1028,1025,14,6,1,24,9,29,3.56,8,Rain-Snow,188<br />
2015-3-2,2,-2,-6,-4,-8,-11,85,63,40,1034,1031,1027,16,15,11,34,12,40,0.00,6,,350<br />
2015-3-3,10,4,-3,9,1,-10,100,79,57,1025,1014,1008,16,8,0,34,16,45,29.97,8,Fog-Rain,198<br />
2015-3-4,4,-1,-6,4,-1,-9,100,91,82,1024,1016,1011,11,4,1,35,14,40,24.38,8,Fog-Rain-Snow,323<br />
