
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,3,2,1,2,1,-3,97,90,73,1030,1025,1023,16,6,2,13,6,,17.53,8,Rain,26<br />
2015-1-2,5,4,3,4,3,2,97,94,89,1023,1020,1015,16,7,2,19,10,,7.87,8,Rain-Thunderstorm,5<br />
2015-1-3,12,8,4,4,3,2,100,83,59,1020,1014,1011,16,13,3,16,10,,15.75,5,Rain-Thunderstorm,279<br />
2015-1-4,6,2,-2,1,-5,-9,79,62,45,1039,1032,1021,16,16,16,32,21,53,0.00,1,,340<br />
2015-1-5,8,2,-4,-3,-7,-10,66,52,34,1040,1035,1028,16,16,16,21,8,,0.00,4,,144<br />
2015-1-6,14,7,1,2,-1,-3,78,61,39,1030,1028,1027,16,16,16,16,8,,0.00,2,,58<br />
2015-1-7,4,0,-5,-2,-10,-18,72,46,24,1046,1039,1029,16,16,16,45,21,61,0.00,2,,360<br />
2015-1-8,3,-2,-8,-8,-13,-18,57,43,32,1044,1033,1026,16,16,16,27,13,32,0.00,2,,158<br />
2015-1-9,3,1,-1,-7,-11,-14,64,43,29,1036,1033,1028,16,16,16,24,11,,0.00,7,,23<br />
2015-1-10,3,1,-1,0,-7,-15,93,59,32,1035,1031,1027,16,14,4,16,13,,2.29,8,Rain,137<br />
2015-1-11,6,3,1,5,2,0,100,93,87,1026,1023,1019,13,6,2,21,14,,18.03,8,Rain,132<br />
2015-1-12,7,4,2,5,2,-3,96,81,70,1032,1027,1022,16,12,3,27,14,42,0.00,8,,10<br />
2015-1-13,4,2,0,-1,-2,-3,93,77,67,1033,1031,1029,16,10,3,23,16,32,0.00,8,,352<br />
2015-1-14,6,4,3,-1,-3,-7,76,59,46,1030,1028,1025,16,16,16,16,8,,0.00,8,,337<br />
2015-1-15,13,7,2,1,-2,-8,77,54,39,1028,1026,1025,16,16,14,14,8,,0.00,2,,318<br />
2015-1-16,17,9,1,3,1,-2,82,60,30,1027,1024,1020,16,14,10,21,5,,0.00,5,,183<br />
2015-1-17,21,13,6,4,2,-1,80,54,24,1024,1018,1014,16,16,16,27,14,42,0.00,1,,239<br />
2015-1-18,21,11,1,1,-2,-4,82,47,19,1027,1023,1019,16,16,16,21,5,,0.00,1,,194<br />
2015-1-19,21,13,5,4,1,-2,71,45,27,1018,1015,1013,16,16,16,14,10,,0.00,1,,159<br />
2015-1-20,22,14,7,9,5,-2,86,60,36,1020,1015,1013,16,15,8,21,8,35,0.00,2,,63<br />
2015-1-21,17,11,5,8,2,-1,90,57,32,1023,1021,1020,16,15,5,24,14,34,8.38,7,Rain,64<br />
2015-1-22,8,6,4,7,4,2,93,87,82,1026,1024,1021,16,11,4,32,21,50,28.19,8,Rain,39<br />
2015-1-23,11,8,5,3,0,-3,82,63,37,1026,1023,1021,16,16,16,29,14,39,0.00,5,,325<br />
2015-1-24,16,9,2,3,1,-1,85,60,36,1022,1020,1015,16,16,16,19,8,,0.00,3,,266<br />
2015-1-25,18,11,4,3,-1,-4,79,49,22,1023,1017,1014,16,16,16,40,11,53,0.00,1,,300<br />
2015-1-26,22,12,3,3,1,-2,75,49,29,1024,1021,1018,16,16,16,16,5,,0.00,2,,243<br />
2015-1-27,26,16,7,6,4,2,76,49,21,1022,1020,1018,16,16,16,14,3,,0.00,2,,195<br />
2015-1-28,27,18,9,7,5,3,77,45,24,1020,1017,1015,16,16,16,24,10,37,0.00,2,,172<br />
2015-1-29,21,16,10,6,3,-1,66,43,31,1032,1024,1017,16,16,16,32,16,45,0.00,6,,357<br />
2015-1-30,14,10,6,-1,-2,-3,60,45,34,1033,1030,1026,16,16,16,21,14,,0.00,7,,75<br />
2015-1-31,12,10,8,11,5,-2,93,72,44,1025,1018,1011,16,10,2,29,19,40,11.43,8,Rain,134<br />
2015-2-1,15,9,2,14,8,-7,100,79,43,1027,1014,1010,16,11,2,40,14,58,6.60,6,Rain,278<br />
2015-2-2,5,1,-4,-6,-8,-10,63,52,41,1031,1028,1026,16,16,16,34,19,50,0.00,3,,340<br />
2015-2-3,12,7,1,1,-3,-5,70,52,35,1027,1024,1022,16,16,16,29,14,,0.00,7,,165<br />
2015-2-4,14,9,3,8,5,1,93,81,67,1026,1020,1016,16,11,4,42,16,55,0.00,7,Rain,226<br />
2015-2-5,2,1,-1,1,-3,-3,89,81,72,1032,1030,1027,14,9,5,29,19,47,0.00,8,,348<br />
2015-2-6,14,8,2,4,1,-3,76,63,45,1030,1026,1021,16,14,10,26,10,29,0.00,4,,180<br />
2015-2-7,21,13,6,9,7,4,89,67,44,1020,1015,1011,16,14,6,35,23,52,0.00,0,,174<br />
2015-2-8,23,17,11,12,10,9,93,69,43,1015,1011,1008,16,15,6,26,16,,0.00,1,,180<br />
2015-2-9,25,17,9,9,6,3,89,53,24,1021,1018,1016,16,16,16,21,6,32,0.00,0,,359<br />
2015-2-10,24,17,9,7,5,3,69,50,31,1018,1015,1011,16,16,11,34,16,39,0.00,0,,138<br />
2015-2-11,21,14,8,9,6,-1,77,59,41,1027,1019,1012,16,15,11,34,16,48,0.00,2,,60<br />
2015-2-12,14,8,3,-2,-4,-8,62,43,26,1032,1029,1027,16,16,16,26,16,37,0.00,2,,17<br />
2015-2-13,19,11,3,4,-1,-4,62,45,30,1028,1025,1021,16,16,16,19,10,29,0.00,1,,177<br />
2015-2-14,26,16,6,6,3,1,81,48,22,1024,1022,1018,16,16,13,14,5,,0.00,1,,208<br />
2015-2-15,22,17,13,14,12,7,86,70,52,1018,1015,1011,16,15,10,32,14,50,0.00,7,,170<br />
2015-2-16,9,4,-1,8,-2,-4,93,81,64,1023,1019,1012,16,13,3,34,26,48,7.87,7,Rain,348<br />
2015-2-17,12,6,-1,5,-1,-6,87,68,41,1026,1023,1021,16,13,1,42,11,60,1.52,6,Rain-Thunderstorm,331<br />
2015-2-18,14,7,1,2,-1,-6,93,59,36,1029,1026,1024,16,16,14,23,5,,0.00,1,,75<br />
2015-2-19,15,8,2,3,-2,-8,63,49,39,1029,1025,1018,16,16,16,27,18,29,0.00,2,,125<br />
2015-2-20,21,15,9,15,11,3,92,77,57,1017,1012,1005,16,13,5,40,26,58,0.00,8,,158<br />
2015-2-21,20,15,9,15,8,4,81,69,50,1017,1011,1005,16,16,13,37,23,50,0.00,7,,331<br />
2015-2-22,9,4,-1,5,2,-3,93,84,68,1033,1024,1017,16,9,1,35,19,48,31.75,8,Rain-Thunderstorm,27<br />
2015-2-23,-1,-2,-3,-4,-4,-6,93,85,74,1036,1033,1030,16,10,3,35,23,48,6.10,8,Rain-Snow,7<br />
2015-2-24,2,-1,-3,-2,-4,-6,88,78,64,1030,1025,1018,16,12,8,14,10,,0.00,8,,339<br />
2015-2-25,10,6,1,2,0,-1,96,85,54,1015,1013,1009,16,7,1,16,8,,15.49,6,Fog-Rain-Snow,160<br />
2015-2-26,4,2,-1,1,-6,-12,89,62,42,1031,1024,1014,16,14,6,37,19,50,0.00,7,Snow,9<br />
2015-2-27,-1,-2,-3,-4,-7,-12,88,75,43,1034,1031,1030,16,7,0,24,18,35,6.35,8,Fog-Rain-Snow,48<br />
2015-2-28,0,-2,-3,-1,-3,-5,93,88,82,1031,1028,1026,16,7,2,16,10,,3.56,8,Rain,55<br />
2015-3-1,3,2,1,2,1,-1,96,91,86,1029,1027,1026,16,7,1,21,10,,3.56,8,Rain,355<br />
2015-3-2,6,3,2,6,3,1,100,93,85,1030,1026,1021,10,4,0,19,11,29,1.27,8,Fog-Rain,28<br />
2015-3-3,12,8,5,11,9,4,100,96,87,1020,1013,1010,10,4,0,14,6,,4.57,8,Fog-Rain,171<br />
2015-3-4,12,4,-2,11,3,-4,100,91,79,1027,1018,1010,16,6,0,47,19,61,25.15,8,Fog-Rain-Snow-Thunderstorm,5<br />
2015-3-5,4,0,-4,-3,-6,-8,92,69,43,1037,1034,1028,16,12,0,32,21,45,4.32,2,Fog-Snow,360<br />
2015-3-6,11,3,-4,-2,-4,-6,86,56,30,1037,1034,1031,16,16,10,16,3,,0.00,1,,171<br />
2015-3-7,17,9,0,1,-2,-4,82,50,28,1032,1029,1025,16,16,14,21,6,,0.00,6,,175<br />
2015-3-8,11,9,8,8,6,-1,96,83,44,1024,1021,1019,16,9,2,24,13,,3.05,8,Rain,143<br />
2015-3-9,10,9,9,9,8,8,97,94,89,1019,1016,1012,14,6,2,16,10,,21.59,8,Rain,59<br />
2015-3-10,15,12,10,10,9,9,96,85,72,1021,1016,1013,16,11,1,16,10,34,0.00,8,,346<br />
2015-3-11,20,14,8,10,9,8,97,76,49,1025,1023,1021,16,15,8,23,6,34,0.00,6,,55<br />
2015-3-12,22,16,11,13,11,8,89,75,53,1023,1020,1016,16,15,11,19,10,39,0.00,6,,39<br />
2015-3-13,16,14,13,13,12,12,94,88,80,1017,1015,1014,16,13,3,27,13,35,6.10,8,Rain,341<br />
2015-3-14,18,15,13,12,11,9,93,75,60,1023,1019,1015,16,16,10,34,16,48,0.00,8,Rain,339<br />
2015-3-15,19,16,13,13,12,9,93,77,63,1027,1024,1022,16,15,5,16,10,,0.00,8,,353<br />
2015-3-16,27,19,11,13,12,9,96,66,37,1025,1022,1018,16,15,10,23,5,,0.00,5,,201<br />
2015-3-17,28,23,18,17,16,14,88,68,44,1021,1018,1016,16,16,16,24,10,,0.00,7,,207<br />
2015-3-18,20,17,14,13,12,11,87,77,63,1017,1016,1014,16,15,10,13,6,,0.76,7,Rain,337<br />
2015-3-19,24,20,16,17,16,13,100,86,66,1016,1014,1012,13,7,1,21,10,,0.00,8,,97<br />
2015-3-20,17,14,12,15,12,11,94,91,87,1022,1020,1015,16,11,3,23,13,32,6.86,8,Rain-Thunderstorm,5<br />
2015-3-21,17,14,12,13,12,11,96,88,78,1021,1019,1017,16,13,4,14,6,,1.27,8,Rain,41<br />
2015-3-22,22,17,12,12,11,11,96,83,53,1018,1016,1015,16,13,3,13,5,,3.05,6,Rain,333<br />
2015-3-23,25,18,12,12,12,10,93,68,42,1021,1017,1015,16,16,16,23,14,,0.00,1,,148<br />
2015-3-24,29,22,16,17,14,11,80,63,47,1014,1012,1009,16,16,16,27,23,45,0.00,1,,176<br />
2015-3-25,29,22,17,16,15,13,87,66,38,1013,1011,1007,16,16,16,34,21,50,0.00,4,,171<br />
2015-3-26,22,17,11,16,6,-2,84,57,26,1021,1017,1010,16,15,11,42,29,63,0.00,5,Rain-Thunderstorm,343<br />
2015-3-27,22,16,9,6,3,1,66,48,32,1022,1020,1019,16,16,16,23,8,37,0.00,3,,19<br />
2015-3-28,28,18,9,9,6,4,69,45,26,1021,1017,1014,16,16,16,23,14,27,0.00,1,,159<br />
2015-3-29,29,21,14,14,11,7,67,49,35,1018,1016,1013,16,16,16,29,19,47,0.00,1,,163<br />
2015-3-30,25,20,17,17,16,13,84,72,57,1022,1019,1016,16,16,16,24,14,,0.00,6,,145<br />
2015-3-31,30,24,19,18,17,15,87,67,46,1016,1014,1011,16,16,16,27,18,34,0.00,6,,190<br />
2015-4-1,28,23,19,19,17,16,90,73,56,1013,1011,1008,16,12,6,34,19,47,0.00,7,Rain-Thunderstorm,175<br />
2015-4-2,30,26,21,19,18,17,81,70,51,1012,1010,1007,16,13,8,42,26,53,0.00,5,,182<br />
2015-4-3,23,20,16,19,13,4,84,63,41,1025,1015,1010,16,14,5,37,23,47,0.00,7,,257<br />
2015-4-4,21,16,10,4,2,-1,57,40,24,1029,1026,1021,16,16,16,26,18,35,0.00,5,,69<br />
2015-4-5,17,13,11,14,11,3,100,86,39,1021,1017,1013,16,10,2,26,16,,13.21,8,Rain-Thunderstorm,131<br />
2015-4-6,29,21,15,18,17,14,97,77,51,1013,1012,1010,16,10,2,37,19,52,0.25,7,Rain,178<br />
2015-4-7,28,24,22,19,18,18,84,72,56,1015,1013,1011,16,14,10,32,21,48,0.00,6,,181<br />
2015-4-8,26,22,20,20,18,18,87,76,64,1014,1012,1007,16,13,8,29,23,48,0.00,7,Rain-Thunderstorm,179<br />
2015-4-9,29,24,21,19,17,6,87,69,38,1017,1010,1008,16,15,8,32,18,47,0.76,7,Rain-Thunderstorm,199<br />
2015-4-10,22,17,12,10,6,3,67,49,38,1023,1020,1017,16,16,14,26,18,39,0.00,7,,46<br />
2015-4-11,25,18,13,14,11,9,80,64,51,1021,1018,1014,16,16,14,24,14,34,0.00,7,,126<br />
2015-4-12,27,22,19,19,18,14,88,76,61,1015,1012,1009,16,14,8,29,16,40,0.00,7,,151<br />
2015-4-13,22,20,16,21,18,13,94,87,73,1018,1012,1009,16,9,1,29,21,39,26.16,8,Rain-Thunderstorm,88<br />
2015-4-14,16,15,14,14,12,11,93,83,75,1019,1017,1015,16,15,8,19,13,39,0.76,8,Rain-Thunderstorm,323<br />
2015-4-15,26,19,14,13,11,9,87,67,40,1016,1014,1012,16,16,16,21,11,,0.00,4,,240<br />
2015-4-16,26,21,16,18,16,13,86,74,57,1016,1014,1009,16,14,10,29,18,29,0.00,6,,129<br />
2015-4-17,23,19,16,18,16,14,96,83,68,1016,1014,1012,16,12,1,27,14,39,32.26,7,Rain-Thunderstorm,108<br />
2015-4-18,28,21,15,17,15,13,93,78,52,1014,1010,1006,16,12,1,48,10,71,15.24,6,Rain-Thunderstorm,56<br />
2015-4-19,25,19,13,17,13,7,93,70,36,1013,1007,1006,16,16,16,39,16,52,0.00,3,,236<br />
2015-4-20,22,15,9,8,4,1,77,49,26,1017,1015,1013,16,16,16,24,14,45,0.00,2,,354<br />
2015-4-21,24,17,12,12,9,6,74,60,45,1017,1015,1011,16,16,10,32,13,37,1.02,4,Rain-Thunderstorm,126<br />
2015-4-22,26,21,16,18,16,12,87,72,60,1015,1012,1010,16,16,11,24,16,32,0.00,5,Rain,116<br />
2015-4-23,23,21,19,19,18,17,96,86,76,1014,1012,1010,16,10,1,34,18,40,15.75,8,Rain-Thunderstorm,103<br />
