
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,14,7,0,3,-2,-6,78,53,28,1029,1027,1025,16,16,16,16,7,26,1.78,5,Rain,316<br />
2015-1-2,9,8,6,8,7,3,93,85,76,1027,1026,1024,16,10,2,21,6,26,24.13,8,Rain,84<br />
2015-1-3,17,13,9,16,10,7,100,93,86,1025,1022,1019,16,3,0,23,14,29,4.06,8,Fog-Rain,114<br />
2015-1-4,19,13,7,17,13,2,97,72,46,1027,1019,1016,16,11,1,37,18,53,41.66,8,Fog-Rain-Thunderstorm,227<br />
2015-1-5,9,5,1,2,-3,-7,76,54,31,1034,1030,1027,16,16,16,42,19,53,0.00,5,,331<br />
2015-1-6,12,6,-1,-2,-4,-6,72,51,29,1029,1027,1024,16,16,16,37,14,47,0.00,2,,293<br />
2015-1-7,5,-2,-9,-3,-9,-19,66,53,39,1036,1027,1024,16,16,16,52,30,69,0.00,3,,326<br />
2015-1-8,1,-6,-12,-15,-18,-19,63,43,23,1037,1034,1029,16,16,16,34,12,45,0.00,1,,81<br />
2015-1-9,5,0,-6,-9,-12,-16,52,40,27,1029,1028,1026,16,16,16,27,13,37,0.00,4,,300<br />
2015-1-10,8,1,-6,-10,-13,-16,45,33,21,1035,1032,1030,16,16,16,32,11,39,0.00,2,,41<br />
2015-1-11,7,3,-2,2,-5,-11,92,63,34,1034,1032,1029,16,14,1,29,17,34,2.03,7,Rain,85<br />
2015-1-12,9,6,3,8,6,3,100,96,92,1028,1024,1022,10,1,0,21,9,26,0.51,8,Fog-Rain,90<br />
2015-1-13,9,7,5,8,6,3,100,96,92,1026,1024,1021,4,2,1,26,14,32,1.78,8,Fog-Rain,345<br />
2015-1-14,7,4,2,3,3,1,92,81,70,1026,1024,1023,16,9,2,24,9,27,T,8,Rain,18<br />
