
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,3,-1,-4,-7,-10,-13,68,50,32,1028,1025,1021,16,16,16,32,15,43,0.00,3,,233<br />
2015-1-2,4,3,2,-1,-3,-7,75,64,52,1029,1027,1025,16,15,8,14,6,24,0.25,8,Rain,248<br />
2015-1-3,17,10,2,13,6,-1,92,77,62,1026,1019,1014,16,12,1,27,8,35,5.59,8,Rain,122<br />
2015-1-4,18,11,3,13,7,-5,93,72,50,1025,1014,1008,16,14,3,52,19,74,16.26,8,Rain,244<br />
2015-1-5,3,-1,-5,-3,-11,-16,69,53,37,1035,1031,1025,16,16,16,35,15,50,0.00,6,,282<br />
2015-1-6,-1,-2,-4,-6,-9,-13,81,64,46,1028,1025,1023,16,13,5,27,10,40,T,8,Snow,270<br />
2015-1-7,-3,-8,-14,-9,-14,-22,84,63,42,1040,1028,1022,16,9,1,40,21,60,0.76,7,Snow,307<br />
2015-1-8,-2,-9,-16,-14,-18,-19,79,62,45,1040,1033,1018,16,15,10,21,10,27,T,6,Snow,231<br />
2015-1-9,0,-4,-8,-10,-16,-19,53,38,23,1031,1023,1017,16,16,14,45,19,64,T,6,Snow,269<br />
2015-1-10,-2,-8,-15,-14,-17,-19,87,58,29,1037,1035,1033,16,16,16,29,4,39,0.00,0,,249<br />
2015-1-11,8,-2,-12,1,-9,-14,100,61,21,1034,1032,1028,16,14,6,13,2,18,1.02,5,Rain,109<br />
2015-1-12,6,3,1,4,2,-1,100,95,89,1029,1024,1022,14,6,1,21,4,31,9.65,8,Rain-Snow,327<br />
2015-1-13,1,-1,-3,-2,-5,-7,89,79,69,1034,1031,1027,16,14,6,23,10,31,T,8,Snow,18<br />
2015-1-14,-1,-2,-3,-3,-4,-6,100,85,69,1028,1026,1024,16,10,1,13,4,16,0.25,8,Fog-Snow,285<br />
2015-1-15,1,-1,-3,-3,-4,-7,85,73,61,1025,1022,1019,16,16,14,23,7,29,0.00,7,,225<br />
2015-1-16,3,-1,-4,-3,-4,-5,92,78,64,1025,1022,1020,16,15,11,24,9,31,0.00,4,,245<br />
2015-1-17,15,4,-7,-1,-4,-8,96,63,30,1025,1019,1013,16,15,10,29,10,39,0.00,1,,176<br />
2015-1-18,10,8,6,3,-2,-4,71,55,39,1015,1012,1010,16,16,13,39,17,53,0.51,7,Rain,238<br />
2015-1-19,12,6,0,-2,-3,-4,75,56,36,1019,1016,1013,16,16,16,21,5,29,0.00,4,,263<br />
2015-1-20,12,5,-3,0,-2,-4,92,67,41,1015,1013,1012,16,16,16,23,4,31,0.00,3,,292<br />
2015-1-21,9,5,0,2,-1,-3,92,67,42,1021,1017,1014,16,16,14,29,9,39,T,6,Rain,232<br />
2015-1-22,4,3,2,-2,-3,-3,70,65,59,1030,1027,1022,16,16,16,21,6,34,0.00,8,,269<br />
2015-1-23,4,1,-2,2,-1,-3,100,85,70,1029,1020,1009,16,10,2,11,4,13,10.16,7,Rain-Snow,49<br />
2015-1-24,2,1,-1,1,-2,-3,96,86,75,1011,1008,1006,16,8,2,27,12,39,2.54,8,Rain-Snow,260<br />
2015-1-25,9,4,-1,3,1,-2,92,73,54,1011,1008,1006,16,14,6,14,5,19,1.52,6,Rain,155<br />
2015-1-26,4,0,-4,4,-1,-7,100,88,75,1014,1007,1003,16,6,0,26,10,32,3.81,8,Fog-Rain-Snow,301<br />
