
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,0,-5,-10,-12,-14,-15,77,51,34,1019,1016,1013,16,16,16,19,10,32,0.00,3,,197<br />
2015-1-2,3,-1,-4,-7,-11,-14,61,49,40,1032,1021,1014,16,16,16,23,13,40,0.00,4,,263<br />
2015-1-3,-1,-6,-8,-2,-11,-16,96,65,41,1040,1035,1026,16,11,1,13,6,,13.72,6,Fog-Rain-Snow,39<br />
2015-1-4,6,1,-1,3,0,-2,100,95,82,1024,1009,1000,16,5,0,24,11,32,12.45,8,Fog-Rain,358<br />
2015-1-5,6,-2,-11,0,-12,-22,43,38,33,1027,1015,1003,16,14,0,42,24,63,T,4,Snow,275<br />
2015-1-6,-9,-11,-13,-12,-16,-22,88,67,41,1029,1023,1017,16,11,2,16,8,,0.00,6,Snow,215<br />
2015-1-7,-6,-12,-18,-12,-17,-26,88,65,37,1021,1013,1007,16,14,2,35,10,50,0.00,5,Snow,294<br />
2015-1-8,-8,-14,-21,-18,-23,-29,54,47,41,1028,1025,1019,16,16,16,19,13,,0.00,2,,246<br />
2015-1-9,-3,-6,-9,-8,-12,-18,89,69,45,1021,1014,1011,16,9,0,27,16,42,0.76,6,Fog-Snow,214<br />
2015-1-10,-6,-9,-13,-14,-18,-20,70,51,38,1034,1028,1022,16,16,16,21,11,34,0.00,0,,230<br />
2015-1-11,-2,-10,-17,-11,-16,-19,84,58,39,1039,1036,1033,16,16,16,14,5,,0.00,5,,191<br />
2015-1-12,1,-1,-2,1,-3,-10,96,84,56,1032,1024,1019,16,8,2,34,8,42,0.25,8,Rain-Snow,198<br />
2015-1-13,-1,-8,-14,-7,-17,-21,65,52,35,1040,1035,1022,16,16,16,32,21,47,0.00,1,,336<br />
2015-1-14,-6,-12,-17,-10,-16,-21,78,70,59,1039,1032,1022,16,16,10,16,10,,0.00,6,Snow,335<br />
2015-1-15,-2,-4,-6,-4,-7,-11,92,78,65,1023,1017,1010,16,13,3,19,8,,0.00,7,Snow,338<br />
2015-1-16,2,-4,-12,-4,-13,-21,81,59,32,1021,1010,1004,16,15,2,37,10,58,0.00,3,Snow,285<br />
2015-1-17,-6,-11,-15,-15,-22,-25,53,41,22,1030,1027,1021,16,16,16,34,14,50,0.00,2,,296<br />
2015-1-18,7,0,-7,7,-3,-13,100,86,60,1025,1015,1001,16,10,1,24,8,50,12.95,7,Fog-Rain,292<br />
2015-1-19,5,3,0,4,-1,-6,97,76,60,1007,1004,999,16,15,0,19,11,35,1.02,5,Fog-Rain,253<br />
2015-1-20,2,-1,-4,-6,-12,-15,64,47,28,1016,1011,1007,16,16,16,21,14,34,0.00,3,,283<br />
2015-1-21,-1,-5,-9,-9,-13,-16,66,51,33,1025,1022,1017,16,16,16,14,8,,0.00,4,,339<br />
2015-1-22,2,-2,-5,-7,-8,-9,78,66,52,1025,1024,1021,16,16,16,13,8,,0.00,4,,338<br />
2015-1-23,1,-3,-7,-9,-11,-14,69,56,46,1026,1022,1014,16,16,16,16,8,,0.00,1,,232<br />
2015-1-24,0,-2,-3,-2,-4,-8,93,86,66,1013,999,989,16,5,1,16,8,,6.10,8,Fog-Snow,343<br />
2015-1-25,2,-4,-11,-3,-11,-19,82,56,32,1020,1005,993,16,16,10,32,14,50,0.00,5,,291<br />
2015-1-26,-7,-11,-14,-12,-16,-21,71,58,45,1023,1020,1015,16,14,3,35,16,45,0.00,7,Snow,20<br />
2015-1-27,-7,-9,-11,-9,-12,-16,88,80,64,1013,1005,1000,8,1,0,48,32,97,6.10,8,Snow,353<br />
2015-1-28,-5,-8,-13,-13,-16,-20,73,58,47,1026,1016,1007,16,16,6,29,19,40,0.00,5,Snow,328<br />
2015-1-29,-1,-9,-18,-6,-14,-22,79,60,27,1028,1025,1018,16,16,11,16,8,,0.00,3,,118<br />
2015-1-30,0,-4,-9,-2,-4,-16,96,88,61,1016,1011,1006,16,6,0,35,8,55,2.29,8,Rain-Snow,309<br />
2015-1-31,-9,-12,-15,-16,-21,-23,65,48,34,1018,1014,1010,16,15,8,50,27,72,0.00,3,Snow,319<br />
2015-2-1,-4,-11,-17,-15,-19,-23,73,50,33,1023,1021,1016,16,16,16,23,10,35,0.00,3,,337<br />
2015-2-2,-11,-12,-14,-13,-15,-23,92,80,39,1021,1008,999,16,3,0,35,16,48,5.59,7,Snow,7<br />
2015-2-3,-6,-12,-18,-16,-19,-22,86,63,39,1027,1022,1011,16,15,8,40,18,55,T,2,Snow,309<br />
2015-2-4,2,-8,-18,0,-9,-19,95,76,57,1027,1021,1012,16,12,1,24,5,32,0.25,7,Snow,190<br />
2015-2-5,1,-8,-16,0,-8,-23,100,70,40,1022,1014,1009,16,7,0,45,14,64,2.79,6,Snow,312<br />
