
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,21,19,17,18,16,14,100,92,84,1026,1024,1022,16,10,1,23,13,31,1.27,7,Fog-Rain,351<br />
2015-1-2,24,21,16,19,18,16,100,87,74,1025,1024,1023,16,7,0,16,7,23,0.00,7,Fog,3<br />
2015-1-3,28,23,17,22,19,17,100,83,65,1025,1023,1022,16,9,0,23,9,32,T,5,Fog,143<br />
2015-1-4,28,24,21,22,20,17,100,79,58,1024,1023,1021,16,12,1,32,14,42,0.00,5,Fog,198<br />
2015-1-5,22,16,11,18,13,8,93,77,60,1030,1027,1024,16,16,16,29,14,35,0.00,7,,346<br />
2015-1-6,25,18,10,16,12,9,100,75,49,1028,1025,1023,16,16,16,26,7,32,0.00,4,,292<br />
2015-1-7,19,13,7,8,4,2,83,58,32,1025,1023,1021,16,16,16,27,12,39,0.00,2,,302<br />
2015-1-8,14,8,3,7,2,-6,93,67,40,1031,1028,1026,16,16,14,42,23,56,T,6,Rain,357<br />
2015-1-9,13,11,7,8,7,6,100,86,71,1027,1026,1024,16,12,1,21,9,27,0.00,6,Fog,323<br />
2015-1-10,18,12,5,12,7,1,86,71,55,1030,1028,1027,16,16,14,29,15,40,0.00,4,,343<br />
2015-1-11,23,17,12,20,17,11,100,92,84,1029,1027,1025,16,9,2,26,7,35,1.78,5,Rain,43<br />
2015-1-12,26,21,16,21,18,16,100,86,71,1025,1023,1020,16,7,1,42,6,63,40.13,6,Fog-Rain,92<br />
2015-1-13,22,19,15,18,16,14,100,87,73,1022,1021,1019,16,13,0,24,11,32,0.00,7,Fog,360<br />
2015-1-14,17,14,12,16,13,10,100,90,80,1022,1021,1019,10,3,1,29,17,39,0.00,8,,352<br />
2015-1-15,16,14,11,11,11,9,96,84,72,1022,1021,1020,16,10,2,21,11,27,4.57,8,Rain,345<br />
2015-1-16,16,12,9,11,8,6,100,79,57,1023,1020,1019,16,13,2,24,11,29,0.51,4,Rain,343<br />
2015-1-17,22,15,8,13,10,6,93,73,53,1024,1022,1020,16,15,10,16,7,26,0.00,3,,6<br />
2015-1-18,22,16,10,13,11,8,100,72,44,1021,1019,1017,16,14,8,39,11,50,0.00,3,,268<br />
2015-1-19,19,13,6,8,6,2,93,64,34,1024,1022,1020,16,16,10,19,5,26,0.00,1,,340<br />
2015-1-20,22,14,7,14,11,6,100,81,61,1020,1018,1016,16,16,14,16,3,21,0.00,4,,156<br />
2015-1-21,23,17,11,14,12,11,100,79,57,1020,1019,1017,16,14,8,16,5,21,0.00,1,Fog,58<br />
2015-1-22,24,17,11,16,13,10,100,79,57,1024,1022,1020,16,16,10,23,6,26,0.00,2,,49<br />
2015-1-23,24,19,14,18,17,14,93,77,60,1020,1016,1013,16,15,8,32,13,45,3.81,6,Rain-Thunderstorm,162<br />
2015-1-24,22,15,8,19,14,7,93,73,52,1017,1011,1008,16,14,2,42,22,56,9.91,6,Rain,252<br />
2015-1-25,18,11,4,8,4,-1,93,61,28,1019,1016,1014,16,16,16,19,8,23,0.00,3,,242<br />
2015-1-26,18,14,9,13,7,2,93,64,34,1014,1011,1009,16,16,8,47,21,60,2.79,3,Rain,249<br />
2015-1-27,19,12,4,8,3,1,79,58,37,1018,1015,1012,16,16,16,42,17,58,0.00,0,,277<br />
2015-1-28,14,10,6,5,3,1,71,61,51,1026,1023,1018,16,16,16,32,15,40,0.00,1,,346<br />
2015-1-29,21,13,4,9,7,3,92,69,45,1027,1025,1023,16,16,16,16,5,24,0.00,2,,286<br />
2015-1-30,22,15,8,13,9,4,93,71,49,1024,1022,1020,16,16,16,27,13,39,0.00,4,,291<br />
2015-1-31,19,12,5,9,7,3,89,69,48,1027,1025,1024,16,16,16,32,10,37,0.00,4,,7<br />
2015-2-1,23,16,8,14,11,8,93,69,44,1025,1022,1017,16,14,6,29,9,40,0.00,3,,158<br />
2015-2-2,24,17,9,19,12,1,84,56,27,1021,1015,1012,16,16,14,42,19,53,T,4,Rain,241<br />
2015-2-3,17,11,5,11,6,1,83,68,52,1026,1024,1021,16,16,16,29,16,40,0.00,4,,348<br />
2015-2-4,21,17,13,16,13,11,90,76,61,1024,1021,1015,16,15,5,21,7,24,1.78,8,Rain,8<br />
2015-2-5,18,14,11,17,12,2,93,67,40,1021,1015,1009,16,12,2,35,15,47,14.73,5,Rain,342<br />
2015-2-6,18,14,9,8,7,4,86,66,46,1027,1025,1021,16,16,16,35,19,45,0.00,1,,356<br />
2015-2-7,21,14,7,11,8,6,96,68,39,1026,1025,1023,16,16,14,23,7,27,0.00,3,,25<br />
2015-2-8,23,16,8,12,10,8,100,72,44,1024,1020,1017,16,16,14,19,5,27,0.00,1,,149<br />
2015-2-9,22,16,11,16,13,9,97,75,53,1016,1011,1007,16,11,0,16,4,19,8.89,5,Fog-Rain,219<br />
2015-2-10,17,14,11,14,11,7,100,80,60,1013,1008,1005,16,14,1,32,17,37,T,6,Fog,299<br />
2015-2-11,17,12,7,8,7,5,93,70,46,1019,1016,1013,16,16,13,29,12,39,0.00,1,,342<br />
2015-2-12,22,14,6,9,7,5,93,67,41,1019,1017,1015,16,15,11,34,13,40,0.00,0,,248<br />
2015-2-13,14,9,4,7,2,-2,77,64,51,1024,1022,1019,16,16,14,32,17,45,0.00,1,,350<br />
2015-2-14,18,11,3,3,-1,-6,85,55,25,1024,1022,1018,16,16,16,29,15,39,0.00,0,,280<br />
2015-2-15,19,13,8,10,7,4,93,71,48,1024,1022,1020,16,16,16,29,15,39,0.00,2,,326<br />
2015-2-16,23,16,8,13,11,7,93,70,46,1023,1019,1014,16,16,10,27,10,39,0.00,4,,165<br />
