
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,0,-4,-8,-9,-12,-16,63,54,33,1022,1020,1016,16,16,16,39,25,48,0.00,3,,241<br />
2015-1-2,2,-2,-7,-6,-7,-9,82,64,39,1028,1025,1021,16,16,16,16,8,26,0.00,5,,193<br />
2015-1-3,3,1,-1,2,0,-6,100,90,61,1022,1013,1008,16,5,2,19,8,23,13.97,8,Rain-Snow,42<br />
2015-1-4,2,-6,-15,2,-6,-21,97,82,44,1035,1016,1006,16,6,1,39,21,52,2.54,7,Rain-Snow,305<br />
2015-1-5,-12,-15,-18,-15,-19,-23,84,67,45,1041,1035,1028,16,10,0,27,17,35,2.79,5,Snow,252<br />
2015-1-6,-11,-13,-15,-15,-17,-18,80,70,50,1031,1028,1026,16,12,2,40,20,50,T,6,Snow,295<br />
2015-1-7,-13,-17,-20,-19,-23,-26,67,53,31,1045,1040,1029,16,16,16,42,26,55,0.00,1,,302<br />
2015-1-8,-7,-14,-22,-10,-17,-26,84,73,54,1040,1020,1010,16,7,0,47,28,63,1.27,7,Snow,219<br />
2015-1-9,-9,-12,-16,-13,-19,-22,77,62,49,1033,1026,1013,16,14,1,48,26,64,T,4,Snow,278<br />
2015-1-10,-3,-11,-18,-11,-16,-21,79,63,40,1033,1031,1027,16,16,16,39,20,45,0.00,5,,215<br />
2015-1-11,1,-1,-4,-2,-5,-10,92,76,43,1027,1025,1024,16,9,0,26,16,26,3.05,8,Snow,206<br />
2015-1-12,-1,-4,-7,-2,-9,-12,96,73,53,1040,1033,1024,16,11,2,39,20,48,0.76,7,Snow,345<br />
2015-1-13,-5,-8,-11,-11,-13,-14,81,68,49,1042,1038,1032,16,15,11,32,13,40,T,5,Snow,83<br />
2015-1-14,-6,-11,-15,-11,-14,-18,84,73,53,1032,1029,1024,16,16,11,23,12,29,0.00,5,,212<br />
2015-1-15,2,-3,-8,-4,-7,-11,81,71,53,1024,1019,1016,16,15,11,34,17,47,0.00,4,,230<br />
2015-1-16,2,-2,-6,-2,-4,-7,93,77,56,1024,1021,1017,16,13,6,23,10,31,0.00,4,,157<br />
2015-1-17,7,3,-1,1,-1,-4,79,72,54,1015,1007,1003,16,14,6,40,25,52,0.00,7,,215<br />
2015-1-18,6,3,-1,0,-1,-2,89,74,46,1017,1010,1005,16,16,16,34,17,40,0.00,5,,266<br />
2015-1-19,6,2,-3,0,-2,-4,92,80,63,1018,1016,1012,16,15,4,19,8,23,T,4,Rain-Snow,103<br />
2015-1-20,4,3,1,1,0,-1,93,85,72,1017,1013,1011,16,8,2,23,10,31,0.25,8,,354<br />
2015-1-21,2,1,-1,0,-2,-6,92,79,55,1026,1019,1015,16,12,3,23,12,26,T,8,Snow,357<br />
2015-1-22,1,0,-1,-4,-4,-6,76,71,59,1032,1030,1026,16,16,6,24,10,29,0.00,8,,271<br />
2015-1-23,1,0,-1,-3,-4,-5,79,74,59,1029,1020,1011,16,14,6,27,19,37,0.00,7,,230<br />
2015-1-24,7,4,0,1,-2,-4,85,76,57,1009,1006,1004,16,16,13,27,14,35,0.00,7,,267<br />
2015-1-25,3,0,-3,1,-2,-8,93,83,54,1016,1010,1005,16,9,2,42,25,53,1.52,8,Rain-Snow,44<br />
2015-1-26,-2,-4,-6,-4,-6,-9,89,78,57,1017,1014,1011,16,9,2,26,9,32,1.02,7,Snow,159<br />
2015-1-27,1,-2,-4,-3,-6,-8,89,71,46,1026,1021,1013,16,12,4,23,10,26,T,6,Snow,60<br />
2015-1-28,2,-1,-4,-4,-7,-9,81,62,41,1027,1021,1010,16,16,8,34,17,43,0.76,6,Rain,167<br />
2015-1-29,4,2,-1,-1,-3,-7,78,66,39,1028,1016,1006,16,15,5,39,24,50,T,8,Snow,309<br />
2015-1-30,0,-2,-5,-6,-11,-13,68,50,25,1035,1032,1027,16,16,14,37,13,43,T,3,Snow,307<br />
2015-1-31,4,-1,-5,-1,-4,-9,89,72,53,1029,1024,1021,16,13,1,27,12,34,3.30,7,Rain-Snow,221<br />
2015-2-1,1,-3,-6,-1,-4,-8,92,89,83,1021,1012,1007,2,1,0,48,28,61,3.05,8,Fog-Snow,48<br />
2015-2-2,-6,-9,-13,-8,-13,-17,85,72,43,1026,1021,1012,16,11,1,40,21,52,T,5,Fog-Snow,299<br />
2015-2-3,-1,-7,-13,-4,-8,-16,88,78,57,1024,1020,1017,16,10,0,24,11,29,1.27,7,Fog-Snow,197<br />
2015-2-4,-1,-6,-11,-3,-9,-18,92,75,55,1031,1022,1015,16,9,1,29,15,37,T,7,Snow,328<br />
2015-2-5,-8,-12,-16,-14,-18,-19,85,60,32,1035,1031,1026,16,16,16,29,15,37,0.00,2,,258<br />
2015-2-6,0,-4,-9,-5,-9,-14,78,68,51,1026,1022,1016,16,16,13,24,15,37,0.00,6,,198<br />
2015-2-7,7,2,-4,3,-1,-6,88,77,58,1014,1009,1003,16,15,13,24,14,40,0.00,6,,195<br />
2015-2-8,6,3,-1,2,1,-2,92,87,79,1016,1008,1002,16,8,2,35,17,43,T,8,Rain,360<br />
2015-2-9,-1,-2,-3,-3,-6,-7,86,78,62,1026,1022,1016,16,13,8,37,23,43,T,8,Snow,8<br />
2015-2-10,1,-2,-4,-6,-7,-11,78,65,36,1026,1023,1018,16,16,13,29,13,37,T,6,Snow,107<br />
2015-2-11,3,-1,-6,-1,-4,-12,82,71,54,1021,1017,1015,16,14,11,39,21,48,T,7,Snow,271<br />
2015-2-12,-6,-9,-12,-12,-17,-19,74,53,26,1034,1030,1021,16,14,2,45,22,58,T,5,Snow,319<br />
2015-2-13,-2,-8,-14,-7,-13,-18,76,65,49,1032,1023,1013,16,16,14,32,18,42,T,6,Snow,231<br />
2015-2-14,-2,-8,-16,-6,-16,-24,78,55,26,1034,1020,1008,16,13,2,60,32,76,T,6,Snow,319<br />
2015-2-15,-8,-13,-18,-14,-18,-24,81,62,35,1037,1034,1030,16,11,2,29,15,39,T,6,Snow,54<br />
2015-2-16,-7,-10,-13,-15,-20,-24,59,44,21,1030,1023,1016,16,16,16,16,8,21,0.00,7,,178<br />
2015-2-17,-6,-8,-12,-10,-13,-18,80,63,35,1017,1015,1012,16,14,4,34,20,34,T,7,Snow,269<br />
2015-2-18,-12,-14,-18,-18,-21,-26,73,55,27,1027,1020,1011,16,14,2,39,24,50,T,5,Snow,299<br />
2015-2-19,-14,-17,-21,-23,-26,-27,58,46,25,1032,1030,1027,16,16,16,34,18,43,0.00,1,,302<br />
2015-2-20,-7,-12,-18,-13,-18,-23,68,58,40,1031,1024,1017,16,14,4,35,20,52,T,7,Snow,185<br />
2015-2-21,1,-3,-7,-6,-8,-12,82,70,49,1022,1017,1013,16,14,10,19,7,19,0.00,8,,158<br />
2015-2-22,-1,-7,-14,-6,-15,-23,72,53,27,1041,1032,1023,16,15,11,32,22,39,0.00,5,,326<br />
2015-2-23,-9,-13,-18,-21,-23,-25,63,47,23,1043,1038,1028,16,16,16,29,16,40,0.00,1,,285<br />
2015-2-24,0,-7,-14,-6,-13,-20,69,58,35,1026,1012,1006,16,15,3,42,24,52,T,5,Snow,237<br />
2015-2-25,-2,-6,-9,-7,-11,-18,89,67,25,1018,1016,1012,16,8,1,26,14,32,1.52,6,Fog-Snow,38<br />
2015-2-26,-6,-9,-14,-8,-13,-21,86,68,37,1033,1024,1016,16,6,1,37,21,43,0.25,7,Snow,10<br />
2015-2-27,-8,-13,-18,-19,-20,-21,73,55,27,1041,1038,1033,16,16,16,23,11,27,0.00,0,,266<br />
2015-2-28,-5,-11,-17,-9,-16,-21,87,62,25,1043,1039,1032,16,13,3,23,9,32,T,4,Snow,165<br />
2015-3-1,-3,-5,-8,-6,-9,-12,93,76,57,1032,1029,1025,16,14,3,27,11,35,0.25,6,Snow,242<br />
2015-3-2,1,-4,-9,-7,-11,-13,77,57,29,1035,1032,1025,16,16,14,23,11,32,0.00,4,,245<br />
2015-3-3,3,0,-3,1,-3,-9,93,78,51,1025,1011,1004,16,9,1,37,20,50,2.54,8,Rain-Snow,206<br />
2015-3-4,1,-4,-10,-4,-13,-19,75,55,30,1029,1021,1012,16,16,16,35,20,43,0.00,6,,303<br />
2015-3-5,-7,-10,-13,-18,-19,-21,64,46,28,1037,1034,1028,16,16,16,26,15,42,0.00,2,,305<br />
2015-3-6,-3,-8,-14,-8,-13,-19,73,62,42,1036,1029,1022,16,16,16,39,21,50,0.00,3,,204<br />
2015-3-7,8,2,-3,-1,-3,-8,79,66,39,1022,1019,1016,16,16,16,34,18,39,0.00,3,,248<br />
2015-3-8,6,3,-1,-1,-3,-4,82,68,48,1025,1022,1021,16,16,14,24,11,29,T,6,Snow,246<br />
2015-3-9,11,4,-2,2,-2,-4,89,63,27,1024,1022,1020,16,15,1,23,9,32,0.00,2,,200<br />
2015-3-10,12,8,3,6,4,2,97,86,57,1020,1017,1014,16,6,1,21,11,29,0.00,6,Fog,211<br />
2015-3-11,12,7,2,4,1,-4,97,69,24,1031,1024,1018,16,10,0,26,10,32,0.00,1,Fog,13<br />
2015-3-12,14,8,1,-1,-2,-3,76,51,19,1034,1031,1028,16,16,16,32,14,39,0.00,2,,131<br />
2015-3-13,18,12,5,7,1,-2,83,52,21,1027,1021,1015,16,16,16,21,11,31,0.00,7,,188<br />
2015-3-14,17,11,4,7,2,0,90,59,23,1023,1017,1015,16,16,13,37,14,53,0.00,5,,317<br />
2015-3-15,18,9,1,5,1,-1,82,55,25,1026,1021,1016,16,16,16,35,17,50,0.00,4,,211<br />
2015-3-16,23,15,7,10,4,2,80,45,26,1015,1012,1007,16,16,16,47,23,58,0.00,6,,247<br />
2015-3-17,7,3,-1,3,-6,-12,80,51,18,1028,1024,1014,16,16,16,52,23,69,0.00,5,,40<br />
2015-3-18,10,4,-1,-6,-10,-13,64,35,13,1029,1027,1025,16,16,16,24,8,32,0.00,7,,166<br />
2015-3-19,10,8,5,-1,-7,-11,62,36,16,1026,1023,1020,16,16,16,29,15,37,0.00,8,,104<br />
2015-3-20,11,8,4,3,2,-1,89,73,50,1021,1019,1017,16,14,8,26,16,39,0.00,7,,216<br />
2015-3-21,10,6,2,3,1,-3,93,70,48,1025,1021,1015,16,14,8,32,19,40,0.00,3,,61<br />
2015-3-22,3,1,-1,-3,-6,-12,73,57,34,1028,1026,1024,16,16,8,29,21,37,T,6,Snow,50<br />
2015-3-23,0,-1,-1,-2,-3,-6,93,83,61,1027,1025,1023,16,8,0,32,20,35,3.81,8,Fog-Snow,77<br />
2015-3-24,4,1,-4,-2,-6,-8,84,62,35,1027,1024,1014,16,16,14,29,18,39,1.02,6,Rain,106<br />
2015-3-25,6,5,3,4,2,0,93,83,74,1018,1014,1008,16,11,2,37,19,50,3.30,8,Rain,236<br />
2015-3-26,8,4,1,-1,-4,-8,76,57,30,1019,1016,1014,16,16,14,29,16,39,T,7,Snow,314<br />
2015-3-27,1,-1,-4,-4,-8,-12,82,62,27,1025,1022,1018,16,11,2,34,21,45,0.25,5,Snow,12<br />
2015-3-28,3,-2,-6,-9,-12,-16,68,44,14,1029,1027,1025,16,16,16,21,11,29,0.00,0,,56<br />
2015-3-29,11,4,-2,3,-4,-11,73,56,31,1027,1017,1009,16,16,16,47,24,68,1.02,6,Rain,206<br />
2015-3-30,18,11,3,2,-1,-3,73,50,19,1019,1015,1008,16,16,16,37,17,58,0.00,4,,259<br />
2015-3-31,14,9,5,4,2,1,89,62,38,1015,1012,1005,16,14,3,37,16,50,0.00,4,,15<br />
2015-4-1,23,14,5,4,2,2,73,45,15,1018,1014,1009,16,16,16,35,19,50,0.00,2,,193<br />
2015-4-2,20,15,10,13,7,0,90,63,27,1011,1007,1004,16,15,3,32,17,42,6.86,7,Rain-Thunderstorm,233<br />
2015-4-3,14,7,1,1,-1,-3,79,51,23,1023,1015,1009,16,16,16,32,18,42,T,6,,348<br />
2015-4-4,16,8,-1,-2,-5,-7,79,43,13,1026,1023,1020,16,16,16,45,19,60,0.00,1,,246<br />
2015-4-5,21,14,8,-2,-4,-8,44,28,8,1020,1017,1015,16,16,16,35,19,47,0.00,4,,218<br />
2015-4-6,18,12,5,5,2,-1,79,53,35,1019,1016,1015,16,16,14,32,14,40,1.78,7,Rain,114<br />
2015-4-7,9,7,4,8,5,3,93,88,81,1020,1017,1016,16,6,2,29,19,37,1.02,8,Rain,34<br />
2015-4-8,12,9,6,8,6,4,100,88,69,1016,1014,1011,14,6,1,32,15,39,2.03,8,Fog-Rain-Thunderstorm,51<br />
2015-4-9,23,16,8,19,13,7,100,87,68,1011,1004,996,16,7,1,58,22,80,24.13,8,Rain-Thunderstorm,169<br />
2015-4-10,18,12,6,5,3,-1,76,61,25,1022,1011,1001,16,16,16,58,29,74,T,5,,264<br />
2015-4-11,18,11,4,3,0,-3,79,48,19,1025,1023,1021,16,16,16,26,12,34,0.00,0,,226<br />
2015-4-12,22,15,8,3,1,0,56,36,15,1022,1019,1014,16,16,16,32,16,47,0.00,6,,173<br />
2015-4-13,21,16,12,13,4,-4,90,48,15,1022,1015,1011,16,16,13,39,19,48,3.56,7,Rain,258<br />
