
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-3,-7,-11,-12,-15,-20,59,53,46,1023,1022,1020,16,16,16,53,35,64,0.00,6,,226<br />
2015-1-2,4,-2,-8,0,-7,-13,89,71,52,1019,1012,1008,16,14,2,42,29,52,2.03,5,Snow,247<br />
2015-1-3,-2,-9,-16,-3,-15,-19,92,81,69,1034,1024,1010,16,5,0,48,14,64,6.35,7,Fog-Snow,41<br />
2015-1-4,-16,-16,-17,-17,-19,-21,91,83,75,1040,1032,1026,16,5,2,24,11,27,4.32,8,Snow,91<br />
2015-1-5,4,-6,-17,0,-11,-19,92,80,68,1032,1024,1015,16,9,2,40,17,50,6.60,8,Rain-Snow,40<br />
2015-1-6,-11,-12,-14,-12,-14,-17,92,86,80,1052,1035,1024,16,12,3,34,15,40,0.76,8,Rain-Snow,39<br />
2015-1-7,-1,-7,-14,-7,-13,-16,88,76,63,1053,1038,1022,16,13,2,64,22,79,T,7,Snow,150<br />
2015-1-8,6,-6,-17,-2,-10,-19,84,72,60,1041,1033,1019,16,11,2,45,18,53,1.02,6,Snow,18<br />
2015-1-9,-3,-12,-22,-9,-17,-23,87,75,62,1040,1029,1017,16,16,16,42,20,53,0.00,3,,208<br />
2015-1-10,-1,-3,-6,-8,-9,-11,77,67,57,1018,1015,1011,16,16,16,50,18,60,0.00,7,,326<br />
2015-1-11,-6,-8,-12,-8,-11,-13,92,82,71,1034,1024,1014,16,9,1,24,13,31,4.83,8,Fog-Snow,45<br />
2015-1-12,-6,-11,-16,-9,-14,-17,92,85,77,1034,1030,1022,16,10,1,34,12,40,T,4,Fog-Snow,236<br />
2015-1-13,-1,-4,-7,-7,-8,-9,84,74,63,1032,1030,1026,16,16,14,35,22,43,T,2,Snow,228<br />
2015-1-14,1,-3,-7,-6,-7,-9,84,74,63,1028,1025,1020,16,16,16,48,36,58,0.00,2,,232<br />
2015-1-15,6,1,-4,-6,-8,-9,68,56,43,1026,1021,1017,16,16,16,53,36,66,0.00,2,,239<br />
2015-1-16,7,3,-1,-2,-5,-9,59,52,44,1016,1011,1008,16,16,16,42,26,50,0.00,4,,252<br />
2015-1-17,5,3,0,-6,-8,-10,52,46,40,1022,1017,1013,16,16,16,48,29,61,0.00,4,,255<br />
2015-1-18,9,6,2,1,-3,-6,70,57,43,1015,1012,1010,16,16,16,53,26,68,T,6,Rain,263<br />
2015-1-19,8,4,-1,-4,-6,-7,69,54,38,1022,1019,1015,16,16,16,48,28,61,0.00,2,,284<br />
2015-1-20,3,1,-2,-4,-6,-7,75,64,52,1028,1025,1020,16,16,16,35,22,42,T,7,,297<br />
2015-1-21,3,-1,-4,-6,-8,-9,75,60,44,1030,1027,1024,16,16,16,40,20,52,0.00,2,,235<br />
2015-1-22,4,1,-2,-9,-11,-12,58,46,34,1025,1023,1018,16,16,16,58,37,69,0.00,1,,238<br />
2015-1-23,8,3,-2,-4,-8,-11,56,48,40,1027,1025,1020,16,16,16,39,27,47,0.00,5,,238<br />
2015-1-24,13,8,2,2,-2,-6,67,57,46,1022,1018,1014,16,16,16,64,30,82,T,5,,272<br />
2015-1-25,17,11,3,1,-1,-3,76,52,28,1020,1018,1014,16,16,16,45,26,56,0.00,6,,242<br />
2015-1-26,15,10,4,-1,-2,-3,64,49,33,1020,1017,1015,16,16,16,45,34,55,0.00,3,,239<br />
2015-1-27,19,13,6,-1,-2,-3,53,40,26,1014,1012,1010,16,16,16,45,25,55,0.00,5,,231<br />
2015-1-28,13,7,2,1,-2,-4,70,51,32,1031,1021,1010,16,16,16,45,19,60,T,6,,315<br />
2015-1-29,11,4,-3,-2,-3,-5,85,61,36,1033,1029,1026,16,16,16,34,16,40,0.00,1,,219<br />
2015-1-30,11,5,-1,-2,-4,-8,78,53,27,1026,1023,1018,16,16,16,32,17,45,0.00,2,,214<br />
2015-1-31,2,-4,-12,-3,-7,-13,92,74,56,1031,1021,1014,16,10,0,35,23,48,1.78,6,Fog-Snow,25<br />
