
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,9,5,1,6,3,-2,96,81,65,1028,1025,1022,16,13,3,24,9,31,6.86,7,Rain,43<br />
2015-1-2,14,11,7,14,9,6,100,93,86,1024,1022,1017,16,6,0,23,9,31,7.37,8,Rain,66<br />
2015-1-3,22,18,14,19,17,14,100,90,79,1016,1014,1010,16,10,0,35,16,47,45.47,7,Fog-Rain-Thunderstorm,185<br />
2015-1-4,16,9,2,14,6,-3,93,82,70,1035,1026,1016,16,16,13,29,15,37,T,6,Rain,314<br />
2015-1-5,8,3,-2,-2,-4,-6,85,64,42,1039,1035,1030,16,16,16,27,13,37,0.00,1,,357<br />
2015-1-6,16,6,-4,1,-2,-4,92,59,25,1032,1029,1027,16,16,16,23,6,27,0.00,0,,346<br />
2015-1-7,8,1,-7,-1,-7,-18,76,57,38,1042,1034,1028,16,16,16,47,25,60,0.00,1,,2<br />
2015-1-8,2,-4,-11,-9,-15,-18,58,41,23,1041,1034,1028,16,16,16,29,10,37,0.00,0,,79<br />
2015-1-9,4,0,-4,-7,-9,-12,68,50,32,1034,1031,1029,16,16,16,26,11,34,0.00,6,,341<br />
2015-1-10,8,2,-4,-5,-11,-15,64,42,20,1035,1032,1029,16,16,16,26,9,31,0.00,3,,36<br />
2015-1-11,16,9,2,9,2,-10,89,61,33,1029,1025,1022,16,15,10,26,12,31,4.06,7,Rain,133<br />
2015-1-12,16,11,6,14,11,5,100,90,80,1026,1022,1020,16,9,2,26,15,32,11.68,8,Rain-Thunderstorm,299<br />
2015-1-13,6,4,2,5,2,1,100,93,85,1029,1028,1026,16,9,4,27,15,34,T,8,Rain,354<br />
2015-1-14,4,2,1,1,0,-1,96,83,70,1029,1026,1024,16,15,11,21,9,23,0.00,6,,23<br />
2015-1-15,7,2,-2,2,1,-3,92,79,65,1026,1024,1023,16,13,8,16,6,21,2.29,6,Rain,2<br />
2015-1-16,14,5,-4,1,-2,-4,100,65,30,1028,1025,1023,16,11,0,11,1,18,0.00,1,Fog,15<br />
2015-1-17,17,8,-2,2,1,-3,92,62,32,1023,1021,1018,16,16,16,27,11,35,0.00,0,,182<br />
2015-1-18,20,10,0,6,-1,-10,100,57,13,1026,1023,1020,16,15,1,23,6,26,0.00,0,,285<br />
2015-1-19,21,9,-2,3,-1,-5,85,51,17,1022,1019,1016,16,16,16,24,10,29,0.00,1,,193<br />
2015-1-20,21,12,2,10,6,1,92,67,42,1018,1016,1014,16,16,13,16,5,21,0.00,2,,207<br />
2015-1-21,18,11,3,4,2,-2,93,62,31,1023,1021,1018,16,15,2,23,9,27,0.00,1,,8<br />
2015-1-22,12,9,5,4,2,-2,89,64,38,1024,1022,1019,16,12,4,34,16,45,29.46,7,Rain,40<br />
2015-1-23,7,5,3,6,4,2,100,93,86,1019,1016,1014,16,11,3,27,16,35,12.70,8,Rain,350<br />
2015-1-24,13,7,0,2,0,-2,100,68,35,1021,1018,1016,16,14,6,23,9,35,0.00,1,,248<br />
2015-1-25,20,11,2,4,2,1,92,63,34,1016,1012,1007,16,16,16,42,18,55,0.00,1,,238<br />
2015-1-26,13,9,5,2,1,-1,70,54,38,1021,1018,1015,16,16,16,29,13,40,0.00,3,,291<br />
2015-1-27,21,11,2,3,1,-2,89,56,22,1022,1019,1016,16,16,16,27,11,37,0.00,0,,334<br />
2015-1-28,20,11,2,3,1,-1,76,51,26,1026,1023,1021,16,16,16,23,11,27,0.00,0,,129<br />
2015-1-29,25,16,7,12,7,2,86,61,36,1028,1023,1020,16,16,16,39,18,50,0.00,3,,234<br />
2015-1-30,14,9,4,2,-1,-3,76,54,32,1032,1029,1028,16,16,16,29,15,39,0.00,2,,8<br />
2015-1-31,16,8,-1,4,-2,-5,85,55,25,1028,1025,1020,16,16,16,24,10,32,0.00,4,,117<br />
