
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-3,-7,-10,-8,-12,-16,86,72,62,1019,1013,1009,16,15,5,32,24,42,0.00,4,Snow,253<br />
2015-1-2,-4,-9,-13,-8,-14,-19,86,64,31,1026,1022,1019,16,16,16,13,10,,0.00,2,,292<br />
2015-1-3,-1,-3,-5,-1,-3,-7,100,96,80,1020,1014,1009,16,6,1,16,10,,0.51,7,Fog-Snow,69<br />
2015-1-4,-2,-12,-22,-2,-14,-29,100,78,50,1030,1017,1008,16,11,2,35,23,47,0.00,6,Snow,327<br />
2015-1-5,-17,-21,-24,-21,-26,-29,72,60,51,1033,1030,1026,16,15,5,24,18,29,0.00,3,Snow,263<br />
2015-1-6,-12,-17,-21,-19,-22,-24,85,69,52,1026,1024,1020,16,15,4,34,16,50,0.00,4,Snow,271<br />
2015-1-7,-17,-19,-21,-23,-27,-29,61,55,46,1038,1033,1026,16,16,16,32,26,47,0.00,0,,287<br />
2015-1-8,-14,-18,-22,-17,-23,-26,85,70,60,1031,1017,1004,16,12,1,37,24,47,0.00,3,Snow,242<br />
2015-1-9,-15,-17,-19,-20,-23,-26,71,62,51,1025,1019,1010,16,15,11,39,32,50,0.00,1,,276<br />
2015-1-10,-7,-14,-21,-12,-19,-23,84,71,56,1025,1023,1020,16,16,16,26,18,35,0.00,4,,222<br />
2015-1-11,-4,-7,-8,-9,-11,-15,80,71,54,1025,1022,1021,16,15,5,16,10,,0.00,7,Snow,261<br />
2015-1-12,-8,-13,-18,-11,-18,-23,79,65,45,1042,1033,1025,16,16,16,29,16,,0.00,2,,350<br />
2015-1-13,-9,-13,-17,-14,-18,-22,85,72,62,1041,1037,1029,16,15,11,16,11,,0.00,5,Snow,315<br />
2015-1-14,-6,-11,-16,-10,-14,-18,85,79,73,1028,1023,1018,16,15,11,19,13,,0.00,6,,222<br />
2015-1-15,2,-3,-7,-4,-7,-10,86,78,56,1018,1014,1009,16,14,4,206,23,37,0.00,5,Snow,244<br />
2015-1-16,-3,-6,-7,-6,-11,-14,86,67,55,1023,1018,1013,16,16,11,23,14,29,0.00,8,,44<br />
2015-1-17,4,1,-2,-1,-2,-5,93,81,70,1012,1002,997,16,15,8,34,21,45,0.00,6,,198<br />
