
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,9,2,-6,-1,-6,-9,74,53,31,1027,1025,1023,16,16,16,23,11,27,0.00,4,,239<br />
2015-1-2,12,8,3,3,1,-1,82,66,50,1028,1025,1023,16,16,16,13,5,19,0.00,8,,226<br />
2015-1-3,9,8,7,8,6,3,100,86,71,1029,1026,1021,16,5,1,14,8,19,7.87,8,Fog-Rain,55<br />
2015-1-4,17,12,7,16,11,1,100,80,59,1020,1016,1012,16,10,0,40,17,58,5.84,7,Fog-Rain,238<br />
2015-1-5,9,4,-1,1,-6,-9,70,50,29,1031,1027,1021,16,16,16,40,14,52,0.00,3,,321<br />
2015-1-6,11,4,-3,-5,-7,-8,69,49,29,1029,1023,1019,16,16,16,32,8,37,0.00,4,,258<br />
2015-1-7,2,-4,-11,-6,-12,-23,75,52,28,1034,1023,1017,16,16,16,42,19,56,0.00,5,,318<br />
2015-1-8,-3,-9,-14,-18,-21,-22,60,43,25,1037,1033,1025,16,16,16,24,11,35,0.00,2,,236<br />
2015-1-9,7,1,-6,-11,-14,-18,55,39,22,1027,1023,1020,16,16,16,32,18,40,0.00,4,,262<br />
2015-1-10,3,-2,-7,-13,-16,-19,50,35,19,1035,1033,1027,16,16,16,16,5,24,0.00,0,,350<br />
2015-1-11,8,-1,-9,-2,-11,-15,73,48,22,1037,1035,1031,16,16,16,13,4,16,T,6,Rain,204<br />
2015-1-12,7,4,2,7,3,-4,100,77,54,1031,1024,1020,16,5,0,21,6,23,9.91,8,Fog-Rain,296<br />
2015-1-13,8,3,-1,6,1,-5,93,84,75,1030,1027,1021,16,13,4,37,20,47,4.57,8,Rain,48<br />
2015-1-14,3,0,-3,-1,-3,-5,100,86,72,1028,1025,1022,16,10,2,23,8,27,T,7,,27<br />
2015-1-15,5,1,-4,2,-1,-4,100,85,70,1023,1021,1018,16,8,0,16,6,34,T,7,Fog-Rain,228<br />
2015-1-16,12,5,-2,1,-2,-4,96,66,35,1024,1019,1016,16,13,2,40,11,47,0.00,1,,283<br />
2015-1-17,11,4,-3,0,-3,-4,85,63,41,1028,1024,1021,16,16,16,35,9,37,0.00,1,,158<br />
2015-1-18,15,9,4,6,1,-6,100,65,30,1020,1014,1010,16,15,8,45,14,58,0.51,5,Rain,247<br />
2015-1-19,16,8,-1,-4,-5,-6,69,46,23,1018,1015,1013,16,16,16,32,14,35,0.00,0,,233<br />
2015-1-20,19,11,3,-1,-3,-4,64,43,22,1014,1012,1010,16,16,16,24,12,34,0.00,6,,232<br />
2015-1-21,14,9,3,2,1,-1,79,60,40,1021,1017,1014,16,16,16,19,7,26,0.00,4,,32<br />
2015-1-22,14,7,-1,2,-2,-4,89,60,30,1027,1025,1021,16,15,8,21,7,26,0.00,3,,338<br />
2015-1-23,3,2,1,1,-1,-4,100,80,59,1027,1019,1008,16,8,3,26,12,32,18.03,8,Rain,50<br />
2015-1-24,9,5,1,3,-1,-5,100,73,45,1009,1004,1001,16,14,4,40,16,48,5.08,6,Rain,322<br />
2015-1-25,12,5,-3,1,-2,-5,92,67,41,1013,1010,1007,16,16,16,26,14,35,0.00,3,,201<br />
2015-1-26,9,6,3,3,1,-4,85,72,59,1006,1004,1002,16,16,16,35,10,45,T,8,Rain-Snow,322<br />
2015-1-27,8,2,-4,-5,-11,-18,69,46,22,1016,1010,1006,16,16,16,29,13,39,0.00,1,,323<br />
2015-1-28,8,1,-6,-9,-11,-12,65,45,25,1027,1023,1016,16,16,16,19,4,24,0.00,0,,340<br />
2015-1-29,9,3,-4,-2,-6,-11,74,54,34,1027,1023,1015,16,16,14,29,10,39,T,5,Rain,213<br />
