
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,8,5,2,1,-2,-3,89,69,49,1021,1019,1016,16,16,16,14,6,18,0.00,4,,312<br />
2015-1-2,12,6,-1,-2,-3,-6,85,57,28,1020,1017,1015,16,16,16,16,8,21,0.00,0,,213<br />
2015-1-3,12,7,1,-1,-2,-4,82,57,32,1027,1023,1020,16,16,16,14,7,18,0.00,0,,117<br />
2015-1-4,18,10,2,2,-1,-2,76,51,26,1030,1027,1025,16,16,16,13,5,19,0.00,2,,111<br />
2015-1-5,23,14,4,2,0,-4,76,46,16,1028,1024,1022,16,16,16,23,4,29,0.00,2,,67<br />
2015-1-6,26,17,7,3,0,-4,60,38,15,1026,1023,1020,16,16,16,21,6,26,0.00,1,,86<br />
2015-1-7,27,18,8,4,2,0,66,42,17,1022,1019,1017,16,16,16,16,7,21,0.00,4,,117<br />
2015-1-8,22,17,12,4,2,1,55,41,26,1019,1017,1015,16,16,16,32,15,37,0.00,5,,105<br />
2015-1-9,24,17,11,7,4,2,59,46,33,1017,1015,1014,16,16,16,27,11,32,0.00,1,,101<br />
2015-1-10,18,16,12,8,4,3,62,51,39,1018,1016,1015,16,16,16,19,7,23,T,6,Rain,108<br />
2015-1-11,22,17,12,12,8,6,78,57,35,1019,1017,1015,16,16,16,21,9,32,0.25,6,Rain,94<br />
2015-1-12,19,17,13,13,12,11,93,76,58,1020,1018,1016,16,15,11,16,4,21,0.51,6,Rain,236<br />
2015-1-13,17,14,11,11,9,7,93,77,60,1018,1016,1014,16,15,10,37,6,42,2.79,5,Rain,97<br />
2015-1-14,19,14,8,8,6,3,93,64,34,1023,1019,1017,16,16,16,16,5,19,0.00,1,,79<br />
