
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-5,-11,-17,-9,-15,-25,84,56,28,1022,1010,1003,16,12,2,37,19,48,0.51,5,Snow,282<br />
2015-1-2,-6,-12,-17,-9,-17,-23,73,66,59,1023,1021,1014,16,15,13,21,10,24,T,7,Snow,191<br />
2015-1-3,-3,-11,-18,-7,-11,-22,84,76,67,1022,1014,1009,16,12,2,47,20,61,0.51,8,Snow,289<br />
2015-1-4,-18,-22,-27,-24,-29,-31,72,61,50,1033,1028,1023,16,16,14,40,25,58,0.00,2,,310<br />
2015-1-5,-17,-22,-28,-23,-27,-31,74,64,53,1033,1030,1027,16,16,16,32,21,42,0.00,1,,265<br />
2015-1-6,-16,-19,-23,-21,-25,-29,69,60,51,1035,1026,1021,16,14,3,40,26,55,T,5,Snow,303<br />
2015-1-7,-19,-23,-27,-24,-28,-32,65,58,51,1045,1038,1029,16,14,6,37,25,55,T,2,Snow,298<br />
2015-1-8,-15,-17,-20,-19,-22,-26,79,69,59,1027,1011,1002,16,8,1,50,24,76,3.81,6,Snow,280<br />
2015-1-9,-16,-19,-23,-24,-26,-27,72,62,51,1023,1021,1015,16,13,4,40,27,52,T,2,Snow,286<br />
2015-1-10,-11,-17,-23,-22,-23,-26,83,61,38,1022,1020,1015,16,16,16,24,13,32,0.00,0,,270<br />
2015-1-11,-13,-17,-20,-22,-24,-25,65,57,49,1030,1026,1022,16,16,16,21,13,29,0.00,4,,309<br />
2015-1-12,-16,-21,-27,-23,-26,-29,79,62,44,1045,1041,1031,16,16,16,24,11,34,0.00,0,,328<br />
2015-1-13,-11,-18,-26,-16,-22,-27,70,58,46,1043,1034,1022,16,15,6,35,19,47,T,3,Snow,222<br />
2015-1-14,-6,-9,-12,-9,-12,-16,80,71,62,1024,1019,1010,16,11,2,27,15,40,0.25,7,Snow,235<br />
2015-1-15,1,-4,-10,-5,-9,-16,88,67,45,1019,1012,1008,16,12,2,42,22,58,0.25,5,Snow,282<br />
2015-1-16,-7,-11,-14,-10,-14,-19,76,69,61,1022,1016,1005,16,14,2,34,20,42,T,7,Snow,99<br />
2015-1-17,1,-3,-7,-2,-5,-9,92,82,72,1006,997,993,16,7,0,37,19,52,2.29,8,Fog-Snow,250<br />
2015-1-18,0,-4,-9,-3,-6,-12,85,69,53,1017,1008,1001,16,16,14,35,17,52,T,7,Snow,311<br />
2015-1-19,-4,-6,-8,-7,-7,-11,88,81,74,1017,1014,1011,16,16,13,29,18,35,T,8,Snow,98<br />
2015-1-20,-4,-4,-5,-6,-7,-8,88,81,74,1019,1016,1012,16,15,13,27,12,35,T,8,Snow,82<br />
2015-1-21,-3,-4,-7,-6,-8,-10,92,83,74,1027,1022,1017,16,15,10,24,11,34,T,8,Snow,315<br />
2015-1-22,-2,-6,-9,-6,-9,-12,92,75,58,1028,1023,1013,16,15,10,45,24,55,T,6,Snow,239<br />
2015-1-23,4,1,-2,-1,-2,-5,82,73,64,1014,1009,1005,16,16,14,47,25,58,0.25,7,Snow,269<br />
2015-1-24,3,-2,-6,-1,-4,-11,88,82,75,1012,1005,1002,16,16,11,39,19,50,T,8,Snow,4<br />
