
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,5,-1,-6,-5,-10,-13,72,53,34,1022,1019,1015,16,16,16,37,15,56,0.00,1,,233<br />
2015-1-2,6,1,-4,-5,-7,-9,81,60,39,1031,1025,1018,16,16,14,26,9,31,0.00,4,,265<br />
2015-1-3,2,-2,-6,1,-2,-8,100,86,72,1034,1029,1019,16,6,1,23,6,26,14.22,8,Fog-Rain-Snow,115<br />
2015-1-4,9,6,1,6,3,-2,100,77,53,1017,1010,1005,16,3,0,50,11,66,4.32,8,Fog-Rain,215<br />
2015-1-5,6,-1,-8,-2,-12,-18,62,47,31,1032,1025,1014,16,16,14,53,32,76,T,4,Snow,309<br />
2015-1-6,-6,-8,-12,-8,-11,-17,92,71,49,1030,1024,1018,16,5,1,14,6,19,4.32,7,Fog-Snow,84<br />
2015-1-7,-6,-9,-13,-11,-17,-23,68,52,36,1030,1021,1015,16,15,2,56,29,76,T,4,Snow,296<br />
2015-1-8,-7,-9,-13,-17,-19,-21,63,54,45,1034,1029,1021,16,16,16,37,17,43,0.00,3,,238<br />
2015-1-9,0,-3,-7,-9,-13,-17,56,49,41,1026,1020,1015,16,16,16,40,19,60,0.25,5,,256<br />
2015-1-10,-7,-10,-14,-16,-18,-20,69,54,39,1036,1033,1027,16,16,13,35,15,43,0.00,0,,281<br />
2015-1-11,3,-4,-12,-4,-11,-16,76,58,40,1038,1035,1032,16,16,13,16,7,23,T,7,Rain,127<br />
2015-1-12,3,1,-1,1,-1,-3,100,88,75,1032,1024,1021,16,6,1,23,8,35,12.45,8,Rain,71<br />
2015-1-13,2,-3,-8,-4,-12,-16,70,54,37,1037,1034,1026,16,16,16,27,11,37,0.00,4,,2<br />
2015-1-14,-3,-6,-8,-7,-11,-15,75,66,56,1034,1028,1024,16,13,3,11,6,23,0.25,8,Snow,350<br />
2015-1-15,1,-3,-7,-7,-8,-11,88,66,43,1023,1020,1015,16,15,13,24,9,31,T,4,Snow,300<br />
2015-1-16,4,-1,-7,-4,-8,-14,84,62,39,1025,1016,1012,16,16,13,48,18,63,0.00,3,,304<br />
2015-1-17,0,-5,-10,-8,-12,-16,77,62,46,1030,1026,1021,16,16,16,19,7,26,0.00,3,,129<br />
2015-1-18,1,-3,-8,1,-3,-9,100,89,77,1021,1011,1007,16,7,0,19,4,21,T,6,Fog-Rain,307<br />
2015-1-19,5,2,-2,-2,-3,-6,92,70,48,1014,1013,1010,16,16,16,34,11,40,0.00,7,,299<br />
2015-1-20,4,1,-3,0,-3,-5,100,77,54,1018,1015,1013,16,12,6,16,4,19,T,6,Rain-Snow,321<br />
2015-1-21,-1,-3,-6,-3,-4,-7,100,88,75,1022,1020,1018,14,6,0,13,2,16,5.08,7,Fog-Snow,104<br />
2015-1-22,3,1,-3,-1,-3,-4,100,82,64,1029,1024,1021,16,5,0,26,8,35,T,8,Fog-Snow,311<br />
2015-1-23,4,-2,-7,-1,-3,-8,92,76,59,1028,1021,1012,16,11,1,21,6,26,4.32,6,Fog-Snow,84<br />
