
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,13,6,-3,1,-2,-4,92,62,32,1028,1025,1023,16,15,10,27,9,32,0.00,1,,225<br />
2015-1-2,11,8,6,8,6,1,100,78,56,1027,1025,1023,16,10,2,19,8,21,14.73,7,Rain,227<br />
2015-1-3,9,8,8,8,8,7,100,97,93,1027,1024,1020,13,5,2,21,10,24,15.75,8,Rain,36<br />
2015-1-4,16,12,7,16,10,2,100,84,67,1022,1018,1014,16,8,2,34,12,45,18.03,7,Rain-Thunderstorm,226<br />
2015-1-5,11,6,1,3,-3,-6,86,58,30,1031,1028,1022,16,16,16,32,9,42,0.00,0,,360<br />
2015-1-6,14,6,-3,-2,-4,-7,92,58,24,1028,1023,1019,16,16,16,34,11,43,0.00,0,,247<br />
2015-1-7,4,-3,-10,-3,-9,-20,85,60,35,1034,1023,1019,16,16,16,40,15,63,0.00,0,,332<br />
2015-1-8,-1,-7,-13,-16,-19,-21,63,42,21,1037,1033,1028,16,16,16,24,9,31,0.00,0,,215<br />
2015-1-9,7,1,-5,-10,-13,-16,50,36,22,1027,1024,1021,16,16,16,27,13,39,0.00,1,,238<br />
2015-1-10,6,-1,-7,-10,-14,-16,62,41,19,1035,1032,1027,16,16,16,14,4,26,0.00,0,,64<br />
2015-1-11,6,1,-6,2,-6,-12,100,64,27,1036,1033,1030,16,13,3,19,6,23,16.26,5,Rain-Snow,33<br />
2015-1-12,8,6,2,8,6,2,100,96,92,1030,1024,1020,11,3,1,16,5,21,4.83,8,Fog-Rain,349<br />
2015-1-13,9,6,2,7,6,1,100,93,85,1028,1024,1020,16,7,0,34,17,40,0.51,8,Fog-Rain,56<br />
2015-1-14,6,4,1,2,1,0,100,88,76,1027,1024,1022,16,14,10,24,7,29,0.00,8,,66<br />
2015-1-15,7,4,2,3,2,0,92,81,70,1023,1021,1019,16,14,10,16,6,21,0.00,7,,224<br />
2015-1-16,14,7,-1,1,-2,-4,100,64,28,1023,1020,1017,16,12,0,27,9,39,0.00,1,Fog,310<br />
2015-1-17,14,6,-2,1,-1,-3,85,62,38,1027,1024,1020,16,16,16,27,7,35,0.00,1,,138<br />
2015-1-18,16,9,2,4,-1,-8,92,57,22,1019,1015,1012,16,16,16,34,14,47,0.25,2,Rain,250<br />
2015-1-19,18,9,1,-3,-5,-7,69,44,19,1019,1016,1014,16,16,16,32,13,42,0.00,0,,225<br />
2015-1-20,21,12,4,1,-2,-4,60,41,22,1015,1013,1011,16,16,16,24,13,32,0.00,0,,235<br />
2015-1-21,20,12,4,3,-1,-4,73,47,21,1021,1016,1013,16,16,14,23,5,31,0.00,0,,288<br />
2015-1-22,14,7,-1,0,-3,-6,78,52,26,1027,1024,1021,16,16,11,13,2,16,0.00,2,,119<br />
2015-1-23,8,6,2,3,2,-2,100,75,49,1025,1016,1007,16,7,2,29,17,37,22.61,8,Rain-Snow,29<br />
2015-1-24,13,7,1,6,2,-7,100,64,28,1011,1006,1002,16,9,2,21,9,27,5.08,5,Rain,284<br />
2015-1-25,14,6,-3,0,-2,-3,92,61,30,1013,1010,1006,16,16,16,29,9,37,0.00,1,,216<br />
2015-1-26,14,7,1,4,-1,-6,92,67,41,1009,1005,1003,16,16,16,32,14,48,0.00,3,,304<br />
2015-1-27,9,4,-1,-3,-5,-6,72,55,38,1017,1012,1008,16,16,16,29,14,43,0.00,3,,330<br />
2015-1-28,11,4,-3,-7,-11,-15,56,39,21,1026,1023,1017,16,16,16,19,6,31,0.00,0,,228<br />
2015-1-29,12,5,-2,-2,-5,-8,69,51,32,1026,1023,1016,16,16,16,34,15,42,T,1,,210<br />
2015-1-30,10,6,2,0,-6,-11,70,50,29,1026,1022,1015,16,16,16,34,16,52,0.00,1,,336<br />
2015-1-31,12,4,-4,-4,-9,-12,57,39,21,1028,1026,1025,16,15,1,21,8,24,0.00,0,,224<br />
2015-2-1,14,9,4,11,2,-6,100,72,43,1024,1018,1007,16,14,3,34,10,45,13.21,5,Rain,199<br />
2015-2-2,13,6,-2,12,4,-8,100,67,34,1022,1008,1001,16,15,3,45,21,58,9.14,5,Rain,251<br />
2015-2-3,9,2,-6,-5,-7,-8,81,56,31,1028,1025,1022,16,16,16,16,6,24,0.00,0,,210<br />
2015-2-4,12,5,-2,-2,-5,-8,85,56,26,1026,1022,1017,16,16,16,24,9,29,0.00,0,,218<br />
2015-2-5,9,4,-2,-2,-8,-15,59,40,21,1026,1019,1013,16,16,16,32,15,47,0.00,1,,337<br />
2015-2-6,9,1,-8,-8,-13,-16,73,46,19,1029,1027,1025,16,16,16,21,7,31,0.00,0,,213<br />
2015-2-7,18,8,-1,-6,-8,-11,54,35,16,1024,1021,1018,16,16,14,37,17,48,0.00,0,,216<br />
2015-2-8,20,14,7,6,1,-6,54,43,32,1018,1015,1011,16,16,16,42,23,55,0.00,1,,218<br />
2015-2-9,13,12,11,12,9,3,100,76,51,1011,1008,1005,16,10,2,21,9,24,11.68,8,Rain,247<br />
2015-2-10,15,9,3,8,2,-2,86,65,43,1015,1011,1006,16,16,16,26,12,39,T,4,,354<br />
2015-2-11,14,7,-2,2,-1,-3,85,61,36,1018,1015,1013,16,16,16,19,6,23,0.00,0,,239<br />
2015-2-12,16,6,-3,2,-6,-14,92,56,19,1023,1014,1010,16,16,14,42,13,66,0.00,0,,317<br />
2015-2-13,6,1,-5,-11,-13,-15,55,39,23,1026,1023,1020,16,16,14,16,7,24,0.00,0,,246<br />
2015-2-14,16,5,-6,-2,-8,-15,63,45,27,1020,1013,1008,16,16,16,53,22,74,0.00,2,,246<br />
2015-2-15,4,-2,-8,-11,-19,-25,46,30,13,1026,1023,1014,16,16,16,35,16,58,0.00,1,,12<br />
2015-2-16,2,-1,-3,-2,-10,-18,100,63,26,1025,1018,1009,16,11,2,24,12,31,22.10,8,Rain-Snow,66<br />
2015-2-17,2,0,-2,1,-2,-7,100,86,72,1014,1010,1006,16,10,3,21,7,26,3.81,7,Rain,1<br />
2015-2-18,5,-1,-7,-2,-8,-18,82,59,36,1019,1013,1010,16,16,13,42,16,61,0.00,3,,265<br />
2015-2-19,-1,-6,-11,-17,-19,-21,61,44,27,1026,1022,1019,16,16,14,23,9,29,0.00,0,,338<br />
2015-2-20,1,-6,-13,-14,-17,-19,66,46,25,1032,1029,1025,16,16,16,19,6,23,0.00,3,,139<br />
2015-2-21,7,3,-1,-1,-8,-13,53,43,33,1029,1025,1021,16,16,14,19,6,27,0.00,8,Rain,21<br />
2015-2-22,14,8,2,11,6,0,100,88,76,1022,1021,1020,16,9,2,14,5,19,10.67,8,Rain,221<br />
2015-2-23,14,8,3,9,3,-7,93,66,38,1024,1021,1020,16,15,11,24,12,29,0.25,8,Rain,21<br />
2015-2-24,3,0,-3,-1,-4,-7,100,74,48,1023,1019,1013,16,9,1,24,11,31,1.52,8,Fog-Snow,42<br />
2015-2-25,5,1,-3,1,-2,-4,100,80,59,1015,1011,1006,16,8,2,21,8,27,11.94,5,Snow,18<br />
2015-2-26,6,3,1,1,0,-1,96,83,70,1021,1011,1005,16,13,2,26,8,35,3.05,7,Rain-Snow,20<br />
2015-2-27,12,6,-1,1,-2,-7,96,66,35,1032,1026,1021,16,16,11,16,6,23,0.00,3,,38<br />
2015-2-28,7,3,-1,-5,-7,-11,61,51,40,1039,1036,1033,16,16,16,27,15,35,0.00,4,,42<br />
2015-3-1,7,3,0,6,2,-5,100,80,59,1036,1032,1027,16,7,2,19,9,26,3.30,8,Rain,44<br />
2015-3-2,21,13,6,10,7,1,100,72,44,1026,1023,1022,16,7,0,24,11,29,0.00,6,Fog,255<br />
2015-3-3,12,9,5,7,3,-2,100,71,42,1026,1023,1019,16,11,2,24,10,32,1.52,8,Rain,46<br />
2015-3-4,21,14,7,16,12,7,100,87,73,1018,1015,1011,16,8,1,37,19,52,1.02,7,Rain,208<br />
2015-3-5,19,11,2,18,11,-3,93,82,70,1025,1014,1009,16,15,3,39,21,55,5.08,8,Rain,323<br />
2015-3-6,8,3,-2,-3,-7,-11,75,51,27,1031,1029,1026,16,16,16,24,9,32,0.00,2,,37<br />
2015-3-7,17,7,-3,-2,-6,-7,81,51,20,1030,1027,1024,16,16,13,27,8,35,0.00,0,,212<br />
2015-3-8,23,12,2,-2,-6,-8,64,39,14,1025,1023,1020,16,16,16,29,9,35,0.00,1,,223<br />
2015-3-9,19,15,11,7,3,-5,62,43,24,1024,1022,1021,16,16,14,16,7,24,T,8,Rain,230<br />
2015-3-10,24,18,12,15,11,7,93,71,47,1023,1021,1018,16,16,16,16,5,,0.51,7,Rain,11<br />
2015-3-11,27,21,14,18,15,13,100,74,47,1024,1020,1018,16,14,2,37,11,55,3.30,5,Rain,233<br />
2015-3-12,20,17,13,14,11,1,100,68,36,1030,1026,1024,16,9,0,26,14,32,T,7,Fog-Rain,53<br />
2015-3-13,15,11,6,7,4,-1,100,68,36,1031,1029,1025,16,10,2,27,14,34,12.45,8,Rain,47<br />
2015-3-14,20,14,7,14,9,7,100,84,68,1024,1019,1013,16,11,2,34,13,43,7.87,6,Rain,354<br />
2015-3-15,26,18,11,13,4,-4,100,58,15,1022,1019,1016,16,14,1,29,10,47,0.00,0,Fog,339<br />
2015-3-16,28,18,7,4,-2,-7,60,35,10,1021,1018,1014,16,16,16,24,6,31,0.00,0,,217<br />
2015-3-17,29,19,10,9,4,-3,52,39,25,1015,1012,1009,16,16,14,34,13,48,0.00,0,,314<br />
2015-3-18,18,14,11,8,1,-3,0,0,0,1021,1019,1015,16,16,16,19,9,23,0.00,0,,78<br />
2015-3-19,12,9,6,8,6,-1,100,71,41,1023,1021,1020,16,9,3,26,12,34,8.13,8,Rain,38<br />
2015-3-20,17,12,6,12,8,6,100,84,67,1022,1019,1016,16,14,5,19,8,24,0.00,7,,33<br />
2015-3-21,23,15,6,11,8,6,100,69,38,1020,1018,1016,16,9,0,16,5,23,0.00,1,Fog,221<br />
2015-3-22,18,16,12,13,11,7,93,74,55,1019,1016,1014,16,16,14,19,5,23,1.27,6,Rain,220<br />
2015-3-23,19,15,11,12,11,9,100,76,52,1020,1016,1014,16,15,8,27,9,34,T,4,,78<br />
2015-3-24,23,16,8,9,8,6,93,65,37,1022,1020,1019,16,15,11,21,9,29,0.00,2,,126<br />
2015-3-25,16,14,11,14,12,10,100,89,77,1024,1021,1019,16,12,5,21,11,24,0.51,7,Rain,30<br />
2015-3-26,23,18,13,15,13,10,100,75,49,1019,1013,1006,16,13,1,35,15,43,0.00,6,,229<br />
2015-3-27,17,11,4,14,7,-2,93,73,53,1012,1007,1004,16,16,11,26,11,37,2.54,8,Rain,19<br />
2015-3-28,12,6,0,-2,-8,-12,70,45,19,1024,1017,1013,16,16,16,29,12,39,0.00,0,,347<br />
2015-3-29,13,5,-4,-8,-9,-12,74,45,16,1030,1026,1023,16,16,16,26,11,35,0.00,0,,189<br />
2015-3-30,23,14,4,9,2,-7,92,59,25,1022,1018,1014,16,16,6,32,13,42,5.59,4,Rain,236<br />
2015-3-31,26,14,3,11,3,0,73,49,24,1017,1013,1009,16,16,16,42,14,52,0.00,1,,236<br />
2015-4-1,24,18,12,12,6,1,93,57,21,1021,1015,1010,16,16,16,19,9,27,0.00,0,,131<br />
2015-4-2,16,14,12,14,11,4,100,78,55,1026,1023,1021,16,10,2,16,6,24,11.68,7,Rain-Thunderstorm,52<br />
2015-4-3,27,19,12,15,12,7,100,65,30,1021,1017,1011,16,8,0,39,19,50,0.25,6,Fog,220<br />
2015-4-4,19,14,9,15,3,-7,90,55,19,1025,1018,1011,16,16,16,37,16,53,0.25,3,,339<br />
2015-4-5,18,12,5,-1,-5,-7,43,31,19,1028,1025,1024,16,16,16,21,7,27,0.00,0,,65<br />
2015-4-6,22,16,10,14,8,-1,90,66,41,1026,1024,1022,16,16,13,14,6,23,2.29,5,Rain,17<br />
2015-4-7,26,21,15,18,16,15,100,82,64,1023,1022,1019,16,9,1,32,9,47,31.24,8,Fog-Rain-Thunderstorm,110<br />
2015-4-8,29,22,15,18,16,13,100,70,40,1022,1019,1016,16,9,0,23,9,27,0.00,2,Fog,221<br />
2015-4-9,31,24,17,17,16,16,93,69,44,1019,1017,1015,16,16,11,34,14,50,0.00,2,Thunderstorm,209<br />
2015-4-10,26,23,20,18,17,15,84,72,60,1017,1015,1013,16,16,16,42,19,56,T,3,Thunderstorm,216<br />
2015-4-11,26,20,14,18,7,1,87,54,20,1020,1017,1015,16,16,16,23,9,31,0.00,1,,357<br />
2015-4-12,22,18,13,11,6,-1,69,52,35,1025,1023,1021,16,14,5,23,11,27,0.00,3,,64<br />
2015-4-13,22,18,15,18,16,11,93,83,72,1025,1022,1020,16,11,3,19,10,24,11.18,8,Rain,49<br />
2015-4-14,27,23,19,21,18,17,100,77,54,1020,1017,1013,16,13,2,35,15,42,9.91,6,Rain,200<br />
2015-4-15,20,15,10,17,13,9,100,91,81,1025,1020,1015,16,11,2,32,20,42,27.69,8,Rain,39<br />
2015-4-16,14,12,9,12,10,8,100,92,83,1027,1025,1023,16,11,2,27,17,37,1.27,8,Rain,36<br />
2015-4-17,22,17,12,18,15,12,100,87,73,1023,1019,1016,16,12,2,14,7,21,8.89,8,Rain,59<br />
2015-4-18,25,21,16,17,16,16,100,80,60,1017,1015,1012,16,9,1,21,6,24,1.02,7,Fog-Rain,152<br />
2015-4-19,21,19,18,20,18,17,100,97,93,1015,1010,1005,16,12,1,26,13,34,40.89,8,Fog-Rain,150<br />
2015-4-20,23,18,13,17,16,11,100,84,68,1008,1006,1003,16,15,3,39,16,52,3.05,7,Rain-Thunderstorm,223<br />
2015-4-21,22,14,7,11,4,1,86,57,27,1013,1011,1007,16,16,16,34,10,50,0.00,0,,266<br />
2015-4-22,26,17,7,11,5,3,83,54,25,1014,1011,1008,16,16,16,40,17,56,T,2,Rain,245<br />
2015-4-23,24,17,11,12,5,-2,93,63,32,1014,1011,1009,16,16,16,19,9,29,0.00,0,,7<br />
2015-4-24,22,16,10,6,-2,-6,55,39,23,1019,1015,1013,16,16,16,24,11,39,0.00,0,,330<br />
2015-4-25,17,15,12,16,13,6,100,79,57,1013,1008,1001,16,10,4,23,9,26,5.33,7,Rain,223<br />
2015-4-26,25,18,12,18,14,11,100,77,54,1009,1002,1000,16,8,1,27,10,35,1.02,6,Fog-Rain,100<br />
2015-4-27,22,16,9,11,7,2,100,64,27,1012,1010,1008,16,16,14,23,7,31,0.00,4,,13<br />
2015-4-28,22,16,9,9,4,3,77,57,36,1015,1013,1010,16,16,16,19,7,27,0.00,0,,86<br />
2015-4-29,19,15,11,12,9,8,93,75,56,1010,1008,1007,16,16,10,19,6,24,1.02,4,,210<br />
2015-4-30,24,17,10,11,8,5,100,68,35,1010,1006,1004,16,16,10,32,7,42,T,5,Rain,296<br />
2015-5-1,21,15,9,7,6,3,71,57,42,1017,1013,1009,16,16,16,24,12,35,0.00,3,,341<br />
2015-5-2,25,17,9,9,7,3,80,53,25,1019,1017,1015,16,16,16,23,7,26,0.00,0,,288<br />
2015-5-3,26,18,11,11,9,7,83,58,32,1023,1020,1018,16,16,16,26,9,34,0.00,1,,211<br />
2015-5-4,27,20,12,12,11,9,86,60,33,1026,1024,1022,16,16,16,21,10,29,0.00,2,,206<br />
2015-5-5,28,21,14,14,13,12,93,66,39,1027,1025,1022,16,16,14,23,7,31,0.00,1,,188<br />
2015-5-6,28,20,12,14,12,10,93,64,35,1024,1022,1019,16,16,11,24,5,32,0.00,0,,97<br />
2015-5-7,28,22,15,17,14,12,84,63,42,1021,1019,1017,16,16,14,26,8,32,0.00,0,,45<br />
2015-5-8,30,24,18,16,14,12,84,61,37,1021,1018,1015,16,16,13,26,11,39,0.00,0,,39<br />
2015-5-9,29,23,16,17,14,13,90,64,37,1021,1019,1017,16,16,16,26,12,35,0.00,1,,24<br />
2015-5-10,31,24,18,19,17,16,87,64,40,1020,1018,1016,16,16,16,29,11,40,0.00,2,,33<br />
2015-5-11,32,26,18,21,19,17,93,68,43,1020,1018,1016,16,15,4,29,11,47,5.08,2,Rain-Thunderstorm,203<br />
2015-5-12,31,25,19,20,17,7,100,68,35,1020,1018,1016,16,11,2,26,10,34,0.00,1,Rain-Thunderstorm,235<br />
2015-5-13,29,23,17,12,8,5,63,43,23,1024,1021,1018,16,16,16,16,6,27,0.00,0,,11<br />
2015-5-14,24,19,14,16,11,6,81,65,48,1029,1025,1023,16,16,16,29,13,35,0.00,1,,57<br />
2015-5-15,27,22,17,18,16,14,93,72,51,1027,1024,1022,16,15,8,23,8,32,T,6,Rain,175<br />
2015-5-16,28,23,17,17,17,16,93,72,51,1024,1023,1021,16,16,13,23,11,29,0.00,2,,209<br />
