
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,8,4,1,3,-1,-4,82,64,45,1029,1027,1025,16,16,13,11,2,23,1.52,8,Rain,129<br />
2015-1-2,10,8,6,9,7,3,93,88,82,1028,1024,1020,16,9,2,23,10,27,17.78,8,Rain,107<br />
2015-1-3,18,14,11,17,14,9,100,90,80,1021,1016,1012,16,10,2,42,18,50,40.89,8,Rain-Thunderstorm,147<br />
2015-1-4,18,11,4,17,7,-2,93,78,63,1032,1022,1012,16,15,5,29,19,40,3.56,7,Rain,276<br />
2015-1-5,4,1,-2,-2,-6,-8,70,57,44,1039,1034,1029,16,16,14,26,12,35,0.00,3,,9<br />
2015-1-6,9,3,-3,-2,-3,-5,85,64,42,1030,1028,1026,16,16,16,24,9,29,0.00,1,,312<br />
2015-1-7,1,-5,-11,-5,-12,-19,66,56,45,1043,1034,1027,16,16,16,42,22,58,T,4,Snow,353<br />
2015-1-8,0,-7,-14,-12,-16,-20,63,46,29,1042,1034,1027,16,16,16,32,11,39,0.00,1,,131<br />
2015-1-9,4,-1,-6,-9,-11,-14,59,47,34,1034,1030,1028,16,16,16,21,9,45,0.00,2,,304<br />
2015-1-10,6,-1,-8,-9,-13,-16,58,39,20,1036,1033,1031,16,16,16,23,6,29,0.00,1,,54<br />
2015-1-11,9,5,1,4,-3,-9,65,51,36,1032,1029,1025,16,16,16,29,16,35,T,8,Rain,123<br />
2015-1-12,11,8,6,9,7,3,100,91,82,1026,1023,1021,16,6,0,29,11,37,22.86,8,Fog-Rain,70<br />
2015-1-13,6,3,1,3,0,-1,89,84,79,1029,1028,1026,16,9,3,32,17,37,T,8,Rain,8<br />
2015-1-14,3,1,-2,-1,-2,-3,89,80,70,1028,1026,1024,16,10,2,14,8,19,T,6,Rain,2<br />
2015-1-15,2,0,-2,-1,-2,-4,92,84,75,1025,1024,1022,11,8,2,11,3,16,1.52,7,Rain-Snow,294<br />
2015-1-16,11,4,-3,0,-2,-5,92,68,44,1027,1024,1023,16,7,0,11,2,26,0.00,0,Fog,103<br />
2015-1-17,16,7,-2,1,-2,-4,85,57,29,1023,1020,1017,16,15,11,27,12,35,0.00,1,,154<br />
2015-1-18,15,9,2,3,-1,-4,70,49,28,1022,1020,1016,16,16,14,29,12,37,0.00,1,,259<br />
2015-1-19,19,10,1,1,-2,-3,75,50,24,1021,1017,1015,16,16,16,26,10,34,0.00,4,,174<br />
2015-1-20,18,11,4,4,2,-1,70,55,39,1017,1015,1013,16,16,16,21,6,23,0.00,4,,243<br />
2015-1-21,16,9,2,3,-1,-3,82,57,32,1024,1021,1017,16,16,16,19,6,29,0.00,2,,335<br />
2015-1-22,9,5,1,1,-1,-2,82,64,46,1028,1026,1023,16,16,16,27,12,35,0.51,7,Rain,21<br />
2015-1-23,6,5,3,4,3,1,92,86,79,1023,1015,1011,16,8,3,32,15,35,11.18,8,Rain,22<br />
2015-1-24,10,6,1,1,-1,-3,92,71,50,1017,1014,1011,16,14,6,24,11,32,1.02,4,Snow,290<br />
2015-1-25,15,7,-1,4,2,-3,85,65,44,1014,1009,1005,16,16,11,39,13,50,T,4,Rain,213<br />
2015-1-26,8,6,3,4,1,-2,89,73,57,1017,1013,1008,16,16,11,35,15,47,T,8,,305<br />
2015-1-27,12,6,0,2,-1,-3,89,64,38,1023,1018,1012,16,16,13,32,13,42,0.00,3,,347<br />
2015-1-28,13,7,-1,-1,-3,-4,75,55,35,1027,1024,1023,16,16,16,24,10,29,0.00,3,,83<br />
2015-1-29,18,11,3,7,2,-3,70,55,40,1026,1022,1018,16,16,13,40,19,52,T,5,,232<br />
2015-1-30,9,5,0,-1,-4,-7,65,48,31,1032,1029,1027,16,16,16,32,15,47,0.00,4,,6<br />
2015-1-31,12,5,-3,-3,-7,-11,78,49,19,1030,1026,1022,16,16,16,19,6,23,0.00,6,,92<br />
2015-2-1,16,12,7,13,7,-5,93,65,37,1021,1012,1006,16,13,3,39,19,52,12.70,7,Rain,201<br />
2015-2-2,11,4,-3,9,-2,-7,92,72,52,1027,1020,1009,16,15,1,37,18,53,0.51,6,Rain-Snow,320<br />
2015-2-3,9,2,-5,-3,-6,-7,81,59,37,1030,1027,1025,16,16,14,10,2,11,0.00,3,,62<br />
2015-2-4,11,5,-2,1,-2,-5,85,62,38,1025,1022,1020,16,16,16,16,6,23,0.00,6,,145<br />
2015-2-5,7,2,-2,1,-6,-11,79,57,34,1029,1025,1020,16,16,13,42,19,50,T,4,Rain,7<br />
2015-2-6,12,4,-4,-6,-9,-12,74,46,18,1031,1028,1025,16,16,16,13,3,19,0.00,2,,130<br />
2015-2-7,19,9,-1,-1,-6,-8,69,43,16,1025,1021,1017,16,16,16,29,13,37,0.00,0,,171<br />
2015-2-8,19,14,8,12,8,2,77,62,46,1018,1014,1011,16,16,16,35,15,47,0.76,5,Rain,205<br />
2015-2-9,16,10,3,12,7,-1,86,69,51,1017,1012,1009,16,14,10,35,17,45,T,7,Rain,311<br />
2015-2-10,8,3,-2,-2,-3,-4,78,64,49,1020,1018,1017,16,15,11,35,15,45,0.00,5,,11<br />
2015-2-11,15,6,-4,1,-2,-6,92,63,33,1020,1019,1017,16,14,6,19,5,29,0.00,1,,323<br />
2015-2-12,6,1,-4,0,-7,-13,76,56,35,1029,1025,1019,16,16,13,37,22,48,0.00,5,,348<br />
2015-2-13,6,0,-6,-8,-11,-13,68,48,27,1030,1026,1023,16,16,16,27,6,32,0.00,3,,354<br />
2015-2-14,17,6,-4,-2,-6,-14,75,52,29,1026,1020,1015,16,16,16,40,13,52,0.00,2,,313<br />
2015-2-15,1,-3,-8,-14,-17,-19,49,37,24,1030,1027,1022,16,16,16,35,17,42,0.00,5,,37<br />
2015-2-16,9,3,-4,3,-3,-15,100,65,29,1021,1012,1007,16,9,2,32,14,45,34.29,8,Rain,32<br />
2015-2-17,-1,-3,-6,-6,-8,-9,92,75,58,1021,1019,1016,16,16,13,26,14,34,T,7,Snow,344<br />
2015-2-18,1,-3,-7,-3,-7,-11,88,71,54,1027,1021,1016,16,13,2,39,18,53,T,5,Snow,296<br />
2015-2-19,-3,-7,-12,-12,-15,-18,73,58,42,1032,1030,1027,16,16,16,26,12,37,0.00,2,,345<br />
2015-2-20,2,-2,-6,-4,-8,-14,81,66,50,1030,1026,1021,16,12,1,37,16,56,3.05,8,Rain-Snow,119<br />
2015-2-21,14,8,2,11,0,-8,96,66,36,1021,1016,1012,16,13,2,45,26,58,25.40,8,Rain,169<br />
2015-2-22,8,5,2,6,3,0,92,84,76,1028,1023,1018,16,8,3,32,16,40,1.52,8,Rain,13<br />
2015-2-23,4,2,-2,-1,-5,-8,89,70,50,1031,1029,1025,16,13,6,34,20,42,1.27,7,Rain,8<br />
2015-2-24,4,1,-2,-3,-7,-9,85,63,40,1026,1020,1016,16,16,16,21,8,26,T,7,,330<br />
2015-2-25,3,0,-3,-1,-3,-7,92,70,48,1017,1011,1008,16,7,0,24,7,27,16.00,7,Fog-Snow,44<br />
2015-2-26,7,2,-2,-1,-2,-5,92,73,53,1026,1016,1009,16,12,1,26,8,34,0.25,6,Fog-Snow,332<br />
2015-2-27,3,1,-3,-5,-8,-9,69,57,44,1034,1032,1027,16,16,16,29,17,37,0.00,5,,11<br />
2015-2-28,13,6,-1,1,-3,-8,63,54,44,1035,1032,1029,16,16,16,35,14,47,0.00,6,,89<br />
2015-3-1,12,11,8,10,7,2,93,75,56,1030,1028,1026,16,8,1,29,12,37,9.91,8,Rain,118<br />
2015-3-2,11,8,4,9,6,2,93,82,71,1030,1027,1023,16,10,1,34,10,42,4.32,8,Fog-Rain,16<br />
2015-3-3,19,14,8,17,13,6,97,92,86,1023,1018,1014,16,8,1,29,10,42,6.60,8,Fog-Rain,142<br />
2015-3-4,25,14,3,18,13,1,93,77,60,1016,1013,1008,16,15,8,47,23,63,1.27,8,Rain,224<br />
2015-3-5,3,-1,-6,1,-4,-10,92,80,68,1033,1024,1016,16,11,2,35,23,48,26.16,7,Rain-Snow,356<br />
2015-3-6,5,-2,-9,-3,-8,-12,85,63,41,1035,1033,1032,16,16,16,23,7,26,0.00,0,,358<br />
2015-3-7,16,6,-4,-1,-3,-7,92,58,23,1033,1030,1027,16,15,11,19,4,23,0.00,0,,185<br />
2015-3-8,19,9,-1,6,-1,-4,89,56,22,1027,1025,1023,16,16,16,29,9,39,0.25,5,Rain,124<br />
2015-3-9,16,12,8,11,8,6,93,78,62,1024,1022,1019,16,14,4,23,9,29,10.92,8,Rain,99<br />
2015-3-10,21,17,12,18,15,11,93,87,81,1019,1016,1015,16,11,3,32,15,42,17.27,8,Rain,166<br />
2015-3-11,22,18,14,17,15,12,97,79,61,1025,1021,1017,16,9,1,24,7,29,18.54,8,Fog-Rain,5<br />
2015-3-12,20,17,13,15,13,10,93,79,65,1026,1024,1023,16,14,8,37,16,47,0.51,8,Rain,87<br />
2015-3-13,16,13,11,13,10,8,89,78,67,1024,1021,1018,16,15,6,42,28,53,4.32,8,Rain,125<br />
2015-3-14,19,15,11,16,13,9,96,89,81,1021,1018,1016,16,11,2,24,8,27,3.81,8,Rain,162<br />
2015-3-15,24,17,9,14,10,6,90,62,33,1026,1023,1020,16,13,4,21,6,24,T,3,Rain,10<br />
2015-3-16,26,17,7,12,8,6,92,62,32,1024,1021,1017,16,16,10,14,3,19,0.00,1,Fog,281<br />
2015-3-17,27,19,12,14,12,6,86,66,45,1019,1017,1015,16,16,14,37,12,47,0.00,4,,317<br />
2015-3-18,22,17,11,6,3,1,66,49,31,1022,1019,1016,16,16,16,21,14,,0.25,7,Rain,23<br />
2015-3-19,18,14,11,14,11,7,89,80,71,1018,1016,1015,16,11,4,11,4,,4.83,8,Rain,76<br />
2015-3-20,17,15,12,13,12,10,93,86,78,1021,1019,1018,16,11,2,21,9,24,0.51,8,Rain,46<br />
2015-3-21,18,14,11,10,8,6,83,68,52,1023,1021,1019,16,16,13,21,7,26,0.00,8,,1<br />
2015-3-22,16,14,12,12,10,8,89,77,64,1019,1016,1014,16,13,8,34,12,45,5.84,8,Rain,75<br />
2015-3-23,24,17,11,11,9,8,83,61,38,1019,1016,1015,16,16,16,24,10,34,T,3,Rain,55<br />
2015-3-24,24,17,9,12,10,8,93,67,41,1022,1019,1016,16,16,16,24,11,31,0.00,2,,161<br />
2015-3-25,26,19,13,13,12,11,86,63,40,1021,1017,1014,16,16,16,24,12,31,0.00,4,,168<br />
2015-3-26,26,17,8,15,11,6,86,65,43,1014,1012,1008,16,16,11,37,19,48,1.78,7,Rain,293<br />
2015-3-27,13,8,3,5,2,-1,86,64,41,1020,1016,1013,16,15,2,45,18,58,1.78,6,Rain,345<br />
2015-3-28,11,5,-1,-1,-6,-9,82,55,27,1027,1024,1020,16,16,16,24,10,31,0.00,2,,352<br />
2015-3-29,17,7,-3,4,-2,-9,92,61,30,1029,1025,1019,16,16,16,27,15,37,0.00,3,,150<br />
2015-3-30,21,16,10,13,9,-1,100,68,35,1023,1020,1016,16,11,3,50,10,69,16.26,5,Rain-Thunderstorm,269<br />
2015-3-31,25,16,7,16,12,5,86,72,57,1019,1015,1012,16,15,8,40,9,53,7.62,5,Rain-Thunderstorm,238<br />
2015-4-1,27,18,10,14,12,0,100,69,37,1019,1017,1014,16,10,0,14,5,19,0.00,3,Fog-Rain,204<br />
2015-4-2,26,22,17,17,16,12,84,70,56,1019,1017,1015,16,16,16,37,17,50,T,6,Rain-Thunderstorm,187<br />
2015-4-3,28,21,12,19,15,8,78,63,47,1020,1015,1011,16,15,2,47,24,60,5.84,6,Rain-Thunderstorm,239<br />
2015-4-4,18,13,7,7,3,-1,71,51,30,1027,1024,1020,16,16,16,32,17,37,0.00,2,,9<br />
2015-4-5,21,12,3,6,2,-2,79,52,24,1025,1022,1020,16,16,16,29,12,42,0.00,5,,115<br />
2015-4-6,21,18,14,18,14,5,100,74,48,1022,1020,1019,16,10,2,27,13,34,12.95,8,Rain,124<br />
2015-4-7,25,21,17,18,18,16,93,81,69,1022,1020,1018,16,12,6,35,11,42,T,7,Rain,165<br />
2015-4-8,29,22,14,20,17,14,97,74,51,1020,1018,1014,16,11,1,27,10,35,0.00,2,Fog,186<br />
2015-4-9,28,23,19,18,17,16,87,67,47,1019,1016,1013,16,16,16,34,16,45,0.00,5,,196<br />
2015-4-10,24,19,14,19,16,9,93,76,58,1020,1016,1013,16,14,1,29,13,43,22.35,7,Rain-Thunderstorm,271<br />
2015-4-11,24,16,8,7,6,4,82,55,27,1023,1021,1019,16,16,16,26,11,35,0.00,2,,18<br />
2015-4-12,27,18,9,17,9,6,86,59,31,1022,1020,1018,16,16,16,40,13,48,0.00,5,,132<br />
2015-4-13,23,21,18,21,18,14,93,81,68,1020,1017,1015,16,11,2,27,15,35,6.86,8,Rain,134<br />
