
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,14,10,6,9,7,5,95,83,68,1028,1026,1024,16,16,16,23,13,,0.00,2,,57<br />
2015-1-2,18,14,11,17,13,7,96,85,72,1026,1023,1021,16,14,6,19,13,,0.00,8,,112<br />
2015-1-3,22,19,17,21,19,16,100,96,88,1022,1020,1017,16,6,0,24,16,,0.00,8,Fog,137<br />
2015-1-4,21,16,10,20,16,6,100,89,70,1029,1022,1017,16,15,5,24,14,34,13.21,7,Rain-Thunderstorm,312<br />
2015-1-5,13,8,3,4,2,0,90,69,41,1034,1032,1030,16,16,16,26,13,35,0.00,5,,7<br />
2015-1-6,18,9,1,4,1,-1,91,66,28,1032,1029,1026,16,16,11,19,8,,0.00,2,,335<br />
2015-1-7,15,8,-1,1,-3,-11,85,52,28,1035,1028,1025,16,16,10,39,16,58,0.00,2,,4<br />
2015-1-8,4,-1,-7,-9,-14,-17,67,43,23,1036,1033,1029,16,16,16,32,19,39,0.00,1,,30<br />
2015-1-9,6,2,-2,-3,-7,-11,65,49,38,1031,1029,1028,16,16,16,23,13,27,0.00,6,,18<br />
2015-1-10,13,7,0,-6,-8,-12,59,38,19,1033,1031,1029,16,16,16,24,13,,0.00,4,,43<br />
2015-1-11,16,10,5,11,6,-5,81,68,43,1031,1028,1024,16,16,16,16,11,,0.00,7,Rain,79<br />
2015-1-12,18,16,13,17,14,11,100,95,83,1024,1022,1020,16,5,0,14,6,,0.51,8,Fog-Rain,106<br />
2015-1-13,16,12,9,15,12,7,100,92,82,1025,1023,1021,16,9,0,21,11,,0.25,8,Fog-Rain,17<br />
2015-1-14,13,10,7,7,6,5,88,80,64,1026,1024,1022,16,15,8,23,16,35,0.00,7,,12<br />
2015-1-15,9,8,7,9,7,5,100,92,81,1025,1022,1020,16,13,4,19,10,,11.18,8,Rain,40<br />
2015-1-16,14,9,3,7,3,0,95,78,44,1026,1024,1022,16,16,16,21,13,,0.00,5,,4<br />
2015-1-17,15,9,2,10,6,1,94,80,58,1026,1023,1021,16,16,16,10,5,,0.00,3,,98<br />
2015-1-18,19,11,3,8,4,-2,96,67,23,1024,1022,1020,16,16,16,24,10,35,0.00,2,,335<br />
2015-1-19,17,8,-1,7,2,-2,89,67,33,1025,1022,1018,16,16,16,10,2,,0.00,1,,199<br />
2015-1-20,20,12,4,14,10,3,100,84,59,1019,1017,1016,16,16,11,19,5,,0.00,4,Fog,117<br />
