
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-12,-16,-21,-18,-20,-23,87,75,63,1037,1034,1028,16,16,14,10,2,10,0.00,0,,278<br />
2015-1-2,-8,-13,-18,-10,-13,-19,92,84,76,1032,1021,1014,16,8,1,10,1,10,2.03,8,Fog-Snow,265<br />
2015-1-3,-3,-6,-8,-7,-9,-11,92,83,74,1027,1024,1015,16,10,2,14,3,16,0.76,7,Snow,127<br />
2015-1-4,-6,-7,-7,-7,-8,-8,92,88,84,1030,1024,1017,8,3,1,19,7,23,7.62,8,Snow,133<br />
2015-1-5,2,-2,-7,0,-2,-8,100,92,84,1029,1022,1015,16,5,2,14,3,21,11.94,8,Rain-Snow,286<br />
2015-1-6,3,1,-2,1,0,-2,100,95,89,1035,1031,1028,16,8,0,14,4,18,T,2,Fog,203<br />
2015-1-7,-1,-4,-8,-2,-5,-9,100,87,74,1036,1032,1026,16,9,0,23,7,26,0.00,1,Fog,89<br />
2015-1-8,-1,-6,-11,-4,-9,-13,100,79,57,1038,1030,1026,16,6,0,48,11,58,T,5,Fog,277<br />
2015-1-9,-6,-7,-9,-11,-13,-14,88,72,56,1034,1029,1023,16,16,16,32,9,39,0.00,5,,105<br />
2015-1-10,-3,-7,-10,-6,-9,-12,88,81,73,1025,1021,1015,16,15,5,8,1,10,0.25,7,Snow,292<br />
2015-1-11,-1,-3,-4,-3,-4,-6,92,87,81,1027,1021,1016,16,6,1,10,1,11,1.78,8,Snow,142<br />
2015-1-12,2,0,-2,-3,-3,-4,92,81,69,1031,1027,1023,16,15,8,19,2,24,T,8,,326<br />
2015-1-13,1,-1,-3,-3,-4,-5,100,85,69,1035,1033,1029,16,16,11,14,3,19,T,8,,8<br />
2015-1-14,-1,-6,-11,-5,-8,-12,100,85,69,1035,1032,1029,16,11,0,14,3,16,0.00,4,Fog,155<br />
2015-1-15,-6,-9,-14,-7,-11,-15,100,89,77,1034,1028,1020,16,5,0,13,3,13,T,5,Fog,282<br />
2015-1-16,6,-1,-8,-3,-6,-9,100,77,54,1027,1019,1013,16,11,6,39,6,47,T,7,,321<br />
2015-1-17,0,-4,-8,-2,-4,-9,100,83,66,1030,1022,1016,16,10,2,14,4,18,1.78,6,Rain-Snow,294<br />
2015-1-18,6,2,-2,1,-1,-3,100,77,53,1022,1015,1012,16,7,0,40,11,52,3.81,7,Fog-Rain,300<br />
2015-1-19,4,2,-1,1,-1,-3,96,78,59,1028,1025,1023,16,16,10,19,7,24,0.25,8,Rain,318<br />
2015-1-20,2,-1,-4,-2,-4,-6,92,81,69,1032,1030,1025,16,15,6,21,2,21,T,7,Snow,356<br />
2015-1-21,-2,-7,-12,-7,-9,-12,92,80,68,1035,1033,1029,16,16,4,11,2,13,0.00,0,,231<br />
2015-1-22,-1,-6,-11,-4,-8,-12,92,81,69,1035,1033,1027,16,15,8,10,1,11,0.00,6,,194<br />
2015-1-23,4,0,-4,-1,-3,-5,89,77,64,1037,1034,1029,16,15,11,16,4,19,T,7,,288<br />
2015-1-24,5,3,0,3,1,-1,100,93,85,1029,1028,1025,16,14,8,14,5,16,0.76,8,Rain,93<br />
2015-1-25,9,4,-1,3,0,-2,100,80,60,1028,1026,1023,16,6,0,14,3,21,0.00,5,Fog,279<br />
2015-1-26,6,1,-4,0,-2,-4,100,84,67,1027,1023,1021,16,15,4,14,2,18,0.00,0,,312<br />
2015-1-27,3,-2,-6,-1,-4,-7,100,88,76,1022,1020,1018,16,10,1,10,1,11,0.00,1,Fog,266<br />
2015-1-28,8,2,-4,0,-3,-4,100,77,53,1034,1029,1020,16,13,8,16,3,24,0.00,2,,317<br />
2015-1-29,2,-3,-8,-3,-6,-9,100,82,64,1036,1033,1031,16,12,0,8,2,10,0.00,0,Fog,266<br />
2015-1-30,2,-4,-10,-4,-8,-11,100,85,69,1033,1029,1026,16,9,0,13,2,14,0.00,1,Fog,296<br />
2015-1-31,5,-1,-7,-3,-5,-7,96,75,54,1028,1025,1020,16,15,11,32,10,40,0.00,4,,356<br />
2015-2-1,-1,-2,-4,-3,-5,-8,100,84,68,1028,1021,1016,16,7,1,21,8,26,2.03,7,Fog-Snow,271<br />
2015-2-2,3,-2,-7,-1,-4,-8,100,91,82,1022,1017,1010,16,6,0,16,5,21,T,7,Fog,148<br />
2015-2-3,6,2,-3,1,-1,-3,92,78,64,1022,1017,1013,16,16,16,23,3,24,T,6,,282<br />
2015-2-4,2,0,-3,0,-1,-3,100,91,82,1024,1021,1016,16,10,1,10,2,11,0.25,8,Fog-Rain-Snow,297<br />
2015-2-5,9,4,-1,2,0,-1,100,83,65,1018,1013,1011,16,6,0,26,5,37,T,8,Fog-Rain,289<br />
