
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-12,-18,-24,-18,-22,-26,92,78,63,1034,1031,1028,16,14,10,13,5,16,0.00,0,Snow,157<br />
2015-1-2,-3,-13,-22,-5,-12,-24,88,80,71,1029,1019,1009,16,11,2,14,6,16,0.51,6,Snow,220<br />
2015-1-3,-4,-10,-16,-6,-14,-18,88,77,66,1032,1021,1010,16,9,0,39,8,45,2.03,8,Fog-Snow,270<br />
2015-1-4,-13,-14,-16,-16,-17,-18,86,80,73,1035,1030,1021,16,11,3,13,5,14,T,8,Snow,256<br />
2015-1-5,6,-4,-13,-1,-5,-16,89,77,64,1028,1023,1019,16,15,10,11,3,13,0.00,8,,273<br />
2015-1-6,8,1,-8,0,-4,-11,78,68,58,1041,1031,1026,16,16,16,24,9,31,0.00,5,,310<br />
2015-1-7,-7,-11,-14,-10,-12,-16,91,79,67,1043,1036,1024,16,16,13,19,4,21,0.00,2,,64<br />
2015-1-8,-4,-8,-13,-8,-12,-14,92,79,65,1042,1034,1028,16,10,3,35,10,39,T,7,Snow,218<br />
2015-1-9,-9,-11,-13,-12,-13,-15,92,84,76,1037,1029,1020,16,16,10,11,5,13,0.00,5,,124<br />
2015-1-10,-2,-8,-15,-4,-10,-16,92,83,74,1023,1020,1012,16,15,10,13,3,14,0.00,4,,186<br />
2015-1-11,1,-2,-4,-1,-3,-6,92,87,82,1027,1020,1014,16,5,1,21,5,26,2.79,8,Rain-Snow,266<br />
2015-1-12,-3,-5,-7,-5,-6,-7,96,89,81,1029,1025,1022,16,7,0,10,2,11,T,7,Fog,53<br />
2015-1-13,-3,-9,-16,-6,-9,-16,92,80,68,1035,1032,1027,16,12,0,13,5,14,0.00,4,Fog,114<br />
2015-1-14,-4,-12,-19,-10,-14,-18,92,80,68,1035,1033,1032,16,16,10,14,5,18,0.00,0,,159<br />
2015-1-15,0,-9,-18,-9,-13,-19,95,83,71,1034,1029,1023,16,15,8,19,7,24,0.00,1,,156<br />
2015-1-16,7,0,-8,-2,-5,-10,77,61,45,1022,1015,1010,16,16,16,40,17,52,0.00,5,,255<br />
2015-1-17,3,-3,-10,-3,-8,-12,80,64,47,1028,1023,1016,16,16,16,24,6,26,0.00,3,,125<br />
2015-1-18,10,6,1,1,-2,-6,85,64,42,1019,1015,1011,16,16,14,47,13,55,0.25,6,Rain,255<br />
2015-1-19,5,1,-3,-4,-6,-8,85,67,48,1025,1023,1019,16,16,16,39,9,50,0.00,5,,236<br />
2015-1-20,2,-1,-4,-4,-6,-8,85,71,56,1030,1028,1023,16,15,3,26,5,34,T,7,Snow,53<br />
