
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,24,22,18,22,21,18,100,91,82,1024,1022,1021,16,12,0,26,12,31,4.57,7,Fog-Rain,15<br />
2015-1-2,24,22,19,22,20,19,100,92,84,1025,1023,1022,16,9,0,16,9,21,T,7,Fog-Rain,19<br />
2015-1-3,28,26,23,22,22,22,93,84,74,1025,1023,1022,16,16,16,29,16,39,0.00,2,,136<br />
2015-1-4,29,25,20,22,21,18,100,76,51,1025,1023,1022,16,15,5,34,12,43,0.51,1,Rain,178<br />
2015-1-5,22,19,17,20,17,13,100,83,66,1029,1027,1023,16,16,16,34,17,40,0.00,5,,352<br />
2015-1-6,27,21,14,19,16,13,100,82,64,1027,1025,1023,16,16,16,14,6,19,0.00,3,,322<br />
2015-1-7,22,16,9,14,3,-4,97,62,27,1024,1022,1020,16,16,16,24,14,32,0.00,0,,314<br />
2015-1-8,18,12,5,9,6,0,70,59,48,1028,1026,1024,16,16,16,48,28,60,0.00,3,,15<br />
2015-1-9,21,16,11,14,11,9,89,75,60,1026,1024,1022,16,16,16,29,14,34,0.00,4,,339<br />
2015-1-10,21,15,9,14,10,3,93,76,58,1029,1027,1025,16,16,13,34,17,42,0.00,3,,336<br />
2015-1-11,26,19,12,21,17,6,100,84,67,1028,1026,1024,16,12,2,26,12,37,4.06,6,Rain,56<br />
2015-1-12,26,22,18,21,19,16,90,82,74,1024,1021,1020,16,9,1,42,16,53,35.56,6,Rain-Thunderstorm,67<br />
2015-1-13,26,22,17,21,18,17,100,86,71,1021,1019,1018,16,16,11,27,15,35,0.76,5,,353<br />
2015-1-14,22,18,15,18,16,13,100,87,73,1020,1019,1017,16,12,2,35,22,42,0.00,8,,342<br />
2015-1-15,21,17,13,14,13,12,93,81,68,1021,1019,1017,16,16,13,29,17,35,0.25,6,Rain,339<br />
2015-1-16,17,13,9,13,11,8,100,84,67,1022,1019,1017,16,15,11,27,15,34,1.27,4,Rain,338<br />
2015-1-17,23,17,9,15,11,8,93,67,41,1023,1021,1020,16,16,16,19,9,26,0.00,1,,3<br />
2015-1-18,23,17,11,14,12,10,93,69,44,1021,1019,1018,16,16,16,35,14,47,0.00,0,,265<br />
2015-1-19,21,14,7,12,9,1,100,65,29,1023,1021,1020,16,15,10,27,9,32,0.00,0,Fog,337<br />
2015-1-20,22,16,10,16,13,9,100,83,66,1020,1018,1016,16,16,16,13,2,14,0.00,2,,32<br />
2015-1-21,24,17,11,16,14,10,100,81,61,1020,1018,1016,16,16,16,21,8,26,0.00,0,,29<br />
2015-1-22,26,19,13,17,14,12,100,75,50,1023,1021,1020,16,11,0,26,10,31,0.00,1,Fog,42<br />
2015-1-23,25,22,19,18,17,13,81,66,50,1020,1017,1014,16,16,16,35,20,47,0.00,3,,145<br />
2015-1-24,22,16,9,21,15,7,93,72,51,1017,1012,1010,16,14,3,56,28,68,12.45,4,Rain,248<br />
2015-1-25,19,13,6,7,3,-2,93,61,28,1020,1017,1014,16,16,16,19,8,26,0.00,0,,267<br />
2015-1-26,21,16,9,13,9,6,93,65,37,1014,1012,1009,16,15,3,52,22,69,3.56,3,Rain,251<br />
2015-1-27,20,13,5,9,5,1,86,60,34,1017,1015,1012,16,16,16,40,19,52,0.00,0,,274<br />
2015-1-28,17,11,4,7,4,-1,86,60,33,1025,1022,1017,16,16,16,29,17,37,0.00,0,,332<br />
2015-1-29,21,13,6,10,8,5,96,70,44,1026,1025,1024,16,16,16,19,8,23,0.00,1,,355<br />
2015-1-30,24,16,8,14,11,7,93,70,47,1023,1022,1020,16,16,16,32,13,42,0.00,1,,309<br />
2015-1-31,21,14,7,11,8,6,93,70,47,1025,1024,1023,16,16,16,29,15,35,0.00,1,,27<br />
2015-2-1,23,17,12,14,12,9,93,67,41,1025,1022,1018,16,16,16,32,15,42,0.00,2,,145<br />
2015-2-2,27,20,12,18,14,3,90,72,54,1020,1016,1013,16,16,16,42,20,58,0.00,2,,233<br />
2015-2-3,21,13,6,11,8,3,89,72,54,1025,1023,1020,16,16,16,32,17,37,0.00,0,,342<br />
2015-2-4,24,18,11,16,13,11,93,71,49,1023,1020,1014,16,16,14,26,11,32,0.00,1,,139<br />
2015-2-5,21,16,11,19,15,8,100,86,72,1019,1014,1012,16,11,2,37,16,45,31.24,6,Rain,308<br />
2015-2-6,20,15,10,11,9,7,89,67,45,1025,1023,1019,16,16,16,40,21,52,0.00,0,,348<br />
2015-2-7,22,16,8,12,9,7,100,70,40,1025,1024,1023,16,16,14,21,8,29,0.00,1,,38<br />
2015-2-8,23,17,10,16,12,8,100,72,44,1023,1020,1016,16,16,16,24,8,29,0.00,2,,131<br />
2015-2-9,22,17,12,17,15,12,100,84,68,1016,1011,1007,16,9,1,27,10,34,26.42,6,Rain-Thunderstorm,343<br />
2015-2-10,21,17,13,15,12,8,100,77,53,1013,1008,1005,16,16,11,37,22,48,T,6,Rain,300<br />
2015-2-11,19,14,9,10,8,8,93,73,52,1018,1016,1012,16,16,16,32,19,39,0.00,1,,347<br />
2015-2-12,22,14,6,11,7,6,100,68,35,1020,1017,1016,16,14,2,32,14,40,0.00,0,,266<br />
2015-2-13,18,12,6,8,6,1,93,62,31,1023,1020,1018,16,16,16,27,15,34,0.00,0,,323<br />
2015-2-14,17,11,4,4,0,-6,93,59,25,1024,1022,1019,16,16,16,29,15,35,0.00,0,,288<br />
2015-2-15,23,15,7,11,8,4,93,69,44,1023,1022,1021,16,16,14,35,16,42,0.00,0,,335<br />
