
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-1,-3,-6,-7,-10,-13,63,60,57,1018,1014,1011,16,16,10,39,24,55,T,8,Snow,238<br />
2015-1-2,2,-1,-5,-6,-8,-9,74,61,47,1028,1024,1017,16,16,16,26,11,34,T,4,,261<br />
2015-1-3,2,-1,-4,1,-2,-8,96,84,72,1027,1015,1008,16,6,1,27,9,37,13.21,7,Fog-Rain-Snow,109<br />
2015-1-4,1,-3,-8,0,-4,-14,96,79,61,1023,1010,1003,16,6,1,42,19,52,2.79,8,Fog-Snow,300<br />
2015-1-5,-8,-12,-16,-13,-18,-22,80,70,60,1034,1029,1022,16,12,1,42,23,53,T,6,Snow,276<br />
2015-1-6,-7,-11,-15,-12,-15,-18,80,71,61,1030,1022,1016,16,10,1,37,18,50,1.27,7,Snow,250<br />
2015-1-7,-10,-13,-16,-16,-19,-23,80,63,45,1036,1028,1016,16,12,0,37,24,52,1.02,4,Snow,315<br />
2015-1-8,-9,-13,-16,-14,-18,-23,80,63,45,1032,1019,1005,16,10,1,37,25,52,2.03,7,Snow,219<br />
2015-1-9,-9,-12,-16,-12,-16,-21,80,66,51,1027,1015,1004,16,10,1,40,27,55,0.25,6,Snow,268<br />
2015-1-10,-8,-12,-17,-16,-18,-20,87,69,51,1030,1028,1027,16,16,6,35,18,48,T,5,Snow,218<br />
2015-1-11,1,-4,-8,-4,-9,-15,85,66,47,1028,1026,1024,16,11,1,27,15,39,2.03,8,Snow,208<br />
2015-1-12,-2,-7,-13,-4,-7,-18,85,68,50,1040,1027,1023,16,9,2,35,18,43,1.27,7,Snow,285<br />
2015-1-13,-8,-15,-23,-15,-19,-25,83,65,47,1043,1040,1034,16,15,8,21,7,26,T,2,,43<br />
2015-1-14,-7,-17,-28,-12,-20,-29,87,74,61,1033,1028,1023,16,12,1,16,6,23,T,5,Fog-Snow,215<br />
2015-1-15,1,-5,-11,-4,-11,-16,74,66,57,1023,1016,1011,16,14,11,32,17,39,T,6,,227<br />
2015-1-16,1,-4,-8,-4,-11,-15,75,61,46,1025,1021,1012,16,15,11,27,16,35,0.00,5,,11<br />
2015-1-17,7,-1,-9,0,-6,-15,77,64,51,1024,1011,1002,16,15,10,37,23,53,0.00,3,,178<br />
2015-1-18,6,3,1,1,-1,-3,89,78,67,1014,1006,1002,16,11,2,32,17,39,0.76,8,Rain-Snow,255<br />
2015-1-19,2,0,-2,-2,-5,-7,82,71,59,1017,1015,1013,16,16,5,21,9,27,T,8,Snow,334<br />
2015-1-20,-1,-2,-3,-4,-6,-6,85,77,69,1019,1016,1013,16,9,1,21,10,26,2.79,8,Fog-Snow,66<br />
2015-1-21,-2,-4,-6,-6,-7,-8,81,78,75,1024,1019,1016,14,7,1,19,12,26,2.54,8,Snow,56<br />
2015-1-22,-1,-4,-7,-7,-8,-9,84,74,63,1031,1028,1023,16,14,5,23,10,27,T,7,Snow,266<br />
2015-1-23,1,-4,-9,-6,-7,-9,84,73,61,1028,1020,1010,16,15,11,29,16,39,0.00,4,,226<br />
2015-1-24,4,0,-4,0,-3,-6,89,82,75,1009,1004,1000,16,11,6,29,15,35,T,8,,250<br />
2015-1-25,2,-3,-8,0,-9,-14,89,72,55,1018,1012,1005,16,15,8,32,22,39,0.00,5,,40<br />
2015-1-26,-3,-7,-12,-12,-13,-15,80,61,42,1017,1016,1014,16,16,16,23,11,26,0.00,0,,51<br />
2015-1-27,-3,-8,-14,-11,-13,-16,83,67,50,1025,1021,1017,16,16,14,26,9,34,0.00,1,,348<br />
2015-1-28,0,-7,-15,-9,-13,-17,83,58,33,1029,1025,1020,16,16,13,32,10,37,0.00,1,,188<br />
2015-1-29,1,-1,-4,-2,-5,-10,92,73,53,1020,1011,1007,16,9,1,48,21,61,3.30,8,Fog-Rain-Snow,288<br />
2015-1-30,-4,-9,-14,-9,-14,-17,73,59,45,1033,1027,1020,16,14,3,42,19,53,T,5,Snow,319<br />
2015-1-31,1,-6,-12,-3,-9,-15,78,70,61,1029,1025,1021,16,16,11,26,11,34,0.00,6,,226<br />
2015-2-1,-2,-5,-8,-7,-10,-11,84,74,63,1024,1017,1007,16,3,0,40,26,50,11.68,8,Snow,43<br />
2015-2-2,-8,-12,-16,-11,-16,-21,80,63,46,1022,1014,1007,16,9,1,39,20,50,1.78,4,Snow,333<br />
2015-2-3,-4,-9,-14,-7,-12,-17,83,71,59,1023,1020,1017,16,13,2,27,15,39,1.78,5,Snow,211<br />
2015-2-4,-2,-7,-12,-4,-8,-16,92,76,59,1025,1017,1014,16,9,2,27,15,32,1.78,7,Snow,280<br />
2015-2-5,-8,-16,-24,-16,-18,-25,83,65,47,1031,1027,1023,16,16,16,26,13,35,0.00,1,,266<br />
2015-2-6,-2,-6,-11,-8,-12,-20,73,60,46,1022,1021,1018,16,15,8,32,16,40,T,6,Snow,233<br />
2015-2-7,4,0,-4,-1,-5,-9,76,67,58,1017,1012,1007,16,13,10,14,8,21,0.00,3,,182<br />
2015-2-8,4,-1,-5,0,-3,-8,88,79,70,1015,1008,1003,16,7,2,29,15,37,0.51,8,Snow,30<br />
2015-2-9,-5,-8,-12,-8,-10,-14,84,75,65,1025,1020,1014,16,13,3,32,16,37,T,7,Snow,22<br />
2015-2-10,-1,-8,-16,-9,-13,-18,88,67,46,1027,1025,1020,16,14,5,23,7,26,0.00,2,,85<br />
2015-2-11,1,-3,-7,-2,-6,-11,85,77,68,1020,1014,1010,16,10,2,34,18,40,T,8,Snow,239<br />
2015-2-12,-3,-11,-18,-11,-19,-22,69,56,42,1030,1023,1014,16,14,5,39,21,47,T,4,Snow,325<br />
2015-2-13,-6,-14,-22,-9,-17,-24,83,64,45,1030,1022,1011,16,14,4,34,16,48,T,6,Snow,230<br />
