
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-8,-11,-14,-12,-14,-17,92,81,70,1033,1031,1027,16,10,3,14,3,21,T,5,Snow,172<br />
2015-1-2,-7,-10,-13,-12,-14,-16,84,70,56,1033,1029,1026,16,16,14,14,5,19,0.00,3,,148<br />
2015-1-3,-4,-7,-11,-9,-11,-12,92,80,68,1030,1029,1026,16,11,5,16,5,26,0.00,4,,185<br />
2015-1-4,0,-3,-7,-2,-7,-10,85,77,68,1033,1031,1029,16,10,3,14,2,19,0.51,7,Rain-Snow,299<br />
2015-1-5,4,1,-2,2,-1,-3,100,93,85,1035,1031,1026,16,4,0,19,6,27,2.79,7,Fog-Rain,329<br />
2015-1-6,3,0,-3,1,-1,-4,100,93,85,1036,1033,1031,6,2,0,23,2,24,0.00,1,Fog,282<br />
2015-1-7,5,1,-4,1,-3,-5,100,88,76,1035,1032,1028,6,2,0,16,3,19,0.00,0,Fog,297<br />
2015-1-8,0,-1,-2,-1,-2,-3,100,93,85,1029,1027,1025,2,1,0,14,4,19,T,8,Fog-Snow,218<br />
2015-1-9,1,0,-1,-1,-1,-2,100,93,85,1027,1025,1022,16,7,0,16,5,23,0.00,8,,181<br />
2015-1-10,1,0,-2,-1,-2,-2,100,95,89,1023,1021,1019,14,6,0,11,1,13,0.00,8,,286<br />
2015-1-11,1,1,-1,0,-1,-1,100,95,89,1024,1022,1019,10,3,0,11,2,11,T,8,Fog-Rain,270<br />
2015-1-12,2,1,-1,1,-1,-1,100,96,92,1027,1024,1022,11,2,0,21,9,23,2.79,7,Fog-Snow,302<br />
2015-1-13,3,1,-2,-1,-2,-3,100,88,75,1032,1029,1025,16,8,0,19,5,23,0.00,3,Fog,104<br />
2015-1-14,1,-1,-2,-2,-3,-5,92,82,72,1034,1032,1029,16,16,16,29,14,37,0.00,7,,134<br />
2015-1-15,2,-1,-4,-3,-4,-7,81,72,63,1034,1031,1025,16,16,16,34,14,45,0.00,5,,138<br />
2015-1-16,6,3,-1,4,1,-3,100,88,75,1029,1023,1019,16,7,0,34,10,42,8.64,8,Fog-Rain-Snow,308<br />
2015-1-17,6,2,-2,2,-1,-2,100,90,79,1030,1027,1022,16,5,0,24,6,32,1.52,6,Fog-Rain,336<br />
2015-1-18,10,6,2,8,4,1,100,86,71,1027,1022,1019,16,11,0,35,10,45,3.30,6,Fog-Rain,116<br />
2015-1-19,7,3,-1,2,1,-2,100,79,58,1030,1028,1026,16,5,0,21,5,26,0.00,4,Fog,321<br />
2015-1-20,1,-1,-3,-1,-3,-4,100,93,85,1031,1029,1027,13,2,0,10,2,11,0.25,5,Fog,244<br />
2015-1-21,1,-2,-5,-2,-4,-7,92,82,72,1034,1032,1028,16,8,0,14,5,16,T,6,Fog,174<br />
2015-1-22,3,-1,-5,-3,-6,-8,85,69,52,1036,1034,1031,16,15,10,16,8,21,0.00,3,,157<br />
2015-1-23,4,1,-3,-1,-3,-4,100,80,59,1039,1036,1033,16,8,0,29,7,37,0.00,5,Fog,190<br />
2015-1-24,4,2,-2,0,-2,-3,92,81,70,1036,1034,1031,16,14,8,16,3,23,0.00,6,,169<br />
2015-1-25,8,3,-3,2,-1,-3,92,81,70,1034,1032,1030,16,12,5,16,4,19,0.00,0,,202<br />
2015-1-26,6,2,-2,2,-1,-3,100,85,70,1031,1026,1021,16,11,3,14,5,19,0.00,2,,5<br />
2015-1-27,4,1,-3,2,-1,-3,100,90,79,1024,1021,1019,14,4,0,13,2,14,1.02,6,Fog-Rain,301<br />
