
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,23,19,15,17,14,12,87,78,68,1026,1023,1021,16,15,6,19,10,24,0.00,7,,36<br />
2015-1-2,26,22,17,19,18,16,100,84,67,1025,1023,1022,16,8,0,13,7,23,T,7,Fog,58<br />
2015-1-3,28,25,22,21,20,19,90,76,62,1024,1022,1021,16,16,13,24,11,37,0.00,6,,156<br />
2015-1-4,27,24,21,21,20,18,93,82,71,1026,1023,1022,16,16,13,27,14,37,T,5,Rain,172<br />
2015-1-5,22,19,15,18,14,8,87,68,49,1030,1027,1025,16,16,16,24,11,32,0.00,6,,13<br />
2015-1-6,23,18,12,16,12,9,86,74,61,1028,1026,1024,16,16,16,23,9,27,0.00,5,,344<br />
2015-1-7,19,15,10,10,6,1,93,62,31,1025,1024,1022,16,16,16,27,13,39,0.00,2,,346<br />
2015-1-8,15,9,3,5,0,-8,77,59,41,1031,1028,1026,16,16,16,34,20,52,0.00,4,,30<br />
2015-1-9,17,12,7,7,5,3,83,66,49,1028,1026,1024,16,16,13,26,14,31,T,5,,355<br />
2015-1-10,19,13,7,9,3,-1,76,54,32,1030,1028,1026,16,16,16,19,11,29,0.00,3,,30<br />
2015-1-11,27,19,12,18,14,9,89,74,58,1028,1026,1023,16,16,14,19,9,27,0.00,6,,62<br />
2015-1-12,24,22,18,21,19,17,93,86,79,1024,1022,1020,16,14,10,32,8,42,6.35,7,Rain,60<br />
2015-1-13,24,21,17,17,17,16,93,79,64,1022,1020,1019,16,11,0,14,8,21,T,6,Fog,21<br />
2015-1-14,20,18,15,17,14,13,90,79,68,1022,1020,1019,16,16,13,21,12,29,0.00,7,,11<br />
2015-1-15,16,14,12,12,11,9,93,87,80,1022,1021,1019,16,7,0,23,10,27,0.51,8,Rain,29<br />
2015-1-16,20,16,11,11,10,8,93,69,45,1022,1020,1018,16,15,10,26,12,32,0.51,5,Rain,356<br />
2015-1-17,24,16,8,13,9,6,93,67,41,1024,1022,1019,16,16,11,19,7,27,0.00,3,,23<br />
2015-1-18,22,17,12,14,12,11,93,74,55,1022,1021,1019,16,16,11,26,11,40,0.00,5,,298<br />
2015-1-19,22,16,8,10,5,-1,96,59,22,1024,1022,1020,16,14,6,21,6,27,0.00,2,,21<br />
2015-1-20,21,16,10,14,11,4,84,70,55,1020,1018,1016,16,16,16,13,4,18,0.00,5,,82<br />
2015-1-21,24,19,13,16,14,12,93,74,54,1020,1018,1016,16,14,8,16,5,19,0.00,1,,303<br />
2015-1-22,27,21,15,16,14,13,90,69,48,1023,1021,1019,16,15,8,21,9,34,0.00,4,,97<br />
2015-1-23,26,22,19,19,17,16,81,73,64,1019,1016,1012,16,16,11,34,17,43,5.08,6,Rain,157<br />
2015-1-24,22,16,11,19,13,7,90,73,56,1018,1014,1010,16,13,1,42,21,58,25.15,7,Rain,270<br />
2015-1-25,17,13,8,12,7,2,86,66,46,1020,1017,1014,16,16,16,16,8,24,0.00,3,,168<br />
2015-1-26,18,16,13,15,10,7,84,66,48,1015,1013,1010,16,15,3,35,19,48,6.86,4,Rain,287<br />
2015-1-27,19,14,8,12,8,4,80,64,48,1019,1017,1015,16,16,16,26,12,37,0.00,1,,300<br />
2015-1-28,17,13,8,9,3,-3,83,54,25,1026,1023,1019,16,16,13,26,11,31,0.00,0,,1<br />
2015-1-29,21,14,7,9,6,2,77,57,36,1028,1025,1023,16,16,16,19,9,27,0.00,1,,5<br />
2015-1-30,22,16,10,14,11,4,89,69,49,1024,1023,1021,16,15,8,23,8,31,0.00,5,,306<br />
2015-1-31,23,16,8,8,5,1,61,50,38,1026,1025,1024,16,16,16,19,13,29,0.00,5,,63<br />
2015-2-1,24,19,13,13,10,8,77,58,38,1024,1021,1017,16,16,16,26,12,40,0.00,2,,144<br />
2015-2-2,22,17,11,18,13,3,90,64,37,1021,1017,1015,16,14,2,32,17,43,4.83,6,Rain,238<br />
2015-2-3,20,13,6,8,3,-1,72,52,32,1026,1024,1021,16,16,16,23,14,34,0.00,4,,31<br />
2015-2-4,23,18,12,14,11,8,83,65,46,1024,1020,1014,16,16,14,21,12,32,1.27,7,Rain,86<br />
2015-2-5,19,16,12,18,15,9,93,78,63,1021,1014,1011,16,10,1,29,12,35,41.66,7,Rain-Thunderstorm,330<br />
2015-2-6,20,15,9,7,6,4,77,57,37,1026,1024,1022,16,16,16,24,13,34,0.00,1,,30<br />
2015-2-7,22,16,9,9,7,5,86,61,35,1026,1024,1022,16,16,16,19,10,35,0.00,3,,31<br />
2015-2-8,23,17,12,12,10,8,83,64,44,1023,1020,1017,16,16,16,16,5,26,0.00,1,,221<br />
2015-2-9,22,18,14,16,14,11,90,74,57,1016,1011,1008,16,11,4,19,5,27,23.37,7,Rain-Thunderstorm,32<br />
2015-2-10,18,14,11,14,11,9,93,77,60,1014,1010,1007,16,14,10,32,16,39,0.00,3,,309<br />
2015-2-11,19,14,8,9,7,4,89,65,40,1019,1017,1014,16,15,11,24,9,32,0.00,0,,346<br />
2015-2-12,20,14,8,11,9,7,86,67,48,1021,1019,1018,16,15,11,27,9,42,0.00,1,,263<br />
2015-2-13,14,11,7,10,2,-2,89,62,35,1024,1022,1019,16,16,14,27,13,37,0.00,0,,333<br />
2015-2-14,17,12,6,9,1,-6,76,51,25,1026,1023,1021,16,16,16,23,13,35,0.00,0,,323<br />
2015-2-15,23,17,11,12,8,3,89,59,29,1023,1022,1021,16,16,16,34,11,43,0.00,2,,319<br />
2015-2-16,23,17,11,13,11,8,83,65,46,1022,1019,1015,16,16,14,27,12,37,0.00,3,,164<br />
2015-2-17,22,18,13,18,15,12,93,83,73,1015,1013,1010,16,12,1,32,16,45,26.67,7,Fog-Rain,251<br />
2015-2-18,14,12,9,12,4,-2,93,63,33,1022,1019,1014,16,15,5,35,20,48,9.40,4,Rain,323<br />
2015-2-19,11,8,4,-1,-3,-4,60,49,38,1029,1026,1023,16,16,16,37,19,47,0.00,1,,335<br />
2015-2-20,15,8,1,1,-9,-12,55,37,19,1031,1029,1027,16,16,16,19,10,26,0.00,0,,48<br />
2015-2-21,23,15,7,12,6,1,76,58,40,1029,1025,1022,16,16,16,24,9,39,T,3,,91<br />
2015-2-22,26,20,14,17,15,12,93,77,60,1024,1022,1021,16,16,14,21,8,27,0.00,2,,172<br />
2015-2-23,24,22,18,19,18,17,100,87,74,1024,1022,1020,16,9,0,21,8,27,0.00,6,Fog,233<br />
2015-2-24,22,19,16,18,17,15,100,89,78,1020,1017,1014,16,9,0,21,9,24,T,8,Fog-Rain,230<br />
2015-2-25,24,18,11,21,17,14,97,86,74,1015,1011,1007,16,6,0,37,19,47,T,8,Fog,166<br />
2015-2-26,21,17,13,21,13,8,100,81,61,1019,1012,1006,16,16,13,52,22,66,0.76,8,Rain-Thunderstorm,298<br />
2015-2-27,18,16,12,9,9,7,77,67,56,1025,1022,1018,16,16,14,24,15,34,0.00,8,,31<br />
2015-2-28,19,17,13,18,15,9,93,85,77,1028,1026,1024,16,10,1,23,12,31,58.42,8,Rain,47<br />
2015-3-1,28,23,19,19,18,17,93,74,55,1028,1027,1024,16,15,5,16,9,26,0.51,6,Rain,61<br />
2015-3-2,27,23,20,20,19,17,93,76,58,1026,1025,1022,16,13,0,19,8,31,0.00,5,,347<br />
