
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,15,9,4,9,6,2,93,82,69,1028,1025,1022,16,15,8,21,13,,0.00,4,,54<br />
2015-1-2,21,17,13,19,16,8,97,88,74,1023,1020,1018,16,14,5,29,16,,2.79,8,Rain,107<br />
2015-1-3,21,19,18,20,19,18,100,95,90,1018,1016,1013,16,8,2,29,21,40,0.00,8,Rain,158<br />
2015-1-4,19,14,8,18,12,3,97,81,52,1031,1021,1016,16,12,3,35,14,40,0.00,4,Rain-Thunderstorm,319<br />
2015-1-5,13,8,2,2,0,-2,93,67,37,1036,1033,1031,16,16,16,24,16,37,0.00,1,,9<br />
2015-1-6,16,8,1,7,2,-1,97,76,32,1032,1029,1027,16,16,13,11,3,,0.00,0,,286<br />
2015-1-7,13,7,-1,2,-3,-15,86,53,31,1036,1030,1027,16,16,16,35,14,48,0.00,2,,358<br />
2015-1-8,3,-2,-7,-5,-12,-16,66,46,35,1037,1033,1028,16,16,16,27,16,50,0.00,3,,24<br />
2015-1-9,6,3,1,-2,-4,-10,76,59,31,1032,1030,1028,16,16,16,23,11,34,0.00,7,Rain,359<br />
2015-1-10,11,5,-1,-2,-7,-9,67,46,23,1033,1031,1029,16,16,10,21,13,,0.00,0,,33<br />
2015-1-11,17,11,6,16,6,-7,90,70,40,1029,1025,1022,16,16,13,29,13,32,0.00,4,,78<br />
2015-1-12,24,20,15,17,16,13,100,88,66,1023,1021,1019,16,11,0,23,14,,0.00,6,Fog-Rain,112<br />
2015-1-13,14,10,6,12,8,3,93,82,71,1026,1024,1022,16,15,6,27,19,37,0.00,8,,356<br />
2015-1-14,9,7,4,3,3,2,89,80,68,1027,1025,1023,16,16,16,24,18,,0.00,7,,9<br />
2015-1-15,7,6,4,6,4,3,97,91,82,1024,1023,1021,16,11,5,19,11,,14.22,7,Rain,360<br />
2015-1-16,14,7,1,4,2,-3,96,78,44,1027,1025,1023,16,12,5,19,10,,0.00,0,,358<br />
2015-1-17,17,9,1,9,5,-1,96,81,57,1024,1022,1019,16,15,10,19,3,,0.00,1,,123<br />
2015-1-18,20,11,3,7,2,-3,97,66,22,1025,1023,1021,16,14,8,26,6,35,0.00,0,,356<br />
2015-1-19,18,9,1,7,3,-1,96,73,33,1024,1021,1017,16,16,10,13,2,,0.00,0,,183<br />
2015-1-20,19,13,7,11,8,6,93,81,56,1018,1016,1014,16,13,5,11,3,,0.00,3,,312<br />
2015-1-21,21,14,7,8,6,2,93,63,36,1021,1019,1017,16,14,8,14,6,,0.00,0,,5<br />
2015-1-22,19,13,8,9,5,-1,96,65,36,1022,1019,1015,16,12,4,45,19,52,41.66,5,Rain,44<br />
2015-1-23,9,7,6,8,7,4,96,91,85,1016,1013,1011,16,12,3,26,19,45,20.57,8,Rain,343<br />
2015-1-24,14,8,2,3,2,0,93,75,38,1022,1019,1016,16,16,14,27,16,48,0.00,2,,304<br />
2015-1-25,17,9,2,7,4,1,96,67,39,1019,1014,1010,16,15,6,23,8,35,0.00,0,,242<br />
2015-1-26,16,10,4,3,2,-1,83,62,34,1020,1017,1014,16,16,16,29,11,45,0.00,0,,313<br />
2015-1-27,22,13,4,5,3,1,86,57,25,1022,1019,1017,16,16,16,24,8,,0.00,0,,320<br />
2015-1-28,16,10,4,7,3,1,93,68,35,1026,1024,1022,16,16,11,14,8,,0.00,0,,70<br />
2015-1-29,20,12,4,14,9,3,93,79,55,1025,1023,1022,16,16,11,21,5,,0.00,0,,196<br />
2015-1-30,17,12,7,13,2,-2,87,55,29,1029,1027,1023,16,16,11,29,16,39,0.00,0,,3<br />
2015-1-31,15,9,3,8,4,-2,86,68,50,1028,1025,1021,16,16,14,32,11,,0.00,0,,73<br />
2015-2-1,20,16,11,17,14,9,100,88,78,1020,1015,1012,16,14,4,37,13,53,3.56,6,Rain,170<br />
2015-2-2,14,8,2,13,1,-3,93,60,37,1027,1022,1014,16,16,16,34,23,45,0.25,1,Rain,345<br />
2015-2-3,9,4,1,2,-2,-3,75,64,42,1029,1027,1024,16,16,16,13,8,,0.00,2,,40<br />
2015-2-4,9,8,7,8,6,1,97,88,62,1024,1020,1015,16,12,3,24,11,40,0.00,8,Rain,26<br />
2015-2-5,16,11,6,6,3,-5,93,66,46,1027,1023,1019,16,16,14,26,18,34,0.00,4,Rain,356<br />
2015-2-6,13,6,-1,2,-3,-8,93,57,23,1030,1028,1026,16,16,13,14,8,,0.00,0,,36<br />
2015-2-7,17,9,1,11,6,-1,93,79,52,1026,1023,1020,16,15,10,16,5,,0.00,0,,160<br />
2015-2-8,21,17,12,15,13,10,93,79,65,1020,1017,1014,16,16,16,21,11,32,0.00,0,,168<br />
2015-2-9,25,19,12,15,10,5,97,65,30,1014,1013,1010,16,15,5,34,11,52,0.00,2,,316<br />
2015-2-10,18,11,4,4,2,-1,81,58,29,1017,1015,1014,16,15,11,26,18,35,0.00,0,,355<br />
2015-2-11,16,9,2,8,3,0,93,71,35,1021,1019,1017,16,13,6,11,3,,0.00,0,,183<br />
2015-2-12,18,12,5,6,1,-6,89,51,25,1026,1023,1020,16,15,10,27,14,40,0.00,0,,344<br />
2015-2-13,12,6,-1,1,-4,-11,86,53,20,1029,1027,1025,16,16,13,14,10,,0.00,0,,354<br />
2015-2-14,17,8,0,11,5,-1,92,72,46,1026,1023,1020,16,15,11,19,5,26,0.00,0,,230<br />
2015-2-15,17,13,10,12,9,4,97,81,46,1024,1022,1020,16,9,0,23,10,,0.00,1,Fog,92<br />
2015-2-16,20,12,3,16,12,2,97,85,73,1019,1013,1008,16,13,5,37,16,50,4.32,7,Rain,240<br />
2015-2-17,7,4,1,2,-2,-4,89,75,51,1022,1017,1014,16,16,6,37,24,50,2.03,4,Rain,347<br />
2015-2-18,12,5,-2,-2,-7,-11,85,50,20,1028,1025,1022,16,16,16,37,14,55,0.00,0,,316<br />
2015-2-19,9,4,-1,-4,-8,-12,79,47,22,1032,1029,1027,16,16,16,24,8,37,0.00,2,,3<br />
