
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,8,3,-2,-2,-8,-11,63,50,36,1026,1024,1022,16,16,16,26,18,39,0.00,2,,254<br />
2015-1-2,8,6,3,2,-1,-3,70,62,53,1029,1026,1023,16,16,16,32,9,45,0.00,6,,269<br />
2015-1-3,7,6,4,4,3,1,100,85,70,1031,1027,1021,16,6,1,19,6,21,4.83,8,Rain,136<br />
2015-1-4,18,11,4,12,6,-2,100,76,52,1021,1016,1010,16,12,0,47,15,63,2.79,7,Fog-Rain,244<br />
2015-1-5,7,2,-3,-3,-10,-15,54,40,25,1032,1027,1021,16,16,16,56,25,74,T,2,,301<br />
2015-1-6,7,2,-3,-8,-9,-12,55,46,36,1029,1024,1020,16,16,16,45,14,68,0.00,6,,281<br />
2015-1-7,-1,-7,-13,-9,-15,-25,53,44,34,1035,1024,1018,16,15,3,48,27,64,T,6,Snow,300<br />
2015-1-8,-4,-9,-15,-18,-22,-24,60,44,27,1037,1033,1024,16,16,16,26,13,32,0.00,2,,244<br />
2015-1-9,3,-1,-6,-14,-16,-19,39,32,25,1027,1022,1019,16,16,16,39,17,52,0.00,3,,278<br />
2015-1-10,1,-4,-9,-16,-19,-21,49,35,21,1037,1034,1028,16,16,16,40,13,55,0.00,0,,254<br />
2015-1-11,6,-3,-12,-5,-13,-16,73,49,24,1038,1035,1032,16,16,16,13,4,16,0.25,4,Rain,83<br />
2015-1-12,8,4,0,4,1,-6,96,70,44,1032,1025,1020,16,9,2,19,3,23,9.40,7,Rain,14<br />
2015-1-13,8,3,-2,3,-1,-6,92,81,70,1032,1029,1024,16,15,8,21,10,24,T,8,Snow,69<br />
2015-1-14,1,-1,-3,-2,-4,-6,92,84,75,1030,1026,1022,16,14,3,14,6,18,1.27,7,Snow,24<br />
2015-1-15,6,1,-5,-3,-5,-7,88,66,43,1024,1021,1018,16,16,16,19,6,26,0.00,4,,297<br />
2015-1-16,7,4,1,-3,-4,-6,75,60,45,1025,1020,1017,16,16,16,45,19,55,0.00,1,,293<br />
2015-1-17,9,3,-3,-3,-4,-6,81,62,42,1029,1025,1021,16,16,16,34,11,39,0.00,0,,141<br />
2015-1-18,12,6,-2,0,-3,-5,85,61,36,1021,1014,1010,16,16,16,40,11,55,0.00,5,,282<br />
2015-1-19,14,8,2,-3,-4,-6,55,40,24,1018,1015,1013,16,16,16,39,12,52,0.00,0,,268<br />
2015-1-20,18,9,-1,-1,-3,-4,75,49,23,1015,1013,1011,16,16,3,29,7,40,0.00,2,,247<br />
2015-1-21,12,7,1,-1,-3,-5,70,51,32,1022,1019,1016,16,16,16,29,8,35,0.00,3,,255<br />
2015-1-22,9,4,-1,-3,-4,-6,69,52,34,1029,1027,1022,16,16,16,37,13,47,0.00,2,,325<br />
2015-1-23,3,1,-2,0,-2,-6,96,78,59,1029,1022,1011,16,11,3,16,6,19,11.68,8,Rain-Snow,128<br />
2015-1-24,6,3,1,1,-2,-7,96,71,46,1010,1005,1001,16,14,3,48,18,69,1.52,6,Rain,289<br />
2015-1-25,11,6,1,-1,-2,-4,70,57,44,1013,1010,1008,16,16,16,40,12,53,0.00,5,,167<br />
2015-1-26,8,4,0,3,-1,-6,86,74,62,1009,1006,1003,16,15,6,40,11,48,1.27,7,Rain,346<br />
2015-1-27,5,0,-6,-6,-12,-18,69,45,20,1019,1012,1008,16,16,16,40,19,52,T,2,,305<br />
2015-1-28,7,1,-6,-10,-12,-14,65,44,22,1028,1024,1019,16,16,16,32,11,43,0.00,0,,321<br />
2015-1-29,7,1,-6,-2,-7,-11,74,57,40,1028,1022,1015,16,16,16,21,3,24,0.25,5,,183<br />
2015-1-30,7,1,-5,-1,-9,-14,62,47,32,1027,1021,1015,16,16,16,52,30,68,T,5,,300<br />
2015-1-31,7,1,-7,-13,-16,-22,50,31,11,1028,1026,1024,16,16,16,35,12,43,0.00,3,,269<br />
2015-2-1,10,6,1,3,-6,-13,82,52,21,1025,1019,1007,16,16,16,24,11,31,0.76,7,Rain,105<br />
2015-2-2,10,3,-4,7,-3,-12,93,69,44,1023,1008,998,16,16,16,53,23,72,3.30,6,Rain,308<br />
2015-2-3,6,1,-6,-9,-12,-13,62,44,25,1028,1026,1023,16,16,16,34,11,40,0.00,2,,278<br />
2015-2-4,13,4,-4,-6,-8,-9,74,49,24,1026,1021,1015,16,16,16,24,9,32,0.00,1,,205<br />
2015-2-5,7,0,-7,-4,-12,-19,54,41,28,1028,1021,1013,16,16,16,42,22,63,0.00,3,,314<br />
2015-2-6,8,0,-8,-15,-18,-22,49,30,10,1029,1026,1024,16,16,16,29,12,39,0.00,1,,285<br />
2015-2-7,17,7,-3,-7,-12,-16,32,24,16,1025,1020,1015,16,16,16,29,13,39,0.00,4,,254<br />
2015-2-8,21,12,3,5,-2,-8,55,41,26,1015,1012,1008,16,16,16,40,15,52,0.00,1,,254<br />
2015-2-9,18,12,6,9,7,5,86,67,48,1010,1009,1006,16,15,5,26,9,31,1.02,8,Rain,145<br />
