
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,15,7,-1,4,0,-3,92,64,36,1029,1027,1024,16,9,2,16,3,23,0.00,2,,225<br />
2015-1-2,14,11,8,11,7,5,100,81,62,1028,1026,1024,16,14,6,14,4,19,3.05,7,Rain,259<br />
2015-1-3,14,12,10,14,12,9,100,92,83,1028,1024,1021,11,4,0,14,6,18,1.52,8,Fog-Rain,79<br />
2015-1-4,23,17,12,19,16,6,100,78,56,1022,1019,1014,16,13,2,48,19,76,12.19,8,Rain,227<br />
2015-1-5,14,7,1,4,1,-5,85,56,27,1031,1028,1023,16,16,16,32,8,42,0.00,3,,286<br />
2015-1-6,16,7,-2,1,-3,-5,89,57,24,1029,1024,1020,16,16,16,37,13,56,0.00,1,,256<br />
2015-1-7,9,3,-3,-1,-6,-17,85,56,27,1033,1023,1019,16,16,16,34,14,58,0.00,4,,295<br />
2015-1-8,1,-4,-8,-12,-18,-21,67,43,19,1040,1035,1030,16,16,16,26,8,39,0.00,0,,23<br />
2015-1-9,11,2,-7,-8,-12,-16,67,41,15,1029,1026,1023,16,16,16,29,13,37,0.00,4,,250<br />
2015-1-10,9,2,-6,-7,-11,-14,81,50,19,1036,1033,1027,16,16,16,24,4,31,0.00,1,,63<br />
2015-1-11,8,1,-6,0,-6,-11,84,58,32,1037,1034,1030,16,16,8,16,5,21,1.27,7,Rain,19<br />
2015-1-12,9,7,4,9,6,1,100,93,85,1029,1025,1021,16,6,0,23,4,26,27.94,8,Rain-Thunderstorm,331<br />
2015-1-13,10,7,4,9,7,2,100,93,85,1028,1024,1021,11,5,0,26,11,35,0.51,8,Fog-Rain,42<br />
2015-1-14,5,4,2,2,1,0,92,83,73,1026,1025,1023,16,12,4,21,10,26,0.00,8,,2<br />
2015-1-15,7,4,2,4,2,1,92,81,70,1024,1022,1020,16,14,6,14,4,18,1.52,7,Rain,298<br />
2015-1-16,14,8,1,4,2,-1,92,68,43,1024,1021,1018,16,10,2,19,6,23,0.00,4,,287<br />
2015-1-17,15,7,-2,4,1,-3,92,64,36,1028,1024,1021,16,16,13,21,4,26,0.00,4,,146<br />
2015-1-18,18,12,4,6,2,-4,92,61,30,1020,1016,1013,16,15,11,45,15,53,0.00,3,,262<br />
2015-1-19,21,11,1,-1,-3,-7,82,49,15,1021,1018,1015,16,16,13,34,9,39,0.00,1,,242<br />
2015-1-20,19,14,9,4,1,-3,55,44,32,1016,1015,1013,16,16,11,23,13,31,0.00,5,,231<br />
2015-1-21,21,13,4,6,4,2,83,56,28,1021,1016,1014,16,16,16,21,7,24,0.00,1,,272<br />
2015-1-22,17,9,2,4,2,0,89,63,36,1027,1024,1021,16,16,14,21,6,24,0.00,4,Fog,60<br />
2015-1-23,12,9,6,6,4,2,100,77,54,1025,1017,1007,16,8,2,27,11,34,13.46,8,Rain,42<br />
2015-1-24,14,9,4,9,4,-3,100,72,43,1012,1007,1003,16,13,5,35,17,43,4.57,6,Rain,273<br />
2015-1-25,17,8,-2,1,-1,-3,92,61,29,1015,1012,1008,16,16,16,26,8,31,0.00,1,,206<br />
2015-1-26,15,9,3,5,2,-4,92,69,45,1009,1006,1003,16,16,16,39,15,47,T,3,Rain,276<br />
