
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,1,-1,-3,0,-3,-8,96,83,64,1029,1025,1022,16,11,3,11,6,,1.78,8,Rain-Snow,221<br />
2015-1-2,4,2,1,4,2,0,100,95,89,1024,1021,1016,16,7,2,11,5,,6.35,8,Rain,61<br />
2015-1-3,6,5,4,5,4,2,100,94,89,1015,1011,1008,16,11,2,21,11,39,9.40,8,Rain,245<br />
2015-1-4,4,-3,-9,2,-8,-13,93,77,53,1041,1028,1014,16,12,3,35,23,48,0.25,5,Snow,309<br />
2015-1-5,3,-3,-10,-9,-12,-14,74,54,30,1041,1034,1025,16,16,16,27,11,,0.00,0,,166<br />
2015-1-6,6,1,-3,-6,-7,-9,78,60,41,1033,1030,1027,16,16,16,27,11,,0.00,0,,346<br />
2015-1-7,-3,-8,-14,-8,-16,-22,69,53,31,1047,1043,1033,16,15,14,40,24,55,0.00,4,Snow,2<br />
2015-1-8,-1,-9,-16,-13,-17,-20,80,51,28,1044,1031,1023,16,16,14,32,11,47,0.00,1,Snow,215<br />
2015-1-9,-2,-6,-12,-9,-16,-18,67,47,29,1036,1034,1027,16,16,14,32,16,42,0.00,2,Snow,335<br />
2015-1-10,1,-7,-13,-13,-14,-17,76,50,31,1035,1030,1026,16,16,14,26,10,,0.00,4,,177<br />
2015-1-11,4,1,-1,3,0,-13,100,87,38,1026,1022,1019,16,8,1,21,13,,1.02,8,Fog-Rain-Snow,158<br />
2015-1-12,3,-1,-4,2,-1,-8,100,88,69,1034,1027,1021,16,10,3,27,13,35,0.00,6,,2<br />
2015-1-13,3,-2,-8,-8,-11,-12,74,63,34,1035,1033,1030,16,16,16,21,14,,0.00,0,,28<br />
2015-1-14,6,0,-5,-7,-9,-13,78,52,26,1030,1027,1024,16,16,16,11,5,,0.00,5,,298<br />
2015-1-15,9,3,-2,-6,-6,-8,69,52,33,1026,1024,1023,16,16,16,14,6,,0.00,2,,259<br />
2015-1-16,15,6,-4,-2,-4,-7,84,57,29,1025,1022,1017,16,16,13,21,8,29,0.00,0,,207<br />
2015-1-17,16,9,2,2,-1,-6,72,51,36,1020,1015,1012,16,16,16,27,18,39,0.00,0,,244<br />
2015-1-18,17,8,-1,-4,-6,-9,64,38,17,1022,1019,1015,16,16,16,37,16,53,0.00,0,Rain,226<br />
2015-1-19,20,12,4,-1,-3,-4,57,39,21,1016,1014,1012,16,16,16,16,11,,0.00,0,,243<br />
2015-1-20,10,6,0,4,1,-2,97,74,46,1022,1018,1014,16,16,8,34,10,,0.00,3,Rain,359<br />
2015-1-21,11,4,-3,4,-2,-4,100,85,39,1026,1023,1021,16,5,0,21,3,,0.00,3,Fog,283<br />
2015-1-22,10,6,0,-2,-3,-4,79,57,36,1029,1028,1026,16,16,16,14,8,,0.00,4,,31<br />
2015-1-23,7,2,-4,-2,-5,-7,88,68,40,1026,1022,1018,16,15,10,19,10,,0.00,1,,323<br />
2015-1-24,13,4,-3,0,-2,-7,85,61,39,1019,1015,1009,16,16,16,19,11,,0.00,0,,237<br />
2015-1-25,9,7,4,4,1,-1,82,67,54,1020,1011,1007,16,16,16,40,26,60,1.27,8,Rain,305<br />
2015-1-26,15,6,-3,1,-1,-4,92,65,38,1021,1018,1015,16,16,14,26,13,34,0.00,1,,264<br />
2015-1-27,19,10,1,2,-2,-5,85,52,20,1022,1019,1017,16,16,16,10,3,,0.00,0,,83<br />
2015-1-28,21,12,2,6,3,-2,76,51,33,1019,1015,1012,16,16,16,37,16,52,0.00,0,Rain,177<br />
2015-1-29,15,7,-1,5,0,-4,79,61,44,1033,1025,1013,16,16,16,34,21,47,0.00,3,Rain,336<br />
2015-1-30,9,2,-4,-4,-6,-8,88,60,30,1035,1032,1028,16,16,16,13,6,,0.00,1,,72<br />
2015-1-31,9,7,4,3,-3,-10,89,56,26,1027,1020,1011,16,16,10,26,10,,2.79,7,Rain,152<br />
2015-2-1,7,-1,-8,6,0,-12,97,88,71,1024,1012,1007,16,11,3,35,21,53,11.94,8,Rain,260<br />
2015-2-2,0,-4,-9,-8,-11,-13,77,66,48,1029,1027,1025,16,16,11,27,14,47,0.00,4,Snow,293<br />
2015-2-3,12,3,-6,-4,-7,-9,82,54,28,1025,1022,1019,16,16,16,29,13,,0.00,0,,206<br />
2015-2-4,12,4,-4,3,-3,-6,93,78,56,1029,1022,1017,16,12,3,37,16,48,0.00,6,Rain-Snow,11<br />
2015-2-5,4,-2,-9,-7,-10,-12,88,62,32,1032,1030,1027,16,16,16,29,18,,0.00,3,,49<br />
2015-2-6,13,6,-1,3,-1,-8,82,63,49,1027,1023,1018,16,16,16,32,16,52,0.00,2,Rain,207<br />
2015-2-7,21,12,3,6,3,2,89,60,32,1017,1012,1008,16,16,16,37,21,58,0.00,0,Rain,196<br />
2015-2-8,22,16,9,9,6,2,90,64,31,1015,1010,1008,16,16,16,24,16,,0.00,0,,263<br />
2015-2-9,11,6,0,4,2,-2,89,76,56,1022,1020,1015,16,12,6,26,14,,0.00,2,,17<br />
2015-2-10,18,8,-1,2,-1,-2,92,68,33,1020,1017,1013,16,13,8,14,10,,0.00,2,,137<br />
2015-2-11,11,5,-2,3,-1,-6,82,70,50,1029,1023,1017,16,16,14,32,13,40,0.00,2,Rain,6<br />
2015-2-12,3,-1,-5,-6,-11,-16,81,54,27,1034,1031,1028,16,16,14,27,14,37,0.00,1,Snow,19<br />
2015-2-13,11,3,-4,-3,-7,-12,63,47,35,1028,1024,1021,16,16,16,27,10,39,0.00,0,,228<br />
2015-2-14,19,8,-2,2,-3,-10,82,53,27,1024,1022,1019,16,16,16,29,13,48,0.00,0,,335<br />
2015-2-15,5,1,-4,-5,-12,-16,88,46,27,1024,1021,1018,16,14,5,27,21,39,3.56,4,Snow,85<br />
2015-2-16,-3,-8,-12,-4,-8,-14,96,88,74,1023,1018,1015,16,8,0,26,16,,6.60,7,Fog-Snow,31<br />
2015-2-17,2,-6,-14,0,-7,-16,96,85,69,1023,1020,1017,16,12,1,32,13,52,0.76,4,Snow,242<br />
2015-2-18,-2,-6,-10,-12,-14,-15,67,51,39,1031,1027,1022,16,16,14,26,14,39,0.00,0,Snow,320<br />
2015-2-19,1,-5,-11,-11,-14,-17,70,52,37,1031,1028,1022,16,16,16,19,10,,0.00,4,,91<br />
2015-2-20,4,0,-3,3,-1,-11,100,82,55,1022,1013,1007,16,11,2,21,16,,1.52,8,Rain,128<br />
2015-2-21,8,4,1,3,1,0,100,90,68,1022,1012,1006,16,11,1,26,14,,14.48,6,Rain-Snow-Thunderstorm,16<br />
2015-2-22,1,-2,-6,0,-6,-13,96,76,55,1036,1029,1023,16,12,4,35,21,48,0.00,7,Snow,24<br />
2015-2-23,-4,-6,-8,-9,-14,-16,75,54,41,1040,1035,1029,16,16,14,29,21,40,0.00,8,,18<br />
2015-2-24,4,-1,-6,-7,-9,-14,77,60,46,1028,1021,1015,16,16,16,21,11,,0.00,3,,252<br />
2015-2-25,8,1,-6,-4,-6,-8,85,64,37,1015,1012,1008,16,16,13,19,6,,0.00,1,,242<br />
2015-2-26,2,-3,-8,-1,-12,-16,82,59,41,1033,1025,1013,16,15,11,37,27,48,0.00,4,Snow,355<br />
2015-2-27,-7,-10,-12,-10,-13,-17,84,69,44,1036,1034,1032,16,10,1,24,13,,0.25,5,Snow,56<br />
2015-2-28,-1,-4,-7,-2,-6,-10,96,88,81,1033,1029,1027,16,5,1,16,11,,4.32,8,Fog-Rain-Snow,95<br />
2015-3-1,1,-1,-2,-1,-2,-4,96,91,82,1032,1028,1026,16,8,2,21,8,,0.00,8,Rain-Snow,6<br />
2015-3-2,3,0,-3,1,-4,-7,89,76,59,1032,1027,1019,16,16,14,21,14,37,0.00,6,,96<br />
2015-3-3,11,7,3,9,6,1,100,95,87,1017,1012,1010,16,7,1,34,18,50,0.00,8,Fog-Rain,210<br />
2015-3-4,8,1,-6,7,-3,-9,97,89,78,1029,1020,1011,16,6,2,37,23,48,10.67,8,Rain-Snow,16<br />
2015-3-5,3,-3,-9,-8,-11,-13,77,57,38,1035,1033,1029,16,16,16,14,11,,0.00,0,,355<br />
2015-3-6,10,2,-6,-3,-6,-11,78,57,36,1034,1031,1029,16,16,16,23,11,34,0.00,0,,210<br />
2015-3-7,17,8,-1,0,-2,-5,76,50,30,1030,1027,1024,16,16,16,26,13,37,0.00,0,,219<br />
2015-3-8,12,7,2,3,0,-4,85,58,33,1023,1021,1019,16,16,16,24,10,,0.00,6,,187<br />
2015-3-9,12,8,5,8,7,3,97,89,74,1020,1017,1015,16,14,8,14,6,,12.19,8,Rain,101<br />
2015-3-10,14,9,5,9,7,4,100,92,70,1021,1016,1012,16,10,0,16,8,,2.03,6,Fog-Rain,25<br />
2015-3-11,22,11,1,11,4,1,100,84,31,1026,1023,1021,16,5,0,14,2,,0.00,1,Fog,116<br />
2015-3-12,20,12,6,10,7,2,93,72,42,1025,1023,1020,16,14,4,26,11,26,1.02,3,Rain,61<br />
2015-3-13,13,12,11,12,11,10,100,96,93,1020,1016,1012,14,7,0,24,13,,26.92,8,Fog-Rain,28<br />
2015-3-14,15,11,7,12,9,5,97,82,64,1024,1018,1014,16,13,3,45,24,60,10.41,6,Rain,22<br />
2015-3-15,22,13,4,9,6,3,97,72,41,1027,1025,1023,16,13,3,13,5,,0.00,0,,177<br />
2015-3-16,23,15,7,12,10,7,100,80,48,1024,1021,1016,16,12,0,26,10,37,0.00,0,Fog,211<br />
2015-3-17,19,14,12,12,9,5,89,68,50,1021,1019,1016,16,16,16,27,14,34,0.00,1,Rain,26<br />
2015-3-18,12,9,6,7,5,2,97,82,54,1020,1018,1016,16,14,5,21,16,32,8.89,8,Rain,88<br />
2015-3-19,13,9,6,9,7,5,97,91,77,1020,1017,1016,16,9,3,16,6,,7.11,8,Rain,35<br />
2015-3-20,17,11,6,7,6,4,96,79,43,1023,1021,1019,16,14,6,16,8,,1.02,5,Rain,9<br />
2015-3-21,19,11,4,7,4,2,100,67,33,1023,1020,1017,16,15,4,13,3,,0.00,0,,71<br />
2015-3-22,17,12,9,9,8,6,90,74,51,1019,1017,1016,16,16,16,13,6,26,0.00,4,,152<br />
2015-3-23,23,13,4,11,7,4,100,84,46,1021,1018,1014,16,7,0,16,6,,0.00,2,Fog,202<br />
2015-3-24,26,19,12,14,9,4,77,58,38,1014,1011,1006,16,16,16,39,18,52,0.00,2,Rain-Thunderstorm,199<br />
2015-3-25,27,16,5,18,10,3,97,79,32,1015,1011,1007,16,14,3,39,14,60,25.40,5,Rain-Thunderstorm,48<br />
2015-3-26,13,8,4,11,3,-2,96,74,35,1021,1017,1012,16,16,10,39,26,50,0.76,5,Rain,2<br />
2015-3-27,11,7,4,2,-1,-5,89,64,35,1023,1021,1017,16,16,16,35,13,39,0.00,6,Rain,2<br />
2015-3-28,17,11,5,5,2,-3,76,60,46,1021,1020,1018,16,16,16,24,11,27,0.25,2,Rain,134<br />
2015-3-29,21,13,5,7,4,1,83,63,41,1021,1017,1015,16,16,16,35,16,35,0.00,0,,202<br />
2015-3-30,23,13,4,6,4,2,93,57,26,1024,1020,1016,16,16,10,21,10,,0.00,0,,181<br />
2015-3-31,28,19,12,17,12,5,100,70,28,1016,1014,1011,16,15,2,16,6,26,0.00,2,,257<br />
2015-4-1,25,18,12,17,13,10,90,77,51,1013,1011,1008,16,15,13,26,11,39,0.25,2,,156<br />
2015-4-2,26,21,18,17,17,15,90,79,62,1011,1008,1006,16,15,8,34,24,45,1.27,5,Rain-Thunderstorm,195<br />
2015-4-3,21,14,6,18,10,0,96,75,51,1027,1014,1004,16,15,8,45,21,53,0.76,6,Rain,345<br />
2015-4-4,17,9,1,-1,-4,-8,85,47,18,1031,1027,1023,16,16,16,21,11,,0.00,0,,80<br />
