
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,19,14,9,13,10,8,89,76,63,1027,1025,1023,16,16,14,19,12,26,T,8,Rain,30<br />
2015-1-2,23,18,13,18,14,11,100,87,73,1026,1024,1023,16,9,0,16,9,21,0.00,7,Fog,59<br />
2015-1-3,28,22,16,21,18,16,100,79,58,1025,1023,1021,16,6,0,23,6,29,T,6,Fog,127<br />
2015-1-4,27,22,17,21,19,17,100,81,62,1024,1023,1021,16,11,0,35,14,50,2.03,7,Fog-Rain,184<br />
2015-1-5,19,13,7,18,9,5,93,70,46,1031,1028,1024,16,16,16,27,10,35,0.00,3,,350<br />
2015-1-6,22,13,4,12,7,4,100,70,40,1029,1026,1024,16,16,16,24,7,37,0.00,0,,311<br />
2015-1-7,18,9,0,4,1,-6,100,62,24,1028,1024,1021,16,16,16,37,13,52,0.00,0,,314<br />
2015-1-8,8,3,-2,0,-4,-11,82,60,37,1033,1031,1028,16,16,16,37,20,55,0.00,5,,25<br />
2015-1-9,13,8,2,3,2,1,92,69,46,1029,1027,1025,16,16,11,23,10,29,T,5,,333<br />
2015-1-10,16,9,2,7,3,-3,93,67,41,1031,1029,1028,16,16,16,26,13,34,0.00,2,,20<br />
2015-1-11,20,14,8,17,13,8,100,87,73,1030,1028,1026,16,11,0,19,11,23,T,6,Fog-Rain,30<br />
2015-1-12,21,17,14,21,17,14,100,97,93,1025,1022,1020,16,4,0,21,5,26,19.56,7,Fog-Rain-Thunderstorm,104<br />
2015-1-13,21,18,14,17,16,14,100,91,81,1023,1021,1020,16,9,0,21,9,27,0.00,8,Fog,18<br />
2015-1-14,16,13,10,14,11,9,100,93,86,1023,1022,1021,16,12,3,23,11,27,0.00,8,,24<br />
2015-1-15,10,9,8,9,8,7,100,93,86,1023,1021,1019,16,11,5,16,8,19,7.37,8,Rain,41<br />
2015-1-16,16,9,3,8,6,2,100,76,51,1023,1021,1020,16,16,13,23,9,32,0.76,4,Rain,351<br />
2015-1-17,20,11,1,12,7,0,100,79,58,1025,1022,1020,16,16,13,16,6,26,0.00,1,,57<br />
2015-1-18,21,13,4,11,8,4,100,72,44,1022,1020,1017,16,13,2,29,10,40,0.00,2,,295<br />
2015-1-19,20,10,0,4,1,-3,100,62,24,1025,1022,1020,16,16,16,13,3,18,0.00,0,,295<br />
2015-1-20,21,12,3,12,7,2,96,75,53,1021,1018,1016,16,16,14,14,3,23,0.00,1,,338<br />
2015-1-21,24,16,7,13,11,8,100,75,49,1021,1019,1017,16,15,11,16,2,21,0.00,1,,340<br />
2015-1-22,23,16,7,14,12,8,100,77,53,1025,1022,1020,16,14,1,19,7,29,0.00,3,,89<br />
2015-1-23,21,18,14,19,18,13,100,88,76,1020,1014,1009,16,9,1,27,14,39,42.16,8,Rain-Thunderstorm,152<br />
2015-1-24,21,12,4,19,11,3,100,81,61,1017,1012,1007,16,14,3,52,23,69,6.60,6,Rain,257<br />
2015-1-25,17,9,1,8,3,0,96,68,39,1019,1016,1013,16,16,16,23,9,31,0.00,0,,248<br />
2015-1-26,16,12,7,12,7,2,96,69,42,1015,1011,1009,16,15,3,40,17,52,3.81,3,Rain,271<br />
2015-1-27,19,11,3,4,2,1,85,61,37,1019,1015,1012,16,16,16,40,14,50,0.00,0,,286<br />
2015-1-28,14,8,1,2,1,-1,92,64,36,1027,1023,1019,16,16,16,23,8,29,0.00,0,,5<br />
2015-1-29,19,9,-1,8,3,-2,100,69,37,1028,1026,1023,16,16,16,19,6,26,0.00,0,,247<br />
2015-1-30,20,12,4,13,7,0,100,65,29,1026,1023,1021,16,16,10,26,12,37,0.00,2,,305<br />
2015-1-31,19,10,1,6,3,-2,82,63,43,1028,1026,1025,16,16,16,27,11,34,0.00,0,,45<br />
2015-2-1,23,13,4,11,8,4,100,72,44,1025,1021,1016,16,16,16,34,10,43,0.00,1,,148<br />
2015-2-2,20,13,5,18,11,0,97,68,39,1022,1015,1012,16,16,11,40,18,52,0.51,5,Rain,247<br />
2015-2-3,14,7,0,5,1,-2,89,65,40,1028,1025,1022,16,16,16,21,11,27,0.00,1,,23<br />
2015-2-4,15,12,8,13,11,6,100,89,77,1025,1021,1016,16,13,3,21,9,26,6.10,8,Rain,43<br />
2015-2-5,18,12,4,12,9,3,100,69,37,1022,1015,1010,16,14,3,32,10,42,8.89,6,Rain,31<br />
2015-2-6,17,10,3,6,3,0,100,68,35,1028,1026,1022,16,16,16,24,11,29,0.00,0,,27<br />
2015-2-7,20,11,1,8,4,1,100,67,34,1027,1025,1023,16,16,14,21,4,29,0.00,0,,95<br />
2015-2-8,23,14,4,10,7,4,100,68,35,1024,1020,1016,16,16,16,21,5,31,0.00,0,,219<br />
2015-2-9,22,14,6,14,11,6,100,74,47,1016,1011,1008,16,13,0,19,4,26,0.51,4,Fog-Rain,269<br />
