
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,6,2,-2,-6,-10,-13,61,45,28,1024,1020,1017,16,16,16,45,25,56,0.00,1,,232<br />
2015-1-2,7,3,-2,-5,-7,-9,69,53,36,1031,1025,1019,16,16,16,32,13,39,0.00,4,,265<br />
2015-1-3,7,2,-2,6,0,-6,100,81,61,1035,1030,1018,16,8,2,21,9,32,18.29,8,Rain,60<br />
2015-1-4,14,10,6,12,7,0,100,80,59,1017,1012,1006,16,9,0,50,17,68,9.40,8,Fog-Rain,226<br />
2015-1-5,10,3,-4,-2,-11,-18,53,39,24,1031,1023,1013,16,16,16,52,29,64,0.00,4,,294<br />
2015-1-6,-4,-7,-9,-7,-10,-19,92,64,35,1031,1025,1019,16,7,1,23,9,29,3.05,7,Fog-Snow,258<br />
2015-1-7,-4,-7,-11,-8,-14,-23,92,63,33,1029,1020,1015,16,15,10,50,27,64,T,5,Snow,286<br />
2015-1-8,-6,-9,-13,-15,-19,-23,58,48,38,1034,1030,1024,16,16,16,45,21,64,0.00,2,,253<br />
2015-1-9,2,-2,-6,-10,-13,-15,57,46,35,1026,1020,1017,16,15,10,48,25,61,0.25,5,Snow,251<br />
2015-1-10,-4,-6,-9,-16,-19,-21,54,44,33,1037,1033,1027,16,16,16,32,18,42,0.00,0,,279<br />
2015-1-11,4,-2,-9,-5,-11,-16,73,53,33,1040,1037,1033,16,16,16,26,11,32,0.00,5,,208<br />
2015-1-12,3,2,1,2,0,-7,100,78,56,1033,1026,1021,16,9,2,16,8,23,14.99,8,Rain,251<br />
2015-1-13,3,-1,-6,-1,-9,-16,76,56,36,1036,1032,1025,16,16,16,37,20,48,0.00,5,,9<br />
2015-1-14,0,-3,-7,-7,-9,-14,68,60,52,1035,1028,1023,16,16,16,27,16,39,0.00,8,,30<br />
2015-1-15,2,1,-2,-5,-7,-9,69,57,44,1023,1020,1015,16,15,11,24,12,29,0.00,6,,292<br />
2015-1-16,6,1,-4,-4,-7,-15,85,61,36,1025,1016,1013,16,15,11,48,24,63,0.00,2,,275<br />
2015-1-17,1,-3,-8,-7,-15,-17,63,44,25,1031,1028,1024,16,16,16,27,12,32,0.00,2,,7<br />
2015-1-18,6,1,-4,5,0,-7,100,86,72,1023,1013,1007,16,8,1,23,10,31,46.74,7,Rain,41<br />
2015-1-19,7,3,-1,-1,-3,-6,92,67,41,1014,1012,1010,16,14,5,40,18,55,0.00,6,,260<br />
2015-1-20,8,3,-2,0,-2,-4,89,69,49,1019,1015,1013,16,15,8,24,11,29,0.00,4,,270<br />
2015-1-21,1,-1,-3,-1,-5,-11,85,64,43,1022,1021,1019,16,10,1,21,9,24,1.52,7,Snow,41<br />
2015-1-22,5,2,-1,0,-2,-4,92,78,64,1028,1025,1022,16,9,1,26,11,37,0.76,7,Snow,283<br />
2015-1-23,6,1,-4,0,-3,-7,89,68,46,1029,1023,1014,16,12,2,23,8,37,4.06,6,Snow,192<br />
2015-1-24,4,2,1,1,0,-4,96,78,59,1014,1003,993,16,7,0,32,18,45,13.97,7,Rain-Snow,18<br />
2015-1-25,8,4,1,1,-2,-4,79,64,49,1014,1010,1003,16,16,10,35,19,42,T,7,Rain-Snow,296<br />
2015-1-26,1,-1,-3,-3,-5,-7,85,77,69,1015,1010,1006,16,11,2,42,28,56,T,8,Snow,46<br />
2015-1-27,1,-2,-6,-6,-8,-16,88,62,36,1013,1007,1005,16,10,2,40,26,52,1.78,7,Snow,342<br />
2015-1-28,2,-2,-7,-14,-17,-19,56,41,25,1026,1021,1014,16,16,16,42,21,50,0.00,1,,321<br />
2015-1-29,1,-2,-6,-5,-12,-17,51,41,30,1028,1023,1015,16,16,13,19,10,24,T,6,Snow,158<br />
2015-1-30,6,-1,-7,-2,-6,-18,69,53,37,1021,1015,1012,16,15,1,53,28,68,T,6,Snow,294<br />
2015-1-31,-2,-6,-10,-12,-17,-19,57,45,33,1025,1024,1021,16,16,16,50,26,63,0.00,0,,297<br />
2015-2-1,4,-1,-6,-1,-6,-12,64,57,49,1025,1021,1013,16,13,2,21,10,26,1.52,7,Snow,176<br />
2015-2-2,5,0,-5,2,-1,-14,100,73,46,1017,1003,995,16,9,2,61,20,74,23.62,7,Rain-Snow,13<br />
2015-2-3,-1,-4,-7,-11,-15,-18,55,43,31,1028,1025,1018,16,16,16,45,18,60,0.00,2,,286<br />
2015-2-4,8,2,-5,-3,-6,-11,74,58,42,1027,1021,1013,16,16,16,29,12,37,0.00,6,,188<br />
2015-2-5,5,-2,-8,-3,-12,-21,70,48,25,1026,1018,1011,16,16,16,53,28,68,T,5,Snow,332<br />
2015-2-6,0,-5,-10,-13,-17,-21,51,39,27,1027,1024,1021,16,16,16,34,16,43,0.00,3,,259<br />
2015-2-7,7,1,-6,-4,-9,-13,75,49,22,1023,1020,1015,16,16,16,24,9,31,0.00,7,,202<br />
2015-2-8,11,6,1,2,-1,-4,92,65,38,1014,1012,1009,16,13,1,24,10,43,0.00,7,,63<br />
2015-2-9,3,1,-2,2,-3,-4,92,89,85,1016,1014,1011,16,11,3,35,23,42,0.76,8,Rain-Snow,47<br />
2015-2-10,6,2,-2,-3,-4,-5,85,68,51,1017,1016,1015,16,15,11,40,24,48,T,7,Snow,21<br />
2015-2-11,4,1,-3,-5,-9,-13,69,49,29,1019,1016,1014,16,16,16,32,14,52,0.00,2,,56<br />
2015-2-12,5,-1,-7,-2,-8,-18,85,57,29,1016,1011,1008,16,15,11,48,22,60,0.00,6,,266<br />
2015-2-13,-4,-8,-12,-16,-21,-24,46,34,22,1025,1022,1018,16,16,16,52,24,68,0.00,1,,306<br />
2015-2-14,0,-4,-8,-2,-8,-15,85,65,45,1021,1005,999,16,10,1,63,16,82,1.02,8,Snow,218<br />
2015-2-15,-6,-9,-13,-9,-19,-25,59,48,36,1024,1012,1003,16,13,1,61,37,87,T,4,Snow,301<br />
2015-2-16,-8,-12,-16,-14,-22,-26,51,44,36,1027,1023,1019,16,14,2,50,18,66,0.51,6,Snow,300<br />
2015-2-17,-2,-6,-11,-10,-12,-15,88,67,46,1019,1014,1012,16,9,1,19,9,27,6.10,6,Snow,2<br />
2015-2-18,0,-6,-12,-10,-14,-18,73,51,28,1015,1011,1007,16,16,16,42,10,56,T,4,,240<br />
