
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,9,2,-4,-5,-8,-13,62,45,28,1024,1021,1019,16,16,16,32,15,45,0.00,0,,200<br />
2015-1-2,9,7,3,-2,-5,-9,59,48,36,1029,1025,1019,16,16,16,24,6,32,0.00,2,,183<br />
2015-1-3,4,3,2,3,2,-4,92,73,54,1032,1026,1019,16,6,1,19,4,21,6.10,8,Rain,19<br />
2015-1-4,17,11,4,13,6,-2,100,73,45,1019,1014,1008,16,11,1,37,18,58,1.02,6,Fog-Rain,203<br />
2015-1-5,9,3,-3,-3,-11,-18,49,35,20,1030,1025,1017,16,16,16,29,9,42,0.00,0,,301<br />
2015-1-6,4,0,-4,-8,-11,-13,74,55,35,1029,1023,1018,16,16,16,24,7,37,0.00,4,,330<br />
2015-1-7,-1,-6,-11,-10,-17,-24,55,42,29,1033,1023,1016,16,16,16,34,15,47,0.00,4,,303<br />
2015-1-8,-4,-9,-14,-19,-22,-24,55,39,22,1036,1031,1023,16,16,16,34,15,42,0.00,0,,223<br />
2015-1-9,4,-1,-6,-14,-16,-18,39,31,23,1026,1020,1017,16,16,16,39,15,48,0.00,2,,222<br />
2015-1-10,0,-4,-9,-16,-18,-21,47,34,21,1036,1033,1027,16,16,16,16,6,23,0.00,0,,241<br />
2015-1-11,6,-3,-12,-8,-13,-17,76,51,25,1038,1035,1032,16,16,16,16,3,19,T,3,Rain,199<br />
2015-1-12,5,3,0,4,2,-5,100,91,82,1032,1024,1018,16,5,1,16,4,19,9.91,8,Fog-Rain,125<br />
2015-1-13,4,1,-3,3,-6,-12,92,68,44,1033,1031,1024,16,16,10,27,15,34,0.00,6,,43<br />
2015-1-14,1,-2,-6,-3,-6,-12,88,69,50,1032,1026,1023,16,12,3,16,7,21,0.51,8,Snow,37<br />
2015-1-15,3,0,-4,-2,-3,-5,92,78,64,1023,1020,1016,16,15,6,19,7,24,0.00,5,,194<br />
2015-1-16,10,4,-1,-4,-5,-6,72,53,34,1023,1017,1014,16,16,16,19,7,34,0.00,1,,283<br />
2015-1-17,6,1,-4,-4,-6,-8,75,59,43,1029,1025,1021,16,16,16,24,9,29,0.00,0,,148<br />
2015-1-18,13,6,-2,2,-2,-4,85,59,32,1021,1013,1007,16,16,16,23,7,37,0.00,3,,200<br />
2015-1-19,12,7,1,-2,-5,-8,60,43,26,1016,1014,1011,16,16,16,21,8,32,0.00,2,,333<br />
2015-1-20,13,5,-3,-1,-4,-6,78,57,35,1017,1014,1011,16,16,16,23,5,27,0.00,2,,19<br />
2015-1-21,6,2,-3,-1,-2,-3,92,75,57,1021,1019,1017,16,14,4,13,4,14,T,3,Snow,6<br />
2015-1-22,11,3,-4,-1,-4,-6,92,63,33,1029,1025,1021,16,11,2,26,5,26,0.00,2,,354<br />
2015-1-23,4,1,-3,0,-2,-6,96,78,59,1029,1021,1010,16,10,1,21,6,24,18.29,5,Rain,190<br />
2015-1-24,8,4,0,3,-1,-6,100,72,43,1010,1003,999,16,9,2,19,6,27,2.03,7,Rain,323<br />
2015-1-25,9,5,0,1,-2,-4,79,67,54,1011,1009,1006,16,16,16,19,8,24,0.00,2,,187<br />
2015-1-26,4,2,-1,2,1,-2,96,89,82,1008,1006,1004,16,8,3,24,12,27,5.33,8,Rain-Snow,36<br />
2015-1-27,2,1,-2,-2,-7,-10,92,72,52,1015,1010,1006,16,16,13,23,12,34,T,7,,332<br />
2015-1-28,6,1,-5,-11,-16,-19,53,35,17,1027,1023,1016,16,16,16,24,12,34,0.00,1,,323<br />
2015-1-29,6,-1,-7,-4,-9,-16,68,47,25,1027,1022,1013,16,16,14,27,12,37,T,4,Rain,193<br />
2015-1-30,7,1,-4,-3,-9,-16,64,47,29,1025,1019,1012,16,16,16,35,13,52,T,5,,309<br />
2015-1-31,6,0,-7,-12,-17,-19,50,33,16,1027,1025,1024,16,16,16,24,5,34,0.00,0,,319<br />
2015-2-1,6,2,-3,-1,-9,-12,82,56,29,1025,1020,1008,16,16,16,16,4,23,1.02,6,Rain,25<br />
2015-2-2,11,4,-4,8,-2,-14,100,68,35,1020,1004,996,16,13,3,39,15,68,1.27,5,Rain,249<br />
2015-2-3,4,0,-5,-12,-14,-16,51,38,26,1028,1025,1021,16,16,16,16,6,24,0.00,1,,228<br />
2015-2-4,14,4,-6,-4,-7,-11,68,46,24,1025,1019,1013,16,16,16,32,16,40,0.00,0,,198<br />
2015-2-5,6,-1,-8,-3,-13,-21,55,39,22,1027,1020,1011,16,16,16,35,14,52,0.00,1,,336<br />
2015-2-6,6,-2,-11,-15,-17,-21,58,36,13,1027,1025,1022,16,16,16,24,12,32,0.00,1,,195<br />
