
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,12,8,5,8,5,1,83,77,70,1029,1024,1021,16,16,16,26,13,32,T,7,Rain,58<br />
2015-1-2,21,17,12,18,15,9,100,89,77,1022,1019,1016,16,9,2,23,13,29,1.02,7,Rain,92<br />
2015-1-3,23,19,14,21,18,13,93,90,87,1018,1014,1011,16,10,0,48,15,48,89.41,8,Fog-Rain-Thunderstorm,201<br />
2015-1-4,15,11,7,13,9,2,93,73,53,1034,1024,1018,16,16,16,24,10,31,0.00,3,,307<br />
2015-1-5,11,6,0,1,-2,-4,89,64,38,1038,1034,1031,16,16,16,21,6,29,0.00,0,,180<br />
2015-1-6,17,8,-2,3,0,-3,92,62,32,1033,1030,1027,16,16,16,13,4,19,0.00,0,,296<br />
2015-1-7,13,6,-2,3,-3,-13,92,61,29,1039,1032,1027,16,16,16,32,12,52,0.00,2,,8<br />
2015-1-8,3,-2,-7,-5,-13,-17,63,45,27,1038,1034,1029,16,16,16,23,9,37,0.00,1,,62<br />
2015-1-9,4,2,1,-1,-3,-5,82,68,54,1033,1031,1029,16,16,16,21,7,26,0.51,7,Rain-Snow,15<br />
2015-1-10,11,5,-1,-2,-6,-8,70,49,27,1034,1031,1029,16,16,16,24,11,29,0.00,1,,53<br />
2015-1-11,17,11,5,13,7,-6,100,70,40,1029,1024,1021,16,12,2,27,16,39,10.67,7,Rain,93<br />
2015-1-12,17,13,8,15,12,6,97,87,77,1025,1022,1020,16,9,0,23,9,27,0.51,8,Fog-Rain,325<br />
2015-1-13,8,6,3,6,3,2,89,83,76,1029,1027,1025,16,16,11,23,13,29,0.00,8,,7<br />
2015-1-14,5,4,2,2,2,1,92,86,79,1028,1026,1024,16,15,8,19,9,27,T,8,Rain,24<br />
2015-1-15,7,4,1,3,3,0,92,81,70,1026,1024,1022,16,13,8,16,5,23,3.05,6,Rain,353<br />
2015-1-16,14,7,-1,2,0,-2,100,68,36,1028,1025,1024,16,15,10,16,3,23,0.00,0,,31<br />
2015-1-17,17,8,-2,7,2,-2,92,64,36,1024,1022,1019,16,15,11,21,7,26,0.00,0,,201<br />
2015-1-18,21,12,3,8,2,-4,93,56,18,1026,1023,1021,16,15,6,23,5,31,0.00,0,,310<br />
2015-1-19,21,10,-1,7,2,-2,89,59,28,1023,1020,1017,16,16,16,21,6,26,0.00,0,,187<br />
2015-1-20,23,13,4,10,8,3,96,69,41,1017,1016,1014,16,15,8,14,2,23,0.00,3,,21<br />
2015-1-21,22,15,8,8,5,2,93,63,33,1022,1020,1017,16,16,10,19,9,24,0.00,0,,32<br />
2015-1-22,14,11,7,7,4,0,93,67,40,1022,1018,1014,16,10,2,42,20,53,55.63,6,Rain,46<br />
2015-1-23,7,6,3,6,4,1,92,87,82,1021,1016,1014,16,14,4,27,14,39,1.02,8,Rain,331<br />
2015-1-24,15,8,1,3,1,-2,96,66,35,1024,1020,1018,16,16,13,24,12,31,0.00,1,,264<br />
2015-1-25,21,12,4,7,4,-1,93,62,30,1019,1015,1011,16,16,10,39,17,52,0.00,0,,245<br />
2015-1-26,17,12,7,2,1,-1,65,48,30,1022,1019,1017,16,16,16,26,13,40,0.00,0,,305<br />
2015-1-27,25,14,4,5,3,-1,92,56,19,1022,1020,1018,16,16,16,19,6,24,0.00,0,,314<br />
2015-1-28,22,13,5,5,3,-1,82,54,26,1026,1023,1022,16,16,16,21,9,26,0.00,0,,104<br />
2015-1-29,26,16,5,14,9,3,96,66,36,1025,1023,1022,16,15,8,27,9,34,0.00,1,,244<br />
2015-1-30,17,11,3,7,1,-3,85,56,27,1030,1028,1025,16,16,16,26,10,37,0.00,0,,17<br />
2015-1-31,17,9,2,9,4,-2,83,63,42,1027,1024,1019,16,16,16,26,15,34,0.00,1,,86<br />
2015-2-1,20,16,12,18,14,8,93,85,77,1018,1014,1011,16,15,2,34,15,48,4.57,7,Rain,197<br />
2015-2-2,12,7,1,4,-2,-4,71,55,38,1028,1024,1017,16,16,16,32,14,43,0.00,0,,341<br />
