
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,16,7,-2,5,1,-3,100,68,36,1029,1027,1025,16,7,0,14,2,18,T,2,Fog,193<br />
2015-1-2,14,10,6,10,8,6,100,79,57,1028,1026,1025,16,16,14,16,4,21,1.78,5,Rain,43<br />
2015-1-3,15,13,11,14,12,9,100,92,83,1027,1024,1021,16,9,0,14,6,19,T,8,Fog-Rain,71<br />
2015-1-4,22,17,11,19,16,4,100,76,51,1024,1019,1015,16,12,0,35,17,48,7.87,6,Fog-Rain,209<br />
2015-1-5,13,7,0,3,1,-1,96,67,38,1032,1029,1025,16,16,16,26,9,31,0.00,0,,307<br />
2015-1-6,16,6,-4,1,-3,-6,92,57,22,1030,1025,1022,16,16,11,34,12,40,0.00,0,,267<br />
2015-1-7,9,3,-3,-2,-7,-19,85,57,28,1034,1024,1020,16,16,16,42,19,53,0.00,1,,307<br />
2015-1-8,1,-4,-9,-11,-17,-21,74,48,22,1039,1035,1030,16,16,16,37,11,45,0.00,0,,22<br />
2015-1-9,10,1,-8,-9,-12,-16,80,48,15,1029,1027,1024,16,16,16,29,12,39,0.00,3,,276<br />
2015-1-10,10,2,-6,-7,-10,-13,74,47,19,1035,1033,1028,16,16,16,21,6,26,0.00,0,,21<br />
2015-1-11,7,1,-4,4,-2,-8,93,69,44,1036,1033,1030,16,14,3,19,9,23,3.05,8,Rain-Thunderstorm,4<br />
2015-1-12,9,7,4,9,6,3,100,96,92,1029,1025,1022,16,6,1,14,5,18,5.59,8,Fog-Rain,349<br />
2015-1-13,11,8,5,9,7,4,100,93,86,1027,1024,1021,16,5,1,27,9,35,0.25,8,Fog-Rain,40<br />
2015-1-14,6,4,3,3,2,2,93,85,76,1027,1025,1023,16,14,4,21,10,26,0.25,8,Rain,23<br />
2015-1-15,7,6,4,4,3,2,89,83,76,1024,1022,1021,16,13,3,19,5,34,5.08,8,Rain,147<br />
2015-1-16,13,6,-1,3,2,-1,96,67,38,1024,1021,1019,16,13,0,19,5,23,0.00,5,Fog,312<br />
2015-1-17,16,7,-3,6,0,-4,100,70,40,1028,1024,1021,16,11,0,16,3,23,0.00,2,Fog,153<br />
2015-1-18,18,9,1,7,1,-4,100,63,25,1020,1018,1015,16,12,1,40,13,53,0.00,1,,269<br />
2015-1-19,20,9,-3,1,-3,-6,92,55,17,1022,1019,1016,16,16,16,27,8,37,0.00,0,,233<br />
2015-1-20,19,11,1,4,2,-3,85,60,34,1018,1016,1014,16,16,16,23,7,29,0.00,0,,211<br />
2015-1-21,22,12,2,7,2,-2,100,61,22,1021,1017,1015,16,15,11,24,6,32,0.00,0,,292<br />
2015-1-22,16,9,3,4,2,-2,79,59,39,1026,1024,1021,16,16,16,21,8,27,0.00,2,,15<br />
2015-1-23,11,9,6,8,6,4,100,82,63,1024,1017,1007,16,10,2,23,10,27,23.88,8,Rain,20<br />
2015-1-24,13,9,6,6,2,-4,100,68,35,1014,1008,1004,16,14,4,42,19,50,5.59,5,Rain,285<br />
2015-1-25,17,7,-2,1,-2,-3,92,61,29,1016,1013,1008,16,16,16,26,9,34,0.00,0,,216<br />
2015-1-26,14,9,4,4,2,-3,83,65,46,1011,1007,1005,16,16,16,45,24,55,0.00,3,,277<br />
2015-1-27,12,5,-2,-1,-2,-4,85,62,38,1018,1013,1011,16,16,16,34,14,47,0.00,3,,304<br />
2015-1-28,12,3,-6,-2,-7,-12,96,58,19,1028,1024,1019,16,16,16,24,5,29,0.00,0,,356<br />
2015-1-29,14,5,-4,2,-4,-6,92,59,25,1029,1025,1020,16,16,10,24,7,31,T,2,Rain,185<br />
2015-1-30,14,7,0,5,-2,-7,68,46,23,1027,1022,1017,16,16,16,35,17,45,0.00,1,,313<br />
2015-1-31,14,4,-6,-3,-7,-12,88,52,16,1030,1028,1027,16,16,11,13,3,16,0.00,0,,199<br />
2015-2-1,21,11,1,12,3,-7,82,60,37,1026,1021,1011,16,16,14,35,10,47,0.25,3,Rain,179<br />
2015-2-2,16,8,0,14,6,-6,93,63,32,1023,1011,1005,16,16,11,56,27,71,3.81,5,Rain,262<br />
2015-2-3,11,3,-5,-3,-6,-7,88,59,29,1029,1027,1023,16,16,16,13,4,18,0.00,0,,21<br />
2015-2-4,12,5,-3,5,-1,-4,96,64,32,1027,1024,1018,16,15,10,13,1,16,1.27,3,Rain,176<br />
2015-2-5,17,9,2,6,-1,-12,100,58,16,1026,1018,1015,16,14,6,37,15,48,0.51,4,Rain,352<br />
2015-2-6,12,3,-7,-6,-11,-17,71,42,13,1031,1029,1027,16,16,16,19,5,26,0.00,0,,144<br />
2015-2-7,18,7,-6,-2,-6,-10,88,51,13,1027,1025,1022,16,16,14,26,6,32,0.00,0,,221<br />
2015-2-8,21,9,-2,3,-1,-4,92,57,22,1022,1018,1014,16,16,10,34,10,47,0.00,0,,226<br />
2015-2-9,20,14,8,14,11,5,100,81,61,1014,1009,1006,16,11,1,39,8,48,8.38,7,Fog-Rain-Thunderstorm,231<br />
2015-2-10,15,8,2,12,8,2,100,76,51,1015,1009,1006,16,16,11,40,16,53,T,6,,340<br />
2015-2-11,16,7,-2,4,1,-1,96,68,39,1020,1016,1015,16,15,8,23,5,32,0.00,0,,326<br />
2015-2-12,17,8,-2,2,-2,-15,100,60,19,1023,1015,1012,16,9,1,47,19,63,0.00,0,Fog,300<br />
2015-2-13,8,2,-4,-8,-12,-14,68,44,20,1028,1025,1023,16,16,16,21,7,27,0.00,0,,346<br />
2015-2-14,16,5,-6,-2,-6,-11,96,60,23,1023,1017,1012,16,16,16,34,14,52,0.00,0,,258<br />
2015-2-15,12,6,-1,-3,-14,-20,43,28,13,1026,1023,1014,16,16,16,47,14,63,0.00,0,,3<br />
2015-2-16,9,3,-3,6,-5,-13,92,61,30,1026,1018,1006,16,15,6,23,9,29,0.76,6,Rain,105<br />
2015-2-17,7,4,2,6,2,-1,92,79,65,1015,1010,1005,16,13,3,34,12,40,13.97,8,Rain,336<br />
2015-2-18,10,3,-3,-1,-6,-15,82,57,31,1021,1016,1013,16,16,16,53,22,64,0.00,2,,289<br />
2015-2-19,1,-3,-7,-13,-17,-20,49,36,22,1028,1025,1022,16,16,16,39,23,47,0.00,0,,294<br />
2015-2-20,5,-3,-11,-11,-16,-18,73,47,20,1033,1031,1028,16,16,16,16,8,21,0.00,3,,144<br />
2015-2-21,20,9,-2,7,-1,-10,71,52,32,1031,1026,1021,16,16,16,37,12,50,0.00,2,,163<br />
2015-2-22,17,13,8,14,12,7,100,89,77,1023,1022,1020,16,12,2,23,4,24,18.80,8,Rain,258<br />
2015-2-23,14,11,8,14,11,4,100,87,74,1024,1021,1019,16,9,1,24,11,31,30.23,8,Rain,1<br />
2015-2-24,8,5,2,4,2,1,92,81,70,1023,1019,1015,16,10,3,21,10,26,1.02,8,Rain,71<br />
2015-2-25,6,3,-1,3,2,-1,100,85,70,1016,1011,1004,16,9,4,29,7,40,37.85,6,Rain,59<br />
2015-2-26,8,6,2,4,2,2,92,79,65,1021,1011,1003,16,14,4,24,11,29,1.52,8,Rain-Snow,344<br />
2015-2-27,14,8,2,3,2,0,92,66,39,1032,1027,1022,16,16,16,14,4,19,0.00,4,,46<br />
2015-2-28,13,6,-1,3,-1,-3,100,68,35,1037,1035,1032,16,15,2,29,13,37,1.02,4,Rain,49<br />
2015-3-1,6,4,2,6,3,1,100,88,76,1035,1032,1028,16,7,3,24,10,29,5.84,8,Rain,13<br />
2015-3-2,24,16,6,14,9,6,100,75,50,1028,1025,1022,16,10,0,24,7,32,T,6,Fog,252<br />
2015-3-3,15,13,10,13,12,10,100,93,86,1025,1023,1020,16,7,0,16,7,19,T,8,Fog-Rain,96<br />
2015-3-4,27,18,10,17,13,10,100,73,45,1019,1017,1014,16,8,0,40,13,55,0.00,5,Fog,188<br />
2015-3-5,27,17,7,17,13,4,90,72,54,1025,1017,1013,16,14,4,61,20,74,1.78,7,Rain,258<br />
2015-3-6,11,6,0,5,0,-2,89,65,41,1031,1028,1025,16,16,16,32,11,42,0.00,6,,44<br />
2015-3-7,19,8,-3,3,-2,-5,100,60,20,1032,1029,1026,16,13,0,19,4,27,0.00,1,Fog,222<br />
2015-3-8,23,11,-1,4,-1,-5,96,57,17,1027,1025,1022,16,15,11,23,5,31,0.00,0,,207<br />
2015-3-9,24,15,6,11,8,3,83,61,38,1025,1023,1021,16,16,16,14,5,21,0.00,3,,105<br />
2015-3-10,29,20,11,16,13,10,100,70,39,1023,1021,1018,16,16,16,29,10,40,0.00,2,,177<br />
2015-3-11,28,19,11,17,14,11,100,74,47,1023,1021,1019,16,11,0,27,9,35,0.00,1,Fog,205<br />
2015-3-12,24,19,15,16,13,6,93,71,48,1030,1026,1023,16,16,13,27,14,37,T,6,,78<br />
2015-3-13,16,12,8,9,6,0,100,69,37,1030,1027,1024,16,9,2,32,15,39,4.32,8,Rain,22<br />
2015-3-14,23,16,9,17,12,9,100,81,61,1023,1019,1015,16,9,2,27,8,32,8.64,7,Rain,329<br />
2015-3-15,27,18,8,14,10,2,100,61,21,1022,1019,1017,16,11,1,21,5,32,0.00,0,Fog,336<br />
2015-3-16,29,16,3,9,4,-3,100,56,12,1022,1020,1016,16,13,1,21,7,31,0.00,0,Fog,243<br />
2015-3-17,29,19,8,12,8,2,76,54,32,1016,1013,1009,16,16,10,35,15,48,0.00,0,,275<br />
2015-3-18,23,17,10,10,3,-2,72,46,20,1021,1018,1014,16,15,6,26,11,34,0.00,0,,74<br />
2015-3-19,14,12,10,11,9,6,100,81,61,1022,1021,1019,16,11,4,21,10,27,23.37,8,Rain,68<br />
2015-3-20,22,16,9,15,11,9,100,79,57,1021,1020,1017,16,11,3,16,10,23,0.51,7,Rain,323<br />
2015-3-21,25,19,13,14,13,9,93,67,41,1021,1018,1016,16,16,13,16,5,19,0.00,4,,315<br />
2015-3-22,17,16,13,16,14,12,100,90,80,1019,1017,1015,16,9,2,21,7,26,29.46,8,Rain,49<br />
