
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,14,9,4,8,6,3,100,83,66,1028,1026,1023,16,13,5,23,11,27,0.00,7,,52<br />
2015-1-2,19,15,10,18,14,7,100,86,71,1023,1021,1020,16,10,1,26,14,32,0.51,8,Rain,110<br />
2015-1-3,22,19,17,21,19,17,100,97,93,1020,1017,1015,16,11,1,39,21,50,9.40,8,Fog-Rain-Thunderstorm,161<br />
2015-1-4,21,14,8,21,12,3,100,78,55,1031,1022,1016,16,13,4,34,16,47,14.22,6,Rain-Thunderstorm,313<br />
2015-1-5,12,6,0,2,1,-2,100,71,41,1036,1032,1030,16,15,11,32,15,42,0.00,5,,358<br />
2015-1-6,16,8,-1,2,0,-2,100,65,29,1032,1029,1027,16,16,11,19,4,24,0.00,3,,325<br />
2015-1-7,12,4,-4,2,-4,-12,92,64,35,1036,1030,1026,16,16,16,42,22,60,0.00,2,,354<br />
2015-1-8,3,-2,-8,-6,-12,-16,75,51,26,1037,1033,1028,16,16,16,39,11,52,0.00,2,,17<br />
2015-1-9,4,1,-2,-1,-5,-11,89,62,35,1032,1030,1028,16,14,11,27,12,37,1.02,6,Rain-Snow,349<br />
2015-1-10,11,4,-2,-4,-7,-11,75,48,21,1033,1031,1029,16,16,16,23,12,29,0.00,1,,27<br />
2015-1-11,13,8,3,10,4,-6,89,69,48,1030,1026,1023,16,14,6,21,12,26,T,6,,75<br />
2015-1-12,26,19,12,18,15,11,100,78,56,1023,1022,1019,16,12,0,27,12,35,T,7,Fog-Rain,87<br />
2015-1-13,15,10,4,14,8,3,100,86,71,1026,1024,1022,16,14,5,29,17,37,0.00,8,,2<br />
2015-1-14,7,6,3,4,3,3,100,88,76,1027,1025,1023,16,12,6,26,17,32,0.00,8,,12<br />
2015-1-15,6,4,2,6,4,2,100,93,86,1025,1023,1021,16,9,3,23,11,29,18.29,8,Rain,5<br />
2015-1-16,14,7,0,3,1,-1,100,72,43,1027,1024,1023,16,16,11,23,10,29,0.00,3,,8<br />
2015-1-17,18,9,1,9,6,0,100,77,54,1024,1022,1020,16,16,16,26,9,32,0.00,3,,134<br />
2015-1-18,19,11,2,8,2,-4,100,61,22,1025,1022,1020,16,15,5,34,10,42,0.00,1,Fog,314<br />
2015-1-19,20,9,-1,6,2,-1,100,64,28,1024,1021,1017,16,16,16,24,8,29,0.00,1,,179<br />
2015-1-20,22,14,6,12,9,0,100,77,53,1018,1016,1014,16,15,11,26,5,34,0.00,4,,284<br />
2015-1-21,21,13,4,9,6,2,100,69,37,1021,1019,1017,16,13,3,23,11,27,0.00,1,,345<br />
2015-1-22,18,13,7,7,3,-1,100,68,36,1023,1020,1015,16,13,3,40,21,58,25.15,6,Rain,46<br />
2015-1-23,10,7,4,9,8,4,100,93,86,1016,1013,1010,16,9,2,35,14,47,30.23,8,Rain,346<br />
2015-1-24,12,7,1,4,1,-3,100,68,35,1021,1018,1015,16,15,10,26,12,39,T,3,,295<br />
2015-1-25,17,9,1,7,4,1,100,68,36,1018,1014,1011,16,15,10,37,14,47,0.00,0,,235<br />
2015-1-26,14,9,3,3,1,-2,82,59,36,1019,1017,1014,16,16,11,32,13,42,0.00,0,,302<br />
