
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-1,-3,-4,-2,-6,-12,92,84,55,1031,1026,1023,16,8,3,10,3,,0.25,8,Rain,230<br />
2015-1-2,2,0,-1,1,-1,-3,100,90,86,1026,1022,1015,13,8,2,16,5,,11.18,8,Rain,17<br />
2015-1-3,7,4,1,2,1,-1,97,89,73,1021,1013,1010,16,10,3,21,8,34,0.51,7,,237<br />
2015-1-4,4,-2,-7,0,-10,-13,79,59,42,1040,1034,1022,16,16,16,39,24,60,0.00,1,,7<br />
2015-1-5,7,-1,-8,-3,-8,-12,82,65,43,1041,1033,1026,16,16,13,29,13,42,0.00,0,,142<br />
2015-1-6,9,3,-3,-3,-4,-7,89,63,39,1033,1030,1026,16,16,16,35,14,45,0.00,0,,21<br />
2015-1-7,1,-3,-8,-8,-13,-19,63,48,29,1049,1044,1031,16,16,16,58,31,74,0.00,1,,17<br />
2015-1-8,3,-4,-11,-8,-13,-16,88,57,29,1044,1031,1023,16,16,16,34,11,47,0.00,0,,180<br />
2015-1-9,3,-1,-5,-8,-13,-17,69,45,24,1039,1035,1028,16,16,16,34,19,48,0.00,0,,27<br />
2015-1-10,4,-1,-6,-3,-11,-14,82,45,27,1035,1029,1024,16,16,16,26,10,35,0.00,7,,172<br />
2015-1-11,5,2,-1,3,1,-3,93,88,79,1024,1021,1017,16,11,2,23,14,,0.00,8,,122<br />
2015-1-12,3,1,-1,2,-3,-10,93,72,46,1035,1030,1023,16,15,10,35,21,52,0.00,8,,10<br />
2015-1-13,2,-1,-4,-8,-10,-12,71,53,41,1036,1033,1030,16,16,16,26,19,,0.00,6,,7<br />
2015-1-14,4,2,1,-4,-8,-10,64,49,38,1031,1028,1026,16,16,16,11,5,,0.00,8,,11<br />
2015-1-15,15,6,-3,-1,-3,-6,88,61,27,1028,1026,1025,16,16,16,13,5,,0.00,2,,282<br />
2015-1-16,17,6,-6,-2,-4,-8,89,59,25,1026,1022,1016,16,16,16,24,5,32,0.00,0,,186<br />
2015-1-17,20,9,-2,1,-3,-6,89,56,21,1026,1017,1011,16,16,16,53,11,71,0.00,0,,339<br />
2015-1-18,22,9,-3,-3,-5,-9,78,46,11,1026,1021,1016,16,16,16,35,10,50,0.00,0,,211<br />
2015-1-19,23,11,-1,-1,-4,-9,79,48,11,1017,1015,1013,16,16,14,19,5,,0.00,0,,47<br />
2015-1-20,18,9,0,2,-1,-4,75,51,21,1022,1017,1013,16,16,16,42,16,55,0.00,0,,34<br />
2015-1-21,13,7,0,3,0,-3,92,66,38,1025,1024,1022,16,15,11,35,13,47,0.76,4,Rain,36<br />
2015-1-22,6,4,2,2,1,-2,93,82,62,1030,1028,1025,16,15,10,40,26,52,5.59,8,Rain-Snow,20<br />
2015-1-23,10,5,0,-2,-2,-4,79,62,39,1028,1024,1021,16,16,16,21,14,32,0.00,3,,300<br />
2015-1-24,17,8,-1,2,-1,-4,79,61,31,1023,1019,1014,16,16,16,19,10,,0.00,0,,268<br />
2015-1-25,17,9,0,2,-3,-8,89,48,18,1024,1018,1014,16,16,16,45,16,61,0.00,0,,316<br />
2015-1-26,26,12,-2,3,-1,-4,85,55,18,1023,1020,1017,16,16,16,19,6,34,0.00,0,,271<br />
2015-1-27,24,12,1,6,3,-1,89,57,26,1022,1020,1018,16,16,16,14,5,,0.00,0,,173<br />
2015-1-28,26,13,2,8,4,0,89,61,32,1018,1015,1012,16,16,16,26,6,39,0.00,0,,225<br />
2015-1-29,15,10,6,2,-1,-2,76,48,37,1034,1027,1017,16,16,16,42,23,60,0.00,0,,7<br />
2015-1-30,10,7,4,-1,-3,-4,67,52,38,1034,1031,1025,16,16,16,23,11,,0.00,2,,54<br />
2015-1-31,8,7,5,7,4,-1,97,88,60,1025,1016,1011,16,8,3,24,8,,18.80,8,Rain,132<br />
2015-2-1,8,3,-3,7,1,-11,96,73,40,1030,1016,1010,16,11,0,47,16,63,0.00,5,Fog,320<br />
2015-2-2,3,-2,-7,-5,-9,-12,85,62,50,1031,1028,1025,16,16,16,29,14,45,0.00,2,,305<br />
2015-2-3,15,6,-4,2,-2,-6,85,66,41,1025,1021,1018,16,16,14,32,11,40,0.00,0,,155<br />
2015-2-4,8,3,-2,5,-1,-7,96,84,67,1030,1020,1014,16,12,1,48,16,64,0.00,5,,66<br />
2015-2-5,5,0,-4,-5,-8,-11,85,61,38,1034,1031,1028,16,16,16,34,23,47,0.00,5,,354<br />
2015-2-6,17,6,-4,3,-1,-6,89,68,39,1028,1023,1017,16,16,13,27,11,40,0.00,0,,171<br />
2015-2-7,24,11,-2,8,3,-3,100,76,31,1016,1011,1007,16,11,1,23,10,37,0.00,0,Fog,151<br />
2015-2-8,27,16,6,8,4,1,93,61,19,1017,1011,1006,16,16,11,32,13,39,0.00,0,,20<br />
2015-2-9,23,13,3,4,3,0,82,54,25,1022,1019,1016,16,16,16,21,8,,0.00,0,,65<br />
2015-2-10,26,14,4,7,4,2,86,58,28,1016,1013,1009,16,16,16,35,13,40,0.00,0,,127<br />
2015-2-11,12,8,3,5,1,-4,74,61,44,1031,1022,1013,16,16,13,50,27,63,0.00,2,Rain,17<br />
2015-2-12,11,5,-1,-3,-5,-6,73,53,31,1035,1031,1028,16,16,16,27,13,40,0.00,1,,28<br />
2015-2-13,22,10,-2,0,-2,-4,85,56,20,1027,1024,1021,16,16,16,19,6,29,0.00,0,,276<br />
2015-2-14,26,12,-1,6,2,-3,85,53,24,1024,1021,1017,16,16,16,24,8,39,0.00,0,,221<br />
2015-2-15,12,4,-2,2,-3,-8,89,66,41,1019,1017,1014,16,13,6,47,29,63,0.00,5,Rain,16<br />
2015-2-16,4,0,-5,-3,-6,-9,92,77,55,1024,1021,1018,16,15,4,42,29,53,1.02,6,Rain,3<br />
2015-2-17,11,4,-3,-1,-4,-6,89,66,35,1025,1023,1021,16,16,16,21,8,42,0.00,3,,287<br />
2015-2-18,12,3,-6,-2,-6,-8,88,57,29,1029,1027,1025,16,16,16,24,6,,0.00,1,,46<br />
