
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-18,-23,-28,-20,-28,-34,92,59,29,1019,1016,1014,16,16,8,14,3,,0.00,4,,118<br />
2015-1-2,-9,-16,-22,-13,-25,-35,92,48,21,1020,1017,1014,16,16,16,26,13,,0.00,3,,108<br />
2015-1-3,-5,-9,-12,-8,-12,-17,86,75,62,1022,1016,1013,16,14,1,23,11,,0.00,7,,107<br />
2015-1-4,-4,-9,-13,-9,-12,-18,92,72,59,1029,1026,1022,16,16,16,21,8,,0.00,7,,108<br />
2015-1-5,1,-4,-9,-2,-6,-13,81,74,63,1031,1029,1027,16,16,16,19,11,,0.00,7,,119<br />
2015-1-6,3,-1,-4,-2,-3,-6,86,78,65,1034,1033,1031,16,16,16,16,6,,0.00,4,,127<br />
2015-1-7,3,-2,-6,-4,-6,-8,86,74,60,1035,1032,1026,16,16,16,26,14,,0.00,0,,112<br />
2015-1-8,3,-3,-9,-4,-7,-11,86,73,52,1026,1023,1021,16,16,16,23,11,,0.00,1,,115<br />
2015-1-9,0,-3,-7,-4,-7,-9,93,81,69,1025,1023,1020,16,15,6,21,6,,0.00,4,,105<br />
2015-1-10,-1,-6,-11,-6,-8,-13,100,78,64,1020,1018,1016,16,16,14,24,13,,0.00,4,,105<br />
2015-1-11,1,-2,-4,-1,-3,-6,93,87,74,1023,1019,1016,16,7,1,14,5,,7.62,8,,94<br />
2015-1-12,2,-1,-3,-3,-4,-6,86,79,69,1024,1021,1018,16,16,8,19,10,,0.25,6,,118<br />
2015-1-13,1,-3,-7,-4,-6,-9,93,81,69,1023,1020,1018,16,15,3,14,8,,0.00,4,,154<br />
2015-1-14,-2,-7,-12,-7,-9,-16,100,82,64,1028,1025,1023,16,15,6,21,3,,0.00,5,,166<br />
2015-1-15,-2,-8,-14,-9,-13,-18,100,73,51,1032,1029,1028,16,16,16,26,16,,0.00,0,,115<br />
2015-1-16,-1,-7,-13,-6,-12,-17,80,66,51,1028,1023,1019,16,16,5,24,14,,0.00,4,,132<br />
2015-1-17,1,-4,-9,-6,-9,-14,86,65,41,1030,1026,1020,16,16,16,26,8,,0.00,1,,142<br />
2015-1-18,4,-4,-12,-6,-9,-16,80,66,48,1028,1026,1024,16,16,16,32,14,,0.00,2,,120<br />
2015-1-19,1,-4,-8,-3,-7,-11,93,75,56,1025,1023,1020,16,15,2,21,8,,0.00,7,,98<br />
2015-1-20,-1,-6,-10,-7,-12,-14,74,62,47,1024,1022,1021,16,16,16,13,6,,0.00,2,,199<br />
2015-1-21,-6,-12,-17,-13,-16,-19,100,75,58,1026,1022,1021,16,16,16,14,6,,0.00,1,,152<br />
