
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,1,-4,-9,-9,-12,-15,68,57,45,1023,1020,1017,16,16,16,34,19,47,0.00,0,,240<br />
2015-1-2,2,-4,-11,-4,-8,-13,88,72,56,1027,1024,1020,16,15,2,16,4,21,0.25,1,Snow,111<br />
2015-1-3,2,0,-2,1,-1,-4,100,93,85,1019,1013,1009,13,5,2,16,6,21,6.86,8,Rain-Snow,55<br />
2015-1-4,1,-8,-17,-1,-11,-23,92,77,61,1039,1020,1009,16,8,1,47,28,58,3.05,6,Fog-Snow,300<br />
2015-1-5,-13,-17,-20,-16,-18,-23,88,74,60,1041,1032,1026,16,7,1,27,15,34,9.91,4,Snow,120<br />
2015-1-6,-12,-16,-21,-16,-17,-21,91,79,66,1034,1029,1025,16,9,2,52,20,63,1.02,5,Snow,345<br />
2015-1-7,-13,-18,-24,-18,-24,-27,79,66,53,1048,1042,1031,16,14,3,47,25,60,0.00,1,,302<br />
2015-1-8,-6,-15,-24,-10,-16,-27,79,69,59,1040,1018,1010,16,8,1,56,26,72,T,6,Snow,255<br />
2015-1-9,-12,-16,-20,-14,-20,-23,79,70,60,1034,1028,1020,16,12,2,53,27,69,T,3,Snow,282<br />
2015-1-10,-4,-12,-21,-12,-16,-22,79,65,51,1033,1027,1023,16,16,16,32,12,42,0.00,2,,205<br />
2015-1-11,1,-3,-7,-3,-7,-13,92,71,49,1025,1024,1023,16,10,1,24,8,31,2.03,5,Fog-Snow,228<br />
2015-1-12,-2,-10,-19,-4,-16,-22,92,71,49,1042,1035,1026,16,16,10,26,13,37,0.00,2,,359<br />
2015-1-13,-8,-16,-23,-13,-20,-26,91,79,67,1042,1039,1033,16,16,16,16,5,19,0.00,0,,92<br />
2015-1-14,-4,-13,-22,-9,-14,-25,87,75,62,1032,1027,1023,16,15,11,16,6,21,0.00,5,,202<br />
2015-1-15,2,-3,-9,-4,-7,-11,81,70,59,1022,1019,1016,16,14,11,26,13,32,0.00,0,,245<br />
2015-1-16,3,-3,-10,-2,-6,-11,92,81,70,1022,1019,1012,16,11,1,26,10,32,0.00,0,,138<br />
2015-1-17,7,4,2,0,-1,-2,76,69,62,1010,1006,1003,16,16,16,37,24,53,0.00,4,,243<br />
2015-1-18,7,1,-4,-1,-3,-6,92,75,57,1017,1012,1007,16,16,16,32,16,39,0.00,0,,273<br />
2015-1-19,7,0,-7,2,-2,-8,96,77,58,1017,1014,1011,16,15,8,26,5,34,0.76,3,Rain,145<br />
2015-1-20,3,1,-1,1,-1,-3,96,89,82,1016,1014,1010,16,11,5,21,10,26,0.00,6,,281<br />
2015-1-21,2,1,0,1,-1,-1,96,89,82,1026,1020,1013,16,5,2,24,9,31,0.25,8,,308<br />
2015-1-22,1,-1,-2,-1,-3,-5,92,82,72,1032,1030,1026,16,10,5,19,9,23,T,8,,293<br />
2015-1-23,2,0,-2,-3,-4,-6,78,74,69,1029,1020,1011,16,16,14,24,14,31,0.00,5,,227<br />
2015-1-24,9,2,-4,2,-2,-5,92,76,60,1010,1007,1003,16,14,8,24,11,31,0.00,0,,246<br />
2015-1-25,2,-2,-7,0,-4,-11,92,78,63,1019,1009,1002,16,9,1,42,18,55,4.57,6,Fog-Rain-Snow,45<br />
2015-1-26,1,-5,-11,-1,-6,-12,92,83,73,1019,1013,1009,16,9,0,19,5,27,1.78,7,Fog-Snow,195<br />
2015-1-27,2,0,-3,-1,-4,-6,92,81,69,1025,1022,1014,16,12,10,24,12,32,0.00,8,,41<br />
2015-1-28,4,0,-4,-1,-3,-7,88,79,69,1025,1016,1005,16,14,8,32,17,42,0.00,2,,136<br />
2015-1-29,4,1,-3,-1,-3,-8,89,75,61,1031,1019,1005,16,14,10,47,26,60,0.00,7,,309<br />
2015-1-30,-1,-4,-7,-8,-10,-12,84,67,49,1036,1032,1028,16,16,16,24,7,34,0.00,0,,310<br />
2015-1-31,3,-1,-4,1,-2,-8,100,82,64,1028,1022,1017,16,9,2,21,9,26,8.89,7,Rain-Snow,198<br />
2015-2-1,1,-5,-11,-1,-6,-14,92,84,76,1020,1012,1008,13,2,0,42,22,56,26.42,8,Fog-Snow,49<br />
2015-2-2,-9,-14,-20,-14,-16,-22,91,78,64,1027,1024,1020,16,15,2,24,11,35,T,2,Snow,270<br />
2015-2-3,-3,-9,-16,-7,-10,-16,96,85,73,1022,1019,1015,16,13,4,21,5,26,0.00,5,,140<br />
2015-2-4,-4,-10,-16,-7,-12,-21,88,75,62,1033,1024,1017,16,10,1,32,16,45,1.27,5,Snow,324<br />
2015-2-5,-10,-17,-24,-17,-19,-27,100,79,57,1035,1031,1026,16,16,13,26,9,29,0.00,1,,231<br />
