
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,2,1,-1,2,1,-2,100,98,87,1028,1024,1021,16,5,0,21,14,,0.25,8,Fog-Rain-Snow-Thunderstorm,8<br />
2015-1-2,3,2,1,3,3,2,100,100,99,1023,1019,1014,14,3,0,27,16,,6.10,8,Fog-Rain-Thunderstorm,358<br />
2015-1-3,14,8,2,6,3,1,100,89,47,1020,1014,1011,16,10,1,23,13,,6.60,6,Rain-Thunderstorm,295<br />
2015-1-4,8,2,-3,1,-3,-6,86,66,42,1039,1032,1021,16,14,11,34,21,40,0.00,0,,342<br />
2015-1-5,10,2,-5,-2,-5,-8,87,65,36,1040,1035,1029,16,15,11,24,11,29,0.00,0,,125<br />
2015-1-6,18,11,4,4,2,-2,81,57,36,1030,1028,1026,16,16,14,21,10,35,0.00,0,,207<br />
2015-1-7,7,2,-4,3,-5,-16,93,60,37,1043,1036,1028,16,15,13,45,21,63,0.00,0,,355<br />
2015-1-8,1,-3,-8,-6,-12,-16,60,48,37,1042,1033,1025,16,15,11,23,16,37,0.00,4,,182<br />
2015-1-9,2,1,0,0,-3,-7,100,77,56,1035,1030,1026,16,11,0,26,11,,2.03,8,Rain,11<br />
2015-1-10,1,-1,-2,0,-2,-10,100,87,48,1033,1029,1026,16,9,2,16,8,,1.02,8,Rain,87<br />
2015-1-11,7,3,0,7,4,0,100,98,93,1026,1021,1018,16,10,1,16,6,,0.76,8,Rain,153<br />
2015-1-12,7,4,1,7,4,1,100,98,81,1031,1026,1020,16,5,0,29,16,39,0.00,8,Fog-Rain,19<br />
2015-1-13,4,2,-1,1,0,-1,100,91,75,1033,1030,1028,16,10,1,34,24,40,0.00,8,Fog,354<br />
2015-1-14,4,2,1,2,1,0,100,91,81,1030,1027,1024,16,7,1,19,13,,0.00,8,Fog,354<br />
2015-1-15,13,8,2,3,1,-1,97,74,43,1029,1027,1025,16,14,8,21,11,34,0.00,3,,330<br />
2015-1-16,17,9,2,4,2,0,91,65,32,1028,1025,1021,16,15,11,21,10,,0.00,0,,223<br />
2015-1-17,21,12,4,6,3,-1,90,54,26,1025,1019,1016,16,16,13,34,16,48,0.00,0,,253<br />
2015-1-18,21,11,2,1,-3,-10,76,39,13,1028,1025,1021,16,15,11,23,13,35,0.00,0,,219<br />
2015-1-19,23,16,8,8,2,-3,71,45,27,1021,1016,1013,16,16,13,26,16,39,0.00,0,,196<br />
2015-1-20,24,15,6,11,6,2,96,65,24,1018,1014,1011,16,16,13,26,10,,0.00,0,,36<br />
2015-1-21,11,8,5,8,7,2,100,89,69,1022,1019,1017,16,9,1,27,18,40,6.60,7,Rain,31<br />
2015-1-22,8,6,4,8,6,3,100,98,93,1025,1020,1017,16,7,1,47,24,63,8.64,8,Fog-Rain,25<br />
2015-1-23,10,7,3,4,2,0,100,85,49,1026,1024,1023,16,13,2,29,21,42,0.76,6,Rain,331<br />
2015-1-24,16,9,2,2,1,-1,85,60,32,1024,1021,1017,16,15,11,21,14,,0.00,0,,269<br />
2015-1-25,20,14,8,3,-1,-5,64,40,19,1023,1019,1015,16,16,13,35,18,47,0.00,0,,307<br />
2015-1-26,22,13,6,2,0,-2,64,40,22,1025,1022,1020,16,16,16,24,14,37,0.00,0,,284<br />
2015-1-27,25,19,12,6,3,1,67,40,21,1023,1020,1019,16,16,14,27,18,37,0.00,0,,242<br />
2015-1-28,27,19,11,6,3,1,64,38,19,1021,1019,1016,16,16,14,34,13,45,0.00,0,,192<br />
2015-1-29,21,16,11,9,6,0,87,52,33,1030,1024,1019,16,16,14,34,16,45,0.00,4,,5<br />
2015-1-30,11,9,7,3,1,0,70,58,49,1032,1029,1025,16,15,10,27,19,37,0.00,7,,47<br />
2015-1-31,16,11,7,15,9,1,100,92,63,1024,1016,1012,16,8,2,24,14,,9.14,8,Rain,149<br />
2015-2-1,18,10,3,15,11,-2,100,80,55,1026,1015,1011,16,16,13,39,18,50,0.00,6,,290<br />
2015-2-2,8,3,-2,-2,-6,-8,68,55,34,1030,1027,1025,16,13,10,26,16,37,0.00,3,,353<br />
2015-2-3,8,4,2,5,2,-3,100,82,53,1027,1024,1022,16,12,10,24,10,,0.00,8,,171<br />
2015-2-4,12,9,5,9,7,4,100,92,79,1024,1020,1016,16,15,4,48,13,53,0.00,8,Rain,166<br />
2015-2-5,6,3,0,5,0,-2,100,82,65,1032,1028,1024,16,13,1,40,29,53,0.00,8,Rain,341<br />
2015-2-6,16,8,1,6,3,-1,95,75,50,1030,1026,1022,16,15,11,19,8,,0.00,2,,172<br />
