
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,9,8,6,9,5,1,93,79,65,1027,1022,1019,16,12,3,27,16,32,1.02,8,Rain,40<br />
2015-1-2,20,14,9,19,13,8,100,94,87,1021,1017,1012,11,4,0,37,15,48,0.76,8,Fog-Rain,59<br />
2015-1-3,21,14,8,20,13,7,100,95,90,1019,1014,1011,16,11,1,37,12,52,26.67,7,Rain-Thunderstorm,257<br />
2015-1-4,11,7,3,7,4,-1,100,81,61,1036,1026,1019,16,11,1,32,16,40,0.00,0,,330<br />
2015-1-5,12,6,0,1,-2,-4,92,65,38,1038,1034,1031,16,16,16,27,13,34,0.00,0,,12<br />
2015-1-6,19,10,1,7,3,-1,100,64,28,1032,1029,1027,16,15,4,16,3,55,0.00,0,,261<br />
2015-1-7,17,10,3,8,3,-7,100,72,43,1038,1031,1027,16,11,1,42,18,53,0.00,2,,4<br />
2015-1-8,4,1,-3,-1,-8,-12,70,53,35,1038,1034,1028,16,16,16,37,11,48,0.00,0,,51<br />
2015-1-9,4,3,3,2,1,-1,92,81,70,1033,1031,1028,16,13,4,29,16,35,4.32,8,Rain,21<br />
2015-1-10,8,6,3,3,-1,-6,86,62,37,1032,1030,1025,16,16,11,32,17,45,6.35,7,Rain,58<br />
2015-1-11,12,9,5,12,8,3,100,88,76,1025,1022,1020,16,7,1,40,14,48,53.59,7,Fog-Rain-Thunderstorm,89<br />
2015-1-12,12,10,8,12,8,6,100,90,80,1027,1023,1021,16,10,1,34,17,40,0.00,8,Fog,323<br />
2015-1-13,8,7,4,7,4,2,93,85,76,1029,1027,1026,16,16,14,35,20,43,T,8,,10<br />
2015-1-14,7,6,4,3,2,2,85,81,76,1028,1026,1023,16,15,11,23,14,29,0.51,8,Rain,14<br />
2015-1-15,11,7,2,3,2,1,92,71,50,1027,1025,1023,16,14,8,29,12,37,1.02,5,Rain,356<br />
2015-1-16,16,8,0,4,2,0,100,69,37,1029,1026,1023,16,14,5,19,5,24,0.00,0,,221<br />
2015-1-17,21,12,2,10,7,2,100,77,53,1023,1021,1018,16,10,0,27,9,37,0.00,1,Fog,191<br />
2015-1-18,20,12,4,7,4,-1,100,62,24,1027,1024,1022,16,13,0,19,9,26,0.00,0,Fog,276<br />
2015-1-19,21,11,1,11,6,1,100,72,44,1023,1020,1016,16,6,0,23,8,32,0.00,1,Fog,150<br />
2015-1-20,24,16,8,16,12,9,100,75,49,1017,1015,1013,16,7,0,19,6,27,0.00,4,Fog,153<br />
2015-1-21,22,18,13,14,12,4,100,73,46,1021,1019,1017,16,8,0,26,13,32,T,5,Fog-Rain,53<br />
2015-1-22,16,11,7,10,7,4,93,75,57,1018,1016,1014,16,9,2,45,29,56,57.91,8,Rain,43<br />
2015-1-23,8,6,3,6,4,2,92,84,76,1023,1020,1016,16,16,8,37,21,47,T,7,Rain,332<br />
2015-1-24,17,9,1,7,4,1,93,70,46,1024,1021,1019,16,14,8,23,11,27,0.00,0,,248<br />
2015-1-25,22,13,4,7,4,-2,96,65,33,1019,1017,1014,16,13,4,34,16,40,0.00,0,,250<br />
2015-1-26,20,14,8,7,2,-2,80,55,30,1024,1021,1019,16,16,16,29,15,39,0.00,0,,300<br />
2015-1-27,26,16,6,9,7,4,92,59,25,1021,1020,1019,16,16,16,14,7,23,0.00,0,,247<br />
2015-1-28,22,14,7,12,9,6,100,86,72,1024,1022,1021,16,10,0,26,11,34,0.00,0,Fog,131<br />
2015-1-29,26,18,9,16,13,9,100,74,47,1026,1023,1021,16,8,0,23,9,32,0.00,2,Fog,232<br />
2015-1-30,18,14,9,9,3,-1,72,52,32,1030,1027,1026,16,16,16,34,16,40,0.00,0,,35<br />
2015-1-31,19,13,7,13,8,2,84,71,58,1025,1021,1016,16,16,14,32,21,39,T,3,,92<br />
2015-2-1,26,19,12,19,14,2,100,78,56,1020,1014,1011,16,13,3,42,19,58,0.51,6,Rain,180<br />
2015-2-2,12,7,3,1,-3,-5,64,50,36,1028,1025,1021,16,16,16,47,22,61,0.00,0,,355<br />
2015-2-3,8,7,5,4,1,-2,83,70,57,1028,1026,1023,16,15,10,21,11,26,2.54,4,Rain,59<br />
2015-2-4,14,10,6,10,8,4,93,88,83,1023,1020,1017,16,11,2,26,10,31,7.62,8,Rain,40<br />
2015-2-5,12,9,7,10,8,4,89,80,71,1029,1025,1021,16,15,11,26,14,32,0.00,8,,1<br />
2015-2-6,13,9,5,4,2,1,93,70,47,1031,1028,1025,16,16,11,14,7,19,0.00,7,,60<br />
2015-2-7,22,13,4,13,10,3,100,78,55,1025,1021,1017,16,15,11,27,13,35,0.00,2,,165<br />
2015-2-8,24,18,12,17,14,12,100,79,58,1017,1015,1012,16,11,1,37,16,47,0.00,3,,188<br />
2015-2-9,28,21,13,16,12,3,100,62,23,1017,1015,1014,16,7,0,34,13,43,0.00,4,Fog,307<br />
2015-2-10,23,16,9,10,7,5,100,69,38,1019,1017,1015,16,15,8,26,9,,0.00,0,,88<br />
2015-2-11,23,15,7,11,8,7,100,69,38,1021,1019,1016,16,9,0,19,8,24,0.00,0,Fog,100<br />
2015-2-12,19,13,7,10,6,1,100,70,40,1027,1024,1021,16,9,0,29,16,39,0.00,0,Fog,355<br />
2015-2-13,17,11,4,7,2,-2,70,51,32,1029,1027,1025,16,16,16,23,12,29,0.00,0,,109<br />
2015-2-14,26,16,6,14,9,5,100,69,38,1025,1023,1020,16,8,0,26,9,40,0.00,0,Fog,234<br />
2015-2-15,24,18,12,17,14,11,100,79,57,1022,1020,1015,16,9,0,26,11,35,T,6,Fog,181<br />
2015-2-16,21,13,4,19,11,2,93,87,81,1019,1014,1011,16,12,2,42,24,52,10.16,8,Rain-Thunderstorm,282<br />
2015-2-17,12,6,1,3,1,-2,92,68,44,1025,1021,1017,16,15,11,35,17,43,0.76,5,Rain,360<br />
2015-2-18,17,9,0,5,2,-1,93,62,30,1029,1027,1025,16,15,11,23,8,29,0.00,0,,275<br />
2015-2-19,15,9,3,10,4,-2,92,68,43,1031,1027,1022,16,16,11,27,15,32,0.00,1,,99<br />
2015-2-20,21,16,11,16,13,9,96,77,57,1022,1017,1014,16,16,16,42,26,56,0.00,8,,162<br />
2015-2-21,22,20,18,18,17,16,87,80,73,1016,1014,1013,16,14,11,39,27,53,0.25,8,,179<br />
2015-2-22,27,17,7,19,15,5,100,76,51,1024,1018,1015,16,11,0,39,15,48,0.00,8,Fog,215<br />
2015-2-23,7,4,1,5,2,0,96,89,82,1028,1027,1025,16,15,6,39,23,50,0.51,8,Rain,10<br />
2015-2-24,8,4,1,2,1,-1,96,81,65,1027,1022,1015,16,15,5,24,15,32,0.25,8,Rain,9<br />
2015-2-25,9,7,4,5,3,1,100,85,70,1015,1012,1009,16,10,3,32,17,40,2.54,8,Rain,341<br />
2015-2-26,14,9,3,3,2,1,85,66,47,1027,1020,1013,16,16,16,34,18,43,0.00,5,,15<br />
2015-2-27,12,7,3,2,0,-2,79,64,48,1030,1028,1026,16,15,11,39,19,53,0.00,4,,57<br />
2015-2-28,16,10,4,12,4,-1,72,63,54,1027,1026,1023,16,16,16,35,19,52,T,8,Rain,71<br />
2015-3-1,22,18,14,20,16,12,100,90,80,1024,1023,1022,16,7,1,32,15,39,12.19,8,Fog-Rain-Thunderstorm,110<br />
2015-3-2,19,16,12,15,14,11,100,87,73,1026,1023,1021,16,9,0,21,13,26,3.05,8,Fog-Rain,22<br />
2015-3-3,27,21,14,19,17,13,100,81,62,1021,1016,1013,16,9,0,39,17,52,T,8,Fog,136<br />
2015-3-4,27,21,14,21,19,13,100,81,62,1014,1012,1010,16,12,8,37,16,47,T,8,Rain,176<br />
2015-3-5,14,8,2,12,1,-4,92,71,49,1034,1026,1014,16,14,8,56,30,69,4.32,6,Rain,360<br />
2015-3-6,13,6,-1,0,-6,-9,76,48,20,1036,1033,1031,16,16,16,34,14,42,0.00,0,,12<br />
2015-3-7,17,9,1,6,-1,-5,82,52,21,1032,1030,1026,16,16,16,21,8,24,0.00,3,,65<br />
2015-3-8,13,12,10,10,8,4,89,74,59,1026,1022,1019,16,15,8,29,12,39,7.11,8,Rain,33<br />
2015-3-9,18,15,11,18,14,9,100,94,87,1019,1014,1011,16,9,2,26,14,35,8.38,8,Rain,102<br />
2015-3-10,18,16,13,18,14,12,100,90,80,1019,1015,1012,16,14,3,23,12,29,T,7,Rain,318<br />
2015-3-11,16,14,12,13,12,11,93,86,78,1022,1020,1019,16,14,6,29,17,39,8.13,8,Rain,9<br />
2015-3-12,18,16,13,18,14,12,100,97,93,1019,1016,1014,16,8,2,34,16,42,4.83,8,Rain,11<br />
2015-3-13,18,17,14,16,15,14,100,89,78,1017,1014,1013,16,8,1,23,11,29,0.76,8,Fog-Rain,207<br />
2015-3-14,27,18,10,17,13,10,100,74,48,1021,1017,1016,16,9,0,23,10,34,0.00,2,Fog,256<br />
2015-3-15,26,19,12,13,12,11,93,68,42,1024,1023,1021,16,16,16,16,6,21,0.00,0,,310<br />
2015-3-16,27,20,13,16,14,12,93,68,42,1025,1023,1021,16,15,11,16,7,21,0.00,3,,105<br />
2015-3-17,28,22,15,20,17,14,100,81,62,1022,1020,1017,16,11,1,16,8,26,0.00,3,Fog,235<br />
2015-3-18,26,22,18,20,18,17,100,81,62,1019,1016,1014,16,8,0,21,9,27,0.25,7,Fog-Rain,204<br />
2015-3-19,27,22,17,19,19,17,100,84,67,1017,1015,1014,16,7,0,24,7,31,T,6,Fog-Rain,190<br />
2015-3-20,29,23,18,21,19,18,100,81,62,1020,1018,1016,16,8,0,21,7,27,0.00,6,Fog,131<br />
2015-3-21,22,20,18,21,19,18,100,95,90,1019,1016,1014,14,6,0,29,10,39,155.19,8,Fog-Rain-Thunderstorm,51<br />
2015-3-22,26,21,16,20,17,13,100,75,50,1017,1014,1013,16,12,4,27,15,48,T,6,Rain,277<br />
2015-3-23,26,19,13,14,12,11,100,73,46,1020,1018,1016,16,16,14,26,11,40,0.00,3,,352<br />
2015-3-24,25,18,12,16,13,12,100,75,50,1019,1017,1015,16,11,1,23,7,29,0.00,1,Fog,172<br />
2015-3-25,26,19,12,18,14,12,100,75,50,1017,1015,1013,16,10,0,24,11,31,0.00,1,Fog,154<br />
2015-3-26,22,18,13,20,16,9,100,84,67,1018,1013,1011,16,13,1,35,16,45,2.03,6,Rain-Thunderstorm,326<br />
2015-3-27,26,17,7,12,7,3,100,62,24,1022,1019,1017,16,14,2,29,12,43,0.00,0,,307<br />
2015-3-28,27,18,10,16,11,6,97,70,42,1023,1021,1019,16,16,16,26,13,35,0.00,0,,141<br />
2015-3-29,27,21,15,18,16,14,100,79,58,1023,1021,1020,16,14,2,35,17,47,0.00,2,,175<br />
2015-3-30,28,22,15,19,17,14,100,74,47,1024,1022,1020,16,14,1,29,12,40,0.00,3,,198<br />
2015-3-31,28,23,17,20,18,16,100,74,47,1020,1018,1016,16,11,0,27,14,37,0.00,2,Fog,190<br />
2015-4-1,28,23,17,22,19,17,100,81,62,1017,1015,1014,16,11,0,29,15,39,0.00,5,Fog,167<br />
2015-4-2,29,25,21,21,20,19,100,79,58,1017,1016,1014,16,14,8,40,20,50,T,6,Rain,173<br />
2015-4-3,29,25,21,21,21,20,100,83,65,1019,1016,1015,16,14,8,34,14,55,T,6,,186<br />
2015-4-4,24,21,17,21,12,9,93,67,41,1025,1022,1019,16,15,6,39,21,53,0.51,5,Rain,34<br />
2015-4-5,23,19,15,19,14,7,97,76,55,1022,1017,1015,16,11,3,27,15,45,2.29,8,Rain,71<br />
2015-4-6,27,23,18,22,19,17,100,87,74,1018,1016,1015,16,8,0,26,11,32,T,7,Fog,131<br />
2015-4-7,29,25,21,22,21,20,100,82,63,1019,1017,1016,16,12,6,27,14,48,0.00,6,,163<br />
2015-4-8,29,26,22,22,21,20,100,80,59,1018,1016,1014,16,13,6,32,16,42,0.00,7,,170<br />
2015-4-9,29,27,23,23,22,21,93,79,65,1015,1014,1013,16,15,10,37,23,47,0.00,7,,172<br />
2015-4-10,28,23,18,23,21,18,97,81,65,1019,1016,1014,16,11,0,24,11,32,27.69,8,Rain-Thunderstorm,208<br />
2015-4-11,27,22,16,22,18,15,100,85,69,1019,1017,1015,16,14,3,23,12,26,12.45,6,Rain-Thunderstorm,74<br />
2015-4-12,26,23,20,22,21,19,97,86,74,1015,1014,1012,16,14,2,32,14,40,16.00,5,Rain,130<br />
2015-4-13,31,26,21,23,21,19,93,72,50,1015,1012,1008,16,14,3,29,15,42,6.60,5,Rain-Thunderstorm,160<br />
2015-4-14,24,21,18,21,19,17,100,85,69,1020,1016,1013,16,12,1,45,9,61,17.02,5,Rain-Thunderstorm,200<br />
2015-4-15,27,22,17,19,17,16,100,79,58,1017,1015,1013,16,14,8,16,7,56,0.00,3,,277<br />
2015-4-16,27,23,18,23,19,18,100,88,76,1017,1014,1013,16,9,0,35,10,45,111.51,7,Fog-Rain-Thunderstorm,113<br />
2015-4-17,28,24,19,22,19,17,97,83,69,1017,1014,1011,16,14,3,37,15,50,22.86,6,Rain-Thunderstorm,85<br />
2015-4-18,26,22,18,22,21,18,97,87,76,1015,1011,1007,16,13,1,26,11,35,9.40,5,Rain-Thunderstorm,146<br />
2015-4-19,29,22,14,21,17,14,93,72,51,1011,1009,1007,16,15,2,29,12,48,3.56,2,Rain-Thunderstorm,228<br />
2015-4-20,25,20,15,16,12,8,100,68,36,1016,1013,1009,16,16,16,32,15,40,0.00,0,,347<br />
2015-4-21,26,21,15,16,12,8,87,63,38,1017,1015,1014,16,16,16,37,16,45,0.00,0,,86<br />
2015-4-22,29,24,18,21,19,17,97,76,55,1015,1013,1011,16,16,14,21,12,29,0.00,3,,136<br />
2015-4-23,31,26,20,23,22,20,100,78,55,1014,1012,1011,16,12,0,16,5,,0.00,4,Fog,139<br />
2015-4-24,30,26,22,24,23,21,100,85,70,1013,1010,1007,16,11,2,32,13,39,T,6,Rain-Thunderstorm,159<br />
2015-4-25,28,24,20,23,22,18,97,80,62,1011,1008,1004,16,11,3,47,11,64,7.62,5,Rain-Thunderstorm,219<br />
2015-4-26,29,24,18,23,21,18,100,85,69,1008,1006,1001,16,6,0,56,10,74,T,5,Fog-Rain,153<br />
2015-4-27,24,22,19,23,19,17,94,84,73,1008,1005,1002,16,12,0,48,19,58,44.45,7,Fog-Rain-Thunderstorm,49<br />
2015-4-28,21,18,14,18,15,11,93,82,70,1015,1011,1008,16,16,10,35,19,45,0.25,8,Rain,358<br />
2015-4-29,25,18,11,12,10,8,96,66,36,1016,1014,1012,16,16,16,34,14,42,0.00,2,Rain,346<br />
2015-4-30,28,20,12,14,11,7,93,61,28,1016,1015,1013,16,16,16,23,8,29,0.00,0,,242<br />
2015-5-1,29,22,15,15,13,8,87,58,28,1018,1016,1015,16,16,16,19,8,26,0.00,4,,275<br />
2015-5-2,29,22,15,16,14,12,97,66,34,1019,1017,1016,16,16,11,50,11,,0.00,2,,246<br />
2015-5-3,29,22,15,18,15,13,100,71,42,1019,1017,1016,16,13,3,53,15,56,T,1,Rain,173<br />
2015-5-4,29,23,16,19,16,13,93,67,40,1021,1019,1017,16,16,11,27,13,39,T,1,,143<br />
2015-5-5,29,26,23,21,20,19,87,73,58,1019,1017,1016,16,16,16,42,27,53,T,6,Rain,124<br />
2015-5-6,29,26,23,21,21,19,87,76,65,1017,1015,1014,16,16,16,32,22,43,0.00,6,,125<br />
2015-5-7,30,27,23,23,22,21,93,79,65,1016,1014,1013,16,16,8,35,23,48,1.52,6,Rain,141<br />
2015-5-8,29,27,24,23,23,22,94,82,69,1016,1014,1013,16,15,11,37,20,47,0.00,7,,154<br />
2015-5-9,31,28,25,23,23,23,88,77,65,1015,1014,1012,16,15,10,37,24,48,0.00,7,,155<br />
2015-5-10,29,27,25,23,23,22,88,79,69,1014,1013,1012,16,14,11,45,29,56,0.00,8,,149<br />
2015-5-11,29,25,20,24,21,18,90,77,64,1019,1016,1013,16,13,1,37,16,45,11.43,7,Rain-Thunderstorm,117<br />
2015-5-12,28,24,21,22,21,19,97,81,65,1022,1020,1018,16,15,5,29,15,37,3.30,5,Rain-Thunderstorm,66<br />
2015-5-13,27,24,21,23,22,20,94,87,79,1021,1020,1018,16,16,11,24,14,31,1.52,6,Rain-Thunderstorm,98<br />
2015-5-14,31,26,21,24,22,21,100,81,61,1020,1018,1017,16,14,2,24,12,32,0.00,2,Fog,140<br />
2015-5-15,31,28,24,23,23,22,94,78,61,1017,1015,1013,16,16,16,29,16,37,T,3,Rain,156<br />
2015-5-16,31,28,25,24,24,23,91,78,65,1015,1014,1012,16,14,11,37,23,47,T,6,Rain,163<br />
2015-5-17,30,27,23,25,24,22,91,81,70,1017,1016,1014,16,14,8,39,20,48,1.02,7,Rain-Thunderstorm,163<br />
2015-5-18,29,26,22,24,23,19,94,84,74,1021,1019,1016,16,15,11,42,16,56,T,6,Rain-Thunderstorm,139<br />
2015-5-19,31,27,22,24,22,21,100,85,69,1019,1017,1015,16,13,2,26,13,40,0.25,6,Rain,94<br />
2015-5-20,32,27,22,23,23,22,100,78,56,1016,1015,1013,16,16,11,23,10,27,0.00,2,,180<br />
2015-5-21,31,26,21,24,22,19,100,80,59,1019,1017,1015,16,9,0,52,10,63,40.89,4,Fog-Rain-Thunderstorm,21<br />
2015-5-22,27,22,17,22,19,16,93,80,67,1021,1020,1018,16,15,6,27,14,37,T,7,Rain,68<br />
2015-5-23,32,27,22,23,22,21,93,76,59,1021,1019,1015,16,15,10,32,19,42,0.00,4,,124<br />
2015-5-24,27,24,21,23,22,19,93,86,79,1017,1015,1013,16,13,0,32,18,45,28.45,5,Fog-Rain-Thunderstorm,175<br />
2015-5-25,31,25,19,25,22,18,100,84,68,1019,1015,1011,16,13,2,39,20,53,58.93,5,Rain-Thunderstorm,146<br />
2015-5-26,30,24,19,22,20,18,100,81,61,1019,1017,1015,16,14,4,27,18,39,6.86,6,Rain-Thunderstorm,123<br />
2015-5-27,31,25,19,24,21,18,94,73,51,1021,1018,1016,16,14,2,45,10,63,35.05,5,Rain-Thunderstorm,171<br />
2015-5-28,32,27,22,24,22,21,100,78,56,1019,1017,1015,16,15,3,16,10,27,0.00,1,,139<br />
2015-5-29,31,27,23,24,23,23,94,80,65,1016,1015,1014,16,16,14,35,16,45,0.00,2,Thunderstorm,170<br />
