
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,6,4,3,5,3,0,100,85,70,1028,1024,1020,16,6,2,24,14,31,12.45,8,Rain,19<br />
2015-1-2,7,6,5,7,6,4,100,96,92,1021,1018,1013,16,7,2,21,13,26,5.08,8,Rain,359<br />
2015-1-3,10,7,4,6,5,3,100,90,80,1020,1015,1011,16,10,1,32,9,40,26.67,6,Rain-Thunderstorm,294<br />
2015-1-4,9,5,1,2,-1,-5,100,75,49,1038,1031,1020,16,16,13,37,17,47,0.00,1,,342<br />
2015-1-5,11,4,-2,-1,-4,-6,75,54,33,1040,1035,1030,16,16,16,23,9,26,0.00,0,,13<br />
2015-1-6,18,9,1,2,-1,-2,89,59,28,1032,1029,1027,16,16,16,19,6,21,0.00,0,,189<br />
2015-1-7,13,6,-2,4,-1,-12,76,59,41,1042,1034,1027,16,16,16,45,22,56,0.00,2,,355<br />
2015-1-8,3,-1,-6,-2,-10,-13,70,54,38,1041,1034,1027,16,16,16,37,11,47,1.02,1,Rain,104<br />
2015-1-9,3,2,1,1,-1,-2,92,84,75,1034,1031,1027,16,14,8,26,14,34,3.81,8,Rain,25<br />
2015-1-10,4,3,2,2,-1,-6,92,74,56,1033,1030,1026,16,13,3,23,12,26,1.27,8,Rain,44<br />
2015-1-11,6,4,2,6,3,1,100,96,92,1026,1023,1020,16,6,1,26,8,32,36.58,8,Rain-Thunderstorm,351<br />
2015-1-12,8,7,5,6,5,3,100,88,76,1029,1025,1021,16,9,2,29,17,39,0.00,8,,1<br />
2015-1-13,6,4,3,3,2,1,92,84,76,1031,1029,1028,16,11,6,27,18,35,0.00,8,,3<br />
2015-1-14,7,6,4,2,1,0,79,71,62,1029,1027,1024,16,16,13,23,15,26,0.00,8,,9<br />
2015-1-15,13,8,3,2,1,-2,85,63,41,1028,1026,1025,16,15,8,27,13,39,0.00,3,,343<br />
2015-1-16,16,7,-1,4,1,-3,89,63,37,1029,1026,1022,16,15,11,14,5,19,0.00,0,,166<br />
2015-1-17,19,11,3,8,4,1,85,65,44,1023,1020,1017,16,16,16,34,11,43,0.00,1,,195<br />
2015-1-18,21,12,4,2,1,-4,76,48,19,1028,1025,1022,16,16,16,19,7,23,0.00,0,,227<br />
2015-1-19,22,12,2,12,6,0,93,65,37,1022,1017,1014,16,16,16,26,11,35,0.00,0,,176<br />
2015-1-20,23,17,11,13,11,8,100,71,41,1017,1014,1012,16,7,0,21,8,23,0.00,5,Fog,172<br />
2015-1-21,16,13,10,13,11,7,100,86,72,1021,1019,1017,16,9,1,29,14,39,1.52,7,Fog-Rain,54<br />
2015-1-22,12,9,6,8,7,4,100,86,71,1022,1018,1015,16,7,2,56,25,71,73.66,8,Rain,28<br />
2015-1-23,8,6,2,4,3,1,93,82,71,1024,1023,1021,16,14,5,35,17,45,6.60,6,Rain,337<br />
2015-1-24,15,8,0,3,2,-1,96,68,40,1025,1022,1018,16,15,10,19,9,26,0.00,0,,229<br />
2015-1-25,20,12,3,5,1,-4,85,54,22,1022,1018,1016,16,16,16,34,15,45,0.00,0,,295<br />
2015-1-26,21,12,3,6,2,-2,76,51,26,1025,1022,1020,16,16,16,19,10,26,0.00,0,,280<br />
2015-1-27,27,17,6,8,6,3,77,51,25,1022,1020,1019,16,16,16,16,5,21,0.00,0,,256<br />
2015-1-28,26,17,8,13,7,4,87,57,26,1022,1020,1019,16,16,16,29,11,39,0.00,0,,170<br />
2015-1-29,23,18,13,14,12,2,100,70,40,1028,1023,1020,16,16,14,34,15,42,0.00,3,,241<br />
2015-1-30,16,12,8,2,2,1,65,51,37,1031,1028,1025,16,16,16,29,15,37,0.00,0,,46<br />
2015-1-31,19,13,7,14,8,1,90,74,57,1025,1019,1013,16,14,8,35,16,40,0.51,6,Rain,114<br />
