
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,15,10,5,3,0,-3,66,50,33,1022,1021,1019,16,16,16,19,6,23,0.00,0,,172<br />
2015-1-2,15,11,6,6,3,-2,71,56,41,1022,1021,1019,16,16,16,21,4,26,0.00,1,,291<br />
2015-1-3,17,12,7,7,5,2,71,60,49,1026,1024,1022,16,16,14,21,5,26,0.00,1,,321<br />
2015-1-4,19,13,7,9,6,3,83,62,40,1028,1026,1024,16,13,8,21,6,26,0.00,2,,341<br />
2015-1-5,24,17,9,8,3,-3,83,50,17,1024,1022,1020,16,16,10,13,4,14,0.00,2,,321<br />
2015-1-6,27,18,10,12,1,-7,72,42,11,1023,1021,1019,16,16,16,23,7,27,0.00,1,,326<br />
2015-1-7,26,18,10,10,3,-3,62,39,15,1021,1019,1018,16,16,14,14,3,16,0.00,5,,286<br />
2015-1-8,20,17,13,14,8,2,90,61,32,1020,1017,1016,16,14,6,14,4,19,0.00,6,,201<br />
2015-1-9,18,16,13,14,11,5,93,68,43,1018,1016,1015,16,13,8,11,3,14,0.00,5,,212<br />
2015-1-10,21,17,12,14,11,5,93,67,40,1018,1016,1014,16,11,0,16,4,21,T,6,Fog-Rain,185<br />
2015-1-11,17,16,14,14,13,11,90,84,78,1020,1017,1015,16,10,2,11,2,13,5.08,7,Rain,360<br />
2015-1-12,19,17,15,14,13,11,93,80,67,1023,1021,1019,16,13,2,24,5,29,4.32,6,Rain,316<br />
2015-1-13,19,17,13,12,11,4,86,66,46,1021,1019,1017,16,15,8,21,5,24,0.00,4,,321<br />
2015-1-14,22,16,10,9,4,-2,71,47,22,1023,1021,1020,16,16,16,23,6,27,0.00,1,,317<br />
2015-1-15,23,17,10,8,4,-1,71,47,22,1024,1023,1022,16,16,16,21,5,24,0.00,1,,316<br />
2015-1-16,22,16,10,10,4,-2,61,41,20,1022,1021,1019,16,16,16,19,4,23,0.00,2,,309<br />
2015-1-17,21,16,11,14,6,2,63,46,28,1024,1022,1020,16,16,14,14,3,16,0.00,1,,229<br />
2015-1-18,22,17,11,11,6,1,71,50,28,1024,1023,1022,16,16,11,19,4,24,0.00,4,,314<br />
2015-1-19,20,15,10,13,9,4,74,62,49,1022,1020,1018,16,15,8,16,4,21,0.00,5,,298<br />
2015-1-20,17,15,13,12,11,10,93,80,67,1018,1016,1014,16,8,3,16,6,21,0.00,8,,208<br />
2015-1-21,19,17,14,12,10,8,72,64,56,1019,1016,1015,16,9,6,21,8,24,0.00,4,,3<br />
2015-1-22,23,16,9,10,3,-8,83,48,13,1025,1022,1020,16,15,8,21,5,26,0.00,4,,337<br />
2015-1-23,22,16,11,6,-4,-13,51,30,9,1024,1022,1020,16,16,16,19,6,24,0.00,2,,319<br />
2015-1-24,26,18,10,9,1,-8,44,27,10,1020,1017,1014,16,16,16,16,4,23,0.00,0,,276<br />
2015-1-25,25,18,12,3,1,-7,51,31,11,1017,1016,1014,16,16,16,16,3,21,0.00,4,,326<br />
2015-1-26,22,19,16,14,6,0,73,52,30,1020,1017,1014,16,16,11,40,6,52,1.02,6,Rain,65<br />
2015-1-27,26,19,13,12,10,8,83,62,41,1023,1021,1020,16,16,16,23,4,27,0.00,4,,325<br />
2015-1-28,22,17,12,13,9,7,83,62,40,1022,1020,1018,16,16,14,21,4,24,0.00,7,,322<br />
2015-1-29,21,18,16,13,11,5,78,57,36,1019,1017,1016,16,16,16,16,2,21,T,8,Rain,259<br />
2015-1-30,18,17,16,13,12,9,84,70,56,1015,1013,1012,16,16,16,13,5,16,T,7,Rain,219<br />
2015-1-31,19,17,15,13,12,10,84,71,58,1016,1013,1011,16,16,13,19,5,26,0.25,5,,297<br />
2015-2-1,22,17,12,12,9,8,83,65,47,1020,1019,1016,16,16,14,19,4,24,0.00,2,,319<br />
2015-2-2,23,17,11,13,8,4,72,53,33,1020,1018,1016,16,16,11,19,5,24,0.00,3,,318<br />
2015-2-3,21,16,11,13,12,9,93,73,53,1020,1019,1017,16,10,0,21,6,26,0.00,6,Fog,318<br />
2015-2-4,19,16,12,13,11,9,89,73,56,1021,1019,1018,14,8,1,19,6,23,0.00,5,Fog,350<br />
2015-2-5,22,17,12,13,12,9,93,71,49,1020,1018,1016,13,5,0,19,5,23,0.00,5,Fog,335<br />
2015-2-6,23,18,12,13,11,5,93,64,34,1022,1020,1019,13,6,1,19,6,23,0.00,3,Fog,328<br />
2015-2-7,21,16,11,13,11,4,93,69,44,1022,1021,1020,16,10,2,23,8,27,0.00,4,,358<br />
2015-2-8,22,18,15,15,14,13,87,77,66,1022,1020,1019,16,13,10,32,9,37,0.00,2,,339<br />
2015-2-9,21,18,16,15,13,10,97,83,68,1022,1020,1017,16,9,1,27,12,37,0.00,5,Fog,330<br />
2015-2-10,21,17,12,12,10,7,89,71,52,1017,1015,1013,16,16,16,24,6,29,0.00,1,,326<br />
