
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,4,3,2,3,1,-2,92,76,59,1029,1025,1022,16,7,2,21,8,24,28.45,8,Rain,52<br />
2015-1-2,7,6,4,6,4,2,96,91,85,1023,1019,1013,16,7,2,16,9,21,10.92,8,Rain-Thunderstorm,45<br />
2015-1-3,9,6,2,7,5,2,100,90,80,1019,1014,1011,16,11,1,35,10,42,16.51,7,Rain-Thunderstorm,232<br />
2015-1-4,6,2,-1,3,-1,-8,100,73,46,1038,1028,1018,16,13,2,35,17,45,0.00,3,,315<br />
2015-1-5,9,2,-5,-3,-7,-8,81,57,33,1041,1036,1029,16,16,16,23,6,45,0.00,0,,90<br />
2015-1-6,17,7,-3,4,0,-5,86,63,39,1031,1029,1027,16,16,14,19,3,21,0.00,0,,170<br />
2015-1-7,9,3,-3,1,-5,-14,92,61,29,1044,1036,1028,16,16,16,37,15,48,0.00,0,,14<br />
2015-1-8,5,-1,-7,-8,-13,-16,58,39,20,1042,1034,1027,16,16,16,23,10,31,0.00,0,,119<br />
2015-1-9,5,2,-2,-5,-8,-12,69,51,32,1034,1032,1028,16,16,16,21,9,26,0.00,7,,352<br />
2015-1-10,4,3,1,-1,-8,-12,82,58,34,1034,1031,1028,16,16,16,21,9,26,0.51,8,Rain,88<br />
2015-1-11,5,3,1,4,2,-3,93,82,70,1027,1022,1020,16,6,1,19,7,24,35.81,8,Fog-Rain,70<br />
2015-1-12,7,6,5,4,4,3,93,85,76,1029,1025,1021,16,11,4,21,13,29,0.00,8,,340<br />
2015-1-13,6,3,1,4,1,-2,89,76,62,1032,1030,1028,16,16,6,23,10,34,T,7,Rain,35<br />
2015-1-14,7,3,-2,-2,-4,-6,85,63,40,1030,1027,1025,16,16,16,16,6,23,0.00,3,,30<br />
2015-1-15,13,6,-1,0,-2,-3,82,60,38,1027,1025,1024,16,16,16,23,8,29,0.00,3,,322<br />
2015-1-16,16,7,-2,3,-1,-4,92,62,32,1028,1025,1021,16,15,13,21,5,23,0.00,0,,190<br />
2015-1-17,19,12,3,5,3,-1,76,57,37,1022,1019,1015,16,16,16,35,16,43,0.00,0,,218<br />
2015-1-18,21,11,-1,1,-2,-7,82,49,15,1027,1024,1021,16,16,16,16,7,27,0.00,0,,238<br />
2015-1-19,21,11,1,3,1,-3,76,51,26,1020,1017,1014,16,16,16,29,12,37,0.00,0,,188<br />
2015-1-20,21,13,5,12,8,3,100,78,55,1019,1015,1013,16,9,0,16,7,23,0.00,4,Fog,127<br />
2015-1-21,17,12,6,8,3,1,83,60,36,1023,1021,1019,16,16,16,26,11,34,1.27,4,Rain,73<br />
2015-1-22,11,8,4,6,4,2,92,82,71,1026,1023,1020,16,10,3,34,18,47,43.43,8,Rain,41<br />
2015-1-23,11,7,2,2,1,-2,86,68,50,1023,1022,1019,16,16,13,24,13,34,0.76,5,Rain,344<br />
2015-1-24,15,7,-1,2,-1,-3,85,61,36,1022,1019,1016,16,16,16,21,10,26,0.00,0,,252<br />
2015-1-25,19,12,3,4,0,-3,79,52,24,1020,1015,1013,16,16,16,47,19,60,0.00,0,,277<br />
2015-1-26,19,11,2,3,0,-2,76,52,28,1023,1020,1018,16,16,16,24,10,31,0.00,0,,276<br />
2015-1-27,26,15,4,8,4,2,85,56,27,1022,1020,1017,16,16,16,11,3,16,0.00,0,,165<br />
2015-1-28,26,16,5,8,7,4,89,60,30,1022,1020,1017,16,16,16,32,13,42,0.00,0,,178<br />
2015-1-29,24,17,10,12,7,1,93,61,29,1030,1023,1019,16,16,16,29,18,42,0.00,0,,293<br />
2015-1-30,15,9,3,1,-1,-3,70,50,30,1033,1030,1027,16,16,16,24,11,34,0.00,0,,60<br />
2015-1-31,15,11,6,9,3,-1,72,56,40,1026,1021,1014,16,16,16,27,14,35,T,3,Rain,122<br />
2015-2-1,20,12,3,16,9,-6,90,71,51,1023,1014,1011,16,14,4,40,23,53,4.32,6,Rain-Thunderstorm,279<br />
2015-2-2,7,2,-3,-3,-7,-10,75,56,37,1029,1027,1025,16,16,16,39,13,53,0.00,0,,332<br />
2015-2-3,10,5,-1,1,-2,-3,85,62,39,1028,1026,1023,16,16,16,16,8,23,0.00,0,,148<br />
2015-2-4,14,10,5,9,6,1,83,70,57,1023,1020,1017,16,15,5,23,5,27,T,8,Rain,151<br />
2015-2-5,10,7,4,8,4,2,93,85,76,1030,1027,1022,16,10,2,27,9,35,2.03,8,Rain,11<br />
2015-2-6,12,8,4,4,3,2,92,76,59,1030,1028,1023,16,13,6,23,9,29,0.00,6,,190<br />
2015-2-7,20,12,4,10,6,2,92,70,48,1023,1019,1014,16,16,14,40,20,48,0.00,3,,190<br />
2015-2-8,22,16,9,13,12,8,89,71,53,1014,1012,1010,16,15,2,35,16,45,0.00,5,,215<br />
2015-2-9,24,16,7,11,6,2,93,58,23,1018,1016,1014,16,10,0,37,13,48,0.00,0,Fog,322<br />
2015-2-10,19,12,6,6,4,3,83,62,40,1021,1017,1015,16,14,8,21,11,26,0.00,0,,108<br />
2015-2-11,23,14,6,9,6,3,83,61,38,1024,1019,1015,16,16,13,19,8,24,0.00,2,,66<br />
2015-2-12,16,11,4,4,-1,-3,71,50,28,1030,1027,1024,16,16,16,27,12,35,0.00,1,,6<br />
2015-2-13,17,9,1,3,-2,-6,71,51,30,1029,1026,1022,16,16,16,24,9,31,0.00,0,,166<br />
2015-2-14,25,14,4,6,3,1,85,53,20,1024,1022,1019,16,16,11,23,8,32,0.00,0,,247<br />
2015-2-15,13,11,8,9,6,2,93,72,51,1022,1018,1014,16,12,3,24,13,29,11.18,5,Rain,114<br />
2015-2-16,17,9,0,15,4,-4,96,83,69,1023,1014,1008,16,12,3,48,20,61,21.84,8,Rain,1<br />
2015-2-17,9,4,-1,0,-3,-6,76,61,45,1025,1023,1021,16,16,16,21,10,26,0.00,4,,315<br />
2015-2-18,14,7,-2,0,-3,-6,92,60,28,1029,1027,1024,16,16,13,27,8,32,0.00,0,,344<br />
2015-2-19,12,6,-1,-3,-7,-13,63,45,26,1031,1027,1021,16,16,16,26,14,34,0.00,1,,109<br />
2015-2-20,19,13,6,14,6,-2,84,67,49,1021,1015,1009,16,16,4,40,19,53,T,8,Rain,148<br />
2015-2-21,24,17,9,16,13,5,87,74,61,1018,1011,1007,16,16,5,47,23,61,2.29,8,Rain,212<br />
2015-2-22,9,7,3,4,3,1,92,81,70,1030,1023,1017,16,11,2,32,17,42,14.99,8,Rain,49<br />
2015-2-23,3,1,-2,1,-3,-5,92,84,75,1033,1031,1029,16,11,1,27,16,40,9.91,8,Rain,27<br />
2015-2-24,2,0,-2,-2,-3,-5,85,80,75,1029,1024,1018,16,15,10,14,7,21,0.00,8,,342<br />
2015-2-25,2,-2,-6,-1,-1,-2,89,86,82,1018,1013,1010,16,9,0,16,6,23,19.56,8,Fog-Rain-Snow,319<br />
2015-2-26,3,2,-1,-1,-2,-6,92,78,64,1030,1022,1014,16,11,1,26,11,34,0.00,8,,358<br />
2015-2-27,2,0,-2,-5,-7,-8,69,62,54,1033,1031,1028,16,16,16,35,15,47,T,7,,55<br />
2015-2-28,7,4,0,0,-3,-6,70,62,53,1030,1028,1025,16,16,16,23,11,29,T,8,,54<br />
2015-3-1,7,5,3,5,3,-1,96,83,70,1028,1026,1025,16,6,1,14,9,19,1.78,8,Rain,11<br />
2015-3-2,7,6,6,5,5,4,96,93,89,1028,1026,1022,10,4,1,19,11,26,1.27,8,Rain,55<br />
