
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-3,-7,-10,-8,-11,-16,84,73,61,1020,1013,1009,16,14,3,34,20,45,T,6,Snow,250<br />
2015-1-2,-4,-8,-12,-9,-14,-18,84,60,35,1027,1024,1021,16,16,14,16,7,23,0.00,0,,254<br />
2015-1-3,0,-3,-7,-1,-2,-8,100,91,81,1022,1014,1009,16,3,0,16,8,21,4.06,8,Fog-Snow,32<br />
2015-1-4,-1,-11,-22,-2,-12,-28,92,72,52,1032,1016,1008,16,7,1,47,25,55,1.78,7,Rain-Snow,338<br />
2015-1-5,-17,-21,-24,-22,-26,-29,65,59,53,1035,1033,1029,16,16,16,32,18,42,0.00,1,,255<br />
2015-1-6,-13,-16,-20,-19,-21,-23,79,67,55,1028,1025,1020,16,16,14,39,21,47,0.00,2,,264<br />
2015-1-7,-17,-18,-21,-22,-25,-27,65,58,51,1041,1036,1029,16,13,3,37,26,52,T,3,Snow,289<br />
2015-1-8,-14,-17,-21,-17,-20,-26,87,74,61,1032,1013,1005,16,8,0,37,22,45,3.30,5,Snow,221<br />
2015-1-9,-14,-17,-19,-19,-23,-25,76,64,51,1027,1022,1012,16,16,13,42,25,53,0.00,0,,271<br />
2015-1-10,-7,-14,-21,-12,-19,-23,82,70,57,1027,1025,1021,16,16,16,26,15,37,0.00,4,,216<br />
2015-1-11,-4,-6,-8,-9,-10,-12,84,72,60,1027,1024,1021,16,16,14,21,6,24,T,7,,289<br />
2015-1-12,-8,-13,-19,-11,-18,-22,80,66,51,1044,1035,1025,16,16,16,32,16,37,0.00,2,,337<br />
2015-1-13,-9,-15,-21,-13,-17,-21,91,76,61,1044,1039,1031,16,14,5,14,6,18,T,5,Snow,207<br />
2015-1-14,-7,-12,-18,-9,-13,-19,92,83,73,1030,1025,1020,13,11,6,21,11,24,T,7,Snow,224<br />
2015-1-15,2,-2,-7,-3,-7,-9,84,74,64,1019,1014,1009,16,12,3,32,18,39,T,5,Snow,240<br />
2015-1-16,-2,-5,-8,-6,-12,-15,88,70,51,1025,1021,1015,16,16,5,26,14,32,0.00,8,,50<br />
2015-1-17,4,1,-2,0,-1,-4,89,80,70,1013,1001,997,16,13,6,34,18,40,0.00,6,,206<br />
2015-1-18,3,1,-3,-2,-3,-5,92,76,59,1016,1008,1000,16,16,11,34,16,43,T,8,,300<br />
2015-1-19,-3,-4,-5,-6,-7,-8,88,78,68,1019,1016,1014,16,12,2,23,14,27,0.51,8,Snow,51<br />
2015-1-20,-4,-4,-6,-6,-7,-9,96,85,74,1020,1016,1013,16,12,1,24,15,29,1.27,8,Snow,45<br />
