
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,2,-2,-7,-9,-14,-16,49,41,32,1020,1017,1013,16,16,16,35,19,55,0.00,2,,235<br />
2015-1-2,4,1,-3,-8,-9,-10,68,53,37,1031,1023,1015,16,16,16,34,13,40,0.00,5,,254<br />
2015-1-3,4,1,-4,2,-3,-9,85,68,51,1033,1027,1016,16,11,0,23,6,32,11.18,6,Fog-Rain-Snow,92<br />
2015-1-4,9,6,3,7,4,-3,100,79,57,1016,1009,1004,16,6,0,53,11,76,4.06,7,Fog-Rain,231<br />
2015-1-5,6,-2,-9,-3,-13,-19,64,46,28,1029,1021,1011,16,16,16,42,25,66,T,4,,295<br />
2015-1-6,-7,-9,-11,-12,-14,-18,80,66,51,1029,1022,1015,16,8,1,24,11,29,1.78,6,Snow,237<br />
2015-1-7,-7,-12,-16,-13,-17,-24,67,55,42,1027,1017,1012,16,13,0,45,22,58,T,6,Snow,293<br />
2015-1-8,-9,-13,-17,-18,-21,-24,68,56,44,1029,1026,1019,16,16,16,34,15,47,0.00,1,,225<br />
2015-1-9,-2,-6,-10,-9,-13,-19,73,59,45,1023,1015,1011,16,10,2,39,20,52,0.25,6,Snow,239<br />
2015-1-10,-9,-11,-14,-18,-19,-20,63,55,46,1034,1030,1024,16,16,16,26,14,34,0.00,0,,238<br />
2015-1-11,1,-4,-11,-9,-15,-19,61,46,30,1036,1033,1030,16,16,16,23,9,35,0.00,7,,211<br />
2015-1-12,2,0,-2,0,-2,-9,96,72,47,1030,1023,1020,16,4,0,34,11,47,5.59,8,Fog-Rain-Snow,241<br />
2015-1-13,-1,-7,-14,-6,-14,-18,80,65,49,1038,1034,1026,16,16,11,35,15,47,T,2,,359<br />
2015-1-14,-3,-9,-14,-8,-13,-18,80,67,54,1034,1028,1022,16,15,14,13,5,16,0.00,7,,23<br />
2015-1-15,-1,-4,-7,-8,-10,-12,84,66,47,1022,1018,1012,16,14,10,23,8,32,0.00,5,,240<br />
2015-1-16,1,-4,-10,-5,-10,-17,68,59,49,1024,1014,1009,16,13,3,40,17,56,T,6,Snow,295<br />
2015-1-17,-1,-7,-14,-11,-15,-17,80,56,32,1028,1025,1020,16,16,16,21,8,32,0.00,0,,241<br />
2015-1-18,5,1,-4,2,-1,-11,92,76,60,1020,1011,1006,16,11,5,23,9,32,0.76,7,Rain,227<br />
2015-1-19,3,1,-1,-1,-4,-6,89,71,52,1012,1010,1007,16,15,10,32,13,39,T,8,Snow,278<br />
2015-1-20,1,-2,-6,-7,-8,-11,69,63,56,1019,1014,1011,16,16,16,23,8,29,0.00,6,,346<br />
2015-1-21,-1,-6,-11,-4,-9,-13,84,64,43,1021,1020,1018,16,12,2,13,3,18,0.76,5,Snow,61<br />
2015-1-22,1,-3,-7,-4,-6,-10,84,69,54,1028,1023,1019,16,8,3,26,5,31,0.76,6,Snow,281<br />
2015-1-23,1,-6,-12,-4,-8,-13,88,77,66,1028,1022,1012,16,10,1,23,5,27,0.25,4,Snow,193<br />
2015-1-24,2,0,-2,-1,-3,-5,92,78,64,1012,1001,994,16,5,0,24,8,37,13.46,7,Fog-Snow,354<br />
2015-1-25,2,-2,-7,-3,-8,-14,78,57,35,1016,1007,1000,16,15,6,34,17,48,0.25,6,Snow,295<br />
2015-1-26,-4,-7,-9,-9,-11,-15,80,66,51,1015,1011,1007,16,8,1,24,14,37,3.30,8,Snow,52<br />
2015-1-27,-4,-7,-11,-9,-13,-21,80,65,49,1015,1010,1007,16,14,2,42,16,52,0.76,7,Snow,349<br />
2015-1-28,-2,-7,-12,-15,-17,-19,67,49,31,1027,1022,1015,16,16,14,32,13,45,0.00,0,,326<br />
2015-1-29,0,-8,-17,-6,-13,-19,83,55,26,1027,1020,1012,16,12,1,23,7,34,0.51,5,Snow,164<br />
2015-1-30,0,-6,-11,-3,-7,-17,92,74,55,1022,1013,1010,16,5,0,47,20,58,3.81,8,Fog-Snow,265<br />
2015-1-31,-6,-9,-14,-16,-18,-20,73,57,41,1025,1023,1021,16,15,10,39,16,53,T,4,Snow,322<br />
2015-2-1,-1,-7,-13,-4,-7,-17,85,71,57,1023,1018,1010,16,8,2,19,8,23,1.02,8,Snow,210<br />
2015-2-2,1,-5,-11,-2,-7,-17,85,73,61,1017,1002,993,16,6,1,42,16,66,11.68,8,Fog-Snow,16<br />
2015-2-3,-5,-9,-14,-14,-16,-18,73,59,45,1025,1023,1017,16,16,11,27,12,37,T,2,Snow,230<br />
2015-2-4,3,-3,-9,-4,-9,-14,77,63,48,1025,1019,1013,16,14,8,19,5,29,T,7,Snow,228<br />
2015-2-5,2,-6,-14,-3,-12,-21,85,62,39,1025,1017,1010,16,9,2,47,22,60,1.52,6,Snow,336<br />
2015-2-6,-5,-11,-17,-14,-18,-21,68,57,45,1024,1021,1018,16,15,3,34,13,40,T,3,Snow,221<br />
2015-2-7,3,-3,-9,-8,-11,-14,68,52,35,1020,1017,1013,16,14,10,11,3,14,0.00,8,,242<br />
2015-2-8,6,3,1,0,-4,-8,82,64,45,1013,1010,1008,16,14,8,13,4,19,1.52,6,Rain,80<br />
2015-2-9,2,-1,-4,0,-4,-7,89,79,69,1017,1013,1010,16,11,5,21,11,35,3.81,8,Rain-Snow,52<br />
2015-2-10,-2,-3,-4,-6,-7,-8,88,78,68,1021,1019,1016,16,13,3,29,13,35,T,8,Snow,12<br />
2015-2-11,1,-3,-8,-7,-8,-11,80,67,54,1020,1016,1010,16,15,11,19,4,23,T,4,Thunderstorm,327<br />
2015-2-12,1,-7,-14,-3,-9,-21,78,61,43,1018,1010,1006,16,7,0,47,15,61,1.02,8,Fog-Snow,299<br />
2015-2-13,-9,-13,-17,-22,-22,-23,69,53,36,1024,1021,1016,16,16,14,32,15,40,T,3,,329<br />
2015-2-14,-4,-10,-16,-8,-13,-21,84,65,46,1017,1004,998,16,8,1,32,8,40,1.52,8,Snow,228<br />
2015-2-15,-11,-15,-19,-15,-22,-26,76,63,49,1024,1014,1003,16,9,2,52,25,64,T,7,Snow,315<br />
2015-2-16,-11,-16,-20,-19,-23,-26,65,54,42,1026,1023,1015,16,16,16,29,11,42,0.00,2,,311<br />
2015-2-17,-4,-9,-14,-14,-16,-18,80,65,50,1016,1012,1010,16,11,2,16,5,21,0.76,5,Snow,70<br />
2015-2-18,-2,-9,-18,-10,-16,-22,79,57,34,1013,1008,1004,16,13,1,32,8,45,0.25,5,Snow,295<br />
2015-2-19,-9,-13,-18,-16,-21,-28,69,54,38,1018,1011,1007,16,13,3,39,22,53,T,6,Snow,275<br />
2015-2-20,-10,-16,-21,-22,-25,-28,52,47,41,1030,1025,1019,16,16,16,26,12,35,0.00,0,,270<br />
2015-2-21,-4,-11,-18,-7,-13,-24,88,64,39,1030,1023,1019,16,6,1,29,8,45,5.08,8,Fog-Snow,200<br />
2015-2-22,3,-1,-4,-4,-6,-8,88,74,59,1023,1021,1018,16,9,4,24,7,32,T,7,Snow,277<br />
2015-2-23,-1,-10,-19,-8,-18,-25,68,53,37,1029,1026,1022,16,14,3,42,20,53,T,4,Snow,334<br />
2015-2-24,-5,-14,-23,-17,-23,-28,71,47,22,1029,1019,1008,16,15,6,27,9,42,T,1,Snow,189<br />
2015-2-25,1,-5,-12,-11,-14,-18,67,51,35,1017,1010,1005,16,16,13,27,12,37,0.00,3,,261<br />
2015-2-26,-4,-7,-10,-11,-14,-19,67,57,46,1022,1016,1013,16,11,3,29,12,32,0.51,7,Snow,359<br />
