
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,4,3,2,3,2,-2,92,78,64,1028,1025,1022,16,10,3,19,10,21,14.22,8,Rain,50<br />
2015-1-2,6,5,4,5,4,2,96,91,85,1022,1018,1013,16,8,3,19,11,27,11.68,8,Rain-Thunderstorm,37<br />
2015-1-3,9,7,4,6,5,3,96,87,77,1019,1013,1010,16,13,3,24,11,34,14.22,6,Rain-Thunderstorm,242<br />
2015-1-4,6,2,-1,4,-3,-7,93,69,44,1038,1031,1019,16,16,16,37,17,52,0.00,2,,337<br />
2015-1-5,9,3,-4,-4,-7,-10,75,51,26,1040,1035,1029,16,16,16,21,9,24,0.00,0,,98<br />
2015-1-6,17,8,-2,3,-1,-4,85,61,36,1030,1028,1026,16,16,16,19,6,21,0.00,0,,196<br />
2015-1-7,9,3,-4,2,-6,-14,89,60,30,1044,1036,1028,16,16,16,39,20,52,0.00,0,,1<br />
2015-1-8,5,-1,-7,-9,-13,-16,56,41,25,1042,1033,1026,16,16,16,24,13,31,0.00,0,,173<br />
2015-1-9,4,2,-1,-6,-8,-12,61,47,32,1034,1032,1028,16,16,16,26,10,32,T,7,,11<br />
2015-1-10,4,3,1,-3,-8,-12,70,52,33,1034,1031,1027,16,16,16,19,10,27,0.25,8,Rain,96<br />
2015-1-11,6,3,1,4,2,-3,92,78,64,1027,1022,1020,16,7,1,32,6,35,20.32,8,Rain,70<br />
2015-1-12,7,5,3,4,3,2,93,85,76,1030,1026,1021,16,12,2,29,15,35,T,8,Rain,354<br />
2015-1-13,6,4,3,2,1,0,92,81,70,1032,1030,1028,16,9,3,23,11,26,T,8,,11<br />
2015-1-14,7,3,-1,0,-4,-8,92,63,33,1029,1027,1025,16,16,13,19,8,23,0.00,4,,30<br />
