
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-2,-4,-7,-7,-9,-12,69,66,62,1019,1015,1012,16,15,6,42,27,60,T,8,Snow,238<br />
2015-1-2,1,-2,-6,-6,-8,-9,81,66,51,1028,1024,1018,16,16,14,29,10,35,T,4,,261<br />
2015-1-3,1,-2,-6,0,-2,-7,96,86,75,1026,1014,1007,14,5,1,24,11,32,11.94,7,Fog-Rain-Snow,103<br />
2015-1-4,0,-5,-10,-1,-5,-14,100,84,67,1024,1011,1003,16,6,0,40,18,53,3.81,8,Fog-Rain-Snow,293<br />
2015-1-5,-10,-13,-16,-15,-18,-19,76,70,63,1034,1031,1026,16,9,1,40,21,56,1.02,7,Snow,272<br />
2015-1-6,-8,-12,-15,-12,-15,-18,80,74,67,1029,1023,1017,16,7,1,42,21,56,1.78,8,Snow,237<br />
2015-1-7,-11,-14,-17,-16,-19,-21,87,69,50,1037,1030,1019,16,15,4,35,22,47,T,4,Snow,299<br />
2015-1-8,-11,-14,-18,-13,-18,-23,86,71,56,1033,1016,1004,16,7,1,45,30,56,1.27,8,Snow,209<br />
2015-1-9,-9,-13,-16,-12,-16,-19,88,76,63,1027,1017,1004,16,5,1,45,23,60,1.52,7,Snow,266<br />
2015-1-10,-9,-13,-17,-16,-18,-19,87,73,58,1030,1028,1025,16,12,4,35,21,45,T,7,Snow,207<br />
2015-1-11,-1,-4,-9,-4,-9,-15,92,73,53,1028,1026,1024,16,12,2,27,17,35,3.56,8,Snow,202<br />
2015-1-12,-3,-8,-14,-4,-8,-18,92,74,56,1040,1028,1023,16,10,2,32,16,40,0.51,7,Snow,325<br />
2015-1-13,-9,-16,-22,-16,-19,-23,91,72,53,1043,1040,1034,16,16,13,16,6,23,0.00,1,,46<br />
2015-1-14,-7,-16,-24,-12,-18,-27,79,73,67,1033,1028,1023,16,13,8,23,7,32,T,4,,213<br />
2015-1-15,-1,-6,-12,-4,-11,-16,84,71,58,1024,1017,1012,13,12,8,37,19,42,0.00,6,,223<br />
2015-1-16,0,-4,-8,-4,-10,-13,81,66,50,1024,1021,1013,16,15,10,24,14,32,0.00,6,,12<br />
2015-1-17,7,-1,-8,0,-4,-13,81,69,57,1023,1009,1002,16,14,6,39,25,53,T,2,,187<br />
2015-1-18,4,2,0,1,-1,-3,89,82,75,1014,1006,1002,16,11,3,32,17,42,1.78,8,Rain-Snow,260<br />
2015-1-19,1,-1,-2,-3,-4,-6,85,76,66,1017,1015,1013,16,16,11,14,7,21,T,8,Snow,3<br />
2015-1-20,-1,-2,-4,-4,-5,-6,92,85,78,1018,1015,1013,16,9,1,19,11,21,1.78,8,Fog-Snow,58<br />
2015-1-21,-2,-4,-6,-5,-6,-8,92,85,78,1024,1018,1016,16,6,0,19,10,21,4.06,8,Fog-Rain-Snow,66<br />
2015-1-22,-1,-4,-7,-7,-7,-8,92,78,63,1031,1029,1025,16,14,10,21,9,24,T,7,,267<br />
2015-1-23,0,-3,-6,-5,-6,-8,84,77,69,1028,1019,1010,16,14,10,32,20,39,0.00,6,,231<br />
2015-1-24,3,-1,-4,0,-3,-6,96,83,70,1009,1005,1001,16,9,4,29,16,39,T,8,Snow,252<br />
2015-1-25,1,-4,-9,0,-7,-13,96,81,65,1018,1011,1005,16,14,5,32,20,43,T,6,,33<br />
2015-1-26,-3,-8,-13,-12,-13,-15,92,69,46,1017,1016,1014,16,15,10,16,8,23,0.00,3,,33<br />
2015-1-27,-3,-7,-11,-10,-12,-14,88,72,55,1026,1021,1016,16,16,14,23,7,27,T,4,,16<br />
2015-1-28,-1,-7,-13,-9,-13,-16,91,65,38,1029,1025,1018,16,16,13,34,13,42,0.00,1,,170<br />
2015-1-29,0,-2,-5,-2,-4,-9,92,78,63,1022,1012,1007,16,10,0,37,19,53,1.27,8,Fog-Rain-Snow,304<br />
2015-1-30,-5,-7,-9,-11,-13,-14,74,65,56,1033,1029,1022,16,15,5,35,17,48,T,6,Snow,311<br />
2015-1-31,1,-4,-9,-4,-8,-12,80,71,61,1029,1025,1021,16,15,10,26,12,34,0.00,7,,233<br />
2015-2-1,-1,-6,-10,-6,-9,-12,88,80,72,1023,1017,1008,16,2,0,47,27,60,13.46,8,Fog-Snow,47<br />
2015-2-2,-9,-12,-16,-12,-16,-20,88,67,46,1022,1015,1007,16,10,1,40,18,52,3.05,4,Fog-Snow,322<br />
2015-2-3,-4,-9,-15,-6,-11,-17,88,75,62,1023,1020,1017,16,10,2,27,18,35,1.52,6,Snow,207<br />
2015-2-4,-3,-8,-13,-4,-8,-16,100,81,62,1026,1018,1014,16,8,2,26,14,34,0.51,7,Snow,287<br />
2015-2-5,-8,-14,-21,-15,-17,-22,91,74,56,1032,1028,1023,16,16,14,35,14,43,0.00,0,,254<br />
