
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,2,-2,-6,-8,-13,-16,55,42,27,1018,1015,1011,16,16,16,29,24,52,0.00,5,,245<br />
2015-1-2,1,0,-4,-3,-5,-8,82,71,56,1031,1023,1015,16,10,2,23,16,34,0.00,8,Snow,265<br />
2015-1-3,5,-2,-7,3,-3,-8,93,83,64,1032,1025,1015,16,10,1,23,6,35,8.13,6,Rain-Snow,188<br />
2015-1-4,14,8,3,11,6,-3,100,83,56,1013,1006,1000,16,16,6,45,11,63,0.25,5,Rain,253<br />
2015-1-5,2,-4,-11,-3,-13,-19,71,57,40,1030,1023,1011,16,14,3,48,31,64,0.00,7,Snow,290<br />
2015-1-6,-7,-9,-11,-12,-14,-17,84,72,62,1029,1021,1014,16,9,1,21,10,,0.00,6,Fog-Snow,239<br />
2015-1-7,-9,-13,-17,-12,-18,-23,88,66,44,1028,1019,1012,16,9,0,40,18,60,0.25,6,Fog-Snow,290<br />
2015-1-8,-8,-13,-19,-17,-19,-22,84,61,39,1028,1024,1014,16,14,6,27,14,39,0.00,4,Snow,235<br />
2015-1-9,-4,-7,-11,-10,-13,-18,84,65,44,1023,1013,1008,16,10,2,40,21,53,0.00,6,Snow,238<br />
2015-1-10,-8,-12,-16,-18,-19,-21,66,53,39,1033,1030,1023,16,16,16,32,18,40,0.00,0,,242<br />
2015-1-11,2,-4,-10,-6,-14,-19,64,46,34,1034,1031,1028,16,16,16,16,8,,0.00,8,,236<br />
2015-1-12,2,-2,-6,1,-2,-9,96,87,66,1030,1024,1020,16,6,1,34,5,45,1.27,8,Fog-Snow,18<br />
2015-1-13,-7,-14,-21,-11,-17,-23,83,72,56,1041,1037,1031,16,14,4,26,14,40,0.00,3,Snow,17<br />
2015-1-14,-3,-13,-23,-8,-18,-26,92,79,65,1036,1029,1024,16,14,8,10,2,,0.00,0,,47<br />
2015-1-15,-1,-8,-15,-10,-13,-17,88,66,40,1024,1018,1010,16,14,8,16,3,,0.00,3,,235<br />
2015-1-16,-1,-9,-16,-4,-9,-18,84,68,48,1026,1014,1008,16,11,1,32,18,58,0.00,6,Snow,295<br />
2015-1-17,-2,-11,-20,-8,-14,-22,87,68,47,1029,1023,1015,16,16,14,19,8,29,0.00,0,,199<br />
2015-1-18,5,1,-4,0,-3,-8,100,78,62,1015,1009,1007,16,14,8,21,10,34,0.00,3,,214<br />
2015-1-19,2,0,-2,-1,-4,-8,89,72,61,1014,1011,1007,16,14,3,29,14,39,0.00,8,Snow,281<br />
2015-1-20,-1,-6,-11,-7,-9,-13,88,70,61,1021,1015,1012,16,16,14,16,10,,0.00,5,,346<br />
2015-1-21,-3,-9,-16,-6,-10,-18,96,85,51,1022,1020,1018,16,8,2,11,2,,0.00,5,Snow,87<br />
2015-1-22,-1,-6,-12,-4,-7,-13,96,85,54,1029,1023,1019,16,9,2,19,3,,0.25,6,Snow,287<br />
2015-1-23,3,-6,-14,-5,-8,-16,95,76,54,1029,1022,1012,16,13,3,19,3,,0.00,4,,236<br />
2015-1-24,4,1,-2,-2,-4,-6,96,79,49,1010,1001,996,16,10,3,29,5,39,0.00,7,Snow,264<br />
2015-1-25,2,-4,-9,-3,-9,-14,77,64,39,1018,1009,999,16,16,14,34,14,58,0.00,3,Snow,351<br />
2015-1-26,-7,-9,-11,-9,-12,-19,88,78,47,1018,1013,1011,16,4,1,14,11,,2.29,8,Fog-Snow,58<br />
2015-1-27,-7,-10,-13,-9,-13,-17,86,72,59,1019,1013,1010,16,14,4,23,8,34,0.00,5,Snow,354<br />
2015-1-28,-1,-12,-22,-13,-17,-24,87,68,33,1029,1024,1019,16,16,10,21,11,35,0.00,0,,274<br />
2015-1-29,1,-11,-23,-4,-12,-24,92,75,29,1028,1017,1009,16,11,2,32,6,40,0.25,6,Snow,212<br />
2015-1-30,-1,-7,-13,-4,-8,-18,96,76,61,1025,1016,1009,16,7,1,32,11,45,0.00,8,Snow,300<br />
2015-1-31,-5,-11,-18,-14,-17,-19,91,70,50,1027,1025,1023,16,16,13,24,11,40,0.00,4,,290<br />
2015-2-1,-3,-7,-10,-6,-8,-13,93,85,77,1023,1018,1007,16,6,1,19,6,,1.52,8,Snow,54<br />
2015-2-2,-6,-9,-12,-6,-10,-17,100,84,64,1019,1003,996,16,5,1,29,13,47,6.10,8,Fog-Snow,48<br />
2015-2-3,-4,-13,-23,-14,-18,-24,95,74,36,1025,1022,1017,16,14,3,27,6,37,0.00,3,,243<br />
2015-2-4,3,-4,-12,-1,-6,-15,100,82,57,1024,1016,1012,16,8,1,23,3,29,1.27,8,Snow,23<br />
2015-2-5,-3,-12,-22,-6,-13,-24,87,71,41,1027,1020,1013,16,9,2,29,13,42,0.25,5,Snow,333<br />
2015-2-6,-5,-16,-26,-13,-18,-28,91,73,50,1025,1022,1019,16,14,6,27,8,42,0.00,4,Snow,253<br />
2015-2-7,0,-6,-12,-4,-8,-15,82,76,66,1020,1016,1012,16,13,2,11,3,,0.00,8,Snow,60<br />
2015-2-8,3,-2,-7,-1,-5,-9,92,83,70,1013,1010,1007,16,8,3,26,8,,2.29,8,Snow,62<br />
2015-2-9,-6,-7,-8,-8,-9,-11,89,85,79,1020,1015,1012,16,8,2,14,11,,4.32,8,Rain-Snow,55<br />
2015-2-10,-6,-7,-8,-8,-9,-10,93,87,78,1024,1022,1021,16,11,1,19,11,,0.00,8,,29<br />
2015-2-11,2,-7,-15,-1,-7,-16,96,84,64,1023,1015,1008,16,12,2,14,5,,0.25,4,Snow,340<br />
2015-2-12,-1,-9,-17,-2,-10,-22,100,76,53,1021,1011,1006,16,9,0,40,11,53,0.25,8,Fog-Snow,303<br />
2015-2-13,-9,-14,-19,-19,-21,-23,76,64,39,1025,1021,1017,16,13,6,24,13,34,0.00,4,,254<br />
2015-2-14,-3,-10,-16,-7,-13,-19,89,75,61,1016,1005,996,16,6,0,42,14,61,0.00,8,Fog-Snow,293<br />
2015-2-15,-14,-18,-21,-20,-24,-27,72,63,51,1027,1019,1007,16,9,2,34,24,55,0.00,7,Snow,286<br />
2015-2-16,-12,-18,-23,-19,-23,-26,79,66,46,1028,1024,1016,16,14,6,23,13,,0.00,2,,244<br />
2015-2-17,-4,-11,-18,-15,-18,-21,92,70,42,1017,1013,1011,16,14,4,16,6,,0.00,3,Snow,48<br />
2015-2-18,-4,-13,-23,-8,-14,-25,88,75,50,1014,1008,1003,16,9,0,40,8,52,0.00,6,Fog-Snow,235<br />
2015-2-19,-11,-15,-20,-14,-19,-27,85,64,42,1020,1012,1007,16,11,1,32,21,48,0.00,5,Snow,283<br />
2015-2-20,-11,-17,-23,-22,-25,-27,78,57,37,1030,1026,1018,16,16,14,29,16,47,0.00,1,,256<br />
2015-2-21,-6,-14,-23,-8,-14,-26,88,71,39,1028,1021,1016,16,11,0,35,10,47,0.00,8,Snow,198<br />
2015-2-22,2,-2,-6,-6,-7,-11,92,76,54,1026,1023,1018,16,11,3,24,5,34,0.00,7,Snow,294<br />
2015-2-23,-6,-14,-23,-9,-20,-28,81,57,40,1032,1029,1024,16,14,2,29,16,45,0.00,3,Snow,316<br />
2015-2-24,-6,-17,-27,-16,-23,-31,82,55,28,1029,1017,1006,16,16,14,27,8,40,0.00,1,Snow,209<br />
2015-2-25,-2,-10,-18,-13,-17,-21,84,58,31,1019,1012,1006,16,16,11,34,10,60,0.00,1,,320<br />
2015-2-26,-8,-11,-13,-13,-14,-18,84,73,59,1024,1018,1015,16,9,1,21,6,,0.00,8,Snow,57<br />
2015-2-27,-7,-14,-21,-17,-19,-24,90,65,34,1040,1032,1025,16,15,5,19,5,29,0.00,1,,276<br />
2015-2-28,-4,-14,-25,-18,-21,-27,86,61,31,1045,1042,1039,16,16,13,13,3,,0.00,0,,205<br />
2015-3-1,-2,-10,-17,-4,-8,-21,100,88,73,1039,1028,1019,16,4,0,13,2,,2.29,8,Fog-Snow,94<br />
2015-3-2,-2,-5,-9,-4,-10,-14,100,68,47,1031,1024,1018,16,14,5,40,14,52,0.00,6,Snow,295<br />
2015-3-3,0,-9,-17,-2,-10,-18,92,83,60,1030,1019,1006,16,9,0,29,6,45,5.59,6,Fog-Snow,203<br />
2015-3-4,4,1,-1,0,-2,-6,100,78,58,1015,1010,1005,16,13,5,24,8,32,0.00,7,,287<br />
2015-3-5,1,-7,-15,-6,-13,-20,81,66,49,1033,1022,1015,16,11,2,32,18,48,0.00,4,Snow,350<br />
2015-3-6,-3,-12,-20,-16,-19,-22,87,61,31,1035,1031,1026,16,16,11,16,11,,0.00,0,,230<br />
2015-3-7,1,-6,-12,-2,-8,-17,100,76,59,1025,1019,1015,16,11,1,13,10,,0.00,7,Snow,237<br />
2015-3-8,6,0,-6,-2,-5,-8,100,76,40,1020,1017,1015,16,12,4,37,6,55,0.00,5,Snow,294<br />
2015-3-9,8,-1,-10,-3,-7,-11,95,70,35,1025,1022,1019,16,15,8,21,5,27,0.00,0,,262<br />
2015-3-10,10,0,-8,3,-2,-9,100,87,50,1025,1020,1014,16,9,0,24,2,,1.52,5,Fog-Rain,225<br />
2015-3-11,11,4,-1,4,0,-7,100,82,33,1024,1016,1013,16,8,0,26,5,39,0.00,5,Fog,284<br />
2015-3-12,4,1,-5,-4,-11,-16,65,44,24,1038,1033,1025,16,16,16,32,16,45,0.00,0,,348<br />
2015-3-13,9,0,-8,-4,-9,-12,84,54,26,1037,1031,1023,16,16,16,26,6,34,0.00,1,,181<br />
2015-3-14,8,4,2,6,2,-5,100,85,51,1022,1013,1007,16,14,6,29,8,53,3.05,8,Rain,222<br />
2015-3-15,3,2,0,-1,-2,-3,79,72,70,1020,1013,1008,16,15,6,39,18,53,0.00,8,Snow,290<br />
2015-3-16,14,6,-3,5,-1,-4,96,71,45,1019,1013,1008,16,15,8,14,6,,0.00,1,Rain,250<br />
2015-3-17,7,2,-2,4,-2,-14,100,75,34,1017,1008,1002,16,12,4,42,11,64,1.27,6,Rain-Snow,296<br />
2015-3-18,2,-2,-8,-3,-9,-14,96,65,32,1023,1020,1017,16,12,1,42,21,61,0.25,5,Fog-Snow,323<br />
2015-3-19,4,-4,-12,-8,-11,-14,95,64,30,1029,1027,1022,16,15,3,16,5,,0.00,0,,25<br />
2015-3-20,2,-1,-3,-1,-4,-13,96,78,40,1027,1022,1019,16,9,1,13,6,,2.03,7,Fog-Snow,126<br />
2015-3-21,8,1,-6,3,-2,-11,100,86,45,1019,1015,1010,16,10,1,34,5,47,1.78,6,Fog-Rain-Snow,276<br />
2015-3-22,-1,-4,-7,-8,-11,-15,85,60,38,1024,1021,1017,16,11,1,35,18,48,0.00,5,Snow,340<br />
2015-3-23,-1,-4,-7,-10,-13,-15,81,58,39,1028,1025,1024,16,14,1,26,13,37,0.00,4,Snow,8<br />
2015-3-24,5,-4,-12,-8,-11,-14,88,61,35,1029,1028,1027,16,16,16,16,6,,0.00,0,,66<br />
2015-3-25,8,-1,-9,1,-4,-11,91,77,40,1029,1023,1017,16,14,8,27,5,50,0.76,5,Rain,186<br />
2015-3-26,4,0,-4,4,1,-4,100,99,82,1017,1010,1006,16,5,0,14,3,27,9.14,7,Fog-Rain-Thunderstorm,96<br />
2015-3-27,4,1,-2,1,-3,-7,100,82,54,1013,1010,1008,16,11,4,21,11,26,0.00,6,Snow,337<br />
2015-3-28,-3,-6,-8,-7,-11,-16,88,67,41,1024,1016,1012,16,11,1,32,14,42,0.00,6,Snow,13<br />
2015-3-29,8,-2,-11,-11,-13,-16,84,48,18,1028,1022,1014,16,16,16,23,8,,0.00,0,,223<br />
2015-3-30,9,6,2,2,-2,-12,89,64,29,1013,1009,1007,16,16,16,34,21,53,0.00,7,Rain,252<br />
2015-3-31,3,0,-4,1,-2,-6,96,83,62,1014,1010,1008,16,10,0,16,6,,0.51,6,Fog-Snow,26<br />
2015-4-1,9,1,-7,-3,-6,-8,100,68,32,1022,1020,1014,16,16,13,21,8,29,0.00,1,,286<br />
2015-4-2,21,8,-4,9,-1,-7,89,57,23,1023,1015,1008,16,16,16,29,10,47,0.00,3,Rain,222<br />
2015-4-3,19,13,7,12,8,-1,100,80,27,1011,1008,1005,16,12,0,16,10,29,4.06,5,Fog-Rain,293<br />
2015-4-4,7,4,1,5,-2,-8,89,68,40,1021,1013,1005,16,14,4,37,14,48,3.30,7,Rain-Snow,290<br />
2015-4-5,1,-2,-6,1,-2,-7,100,96,79,1024,1021,1019,16,4,0,13,5,,4.32,7,Fog-Snow,67<br />
2015-4-6,20,9,-2,6,1,-2,100,82,22,1025,1023,1018,16,7,0,23,3,40,0.76,7,Fog-Rain,125<br />
2015-4-7,6,5,4,4,3,1,97,89,79,1027,1024,1021,16,10,4,16,8,,1.27,8,Rain,75<br />
2015-4-8,7,5,3,4,3,1,100,88,76,1025,1022,1019,16,9,2,24,11,35,18.29,8,Rain-Thunderstorm,121<br />
2015-4-9,10,7,5,6,4,3,96,87,77,1022,1020,1015,16,11,2,21,10,39,9.14,8,Rain-Thunderstorm,163<br />
