
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,11,6,2,5,3,-1,87,75,62,1028,1026,1023,16,16,14,16,8,27,0.00,4,,47<br />
2015-1-2,17,13,9,16,9,5,94,82,71,1024,1021,1018,16,13,3,14,8,,0.00,8,,91<br />
2015-1-3,24,21,17,20,17,15,94,85,73,1018,1016,1012,16,13,5,32,14,40,1.52,8,Thunderstorm,178<br />
2015-1-4,17,11,5,14,7,0,94,73,51,1033,1025,1017,16,16,11,23,11,29,1.52,2,,320<br />
2015-1-5,11,4,-1,1,-3,-5,87,68,37,1037,1034,1031,16,16,11,29,13,37,0.00,1,,3<br />
2015-1-6,18,7,-3,2,-2,-11,93,66,24,1032,1029,1027,16,15,8,14,3,,0.00,0,,323<br />
2015-1-7,11,3,-5,0,-6,-17,81,54,33,1039,1032,1027,16,16,16,37,18,55,0.00,0,,356<br />
2015-1-8,2,-4,-10,-9,-15,-17,62,43,24,1038,1034,1028,16,16,16,34,14,45,0.00,2,,45<br />
2015-1-9,2,0,-1,-2,-5,-11,87,66,41,1032,1030,1028,16,16,14,11,5,,0.25,5,,324<br />
2015-1-10,8,2,-3,-4,-8,-13,86,55,25,1034,1032,1030,16,16,16,14,8,,0.00,0,,39<br />
2015-1-11,14,7,1,8,1,-8,77,61,45,1030,1026,1023,16,16,16,13,6,,0.00,3,,90<br />
2015-1-12,19,14,9,16,11,7,94,84,77,1024,1022,1020,16,12,0,23,6,29,0.00,8,,335<br />
2015-1-13,9,6,3,7,3,1,93,83,71,1028,1026,1024,16,11,3,23,14,26,0.00,8,,355<br />
2015-1-14,5,3,2,1,1,-1,87,80,75,1028,1026,1024,16,16,16,19,13,,0.00,8,,16<br />
2015-1-15,5,3,2,3,2,-1,93,86,81,1025,1024,1021,16,9,3,14,8,,6.35,6,,358<br />
2015-1-16,13,6,-2,3,-1,-4,93,73,38,1028,1025,1023,16,15,5,11,5,,0.00,0,,8<br />
2015-1-17,18,8,-2,7,2,-4,93,72,30,1025,1022,1019,16,14,5,21,5,27,0.00,0,,189<br />
2015-1-18,19,10,1,6,1,-5,93,63,19,1026,1023,1020,16,16,10,23,6,27,0.00,0,,307<br />
2015-1-19,21,9,-2,4,0,-4,93,60,23,1023,1020,1017,16,16,13,16,5,,0.00,0,,205<br />
2015-1-20,20,11,3,9,5,1,93,74,35,1018,1016,1014,16,16,8,19,2,29,0.00,2,,205<br />
2015-1-21,19,11,3,4,2,-1,87,57,26,1023,1021,1018,16,15,5,19,6,26,0.00,0,,16<br />
2015-1-22,13,9,6,4,1,-2,87,59,38,1024,1022,1017,16,15,3,32,14,45,50.29,4,,41<br />
2015-1-23,8,6,4,5,3,1,87,83,81,1017,1014,1012,16,12,3,26,16,45,5.84,8,,342<br />
2015-1-24,13,7,1,2,-1,-8,87,72,36,1022,1019,1017,16,13,2,13,8,27,0.00,2,,278<br />
2015-1-25,19,10,1,4,2,-2,87,58,35,1017,1013,1009,16,16,8,24,8,40,0.00,0,,243<br />
2015-1-26,14,8,3,2,0,-2,81,58,33,1021,1017,1014,16,16,16,24,11,39,0.00,2,,308<br />
2015-1-27,21,13,5,3,0,-21,76,49,5,1022,1019,1016,16,16,16,23,8,34,0.00,0,,322<br />
2015-1-28,19,11,3,4,1,-1,81,55,28,1027,1024,1022,16,16,16,14,8,,0.00,0,,86<br />
2015-1-29,24,13,2,12,6,-8,93,66,12,1025,1023,1021,16,16,8,21,5,35,0.00,1,,213<br />
