
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-3,-4,-7,-6,-8,-12,88,75,62,1017,1011,1007,16,8,2,35,15,53,0.51,8,Snow,265<br />
2015-1-2,-4,-10,-17,-12,-14,-18,100,73,46,1027,1024,1018,16,16,16,23,5,26,0.00,3,,259<br />
2015-1-3,1,-5,-11,-1,-4,-14,92,77,62,1025,1015,1009,16,9,2,16,4,24,1.27,7,Snow,133<br />
2015-1-4,1,-7,-14,-1,-8,-17,100,87,73,1024,1013,1005,13,3,1,42,22,56,1.27,8,Fog-Snow,319<br />
2015-1-5,-14,-15,-17,-17,-18,-19,86,81,76,1031,1028,1023,16,4,1,37,17,45,T,8,Snow,260<br />
2015-1-6,-8,-11,-14,-14,-16,-18,80,69,58,1027,1019,1016,16,8,0,42,19,56,T,8,Fog-Snow,267<br />
2015-1-7,-12,-13,-14,-15,-17,-19,91,79,66,1035,1027,1017,5,2,0,50,29,66,0.76,8,Fog-Snow,301<br />
2015-1-8,-8,-11,-14,-12,-15,-17,92,80,67,1029,1016,1002,16,5,0,29,15,40,4.83,8,Fog-Snow,242<br />
2015-1-9,-8,-11,-14,-11,-16,-17,83,78,73,1023,1013,1003,11,3,1,47,24,58,T,8,Snow,274<br />
2015-1-10,-6,-10,-14,-9,-14,-17,88,69,49,1024,1023,1021,16,8,1,34,13,50,T,7,Snow,233<br />
2015-1-11,-3,-5,-7,-7,-8,-9,84,79,74,1024,1023,1022,16,14,6,19,7,24,T,8,Snow,231<br />
2015-1-12,-4,-11,-17,-8,-12,-20,84,73,61,1043,1031,1023,16,8,2,32,17,47,T,7,Snow,342<br />
2015-1-13,-8,-17,-26,-16,-22,-27,86,73,59,1045,1041,1033,16,16,16,10,2,14,0.00,0,,180<br />
2015-1-14,-4,-13,-22,-8,-12,-24,84,76,68,1032,1024,1019,16,15,8,16,7,27,T,8,Snow,196<br />
2015-1-15,1,-2,-5,-3,-5,-8,81,77,72,1019,1012,1008,16,10,3,27,13,42,T,8,Snow,234<br />
2015-1-16,-2,-7,-12,-7,-12,-16,74,65,56,1024,1020,1011,16,12,1,37,13,55,T,7,Fog-Snow,17<br />
2015-1-17,6,-1,-7,1,-5,-14,85,71,56,1020,1004,997,16,16,14,26,15,39,T,7,Rain,180<br />
2015-1-18,3,1,-2,1,-2,-6,92,81,69,1014,1004,997,16,11,4,24,11,31,0.51,8,Rain-Snow,290<br />
2015-1-19,-2,-4,-7,-5,-9,-10,81,75,68,1019,1016,1013,16,14,5,21,9,27,T,8,Snow,20<br />
2015-1-20,-4,-8,-12,-9,-11,-13,92,80,68,1019,1017,1014,16,16,16,13,2,16,0.00,5,,36<br />
2015-1-21,-3,-7,-11,-8,-9,-11,88,78,68,1024,1021,1018,16,16,16,13,5,21,0.00,7,,353<br />
2015-1-22,0,-4,-9,-6,-8,-11,92,75,58,1029,1026,1023,16,16,13,23,7,34,0.00,5,,242<br />
2015-1-23,1,-1,-2,-2,-4,-6,85,77,69,1023,1014,1006,16,13,3,32,17,47,T,7,Snow,226<br />
2015-1-24,3,-1,-5,0,-3,-10,85,78,70,1008,1003,1000,16,13,2,29,13,42,0.25,8,Snow,294<br />
2015-1-25,-5,-11,-16,-11,-15,-18,86,69,51,1020,1016,1009,16,16,16,24,11,34,0.00,4,,47<br />
2015-1-26,-4,-11,-18,-12,-16,-20,87,67,46,1019,1016,1013,16,16,16,16,5,26,0.00,5,,124<br />
2015-1-27,-4,-9,-13,-11,-13,-16,91,69,46,1026,1023,1018,16,16,16,16,5,23,0.00,2,,29<br />
2015-1-28,0,-8,-16,-8,-13,-17,91,67,43,1027,1023,1014,16,16,16,16,6,31,0.00,5,,165<br />
2015-1-29,1,-3,-6,-2,-6,-12,92,68,43,1024,1012,1007,16,7,0,42,18,58,7.87,8,Fog-Snow,324<br />
2015-1-30,-6,-8,-11,-12,-13,-14,73,67,61,1033,1030,1024,16,14,5,37,13,58,T,8,Snow,347<br />
2015-1-31,-2,-6,-9,-6,-10,-13,81,74,67,1027,1024,1021,16,15,6,32,11,40,T,8,Snow,324<br />
2015-2-1,-7,-11,-14,-13,-16,-19,76,67,58,1027,1023,1017,16,16,16,32,20,40,0.00,7,,54<br />
2015-2-2,-8,-13,-18,-14,-17,-21,87,73,59,1021,1019,1016,16,14,5,27,9,39,T,6,Snow,64<br />
2015-2-3,-6,-8,-12,-9,-12,-15,84,73,62,1019,1017,1015,16,11,4,29,9,35,T,7,Snow,230<br />
2015-2-4,-7,-9,-13,-8,-12,-19,92,73,53,1026,1019,1014,16,6,2,37,15,50,0.25,8,Snow,314<br />
2015-2-5,-6,-10,-14,-11,-16,-17,83,64,45,1029,1025,1017,16,8,2,29,14,47,T,8,Snow,252<br />
2015-2-6,-2,-5,-8,-7,-9,-13,80,71,62,1019,1018,1016,16,16,13,37,12,50,T,6,Snow,258<br />
2015-2-7,1,-1,-3,-4,-6,-7,81,74,66,1016,1010,1006,16,12,6,19,7,31,T,8,Snow,111<br />
2015-2-8,-1,-5,-9,-4,-8,-13,92,80,67,1021,1011,1005,16,14,6,26,15,35,T,8,Snow,62<br />
2015-2-9,-8,-11,-15,-13,-14,-17,88,75,61,1026,1023,1020,16,16,14,21,10,26,T,5,Snow,44<br />
2015-2-10,0,-8,-16,-9,-13,-17,88,62,36,1027,1024,1018,16,16,11,21,5,32,0.00,7,,139<br />
2015-2-11,-1,-5,-9,-3,-7,-14,92,78,63,1017,1013,1010,16,7,2,37,17,50,0.76,8,Snow,299<br />
2015-2-12,-9,-12,-14,-13,-16,-20,80,72,63,1030,1024,1016,16,5,1,40,22,60,T,8,Snow,357<br />
2015-2-13,-6,-13,-19,-9,-12,-22,87,72,57,1028,1015,1008,16,8,1,27,12,45,0.25,7,Snow,248<br />
2015-2-14,-8,-13,-19,-11,-16,-22,91,77,62,1031,1012,1006,16,4,0,47,28,64,0.25,8,Fog-Snow,334<br />
2015-2-15,-17,-21,-25,-22,-26,-29,79,65,51,1038,1034,1029,16,11,2,34,9,43,T,3,Snow,52<br />
2015-2-16,-7,-15,-23,-21,-24,-26,72,51,30,1032,1023,1013,16,16,16,19,6,27,0.00,7,,165<br />
2015-2-17,-9,-12,-14,-12,-14,-19,88,65,42,1013,1010,1008,16,5,0,26,8,31,0.25,8,Snow,280<br />
2015-2-18,-12,-16,-19,-16,-19,-24,87,75,63,1021,1012,1007,16,8,2,37,15,48,T,8,Snow,349<br />
2015-2-19,-18,-23,-28,-22,-24,-31,79,63,47,1028,1024,1019,16,11,1,26,11,35,T,6,Snow,342<br />
2015-2-20,-10,-20,-30,-14,-22,-33,78,68,57,1028,1021,1013,16,14,8,24,9,34,T,6,Snow,173<br />
