
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-3,-6,-8,-4,-7,-10,92,87,81,1027,1022,1017,16,8,1,19,9,26,T,8,Rain,212<br />
2015-1-2,1,-3,-8,-5,-7,-10,96,74,51,1023,1018,1012,16,15,3,21,7,24,1.78,6,Rain-Snow,6<br />
2015-1-3,1,-3,-8,-2,-4,-9,100,88,75,1026,1012,1008,16,7,0,50,19,64,6.35,7,Fog-Snow,284<br />
2015-1-4,-1,-7,-13,-8,-12,-17,84,65,46,1036,1033,1024,16,16,16,40,20,55,0.00,0,,347<br />
2015-1-5,11,2,-7,-2,-4,-9,96,66,35,1034,1027,1021,16,15,8,47,27,66,0.00,3,,197<br />
2015-1-6,12,5,-2,-1,-2,-3,92,67,41,1033,1029,1024,16,16,14,23,11,27,0.00,0,,25<br />
2015-1-7,2,-3,-8,-3,-11,-17,92,69,45,1048,1042,1029,16,13,2,52,23,64,T,7,Snow,20<br />
2015-1-8,13,3,-7,-3,-6,-14,84,57,30,1039,1025,1016,16,16,16,50,24,63,0.00,2,,265<br />
2015-1-9,1,-2,-5,-3,-13,-18,85,57,28,1036,1032,1027,16,16,16,40,17,55,0.00,7,,98<br />
2015-1-10,8,1,-7,-4,-9,-14,78,53,28,1030,1022,1016,16,16,16,48,30,58,0.00,0,,185<br />
2015-1-11,16,5,-6,-1,-4,-7,96,62,28,1022,1016,1013,16,15,11,26,13,34,0.00,0,,197<br />
2015-1-12,1,-3,-7,-3,-7,-13,92,73,53,1035,1030,1022,16,13,4,37,21,48,0.00,7,,14<br />
2015-1-13,3,-2,-6,-4,-10,-16,72,59,45,1034,1029,1025,16,16,6,23,13,27,0.51,8,Snow,156<br />
2015-1-14,1,-1,-3,-3,-4,-6,92,81,69,1028,1025,1023,16,14,8,19,10,23,T,8,Snow,301<br />
2015-1-15,13,4,-5,-3,-6,-8,96,59,22,1029,1027,1025,16,15,11,29,14,39,0.00,0,,306<br />
2015-1-16,19,7,-5,-3,-7,-12,81,47,12,1026,1019,1011,16,16,16,40,24,53,0.00,0,,215<br />
2015-1-17,16,7,-2,-5,-8,-10,59,38,17,1027,1019,1009,16,16,16,56,24,71,0.00,0,,330<br />
2015-1-18,21,10,-1,-4,-6,-8,69,43,16,1025,1020,1015,16,16,16,58,25,76,0.00,0,,234<br />
2015-1-19,22,11,-1,-4,-7,-10,59,35,11,1019,1015,1012,16,16,16,21,11,26,0.00,0,,231<br />
2015-1-20,12,6,-1,1,-1,-5,92,65,38,1023,1017,1010,16,16,16,37,18,48,0.00,0,,29<br />
2015-1-21,6,3,-1,1,-1,-2,100,79,57,1026,1023,1021,16,7,0,35,17,45,18.54,8,Fog-Rain-Snow,58<br />
2015-1-22,-1,-4,-8,-1,-4,-9,100,89,78,1031,1028,1026,16,7,0,39,20,45,3.56,7,Fog-Snow,8<br />
2015-1-23,0,-6,-12,-6,-8,-12,92,78,63,1029,1026,1023,16,10,0,27,14,34,0.00,0,Fog,273<br />
2015-1-24,7,2,-3,-1,-3,-6,81,65,49,1025,1021,1015,16,16,16,32,18,40,0.00,0,,273<br />
2015-1-25,11,6,0,1,-2,-4,82,64,46,1025,1022,1019,16,16,16,34,17,42,0.00,0,,295<br />
2015-1-26,21,12,2,2,0,-2,76,49,22,1024,1023,1021,16,16,16,29,18,37,0.00,0,,295<br />
2015-1-27,23,13,3,2,1,-2,73,47,20,1023,1020,1016,16,16,16,26,13,34,0.00,0,,238<br />
2015-1-28,22,14,6,3,1,-1,66,45,23,1020,1016,1013,16,16,16,34,17,43,0.00,0,,287<br />
2015-1-29,10,7,3,1,-2,-4,70,55,39,1033,1029,1021,16,16,16,47,21,55,0.00,2,,22<br />
2015-1-30,4,3,1,0,-2,-3,96,78,59,1032,1028,1023,16,16,11,26,15,32,0.76,7,Rain,147<br />
2015-1-31,6,3,1,4,2,-1,100,95,89,1022,1015,1010,16,12,5,24,15,29,9.40,8,Rain,172<br />
2015-2-1,6,1,-4,5,-2,-7,100,74,48,1028,1018,1010,16,16,16,50,24,60,0.00,6,,346<br />
2015-2-2,14,4,-7,2,-3,-9,88,64,40,1028,1022,1017,16,16,16,47,21,58,0.00,2,,164<br />
2015-2-3,18,7,-3,3,0,-4,92,63,34,1019,1016,1013,16,16,13,29,16,35,0.00,0,,187<br />
2015-2-4,12,3,-6,1,-3,-7,100,85,70,1031,1021,1010,16,8,0,60,27,72,T,6,,353<br />
