
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-3,-5,-7,-4,-6,-8,100,92,84,1027,1022,1018,14,6,2,21,8,24,T,8,Snow,227<br />
2015-1-2,-1,-2,-3,-1,-2,-4,100,93,85,1022,1016,1011,13,6,1,37,12,48,11.68,8,Rain-Snow,55<br />
2015-1-3,4,-1,-7,1,-3,-8,100,88,76,1023,1012,1008,16,11,0,34,18,42,0.51,5,Fog-Snow,249<br />
2015-1-4,2,-3,-8,-3,-8,-12,88,68,47,1036,1032,1024,16,16,13,40,15,52,0.00,1,,25<br />
2015-1-5,13,4,-6,1,-3,-7,96,70,43,1035,1029,1023,16,16,16,39,21,48,0.00,1,,203<br />
2015-1-6,12,6,-1,1,-1,-3,85,66,46,1030,1027,1024,16,16,16,34,14,42,0.00,1,,47<br />
2015-1-7,1,-2,-6,-2,-9,-16,92,68,44,1045,1040,1028,16,15,11,56,22,69,0.00,6,,27<br />
2015-1-8,10,2,-7,-2,-7,-16,85,62,38,1041,1026,1018,16,16,16,42,20,52,0.00,4,,240<br />
2015-1-9,2,-1,-3,-3,-9,-16,85,57,29,1035,1031,1023,16,16,16,47,20,60,0.00,7,,72<br />
2015-1-10,3,0,-3,-2,-8,-13,92,64,35,1031,1024,1018,16,16,13,35,21,43,0.00,6,,192<br />
2015-1-11,19,8,-2,2,0,-3,100,67,34,1018,1016,1012,16,13,8,40,18,52,0.00,2,,249<br />
2015-1-12,3,0,-3,1,-2,-6,100,89,78,1032,1027,1017,16,7,0,45,23,53,0.25,7,Fog-Snow,41<br />
2015-1-13,1,-2,-4,-4,-8,-12,81,68,55,1032,1029,1026,16,16,16,23,11,27,T,8,,108<br />
2015-1-14,4,2,-1,-1,-3,-4,85,78,70,1027,1025,1023,16,14,10,14,4,16,T,8,Snow,321<br />
2015-1-15,15,6,-4,-1,-5,-9,92,56,19,1028,1026,1024,16,15,10,26,13,32,0.00,1,,322<br />
2015-1-16,17,6,-6,-3,-7,-8,92,55,17,1027,1021,1014,16,16,16,39,20,47,0.00,1,,243<br />
