
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-1,-5,-9,-9,-13,-16,67,57,46,1022,1019,1015,16,16,16,42,28,58,0.00,2,,242<br />
2015-1-2,2,-3,-7,-6,-8,-10,84,68,52,1028,1025,1021,16,16,16,16,9,23,0.00,3,,204<br />
2015-1-3,2,1,-2,1,-1,-6,100,82,63,1024,1014,1008,16,5,2,23,9,27,20.32,8,Rain-Snow,101<br />
2015-1-4,1,-4,-9,1,-3,-14,100,91,81,1029,1014,1004,16,5,0,47,21,56,4.32,8,Fog-Rain-Snow,307<br />
2015-1-5,-9,-13,-18,-14,-18,-21,80,70,60,1038,1033,1029,16,5,1,39,22,48,2.29,7,Snow,259<br />
2015-1-6,-9,-11,-14,-12,-15,-17,88,77,66,1030,1026,1022,16,6,1,35,19,40,3.05,8,Snow,222<br />
2015-1-7,-10,-15,-20,-13,-16,-24,84,79,73,1041,1032,1022,14,2,0,37,29,56,4.32,8,Fog-Snow,307<br />
2015-1-8,-8,-15,-23,-11,-20,-26,84,75,65,1038,1023,1008,16,7,1,47,27,66,2.03,4,Snow,215<br />
2015-1-9,-7,-12,-17,-9,-15,-19,86,76,66,1031,1020,1008,6,2,0,53,28,66,3.05,8,Fog-Snow,269<br />
2015-1-10,-6,-13,-19,-12,-19,-22,87,70,53,1033,1030,1028,16,11,2,27,21,52,0.25,5,Snow,217<br />
2015-1-11,-1,-3,-6,-3,-7,-12,85,69,53,1028,1026,1024,16,9,1,29,15,42,1.78,8,Snow,203<br />
2015-1-12,-1,-7,-12,-3,-7,-15,92,77,62,1039,1028,1024,16,10,2,42,16,50,1.78,6,Snow,333<br />
2015-1-13,-8,-14,-21,-14,-18,-23,87,72,56,1042,1039,1034,16,16,16,23,7,27,0.00,0,,61<br />
