
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,6,1,-3,-3,-5,-7,85,66,46,1030,1027,1024,16,16,16,14,4,19,0.00,2,,40<br />
2015-1-2,6,3,0,4,1,-4,100,83,66,1024,1022,1019,16,12,0,34,8,47,1.52,8,Fog-Rain,176<br />
2015-1-3,5,3,2,3,2,1,100,93,85,1026,1025,1023,16,10,0,13,6,19,T,7,Fog-Rain,116<br />
2015-1-4,11,7,3,9,4,2,100,93,85,1025,1022,1015,16,12,2,40,16,50,10.16,8,Rain,152<br />
2015-1-5,12,11,9,11,10,8,96,90,83,1027,1023,1017,16,10,3,42,23,52,8.13,8,Rain,197<br />
2015-1-6,12,9,6,8,7,6,100,86,71,1027,1026,1025,16,12,0,16,5,19,0.00,7,Fog,343<br />
2015-1-7,8,7,6,7,6,4,100,93,86,1027,1026,1024,11,3,0,16,6,19,0.00,7,Fog,3<br />
2015-1-8,8,5,2,4,3,1,100,88,76,1025,1022,1020,16,5,0,21,9,24,0.00,6,Fog,24<br />
2015-1-9,10,7,3,5,4,3,100,83,66,1021,1019,1017,16,8,0,11,2,13,0.25,6,Fog-Rain,143<br />
2015-1-10,8,7,6,7,6,5,93,90,86,1019,1017,1016,16,4,0,11,2,11,5.84,8,Fog-Rain,142<br />
2015-1-11,9,8,7,8,7,4,100,91,82,1025,1021,1018,16,5,0,13,4,19,1.52,8,Fog-Rain,123<br />
2015-1-12,11,8,4,6,4,3,96,81,66,1031,1028,1025,16,12,0,14,6,19,T,6,Fog,360<br />
2015-1-13,9,6,3,5,3,2,100,83,66,1032,1031,1027,16,6,0,21,10,24,0.00,6,Fog,14<br />
2015-1-14,6,3,1,3,1,-3,100,77,53,1027,1025,1023,16,9,0,21,10,39,0.00,4,Fog,64<br />
2015-1-15,8,4,1,5,1,-4,89,72,54,1024,1017,1009,16,14,6,32,11,40,9.65,6,Rain,136<br />
2015-1-16,12,9,6,7,4,1,89,76,63,1025,1020,1010,16,16,16,34,16,47,T,5,,185<br />
2015-1-17,13,8,3,11,5,-1,93,78,62,1022,1013,1003,16,11,3,37,10,48,26.16,8,Rain,117<br />
2015-1-18,14,11,7,11,7,6,86,80,74,1026,1017,1005,16,13,3,64,24,95,21.34,8,Rain,208<br />
2015-1-19,10,8,6,6,5,3,92,83,74,1032,1030,1025,16,16,16,24,10,29,0.51,6,Rain,195<br />
2015-1-20,10,7,3,5,3,2,100,83,66,1032,1030,1028,16,8,0,23,11,26,0.00,4,Fog,29<br />
2015-1-21,7,3,-1,4,2,-1,96,86,76,1028,1026,1025,16,16,13,14,5,19,0.00,6,Fog,48<br />
2015-1-22,9,8,6,8,6,3,93,85,76,1030,1027,1025,16,15,5,16,5,19,0.76,8,Rain,153<br />
2015-1-23,12,11,8,11,9,7,96,91,86,1030,1027,1025,16,9,0,27,9,42,5.84,8,Rain,185<br />
2015-1-24,14,13,11,13,12,11,93,90,86,1027,1026,1023,16,14,1,26,12,34,0.51,8,Rain,193<br />
2015-1-25,17,12,7,12,9,7,100,82,64,1024,1021,1015,16,9,0,14,5,24,0.00,6,Fog,265<br />
2015-1-26,16,11,6,8,7,5,100,80,60,1016,1015,1014,16,10,0,23,8,26,0.00,3,Fog,175<br />
2015-1-27,11,10,8,9,8,6,93,88,83,1026,1020,1015,16,12,1,19,7,27,0.76,8,Rain,204<br />
2015-1-28,12,9,5,7,6,4,93,82,71,1030,1029,1026,16,14,2,16,7,21,T,5,,2<br />
2015-1-29,12,8,3,5,3,2,100,77,54,1029,1028,1027,16,16,16,19,10,23,0.00,2,,5<br />
2015-1-30,8,5,1,4,3,0,100,88,76,1028,1026,1025,16,4,0,13,3,14,0.00,4,Fog,352<br />
2015-1-31,7,6,3,4,4,2,100,92,83,1026,1023,1020,16,5,0,19,7,24,0.00,7,Fog,10<br />
2015-2-1,9,7,4,7,6,4,96,91,86,1020,1019,1017,16,10,0,26,9,32,1.52,8,Fog-Rain,171<br />
2015-2-2,11,8,5,9,6,4,96,85,74,1019,1014,1011,16,11,2,52,14,69,7.37,7,Rain,164<br />
2015-2-3,10,8,6,8,7,4,93,85,76,1021,1019,1016,16,14,3,16,7,21,1.27,7,Rain,153<br />
2015-2-4,11,8,4,7,6,4,96,88,80,1020,1014,1008,16,11,1,24,6,27,8.38,7,Fog-Rain,75<br />
2015-2-5,13,11,8,12,9,5,96,88,80,1006,1001,996,16,13,4,26,17,34,26.16,8,Rain,142<br />
2015-2-6,14,12,10,11,9,7,93,82,71,999,996,994,16,14,10,34,16,50,17.27,7,Rain,181<br />
2015-2-7,12,11,9,11,9,6,93,82,71,1012,1002,994,16,14,6,39,16,52,23.62,8,Rain,170<br />
2015-2-8,15,12,8,9,7,5,93,75,57,1015,1010,1004,16,16,8,37,14,45,3.56,7,Rain,111<br />
2015-2-9,13,11,8,9,8,7,93,83,72,1017,1009,1002,16,14,1,24,9,32,6.10,8,Rain,167<br />
2015-2-10,13,11,8,10,8,6,89,80,71,1027,1024,1017,16,15,5,27,14,39,0.25,7,,210<br />
2015-2-11,13,9,6,8,7,5,100,89,77,1025,1023,1022,16,13,0,14,4,23,T,7,Fog-Rain,230<br />
2015-2-12,17,13,9,9,8,7,93,75,57,1026,1025,1023,16,16,16,14,7,19,1.02,7,Rain,166<br />
