
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,7,7,6,7,6,5,100,96,92,1024,1021,1019,16,6,3,34,21,40,2.79,8,Rain,332<br />
2015-1-2,10,8,7,9,8,6,100,96,92,1021,1017,1015,16,11,4,23,14,26,3.05,8,Rain,320<br />
2015-1-3,12,10,7,10,9,7,100,92,83,1020,1016,1014,16,16,11,24,11,29,0.25,7,,321<br />
2015-1-4,16,11,7,8,7,6,93,78,62,1035,1028,1020,16,15,11,37,15,47,0.00,2,,354<br />
2015-1-5,14,10,6,7,5,2,93,77,61,1037,1034,1031,16,16,16,24,15,32,0.00,1,,358<br />
2015-1-6,20,13,7,13,9,6,100,80,59,1032,1029,1026,16,15,5,14,6,19,0.00,0,,3<br />
2015-1-7,21,16,10,16,12,3,100,80,59,1036,1029,1026,16,15,10,45,20,56,0.00,8,,10<br />
2015-1-8,10,7,4,2,-2,-6,62,55,48,1037,1032,1025,16,16,3,45,23,56,0.00,8,,340<br />
2015-1-9,9,7,5,8,6,1,100,83,65,1029,1026,1024,16,10,3,42,23,52,8.13,8,Rain,334<br />
2015-1-10,5,4,3,4,3,2,100,96,92,1029,1027,1024,16,11,4,47,30,56,30.48,8,Rain,327<br />
2015-1-11,14,9,4,9,7,3,96,84,71,1025,1022,1020,16,14,1,27,11,35,0.25,4,Fog,324<br />
2015-1-12,19,12,5,12,8,4,100,82,63,1025,1023,1021,16,9,0,37,14,45,0.51,2,Fog-Rain,11<br />
2015-1-13,9,8,7,8,7,6,93,87,80,1030,1027,1026,16,14,5,39,22,48,1.02,8,Rain,352<br />
2015-1-14,8,8,7,7,6,5,93,90,86,1026,1025,1022,16,9,2,32,23,37,1.52,8,Rain,339<br />
2015-1-15,13,10,7,7,6,6,93,80,66,1029,1027,1023,16,15,8,34,20,39,0.25,5,Rain,334<br />
2015-1-16,18,12,5,8,6,4,96,70,43,1029,1026,1023,16,16,14,14,5,19,0.00,0,,92<br />
2015-1-17,22,14,6,13,9,6,100,75,49,1024,1021,1018,16,12,1,23,7,29,0.00,0,,185<br />
2015-1-18,22,17,12,14,11,7,100,78,55,1027,1024,1023,16,14,8,21,9,26,0.00,1,,352<br />
2015-1-19,21,15,9,15,11,9,100,77,53,1023,1020,1015,16,7,0,19,6,24,T,2,Fog,163<br />
2015-1-20,28,21,12,17,12,7,100,70,40,1015,1014,1012,16,6,0,23,7,26,0.00,1,Fog,150<br />
2015-1-21,25,21,17,20,19,18,100,85,69,1016,1014,1012,16,9,0,34,18,40,T,8,Fog-Rain,138<br />
2015-1-22,23,17,11,21,17,8,93,86,78,1020,1013,1009,16,12,3,47,25,58,0.25,8,Rain-Thunderstorm,221<br />
2015-1-23,16,11,4,7,5,3,83,65,46,1027,1024,1020,16,16,3,52,31,61,0.00,5,,338<br />
2015-1-24,18,11,3,7,4,2,92,65,37,1028,1025,1022,16,16,16,21,12,26,0.00,0,,254<br />
2015-1-25,22,14,7,10,8,5,86,65,44,1023,1021,1019,16,16,16,26,9,32,0.00,0,,223<br />
2015-1-26,25,16,7,8,6,1,86,53,20,1026,1024,1022,16,16,16,19,10,23,0.00,0,,249<br />
2015-1-27,28,18,9,12,7,2,86,53,20,1024,1022,1021,16,16,16,21,11,24,0.00,0,,201<br />
2015-1-28,27,19,11,18,14,11,100,71,42,1022,1021,1020,16,9,0,29,16,39,0.00,1,Fog,175<br />
2015-1-29,27,19,11,18,13,11,100,76,52,1025,1021,1020,16,8,0,34,14,40,0.00,0,Fog,133<br />
2015-1-30,23,18,13,17,16,14,100,84,68,1027,1025,1022,16,8,0,37,17,47,0.00,5,Fog,56<br />
2015-1-31,25,20,14,18,16,14,100,79,58,1021,1017,1013,16,13,6,40,21,52,0.51,4,Rain,131<br />
2015-2-1,26,22,17,18,17,16,100,78,56,1017,1013,1011,16,16,11,37,16,45,0.76,1,Rain,195<br />
2015-2-2,21,15,9,14,6,1,93,67,40,1028,1024,1018,16,16,16,52,22,63,T,8,Rain,9<br />
2015-2-3,11,10,9,9,8,4,93,82,71,1025,1023,1021,16,14,4,32,20,35,16.51,8,Rain,353<br />
2015-2-4,17,13,9,13,10,8,100,92,84,1021,1019,1017,16,7,0,29,14,35,0.25,7,Fog-Rain,335<br />
2015-2-5,18,14,10,14,12,10,100,86,72,1029,1025,1020,16,12,0,34,15,39,0.00,8,Fog,6<br />
2015-2-6,17,14,11,13,11,9,93,83,72,1030,1027,1025,16,15,10,21,10,34,0.00,8,,32<br />
2015-2-7,25,18,10,15,12,9,100,77,53,1024,1020,1017,16,9,0,29,12,35,0.00,4,Fog,127<br />
2015-2-8,27,19,11,17,14,11,100,76,51,1017,1014,1010,16,9,0,47,22,55,0.00,2,Fog,168<br />
2015-2-9,27,19,11,18,16,12,100,76,51,1020,1016,1013,16,6,0,24,13,29,0.00,4,Fog,75<br />
2015-2-10,28,19,9,16,11,8,100,67,33,1018,1016,1013,16,6,0,24,12,31,0.00,3,Fog,189<br />
2015-2-11,26,18,11,18,14,11,100,74,48,1019,1015,1013,16,8,0,37,16,47,0.00,2,Fog,128<br />
2015-2-12,22,17,12,18,14,11,100,83,66,1026,1023,1019,16,12,0,40,18,50,0.00,4,Fog,30<br />
2015-2-13,23,17,11,16,13,11,100,81,61,1027,1025,1023,16,13,5,26,12,29,0.00,5,,31<br />
2015-2-14,26,20,13,17,14,13,100,76,52,1025,1024,1021,16,13,2,32,13,37,0.00,3,,114<br />
2015-2-15,25,21,16,19,17,14,97,81,64,1022,1017,1014,16,16,13,40,22,50,T,3,Rain,154<br />
2015-2-16,30,20,10,19,16,4,90,71,51,1019,1012,1008,16,16,13,56,30,68,T,6,Rain,179<br />
2015-2-17,12,9,5,4,3,3,89,74,59,1027,1022,1019,16,16,13,35,18,43,0.25,6,Rain,351<br />
2015-2-18,20,12,3,7,4,-1,92,62,32,1029,1027,1024,16,16,16,27,13,35,0.00,0,,136<br />
2015-2-19,23,15,7,14,11,7,100,75,49,1028,1024,1020,16,16,16,39,19,47,0.00,4,,127<br />
2015-2-20,27,21,15,18,17,14,93,74,54,1019,1014,1011,16,16,14,60,37,72,T,4,,166<br />
2015-2-21,28,24,19,19,19,18,93,76,58,1014,1011,1009,16,15,13,52,33,64,0.00,7,,168<br />
2015-2-22,27,23,20,21,20,19,97,83,69,1019,1014,1012,16,13,5,32,17,40,0.00,7,,142<br />
2015-2-23,22,13,4,21,7,3,100,91,82,1028,1026,1020,16,12,5,42,29,53,1.78,8,Rain,352<br />
2015-2-24,7,6,3,5,3,2,96,89,82,1027,1023,1014,16,12,3,29,17,34,0.25,8,Rain,345<br />
2015-2-25,19,13,6,7,6,4,96,68,40,1017,1014,1010,16,13,4,37,22,47,2.54,4,Rain,325<br />
2015-2-26,22,13,4,12,7,4,100,72,44,1023,1016,1013,16,10,0,39,17,47,0.00,0,Fog,105<br />
2015-2-27,19,14,8,13,11,6,86,75,63,1024,1022,1020,16,14,6,27,17,32,T,7,Rain,357<br />
2015-2-28,12,11,8,11,9,8,100,95,89,1023,1021,1020,16,6,1,27,19,34,2.79,8,Rain,311<br />
2015-3-1,14,12,9,13,11,8,100,93,86,1024,1022,1020,13,5,2,24,13,27,0.76,8,Rain,337<br />
2015-3-2,14,13,11,14,12,11,100,97,93,1025,1022,1020,8,3,1,19,13,23,0.76,8,,351<br />
2015-3-3,28,20,12,21,16,12,100,79,58,1019,1014,1008,16,7,0,50,17,58,0.00,5,Fog,176<br />
